日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-05-02,1.2686584399812774e-05,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.7077817430911348,175,184.25,4,0,-0.33,-0.35
2017-08-31,8.016008273585196e-05,-0.0008387316015357838,-0.012509936406672487,-1,-0.2876820724517809,0.020204102886728803,-0.11154587851314074,265,472.6,5,0,-1.24,-0.08
2017-10-04,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,44,200.0,1,2,0,0
2017-09-29,0,0,0,-1,-0.2876820724517809,0.020204102886728803,-0.7232282902909039,141,374.4,5,2,0,0
2017-07-28,7.256895631187843e-05,0.0010641210780513296,0.006703935722190134,-1,-0.40546510810816444,0.057190958417936644,-1.5978627485009946,102,491.6666666666667,3,1,0.67,0.11
2017-06-16,8.51629308232267e-05,-0.002979703786886865,-0.002426204182463937,-1,-0.40546510810816444,0.057190958417936644,-0.6951961645765965,101,347.3333333333333,3,0,-0.24,-0.3
2017-05-25,0.003481847931841094,0.014177372256669672,-0.17935247180120875,3,0.47000362924573563,0.03790861415833069,0.3353959799438684,358,363.0,11,1,10.04,1.43
2017-06-22,0.000691279464688334,-0.002779339507223078,0.018467004124914397,1,0.22314355131420976,0.010256681389212985,-0.11278559232579362,211,510.0,7,1,1.86,-0.28
2017-08-07,3.1259172585701366e-05,0.005313745966537152,0.00465117117573088,-4,-1.0986122886681098,0.2546440075000701,-1.120632818655126,137,447.8333333333333,6,1,0.47,0.53
2017-07-27,7.278615453583818e-05,0.0006494855902461546,0.0,1,0.28768207245178085,0.020204102886728803,-0.17430147867423063,148,371.4,5,2,0.00,0.06
2017-08-29,9.595727773163484e-05,0.0007669578311350367,0.005415873973032638,-7,-0.6931471805599453,0.07034096143917401,-0.20825264024628912,562,361.36842105263156,19,1,0.54,0.08
2017-06-12,0.0003106022050759946,-0.005880987627644262,-0.011668743834377378,-9,-1.7047480922384253,0.42504042542393117,-1.1639646727864486,476,892.6363636363636,11,0,-1.16,-0.59
2017-09-09,0,0,0,2,0.6931471805599453,0.1339745962155614,1.2397173040508982,58,761.0,4,2,0,0
2017-09-25,0,0,0,0,0.0,0.0,-0.7371235658489665,91,167.0,2,2,0,0
2016-10-06,0,0,0,-2,-1.0986122886681098,1.0,-1.7571086177383262,27,1038.0,2,2,0,0
2017-08-20,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.8657401242658948,102,185.33333333333334,3,2,0,0
2017-09-27,0,0,0,2,1.0986122886681098,1.0,1.152418323693607,63,342.5,2,2,0,0
2017-04-29,0,0,0,-1,-0.2876820724517809,0.020204102886728803,0.03764870295479101,223,173.8,5,2,0,0
2017-06-08,7.990908314743449e-05,0.0031825036995264894,0.0,0,0.0,0.0,0.33498197318170947,174,252.33333333333334,6,2,0.00,0.32
2017-09-06,0,0,0,3,0.6931471805599453,0.09649209709474871,0.3366862504187002,142,316.42857142857144,7,2,0,0
2017-07-17,0.001060536166125172,-0.01436526090779734,0.012431604342145176,-2,-0.6931471805599453,0.1339745962155614,-0.5060202738449406,202,565.75,4,1,1.25,-1.43
2016-08-13,0,0,0,2,0.6931471805599453,0.1339745962155614,1.27491532990195,395,247.75,4,2,0,0
2017-09-15,0,0,0,-4,-1.6094379124341003,1.0,-1.6390222887631687,313,169.75,4,2,0,0
2017-08-30,5.548635901928069e-05,-0.0004755634773659953,-0.006968669316093428,-2,-0.5108256237659907,0.057190958417936644,1.1469063186220738,579,286.3333333333333,6,0,-0.69,-0.05
2017-08-23,0.00014347448718163576,-0.0007692389930437725,0.011200117079536328,2,0.4054651081081644,0.031754163448145745,0.18648900537372579,211,184.5,8,1,1.13,-0.08
2017-08-22,3.3400335999292834e-05,0.0010095574313395495,-0.0064154189562000245,-4,-0.6931471805599453,0.08348486100883201,-0.7826446844245132,312,277.0,10,0,-0.64,0.1
2017-08-25,0.00024606016670231605,0.01817700427944759,0.02455568925744346,-4,-0.5108256237659907,0.041685152500090084,-0.768803127173481,465,145.57142857142858,14,1,2.49,1.83
2017-09-17,0,0,0,1,0.4054651081081644,0.057190958417936644,0.294336275437437,47,212.66666666666666,3,2,0,0
2017-05-01,0,0,0,-1,-0.2876820724517809,0.020204102886728803,1.528965895753168,143,278.4,5,2,0,0
2017-09-24,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,22,377.0,1,2,0,0
2017-08-04,0.0001339080558947659,-0.0033205794542208998,-0.01618532442101742,-5,-0.8109302162163288,0.10927645716975343,-1.0144463872632914,943,175.54545454545453,11,0,-1.61,-0.33
2017-09-21,0,0,0,1,0.4054651081081644,0.057190958417936644,1.3669961393652974,36,316.6666666666667,3,2,0,0
2017-09-22,0,0,0,0,0.0,0.0,0.633682658104405,77,184.0,2,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,45,168.0,1,2,0,0
2017-04-18,7.3513886748568e-05,-0.007932889699732989,-0.016850690351855765,-6,-1.3862943611198906,0.3385621722338523,-1.4276636499809212,226,650.375,8,0,-1.67,-0.79
2017-09-08,0,0,0,1,0.28768207245178085,0.020204102886728803,0.12908997456962634,96,208.8,5,2,0,0
2017-09-11,0,0,0,0,0.0,0.0,-0.5679165161638682,116,207.75,4,2,0,0
2017-07-19,0.00017474325172033893,0.013526625761433873,0.010279091974647476,-3,-0.6931471805599453,0.09649209709474871,-0.47354879630480495,614,198.85714285714286,7,1,1.03,1.36
2017-09-13,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.06905327105758377,72,297.0,3,2,0,0
2017-09-19,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.40570640629356636,29,312.6666666666667,3,2,0,0
2017-08-16,1.8652695560192004e-05,-0.0014805218695833238,-0.007974523918769471,-1,-0.2876820724517809,0.020204102886728803,-0.7132817099578934,118,264.8,5,0,-0.79,-0.15
2017-08-19,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-0.9071239165515276,182,262.0,4,2,0,0
2016-04-20,0.0005354888221460744,-0.023354454419571943,0.003346350027344394,-9,-1.7047480922384253,0.42504042542393117,-1.1138446579822359,472,177.72727272727272,11,1,0.34,-2.31
2017-08-24,0.00010091133559089939,-0.00493658013051556,-0.007987262910210914,-2,-0.3364722366212129,0.020204102886728803,0.02766114027320155,251,191.6,10,0,-0.80,-0.49
2017-08-15,9.001713627573991e-05,0.004284430668697165,0.0023856870162031526,-1,-0.2231435513142097,0.010256681389212985,-0.7957184543509946,351,166.57142857142858,7,1,0.24,0.43
2017-08-11,0.00016575971721012898,-0.016447856148161306,-0.00863766658167145,2,0.6931471805599453,0.1339745962155614,0.8894899635193746,117,261.75,4,0,-0.86,-1.63
2017-09-02,0,0,0,0,0.0,0.0,0.07423530861032127,122,185.5,4,2,0,0
2017-08-17,1.4749688967866845e-05,0.006747655642863546,0.0031974447704905596,-2,-0.5108256237659907,0.057190958417936644,-0.25114696355833904,147,361.6666666666667,6,1,0.32,0.68
2017-09-03,0,0,0,0,0.0,0.0,-0.9803709935594969,90,1945.5,2,2,0,0
2017-09-01,7.978402521781161e-05,0.001875763228849927,0.004709584843085167,0,0.0,0.0,0.7906042310634774,90,123.0,2,1,0.47,0.19
2017-09-05,0.0002071794357531294,0.0014015585020253336,0.019372942187364954,-5,-0.9808292530117262,0.1685205807169019,-0.7495072525923638,195,589.4444444444445,9,1,1.96,0.14
