日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-08-30,0.0001573723954176384,0,0,-2,-0.6931471805599453,0.1339745962155614,0.1982694730537797,63,232.0,4,1,0.46,-0.05
2017-09-15,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,43,77.0,1,2,0,0
2017-08-18,5.482325895066407e-05,8.872367933730924e-05,-0.006162292694536426,-2,-1.0986122886681098,1.0,-0.6931471805599453,106,240.5,2,0,-0.61,0.01
2017-08-23,6.062646843420518e-05,-0.0007692389930437725,0.002047083621724823,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,540.0,1,1,0.20,-0.08
2017-08-17,2.0431788245683692e-05,0.006747655642863546,0.005475715255962763,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,540.0,1,1,0.55,0.68
2017-09-25,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.22418511761533552,29,1131.0,3,2,0,0
2017-05-17,0.00013746521573077672,-0.0027406971831017367,-0.011474982476874573,0,0.0,0.0,0.08654417103566385,22,935.0,2,0,-1.14,-0.27
2017-07-30,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,15,2593.0,1,2,0,0
2017-04-27,0.0001122247891547133,0.003603985442434694,0.010840214552864807,-1,-0.6931471805599453,1.0,-1.5040773967762742,51,322.0,1,1,1.09,0.36
2017-07-09,0,0,0,-1,-0.6931471805599453,1.0,-1.8718021769015913,66,572.0,1,2,0,0
2017-06-26,7.169461055093776e-05,0.008692677357703274,0.005383593083472679,1,0.6931471805599453,1.0,1.8718021769015913,49,544.0,1,1,0.54,0.87
2017-05-02,8.100728092661086e-05,-0.003477093607484734,-0.015609410927076243,0,0.0,0.0,-0.8204779540611075,40,751.0,2,0,-1.55,-0.35
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,24,532.0,1,2,0,0
2017-09-11,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,21,218.0,1,2,0,0
2017-09-20,0,0,0,-2,-1.0986122886681098,1.0,-1.4183570978153024,15,969.5,2,2,0,0
2017-03-23,7.78990105952317e-05,0.001025598471115983,0.004021453140777643,1,0.6931471805599453,1.0,0.6931471805599453,41,212.0,1,1,0.40,0.1
2017-08-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,21,830.0,1,2,0,0
2017-05-11,0.00042309096154339145,0.0028490653507486784,0.017082752276229976,-2,-1.0986122886681098,1.0,-1.5314174697084002,50,501.5,2,1,1.72,0.29
2017-04-18,4.9955961638529927e-05,-0.007932889699732989,-0.010384309305716493,-1,-0.6931471805599453,1.0,-1.791759469228055,101,715.0,1,0,-1.03,-0.79
2017-07-07,0.0001038281512692656,0.001716845408023304,0.007450085254594592,-1,-0.6931471805599453,1.0,-1.7047480922384253,135,158.0,1,1,0.75,0.17
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,528.0,1,2,0,0
2017-09-09,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,27,524.0,1,2,0,0
2017-09-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,532.0,1,2,0,0
