日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-04-29,0,0,0,-2,-1.0986122886681098,1.0,-1.639350031088669,174,501.5,2,2,0,0
2017-09-01,9.039757281581198e-05,0.001875763228849927,-0.0026281224062695806,-3,-0.916290731874155,0.19999999999999996,-0.5642588060761697,145,488.8,5,0,-0.26,0.19
2017-09-28,0,0,0,2,1.0986122886681098,1.0,1.0454446262598136,71,844.5,2,2,0,0
2017-10-07,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,22,198.0,1,2,0,0
2017-09-08,0,0,0,3,1.3862943611198906,1.0,1.6117831681022936,154,214.66666666666666,3,2,0,0
2017-06-23,0.0006466063123921599,0.003305148504969669,0.03195159980660243,2,0.5108256237659907,0.057190958417936644,-0.09678648009209964,158,687.6666666666666,6,1,3.25,0.33
2017-09-02,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.31801229545720167,57,317.0,3,2,0,0
2017-09-25,0,0,0,-4,-1.0986122886681098,0.2546440075000701,-0.742861915702114,138,374.6666666666667,6,2,0,0
2016-10-22,0,0,0,-5,-0.9808292530117262,0.1685205807169019,-0.7510916918945361,178,238.33333333333334,9,2,0,0
2017-08-21,4.092822038107385e-05,0.005549442748311529,0.0013271402080624938,1,0.4054651081081644,0.057190958417936644,0.4294323380431987,192,203.33333333333334,3,1,0.13,0.56
2016-11-17,3.48569886107784e-05,0.0010571435347284802,-0.00217865009922215,0,0.0,0.0,-0.0455661993798132,168,200.25,12,0,-0.22,0.11
2017-05-22,0.00011613089634484996,-0.004848938600971435,-0.010899290458035742,-2,-0.5108256237659907,0.057190958417936644,-1.348295106324202,2128,234.83333333333334,6,0,-1.08,-0.48
2017-09-04,2.265843116173254e-05,0.003693661839453739,-0.005277057100843781,-2,-0.6931471805599453,0.1339745962155614,-1.1218848937003532,658,1755.75,4,0,-0.53,0.37
2017-09-21,0,0,0,-5,-1.252762968495368,0.3001457877762348,-0.8273811338255552,153,440.42857142857144,7,2,0,0
2017-09-29,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,31,388.0,1,2,0,0
2017-07-28,0.00016349156803841785,0.0010641210780513296,-0.011313759900273404,-4,-1.0986122886681098,0.2546440075000701,-1.3242475296801715,763,252.0,6,0,-1.13,0.11
2017-09-14,0,0,0,-3,-0.6931471805599453,0.09649209709474871,-0.12329808531477893,135,221.71428571428572,7,2,0,0
2017-09-13,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-0.12688707708561822,108,124.0,4,2,0,0
2017-09-19,0,0,0,-4,-1.6094379124341003,1.0,-1.141793411358108,125,348.5,4,2,0,0
2017-09-27,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,20,70.0,1,2,0,0
2017-09-15,0,0,0,-2,-0.5108256237659907,0.057190958417936644,0.09848897976903839,136,384.0,6,2,0,0
2016-09-16,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-0.43123277899774204,85,322.1666666666667,6,2,0,0
2017-07-27,0.00033292749185187423,0.0006494855902461546,0.016383479250524125,-1,-0.2876820724517809,0.020204102886728803,0.2336095626042792,55,230.8,5,1,1.65,0.06
2017-08-04,5.928396464885167e-05,-0.0033205794542208998,-0.011545990997060796,-2,-0.6931471805599453,0.1339745962155614,-0.3929744968739849,41,666.0,4,0,-1.15,-0.33
2017-06-13,4.458356653102788e-05,0.004404467510343322,-0.006153865574378335,0,0.0,0.0,-0.8355106054337562,245,544.0,4,0,-0.61,0.44
2016-03-15,0.006032965945295134,0.0017016463249972427,0.08572454114096734,0,0.0,0.0,-1.3698763698458447,226,200.5,2,1,8.95,0.17
2017-06-26,0.00032063403022873806,0.008692677357703274,0.016219943866763474,0,0.0,0.0,-0.8306628107544969,71,146.0,2,1,1.64,0.87
2017-01-26,7.766432235578941e-06,0.003049749380627816,0.0023228814161397287,2,0.5108256237659907,0.057190958417936644,-0.08199024641155937,250,501.8333333333333,6,1,0.23,0.31
2017-09-23,0,0,0,-3,-1.3862943611198906,1.0,-1.3971363738464972,32,271.0,3,2,0,0
2016-12-23,0.00016347001608189748,-0.009411706173572272,-0.015660275298758495,-2,-0.3364722366212129,0.020204102886728803,0.003233820323909413,578,509.3,10,0,-1.55,-0.94
2017-09-22,0,0,0,0,0.0,0.0,0.31450975591096936,66,246.5,4,2,0,0
2015-09-08,0.005389853651141196,0.028807582325203952,0.08682395313002388,-2,-1.0986122886681098,1.0,-0.6931471805599453,22,666.0,2,1,9.07,2.92
2017-08-06,0,0,0,1,0.6931471805599453,1.0,1.5040773967762742,37,507.0,1,2,0,0
2017-09-06,0,0,0,4,1.0986122886681098,0.2546440075000701,1.0717597103704979,153,1099.6666666666667,6,2,0,0
2017-09-24,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,33,3330.0,1,2,0,0
2017-09-10,0,0,0,0,0.0,0.0,-0.10272101724786704,89,195.75,4,2,0,0
2017-09-20,0,0,0,-3,-1.3862943611198906,1.0,-1.7047480922384253,37,491.0,3,2,0,0
2017-05-12,4.296305885327176e-05,0.00716356657622197,-0.006807378228025014,-4,-1.0986122886681098,0.2546440075000701,-0.925698875855717,210,287.0,6,0,-0.68,0.72
2017-09-18,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-0.5156536547696643,67,182.5,4,2,0,0
2017-09-16,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.4822031775886404,59,483.0,3,2,0,0
2017-07-19,0.0002394119065475756,0.013526625761433873,0.01760370441824803,-1,-0.2876820724517809,0.020204102886728803,-0.11733989414381057,255,289.8,5,1,1.78,1.36
2017-08-19,0,0,0,-2,-1.0986122886681098,1.0,-1.4763869070848583,84,386.0,2,2,0,0
2017-08-08,7.29447299360508e-05,0.00073460719347412,-0.007751976804317936,-1,-0.2876820724517809,0.020204102886728803,0.6041614046661876,81,198.2,5,0,-0.77,0.07
2017-08-31,3.9547200070211476e-05,-0.0008387316015357838,0.0013131978249603929,-1,-0.2876820724517809,0.020204102886728803,-0.26432963347943006,107,403.8,5,1,0.13,-0.08
2017-08-29,8.87507394640594e-05,0.0007669578311350367,-0.009156375285986255,1,0.4054651081081644,0.057190958417936644,0.18947389428704184,41,552.0,3,0,-0.91,0.08
2017-08-18,0.00010736340707639539,8.872367933730924e-05,0.0,0,0.0,0.0,-0.521377822928687,190,1093.25,4,2,0.00,0.01
2017-09-17,0,0,0,1,0.6931471805599453,1.0,1.5040773967762742,15,351.0,1,2,0,0
2017-02-16,5.62927537861596e-05,0.005162515481959175,0.005685063634608259,-1,-0.40546510810816444,0.057190958417936644,-0.65046879262361,131,238.66666666666666,3,1,0.57,0.52
2017-09-11,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,42,1131.0,2,2,0,0
2017-08-15,5.186908450224408e-05,0.004284430668697165,0.002670228555878892,-3,-0.916290731874155,0.19999999999999996,-0.6807763354745211,106,370.6,5,1,0.27,0.43
2017-02-22,2.2692678152905236e-05,0.002422271333496166,-0.0033955890011381604,-1,-0.40546510810816444,0.057190958417936644,-0.45176314016452024,125,248.33333333333334,3,0,-0.34,0.24
2017-09-07,0,0,0,-1,-0.2876820724517809,0.020204102886728803,0.12906566342111137,128,446.6,5,2,0,0
2017-09-12,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.05762773562282258,64,325.3333333333333,3,2,0,0
2017-07-06,8.669868639868869e-05,0.0016543167878900564,-0.009038150615062147,-3,-1.3862943611198906,1.0,-0.7870596783321917,56,460.0,3,0,-0.90,0.17
2017-09-09,0,0,0,1,0.4054651081081644,0.057190958417936644,1.074898308239153,33,354.3333333333333,3,2,0,0
2017-08-01,0.0002700859621199074,0.00597351323222333,0.018692133012152546,-1,-0.2876820724517809,0.020204102886728803,-0.7778566363475308,47,195.2,5,1,1.89,0.6
2017-06-28,0.00012539208761492998,-0.005656479163349057,0.0,-1,-0.6931471805599453,1.0,-1.5040773967762742,136,134.0,1,2,0.00,-0.56
2017-08-26,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.7749147743161717,40,321.6666666666667,3,2,0,0
2017-09-03,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,35,1885.0,1,2,0,0
