1.建设银行:
标题,阅读,评论,字数,影响力,时间
建设银行一个月内见到13元,2233,7,77,3.5,2017-09-15 19:46:48
鼓吹价值投资是忽悠人的言沦就是一种忽悠,11424,18,935,4.0,2017-07-02 20:18:11
建行净资产6.33元每年能增加0.92元，别5.3元贱卖,41084,55,1060,4.0,2016-12-21 10:03:08
建行2018年分红登记日收盘价,290935,1432,132,0.0,2017-03-29 20:52:50
建设银行(601939)融资融券信息(09-01),5045,14,532,0.0,2017-09-02 07:59:05
实战炒股口决： 十四工作线，来回做波段；突破,52105,102,753,4.0,2017-03-17 08:15:44
建设银行(601939)融资融券信息(09-14),2169,5,524,0.0,2017-09-15 07:48:25
美国市场的银行股市盈率,104177,127,1943,4.0,2016-10-05 22:22:39
建议想在混改买些股份的民营老板们买点银行股,74544,100,789,4.0,2017-01-10 21:59:28
[世界狂笑]险资定调四季度投资策略 提前“埋伏,3017,6,361,3.0,2017-09-11 09:10:25
现价5.40元交易的是6.31的资产，每年能增加0.92,41823,57,1060,4.0,2016-12-15 14:46:05
抢 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍搖,19785,43,2385,4.5,2017-05-07 18:52:03
哪里能找年收益率超过16.9%的理财产品?,47293,64,1231,4.0,2016-12-31 20:40:39
推荐一篇谈价值投资好文章,12294,16,3764,3.0,2017-08-04 21:08:35
建设银行2017年中期报告,15697,79,150,4.0,2017-08-30 20:20:59
数据游戏；农、建、工、中行更为真实可信！,16476,19,227,1.5,2017-08-02 10:19:00
双环铂--全球顶级抗癌药，中国拥有自主研发产权,10285,17,2614,0.0,2017-06-23 18:46:43
建行未来20年净资产收益率维持15%的资产变化,40088,55,1322,4.0,2017-02-13 22:06:20
低市盈率低市净率高分红个股会越来越稀少,22270,134,148,3.5,2017-07-14 08:48:32
建行重庆分行违规收费、借贷搭售保险等被罚210,5260,10,517,0.0,2017-09-12 16:43:07
建行未来二年的每股收益,17835,14,1188,4.0,2017-05-18 10:03:21
建设银行(601939)融资融券信息(09-06),4199,3,544,0.0,2017-09-07 07:45:38
咯咯咯咯狂笑，三年利润之和超现公司市值。 今,6192,12,556,4.5,2017-06-25 22:28:02
医生说我得了癌症晚期了，得花500万才要给我开,10527,29,223,2.5,2017-09-07 16:44:23
建设银行：张立林就任副行长已获中国银监会批复,6014,11,208,0.0,2017-09-12 20:14:59
建设银行(601939)融资融券信息(09-12),2659,2,530,0.0,2017-09-13 07:49:20
媒体信息都是“迷魂药”，你想再上2007年的当，,5221,8,194,3.0,2017-07-26 13:11:13
建设银行(601939)融资融券信息(07-12),5705,5,538,0.0,2017-07-13 07:48:52
[买入]险资定调四季度投资策略 提前“埋伏”十,3884,20,2753,3.0,2017-09-08 14:33:09
呵呵 大笑大笑 咯咯咯咯，晨鸣三年利润之和超现,18887,52,549,4.5,2017-06-26 21:12:12
[漂亮]公告现重大利好，10股有望突破大涨！,3970,6,1946,3.0,2017-09-09 16:05:23
建设银行(601939)融资融券信息(09-11),2295,4,530,0.0,2017-09-12 07:59:36
仅仅建行就有近40万的散户啊，可以说散户们唯一,7626,11,243,3.5,2017-09-07 11:31:14
[疯狂抄顶四大行，你们或将继续站岗放哨又十年,14262,28,200,2.5,2017-08-09 11:09:35
想买的6.99挂单等吧，我今日不买卖了,4495,14,148,3.5,2017-08-31 09:39:42
[图片],5527,10,118,3.0,2017-07-06 21:32:14
六年大底已由二年前铸成，未来的走势会让你看不,195805,254,242,4.0,2016-06-06 13:44:43
又拉起来了，拉起来我还是只有仅仅800股可以抛,4304,11,182,3.5,2017-09-11 10:23:03
建行每股净资产6.53元，超九年半前的发行价6.45,51103,58,1070,4.0,2017-02-28 20:02:09
宁波港祝贺建设银行,23595,66,144,1.0,2017-06-09 13:31:43
建设银行(601939)融资融券信息(09-08),6818,50,528,0.0,2017-09-09 07:47:14
银监会网站的最新数据,19372,25,608,4.0,2017-01-25 23:04:16
散户必看炒股格言和现金策略！     孙子云：先,46203,88,718,4.0,2017-03-27 10:23:44
银行中的散户资金被割韭菜的原因更多来自于贪婪,5643,25,202,3.5,2017-08-16 11:17:12
在中小创群魔乱舞之时，欢迎砸盘银行,4884,31,144,3.5,2017-08-16 17:52:53
别看空方气势汹汹，欢迎砸盘,5102,29,136,3.5,2017-08-17 14:29:10
假如你想让一家好企业打九折卖给你，行吗?,39659,61,230,4.0,2017-03-25 17:17:59
601939:建设银行关于境内发行优先股获中国银监,19155,9,592,0.0,2017-09-05 18:12:07
新股发行不能停的重要理由：让凯撒归凯撒市场归,10388,21,552,3.0,2017-06-11 13:08:39
新股发行不能停的重要理由：让凯撒归凯撒市场归,8477,16,522,3.0,2017-06-12 12:56:57
韩自国是什么样的经济学家？ 1、2007年8月23日,17462,47,1555,3.0,2017-06-13 19:02:55
建行就是金箍棒为唐僧划出的一道保护圈,10472,16,274,3.5,2016-03-10 16:31:50
建行从4.7元跌到1.7元，你一分钱损失都没有，为,69106,84,215,3.5,2016-02-24 11:01:52
建设银行：境内发行优先股事宜获银监会批复,14491,15,214,0.0,2017-09-05 18:35:42
本不想发的，昨日几个委托也就买入建行成交了，,5262,17,172,3.5,2017-09-05 16:07:51
中国银监会同意建设银行在境内发行不超过6亿股,9339,9,255,0.0,2017-09-05 17:37:41
建设银行获准发行不超过6亿股的境内优先股,10311,9,255,0.0,2017-09-05 17:21:32
建设银行：上半年净利1383亿元 同比增长3.69%,16985,12,267,0.0,2017-08-30 20:40:41
我将继续长期持有建设银行！,14333,26,136,2.0,2017-07-02 10:24:45
建行网络银行呈现迅猛发展态势,6976,6,1071,0.0,2017-09-04 13:38:14
房地调控对银行股的业绩将是巨大的打击，发达城,24861,71,228,4.0,2017-07-29 05:57:54
