1.中国银行:
标题,阅读,评论,字数,影响力,时间
树总会高过草的!,315709,1945,126,3.5,2017-05-21 16:41:46
低价蓝筹行情会持续，高价，创业板还要跌一年，,35648,59,192,4.0,2017-07-26 22:08:35
小摩增持中国银行4740万股每股4.062元,14096,27,210,0.0,2017-09-18 19:54:44
咯咯咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投,15709,27,806,4.5,2017-03-30 22:04:35
建议愿意长期投资的朋友们关注下银行股,42878,56,234,4.0,2017-07-01 16:57:36
建议民营老板们买点银行股,40285,56,233,4.0,2017-05-02 10:44:37
摩通增持中国银行4740万股 每股4.062元,13183,17,215,0.0,2017-09-18 19:13:35
中国银行 爱你一万年,415412,154,315,0.0,2017-06-26 08:09:53
邀请你过来西部矿业601168一起发财！即将公布重,35226,110,196,3.5,2017-06-27 13:25:53
中行河北违法妨碍监督检查 代理人寿新业务暂停,12046,20,869,0.0,2017-07-03 15:20:26
笑哈哈笑哈哈哈。晨鸣涨三倍还低估，4年收益翻,10519,23,1803,4.5,2017-08-16 21:49:29
中国银行(601988)融资融券信息(09-15),5673,19,540,0.0,2017-09-16 07:48:50
大家谈谈对中行的看法,48307,82,158,0.0,2017-07-28 15:51:31
取消六种费，从明天开始金融股暴跌！提早抛！,6430,12,135,3.5,2017-08-01 13:55:07
中国银行：上半年净利1037亿元 同比增11%,24828,11,363,0.0,2017-08-30 20:45:42
中国银行(601988)融资融券信息(09-14),5338,3,544,0.0,2017-09-15 07:48:27
看起来中银涨不动了，3.73卖了。大家说怎么样？,182272,403,158,0.0,2017-02-23 15:16:48
[毛估估]女士们先生们朋友们！战胜内心的恐惧，,7534,14,411,3.5,2017-07-23 18:07:47
嘿嘿 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍,21368,39,2386,4.5,2017-05-07 18:50:15
建设银行，工商银行正创新高，中国银行的操盘手,19658,23,157,3.0,2017-05-12 10:27:22
中国银行安康贷后管理违法不到位,6340,15,271,0.0,2017-09-12 16:49:00
中国银行重庆分行违规发放流动资金贷款、存贷挂,8091,13,471,0.0,2017-09-12 16:53:07
美元贬值是有其完整的战略规划的，不是一时兴起,11071,29,357,3.5,2017-08-04 05:48:30
中国银行与腾讯成立金融科技联合实验室,29459,27,322,0.0,2017-06-22 15:18:53
中国银行(601988)融资融券信息(08-18),10317,35,534,0.0,2017-08-19 08:39:21
向某某赶紧自证清白,8568,70,128,3.0,2017-06-19 22:25:54
↓明天去银行把存款全部取出放家里，金属\美元\,21350,23,160,3.0,2016-10-03 19:36:53
众多金融机构踩雷大连机床 头号债主中行20亿难,49265,10,4227,0.0,2017-08-16 09:10:42
中国银行(601988)融资融券信息(09-08),7638,35,530,0.0,2017-09-09 07:47:10
一笔9200亿美元损失《责任谁付？呜呼中国银行》,13026,13,203,3.5,2017-08-03 13:20:54
中国银行(601988)融资融券信息(09-05),6936,7,546,0.0,2017-09-06 07:59:36
中行在四大行中为何最值得投资？四大行2017半年,16434,22,1679,4.0,2017-08-31 18:29:57
中国银行委任肖立红及汪小亚为非执行董事,7565,15,232,0.0,2017-09-01 22:10:10
中国银行上半年股东应享税后利润增11.45%至1036,24257,21,443,0.0,2017-08-30 17:21:36
陈四清就任中国银行董事长,6631,8,189,0.0,2017-08-30 16:47:41
