标题,帖子数,日期,情感
历史总是惊人的相似！目前看来大盘在复制1999年,30033,2017-06-26,0.9893514555931372
恒大有多牛？股价暴涨近400% 半年盈利相当于2.3,507390,2017-08-29,0.8282405081701761
入市20年走过的 路,52596,2017-03-23,0.7723476124948121
实战炒股口决： 十四工作线，来回做波段；突破,50931,2017-03-24,0.986755970349184
王石宣布退位继任者郁亮哽咽 宝能将解禁的28亿,348505,2017-07-02,0.7174684086878046
总觉得万科该出大消息了！大家等待吧,114422,2017-08-15,0.5319122417668894
郁亮：万科现在也在做混改,16808,2017-08-25,0.14419299511474892
万科董秘：未来要深耕城市群的发展,15944,2017-08-25,0.9980736293835712
万科是一家典型无良企业,8804,2017-08-27,0.20843907431530617
踏不准买卖点怎么办？,19836,2017-07-31,0.0557020851749086
~~保护盈利头寸 该换股操作了,9218,2017-07-13,0.08363055190010582
2017上半年万科半年报：营收同比下降6.7% 物业,10548,2017-08-28,0.07965073180587234
猜猜万科2017半年报～,147062,2017-08-12,0.7015261195762206
万科A:关于举行2017年半年度业绩网上投资者交流,20994,2017-08-24,0.984396626319767
万科A:第九届监事会第二次会议决议公告,17696,2017-08-24,0.08253475003299815
万科A:第十八届董事会第二次会议决议公告,22618,2017-08-24,0.2646183676480728
23块上下，充分成交。,3804,2017-09-01,0.17689768581871024
万科A:2017年半年度报告摘要,38536,2017-08-24,0.8853574952090862
万科A:2017年半年度报告,28321,2017-08-24,0.7408878255313237
[赚大牛了]保险资金二季度暴力抢筹建仓上海银行,1946,2017-08-28,0.8941332038257656
[微笑]老妖地雷一响，32万多头散猪万科必倾家荡,3337,2017-07-26,0.9945886463385434
[拜神]保监会：决不能使保险资金成为大股东投资,5060,2017-08-16,0.9700118224223219
特色数据点评：2017-08-25 万科A2017年半年报,8379,2017-08-16,0.6907160239653639
[鼓掌]老妖地雷一响，32万多头散猪万科必倾家荡,3439,2017-07-26,0.9947015697367556
[胜利]：珍爱生命，远离毒品，远离万科A!,5029,2017-08-16,0.9934247461743744
高位急拉升是大跌前诱多！出货是一价格区域并不,10586,2015-11-18,0.3716835789043048
[拜神]银行中报集体报喜 “国家队股东”再度买,5358,2017-08-17,0.7697103306103508
[爱心]天堂有路你不走，地狱无门谁让你硬闯？,8603,2017-02-03,0.9039732892063619
[鼓掌]呵呵，割肉滚蛋或将是你唯一的选择！,8392,2017-02-03,0.8745080276700036
[满仓抄底]亚洲金融中心皇冠上最耀眼的那颗明珠,11791,2016-12-27,0.945469019945204
[赚大了][逃万科A历史大顶,抄上海银行历史大底],9382,2017-01-17,0.8027410426304028
[拜神]投资者保护重如泰山 严管才是真保护,7441,2016-12-21,0.9370943098250537
[赚大了]601229:上海银行上市首次放量站上5周线,3804,2017-01-20,0.17474468382877972
揭穿价值投资的鬼话，如果真要价值投资，招商银,46119,2017-06-28,0.9997151511106501
[赚大了]上海银行上市首次5周线金叉10周线，上,3511,2017-02-13,0.06215937556652529
[护城河]：推进依法、全面、从严监管 推动资本,3535,2017-08-26,0.9998438700122169
[摊手]远离毒品，远离万科A![大笑],14146,2016-12-06,0.9552538310726717
特色数据：决不能使保险资金成为大股东投资控股,5888,2017-08-16,0.9757828190431607
[献花]保监会：决不能使保险资金成为大股东投资,6321,2017-08-16,0.8988769743520464
[牛]证金公司一季度猛抛白马股 银行股整体增持,7597,2017-05-09,0.8230168659108376
[想一下]宝能系资管计划面临平仓预警？[大笑],7925,2017-05-12,0.660201786038331
[成交胜利][抄上海银行历史大底逃万科A历史大顶,9940,2017-01-18,0.8939636150997722
[微笑]珍爱生命，远离毒品，远离万科A!,2103,2017-08-22,0.9955254136852014
[不说了]保监会：决不能使保险资金成为大股东投,5324,2017-08-16,0.2828788050247729
2017年4月6日温馨提示：今天是放假后的第二天沪,62504,2017-04-06,0.15550279391461508
2017年西安黑鲸祝大家在新的一年大吉大利：全家,82757,2017-01-03,0.9898435385764164
中国A股谈投资价值就是个笑话！,26023,2017-07-03,0.8580031624998717
[2016年12月20日]历史大底已现，暴力满仓上海银,1022221,2016-12-20,0.8101675525374831
问王石老前辈，能彻底离开万科吗？还是换汤不换,13162,2017-06-29,0.4044381306534246
牛刀，财经评论员、财经专栏作家。代表作品:,1187725,2017-01-06,0.9855295376630232
看了前7月的销售数据，万科市盈率才2倍啊,24020,2017-08-06,0.11740857516163294
万科A:第十八届董事会独立董事关于第十八届董事,11073,2017-08-24,0.730708227507826
万科A:第十八届董事会独立董事关于第十八届董事,11069,2017-08-24,0.730708227507826
[爱心红烧肉提示]：珍爱生命，远离毒品，远离万,4147,2017-08-30,0.9954273334788156
恒大亏损七十亿交易万科股权究竟为什么？,19275,2017-06-11,0.7425438261869926
