标题,帖子数,日期,情感
应收账款快速上升 三聚环保屡靠募资“补血”,36094,2017-08-29,0.33360915184887774
20元卖出飞天，准备加仓三聚！,4070,2017-08-16,0.012434978331993474
前复权7.453元/股定增的三猪环保，越减持越涨，,41020,2017-04-23,0.8990100270656601
三聚环保合理估值,13084,2017-08-31,0.4573949619897111
实战炒股口决： 十四工作线，来回做波段；突破,44459,2017-05-28,0.986755970349184
下周三前后长阳启动。 股价自55元下跌以来，形,611493,2017-03-01,0.5941072565018252
加仓了。,17215,2017-08-11,0.2964260140101529
公司什么时候倒闭？,15062,2017-08-27,0.5526436483807945
狂笑 狂笑  瞎子也狂笑 业绩翻倍 股0.99今年三,12046,2017-05-28,0.23025245046620457
狂笑 瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,12621,2017-05-28,0.20940363332354495
故地重游，众大湿贴全不见踪影了! 那些天天唱基,14208,2017-07-31,0.15749236975154046
王亚伟坚守三聚环保 旗下私募重仓股集中曝光,91201,2017-08-30,0.9973985897160269
三聚环保股价又来到50元，多空辩论甚是激烈，对,24470,2016-11-27,0.04537883117847541
三聚环保(300072)融资融券信息(08-22),6931,2017-08-23,0.7949402359958635
三聚环保(300072)融资融券信息(08-28),5911,2017-08-29,0.7949402359958635
三聚环保进军生态农业 加快布局生物质综合利用,26481,2017-08-27,0.8946937273857299
聚焦社会痛点：三聚环保将秸秆变废为宝,20693,2017-08-28,0.6727520701915717
[满仓兴奋]漂亮50中国股市的心脏；沪深300中国,4838,2017-07-17,0.9999360595822689
理性看待三聚环保上半年度业绩增速     三聚环,30969,2017-07-16,0.9964151351220538
给刘雷董事长林科总经理的一封信,23561,2017-08-24,0.24356233583177211
中报速递：三聚环保2017年上半年盈利12.13亿元,44366,2017-08-25,0.2795897959990711
三聚净利润增长100％，60倍市盈率80元才合理,19536,2016-09-15,0.485348500446951
三聚环保:2017年半年度报告摘要,50366,2017-08-25,0.7146527560385834
三聚环保近几个月走势很弱，原于“71多亿应收款,23998,2017-08-02,0.6116992919306884
三聚环保:关于“农作物秸秆炭化还田-土壤改良技,39030,2017-08-21,0.7702423844317495
三聚环保——伟大公司在成长,439212,2016-08-27,0.9692541529580146
三聚环保:农作物秸秆炭化还田-土壤改良产业化技,28586,2017-08-21,0.7511308803200173
读懂此文，云散天清！,30330,2017-07-11,0.9565964106088564
三聚环保:关于公司认购北京华石联合能源科技发,45204,2017-08-16,0.053293302558028666
三聚环保：拟1.6亿元控股合作伙伴北京华石 加速,38314,2017-08-16,0.047473707792713316
三聚悬浮床加氢装置盈利模式的重大变化。在8月7,24768,2017-08-11,0.5390566489195979
呵呵：浪迹天涯124、股友重庆人等等！,12797,2017-08-09,0.772219955883911
悄悄潜回来做一波反弹,14531,2017-08-03,0.9756445794897746
上半年投资收益与最新投资组合,29366,2017-06-30,0.9965561055355368
不到28坚决不进,7165,2017-08-07,0.08099417412915477
请大家迅速打电话问王亚偉是否已退出。如退出曹,21238,2017-08-06,0.32700022569776344
三聚环保:2017年8月7日调研活动附件之演示文稿(,22196,2017-08-09,0.20395590297975486
三聚环保:2017年8月7日投资者关系活动记录表,35931,2017-08-09,0.8334075217473235
收盘可能要8⃣！头部形态清晰了,17547,2017-04-11,0.7542732466743715
朋友们啊，我相信股是好股，公司是优秀的公司，,12182,2017-08-08,0.49816444251511915
三聚环保(300072)融资融券信息(08-07),8086,2017-08-08,0.7949402359958635
三聚环保的利润是报表利润，没有真实的现金流，,19710,2017-06-03,0.03087895260546869
应收账款多代表三聚技术没有竞争优势,7735,2017-07-16,0.33578098927180167
三聚环保的融资盘有崩溃风险吗？生物质油的题材,25949,2017-07-31,0.5365509236868895
生物质油的理解和应用,8745,2017-08-05,0.5683076660189725
向全体拿三聚环保股的股民们呼吁：实践证明三家,12139,2017-08-04,0.3506751630166747
三聚环保:关于签署战略合作协议的公告,58290,2017-08-03,0.20592595148761683
中报预增50% ，核心高管拟增持3.5亿元，悬浮床,82806,2017-07-18,0.5060582867430587
无题.无语对三聚,8607,2017-08-03,0.48341048717763546
找看空者对赌,6300,2017-08-04,0.8184134617892059
三聚环保 底部掘金机会来临！！,42306,2017-05-31,0.7651246036497967
三聚今天高开高走！开启拉升模式！,4505,2017-08-04,0.5215699890688413
记住，三聚环保是创业板唯一的9倍市盈率股票,16305,2017-07-28,0.3695637716604636
三聚环保：预计今年生物质分布式悬浮床签订30套,27436,2017-07-19,0.019700499490873935
说高管不增持的，你先好好学习交易规则！,10350,2017-08-02,0.5380260425286749
【投资者传闻求证】　三聚环保是乐视第二？,26274,2017-08-02,0.8436892817249558
三聚还欠一个跌停,6229,2017-07-11,0.11289833713099318
关于“三聚环保”的中长线观点： 早在今年4月26,14945,2017-05-26,0.17525211673330643
月K线！月K线！,11541,2017-07-28,0.29130211678848805
三聚环保(SZ300072) 面对最近股价的大幅调整，,11050,2017-08-02,0.9628279758596918
雅怡哉和合肥老农二个死多头怎么不说话了，跌傻,7106,2017-07-16,0.5273645447879416
故事大王第二。,5845,2017-08-02,0.6206761034345201
止损，控制风险吧。,12610,2017-05-31,0.6383771662036857
这里的什么老师 害了多少投资人,10618,2017-07-17,0.9342277622484624
断头铡刀,7644,2017-08-01,0.459143266900511
证监会通报操纵股价四种方式：关联账户，自买自,18630,2016-09-26,0.9372710066314004
雅怡斋你好么，希望见到你的解说！,13834,2017-07-26,0.9865732732077712
三聚环保:关于签署重大经营合同的公告(更新后),48858,2017-06-19,0.01820098036493678
证金公司大举抄底创业板，国家维稳组合拳，三聚,13191,2017-07-27,0.9370647587509163
三聚环保：重质原油开采率低导致悬浮床推广不及,50127,2017-07-31,0.08092701272631375
我割肉了 主力你可以开始拉了,6692,2017-07-31,0.45691121111152144
悬浮第一单将打开三聚估值新空间！,41450,2017-06-13,0.5419566020260564
三聚“闪崩”一旦跌破30元大关,7587,2017-07-31,0.011305124889333884
证监会通报操纵股价四种方式：关联账户，自买自,34213,2016-09-26,0.9372710066314004
转自今日头条 三聚环保的资本玩法：借道化工基,13097,2017-07-26,0.9572563299710145
三聚：新技术、新能源、新空间！,30248,2017-06-24,0.38464909560776794
三聚环保(300072)高管及相关人员持股变动信息(7,52059,2017-07-25,0.052737683326872675
亨通大涨与三聚大跌比较,13333,2017-07-24,0.3051855099420484
坚守三聚环保100年不动摇！,8681,2017-07-28,0.9518425362023951
关于开展“打托”运动的倡议,8055,2017-06-17,0.447678458509865
三聚环保(300072)融资融券信息(07-25),9483,2017-07-26,0.7949402359958635
今天企稳，明天开始反攻，40元见,6327,2017-07-27,0.14329526096060596
小心三聚融资盘松动 将再次“闪崩”,12283,2017-07-25,0.014561889751523172
三聚环保早知道,10483,2017-06-26,0.4798401049541524
（转）三聚环保的绿色能源技术科普贴 如果对三,22699,2017-07-25,0.5569531860839754
不好意思，上次预估错了,3506,2017-07-14,0.15239757084730177
请吧里盲目唱多的人出来说说道理,18078,2017-07-14,0.8853559575667226
三聚环保的应收账款是否可以定性为优质债权？,16712,2017-07-16,0.3365032193112769
17年中期净利润预告使三聚环保成为明牌,38258,2017-07-15,0.8369884937989881
三聚环保(300072)融资融券信息(07-17),7163,2017-07-18,0.7949402359958635
三聚环保创新技术亮相北京国际环保展,15981,2017-06-19,0.7275264791429599
三聚环保今天涨停无悬念，踏空或被洗的开盘快抢,3769,2017-07-17,0.2930891347321243
基金抱团炒个股是中国式庞氏骗局，隐患危害大07,36514,2016-07-22,0.9452300662770076
三聚下跌的本质,8575,2017-07-22,0.9000599150490161
三聚环保:关于公司部分股东承诺不减持公司股份,49685,2017-07-17,0.21046945467764389
持股不动，就等主力来抬轿，尽享三聚主力抬轿乐,5452,2017-07-24,0.0006264666204844893
$三聚环保(SZ300072)$ 自从上次6.28去公司参加,9352,2017-07-25,0.5296834440865091
下跌的三聚，蒙灰的璞玉！,19016,2017-07-21,0.9169239912871652
三聚环保三化，秸一炭一肥还田，全国首例，。悬,14966,2017-06-13,0.6255464984291429
牵手巨涛海洋 三聚环保再添新翼(转载）,13897,2017-06-21,0.9719891499632412
三聚环保近年高速成长理所应当 预期早已兑现,35357,2017-06-01,0.971523400340016
三聚环保与辽宁省喀左县签署战略合作协议（转）,10270,2017-06-24,0.014609831401788287
关于三聚的现金流和应收账款，作为基建行业的财,14200,2017-07-15,0.20265929217360001
刚过完20岁生日的三聚环保又有大手笔,12661,2017-07-11,0.5822832557255306
三聚环保的新技术,17449,2017-06-07,0.5374806318383583
三聚环保总裁：上市以来没有减持 未来三年也不,68662,2017-07-16,0.8214259151843517
是不是假账 问题账 懂财务的可以解释一下吗,11404,2017-07-24,0.012177969224734353
三聚环保的大股东海淀国资委有编假合同做假利润,15256,2017-07-17,0.07071740452248476
阅读 经济观察报 《复盘乐视：神话是如何破灭的,13104,2017-07-23,0.9947500536307086
已经用最悲观的预期来持股,14897,2017-07-24,0.32293700248513024
三聚环保强势洗盘即将结束！,5527,2017-07-24,0.6844018841187434
机构抛8亿元三聚环保 分析人士称王亚伟大概率仍,56640,2017-07-19,0.9613487663441063
特大利好:国开行注资充分证明小三的技术是可靠,18766,2017-07-19,0.7639291898011479
三聚环保(300072)高管持股变动信息(7-20),45135,2017-07-21,0.16117161009099445
三聚环保：54名高管拟增持股票不低于3.5亿元,34373,2017-07-17,0.05659103733093096
三聚环保(300072)高管及相关人员持股变动信息(7,48529,2017-07-18,0.052737683326872675
三聚环保(300072)高管持股变动信息(7-19),38880,2017-07-20,0.16117161009099445
三聚环保科技创新驱动产业升级,21163,2017-05-30,0.8738926330786583
三聚环保将是未来5年中国最为优秀的上市公司，,21864,2017-06-25,0.9949601716135819
三聚环保布局海外市场，践行国家“一带一路”战,23441,2017-06-07,0.9788588958178497
三聚环保：悬浮床技术加速推广 第二个大订单落,10523,2017-06-23,0.5850512815112421
新能源汽车，怎么没有三聚？,9067,2017-07-10,0.11525180832272508
三聚碳基复合肥取代化肥之路已经起步，覆盖中国,17290,2017-06-16,0.9626247560738748
三聚环保面对这次媒体风波，没有停牌，这说明有,13074,2017-06-20,0.9480168584913142
跌多了就买，这就是我的态度！,8299,2017-07-07,0.15419808237639165
昨天三聚环保一根带量的阴线杀出，可能又要改变,16458,2017-07-11,0.9200126630679086
浪迹天涯124悲惨一生音像资料开始发行,8231,2017-06-27,0.9866931928755726
再次回来说两句,9125,2017-06-13,0.20295282506152335
三聚环保：上半年业绩预增超5成 经营情况稳定,69616,2017-07-14,0.5952925870024942
墙头草肯定是失败者,5073,2017-06-06,0.9473134369703344
低价定增巨额套现的三聚环保，我希望鸡精继续讲,46742,2017-04-11,0.8871234496494902
三聚环保54名高管拟增持公司股票不低于3.5亿元,34064,2017-07-17,0.047076690401076204
鼠目寸光的人在三聚上挣不到钱的。也许你是曾经,21876,2017-06-24,0.16007321727869928
三聚环保回应70多亿应收账款：没有出现业主违约,39201,2017-07-19,0.3260456799583622
