标题,帖子数,日期,情感
[深度揭发]MSCI Inc.来了，漂亮50必将是永远中,9559,2017-06-22,0.9898933307019596
三角轮胎9/28日出东方 纯技术帖～不喜勿进！ 三,2786489,2016-09-28,0.23862661127049378
9月9号大家注意大批一元成本小非解禁,15236,2017-08-28,0.012823933522514208
三角轮胎等待基本面的改变,16164,2017-08-19,0.9252855890973286
·若不撇开总是苦，各能捺住即成名·,12651,2017-08-06,0.5685689580823642
601163:三角轮胎关于使用自有资金进行现金管理,22890,2017-08-31,0.7558544555438343
601163:三角轮胎关于使用暂时闲置募集资金进行,17386,2017-08-31,0.46865821173277855
江苏银行0.98元业绩次新股股价不到10块仅此1家,59426,2017-03-16,0.04997406222880718
北狗……何必呢！！！！,16827,2017-08-08,0.4744500505748962
北狗变态升级了，这衰神保证，绝对，食屎都用上,6261,2017-08-19,0.8646958184006583
威武不能屈,6707,2017-08-20,0.19185025305106962
此垃圾的走势和以前的中石油一样一样，你懂的，,4872,2017-08-28,0.03311892503193237
坚定的买下去，离正确越来越近,195404,2017-01-13,0.8940824127360291
三角大小非自愿锁定与减持的承诺及约束措施,41520,2017-06-20,0.8736146254048799
抄底成功附图,8515,2017-08-28,0.6560751417258955
601163:三角轮胎2017年半年度报告摘要,39859,2017-08-24,0.7166677956103105
中报速递：三角轮胎2017年上半年盈利2.72亿元，,47843,2017-08-24,0.3033137756620329
来预测一下半年报,13972,2017-08-17,0.8581968335895201
此垃圾在七月底前不破发北哥从此删号，见证，嗬,17168,2017-06-20,0.8644404785053569
今天收盘三角轮胎红色B点转强买入信号成立,13099,2017-08-17,0.6670953842093307
601163:三角轮胎关于公司收到第四笔土地补偿款,44125,2017-08-07,0.5156792242102841
三角轮胎：再收到3.15亿土地补偿款 已累计收到1,53615,2017-08-07,0.1277813437610854
中报肯定，绝对，北哥保证大亏特亏，嗬嗬嗬,10758,2017-08-18,0.5834801087147687
北哥说了此垃圾只要大盘稍调一下就会领跌滴，大,2379,2017-08-22,0.08942723108181927
此垃圾不破发北哥天天吃翔，见证，[大笑][大笑],50622,2017-05-25,0.5581613958205361
601163:三角轮胎关于参加山东辖区上市公司2017,34542,2017-08-18,0.874785512647198
持有三角中了第二只新股,7391,2017-08-03,0.503465951706487
我依然坚守，战友们还在吗？,7858,2016-09-20,0.9898204722459
谁买三角轮胎的股票就会倾家荡产，谁用三角轮胎,6010,2017-06-27,0.7156458806433353
601163:三角轮胎关于美国国际贸易委员会就进口,86497,2017-02-23,0.9784155787393131
到现在你多看不出此垃圾弱得不要再弱了吧，游狗,4223,2017-08-14,0.1353970135431637
