标题,帖子数,日期,情感
东旭光电下周十一亿股限售股解禁压力已经显现，,39346,2017-08-25,0.42501581383828146
增资收购目的猜想： 一、锂电池生产优质公司； ,743906,2017-02-07,0.9903798756821935
泛起陈旧的鼓吹围猎散户陷囹圄 虚幻梦中的金山,10584,2017-08-29,0.118785475017685
下周三买点。,66246,2017-07-15,0.5576042581707906
哈工大研究出真正的石墨烯电池《东旭光电》彻底,15979,2017-09-01,0.3851644672214517
加水就能走500公里的汽车诞生，东旭光电完了！,28555,2017-08-30,0.30465953088582587
转载《东旭光电机构今天护盘但明天必定跌停》韭,40954,2017-08-25,0.06897081650969261
东旭什么时候复牌啊？近日千万别复牌了,48664,2017-08-23,0.08543660266508335
6.82元/股定增的己解禁，6.29元/股定增的8月份,90740,2017-03-29,0.9225852093852495
~~002201九鼎新材 大股东低位增持随时拉升,8783,2017-07-21,0.2707181757177277
石墨烯技术属于长期的产业化布局，在投资收益的,13990,2017-06-13,0.9314016844776666
哪个王八说解禁新规？？？,5241,2017-08-02,0.9265386539888653
今天烯王二代终于到货了，试用了下，的确比一代,23981,2017-08-29,0.8484938601863959
2浪回调W底，马上3浪主升，懂的满仓干它。,27496,2017-08-16,0.004745665327840376
东旭光电:关于中国证监会并购重组审核委员会审,106593,2017-08-31,0.049931794797048124
在低位的MSCI个股,31108,2017-06-26,0.21270991843231346
东旭光电:中天国富证券有限公司关于公司发行股,47772,2017-08-31,0.0014112863611017712
东旭光电的股本扩张速度大于利润增长速度，这是,19998,2017-08-30,0.9762426090704512
东旭光电的新能源野心：石墨烯+电池+汽车，全产,48433,2017-08-30,0.048582160935930374
东旭光电:2017年第六次临时股东大会决议公告,113752,2017-08-28,0.23372491659891825
东旭光电继16年预选本人操作10大金股后17年7.18,29765,2017-07-19,0.03366822151757698
耐得住，拿的住，抓得牢,11909,2017-08-25,0.3128106908465066
庄托 A净水一方慌了神 等机构出完货该股就ST,7663,2017-08-30,0.32506179434377425
