标题,帖子数,日期,情感
大胆预测，国安本轮炒作至少35元！,1023681,2017-05-11,0.18929968909485573
安静地潜伏国安,9688,2017-09-02,0.9266319805529362
不用千言和万语！,902037,2017-08-06,0.5319286882899026
今天的国安你爱理不理，以后的国安你高攀不起！,1066953,2017-04-04,0.21574690595971135
吹NB专贴,59410,2017-08-26,0.09355818792622617
【投资者传闻求证】中信国安董事长任中广移动总,51165,2017-09-01,0.999924312063148
无论哪种上市方式国安都是受益者，所以配置一部,18967,2017-09-01,0.9825352536669353
再次返回中信国安,27510,2017-08-23,0.9421322746365731
中信国安参与奇虎360项目除财务投资外，更多的,135225,2017-07-29,0.9962311950737206
周一涨停！捂好筹码！,30895,2017-09-01,0.3274451172864613
拜一拜~[献花][献花]会中签~[献花][献花]没中过,122133,2017-07-08,0.3284708507497974
轻轻的我走了！,8815,2017-08-24,0.667867084608834
中信国安本周资金流入5.65亿，在整个A股排名第,19429,2017-09-02,0.994784353505879
闲着没事聊两句,246338,2017-03-12,0.5005388790525468
中广移动,69894,2017-08-16,0.8827658384722369
很谨慎的预测国安股价~[想一下][想一下][献花][,83235,2017-07-26,0.9888548772307435
中信国安，超级无敌主力驻守，只等360发行上市,36394,2017-08-29,0.988885353232984
感谢5元八辈祖宗，从9元唱到10元以上，不离不弃,8880,2017-08-31,0.54497952467816
三六零第二期辅导报告随时会出炉，有图有真相。,34520,2017-09-01,0.9684921869829238
孤峰顶与十字街头。,43110,2017-08-14,0.49666384027071087
中信国安日、周、月KD形成了共振。这往往是中长,119276,2017-08-17,0.17005439110312837
空狗的伎俩有哪些？防狗防盗防龟孙！！！,44362,2017-08-08,0.12387079624409247
今天收盘10.88,34462,2017-09-01,0.6429335818357281
不要以人民的名义为利益集团而服务！上市公司应,111049,2017-04-15,0.6419168026359531
站的高！看的远！839 让你刮目相看！,157964,2017-08-03,0.8169992208799836
实战炒股口决：,45544,2017-06-10,0.553404283579714
是不是预测不准确？呵呵，对此我压根不在乎。继,28383,2017-08-31,0.8201089596070439
曙光在眼前,8-10周的上升阶段即将到来!,191545,2017-06-27,0.9932930604624676
再说360借壳。 我终于想明白了，360不会以借壳,94871,2016-07-22,0.065675627749469
董秘回复的这么快。。什么意思，自己理解。,24275,2017-08-31,0.3567845844445955
弱弱的问一句。明天能上11吗？,21890,2017-08-31,0.05741597029871981
中信国安距离360的消息应该不远了。,116281,2017-07-19,0.8408336207636321
看来一定是360有消息了，死也不下车了。,21013,2017-08-31,0.10885242789280514
中信国安(000839)融资融券信息(08-30),15882,2017-08-31,0.9938887117817832
对一些讨厌我的人说：“不好意思，我又想开始长,24817,2017-08-30,0.45921987630760586
下午能涨停的话，我的胸，随便你摸,13764,2017-08-31,0.585904364793292
暂时的下跌没什么，眼光长远一点，关于国安说几,10798,2017-08-24,0.6934892559959752
先到9块7，再到10块2，长线肯定12上方飞舞了。,94290,2017-07-27,0.0007798968403135431
目前唱空国安的，你们是弱智么,13271,2017-08-29,0.24731458008263607
盘前预测 大盘收平，国安上涨         炒股纯属,24899,2017-07-23,0.07530430884065997
联通特例横空出世，奇虎上市板上钉钉。国安千亿,72890,2017-08-20,0.031917879060631815
来，说句真实感悟。 万众瞩目的联通混改，开盘,28500,2017-08-26,0.956002288937618
从360自身发展考虑，IPO最有利,18923,2017-08-29,0.7936010125782991
过一天少一天，慢慢地走近360，然后就连续涨停,11684,2017-08-30,0.9752981909412599
不惧风吹雨打，只怕突然停牌，宁可高买一毛，也,13349,2017-08-30,0.7549253150061449
唱空的人才是真正的多头，都是最看好中信国安参,18439,2017-08-08,0.9641407940854851
拜托各位眼不瞎的看看筹码，前期的套牢盘已经都,20292,2017-08-25,0.9322121896219121
3月23日，360开始接受上市辅导，这说明360上市,39009,2017-08-29,0.25379375001892635
中信国安(000839)高管相关人员持股变动信息(8-2,95491,2017-08-29,0.9033113044706456
中信国安(000839)融资融券信息(08-29),13345,2017-08-30,0.9938887117817832
中报速递：中信国安2017年上半年盈利2.41亿元，,65077,2017-08-29,0.9421344033234382
实战炒股口决： 十四工作线，来回做波段；突破,57066,2017-05-16,0.986755970349184
入场收尸:地产称霸南京，医美雄冠亚洲,6382,2017-08-15,0.2613908113232535
再次向兵学习，向你学习。,7947,2017-08-25,0.9565306006384431
红衣的梦想——国安360！,20727,2017-08-29,0.9728761034709299
有一种奇怪的感觉，有大事情,25930,2017-08-17,0.5884273502718355
有跌就必有涨！,53296,2017-07-25,0.8112607798628892
每天拜拜财神爷爷，保佑股票天天涨！,6085,2017-03-25,0.9979450032834799
国安投资360(4亿美金)占有4·46%股份[献花]~360,23898,2017-07-19,0.9450776374905884
360上市很遥远，又拒绝借壳，国安半年报亏损。,12677,2017-08-25,0.052143211090146746
香港中央结算有限公司入住国安,14689,2017-08-29,0.021426826302990754
最新准确消息；360无望上市，公司半年报严重亏,7074,2017-08-24,0.5224074680926808
中信国安半年报严重亏损，机构和主力一直出逃。,9408,2017-08-24,0.49846025003873196
360三年内是否能上市值得怀疑，360根本不可谱。,7663,2017-08-09,0.12484468227922196
傻逼货都把我国安五元当托，那你们等着亏损吧。,9398,2017-08-26,0.6664033538112539
中信国安很可能退出四亿美元财务投资了。,10476,2017-08-24,0.9809848358351886
我是国安五元，我来了，国安最终要让散户彻底失,8812,2017-08-22,0.401077201282388
中信国安前景有大利空，机构出逃，还要长期阴跌,4858,2017-08-25,0.5782056382392734
目前股价充分证明；半年报严重亏损，同比大幅下,4479,2017-08-28,0.08735021323791325
中信国安半年报严重亏损，可能撤出四亿元投资了,7696,2017-08-24,0.7927331783234705
相信360已经泡汤的在卖出，只有傻逼在买进。,5891,2017-08-17,0.3211958949273752
最新，最新，最新消息；中信国安半年报严重亏损,4370,2017-08-24,0.3429291090402624
目前股价真实、充分、证明公司半年报严重亏损。,4425,2017-08-28,0.6533448362713788
中信国安明年最终绝对要跌到五元不变。,5113,2017-08-15,0.9828332054861201
我说中信国安绝对要跌到五元很真实，只是迟早了,7780,2017-08-24,0.9260821315125094
还是真实判断；360无期限搁置了，机构不看好。,6538,2017-08-14,0.3915205739609696
360真的还在等待昆明机床吗？,10172,2017-08-29,0.635899499503663
360内部人士曝IPO时间:9月登陆,大概率下半年完,20275,2017-08-29,0.1759469302287876
中信国安，春天的故事，就要开始了。,39846,2017-04-08,0.9993044713115482
国安何时50，我何时嫁人[鼓掌][大笑][大笑],128095,2016-09-04,0.6026695027172281
亏得不敢看账户，点个赞[不屑][好困惑][傲],25964,2016-09-06,0.9960178800330297
再等几天，就搞定你。,36761,2017-04-12,0.22244578188855912
今天起开始长线建仓中信国安，我们一年后来看结,49459,2016-11-24,0.8747707396713676
感谢唱空，感谢唱多！,19029,2016-12-26,0.990405823519137
360至少三年以后上市，中信国安半年报连续亏损,6502,2017-08-25,0.7224485257946881
颁奖词:颁给国安2016年秋冬风云人物，最美的空,17441,2016-11-30,0.9408613474397104
念远心如烧，不觉中夜起，桃花带露泛，立在明月,9693,2016-12-04,0.9877503024592384
中信国安:收购资产暨关联交易进展公告,173448,2016-09-30,0.9991068090658901
中信国安:收购资产暨关联交易进展公告,178971,2016-09-08,0.9991068090658901
中信国安:关于召开2017年第一次临时股东大会的,50380,2017-01-06,0.9882222817924469
中信国安(000839)融资融券信息(11-15),13141,2016-11-16,0.9938887117817832
中信国安(000839)融资融券信息(11-01),10735,2016-11-02,0.9938887117817832
中信国安:2016年第三季度报告全文,95520,2016-10-27,0.996002160880028
中信国安(000839)融资融券信息(11-24),11896,2016-11-25,0.9938887117817832
中信国安(000839)融资融券信息(12-12),10815,2016-12-13,0.9938887117817832
中信国安:2016年第三季度报告正文,72931,2016-10-27,0.9841981631249913
中信国安:对外投资进展公告,302311,2016-08-15,0.9936282058065365
中信国安今日超大单流出排名第3名(11-09),29037,2016-11-09,0.9452296933503752
中信国安:2017年半年度报告,83330,2017-08-28,0.9749381531014044
中信国安:2017年半年度报告摘要,156237,2017-08-28,0.9905721264930982
中信国安8月29日盘中涨幅达5%,26642,2017-08-29,0.49236114827733024
周鸿祎潜水了一年，前几天才出来跟全国的网民见,35161,2017-07-29,0.06824517885054959
一路下滑搅愁眠，众望趋势雾满天。 十二何时雪,8532,2016-12-04,0.9968308841035671
如果8是底的话 中期趋势 保守30  极端52  这只,10497,2017-06-30,0.9424155020380831
天下攘攘皆为利往，天下熙熙皆为利来，机构云集,8491,2017-08-28,0.294802128444984
中信国安(000839)融资融券信息(12-15),10765,2016-12-16,0.9938887117817832
中信国安很可能退出四亿美元投资了。,5244,2017-08-24,0.9809786241273974
半年报严重亏损，大户资金还在出逃，,5082,2017-08-28,0.7270603219649481
千万不要看现在涨了一点，最终要跌回原点八元下,8087,2017-08-15,0.04049532372872966
我再次说；中信国安半年报特大亏损，明天还要大,13403,2017-08-28,0.015034799889445782
不忘初心，擦干眼泪继续前行！,8944,2017-08-22,0.27079474393736536
最新最新真实消息；中信国安半年报严重亏损。,5775,2017-08-24,0.7644550232015911
中信国安半年报严重亏损，可能撤出四亿美元投资,7249,2017-08-24,0.8676182758520972
重磅！国安暴跌的真相！！！,25638,2017-07-25,0.7134216377722781
中信国安，目标63.18，进发。,55986,2017-06-11,0.9652686061010946
今天收阴，晚上公布亏损年报，明天底开5个点出,7396,2017-08-28,0.0008264838611251601
充分证明；半年报严重亏损，同比大幅下滑，360,8139,2017-08-28,0.08602091200389272
大家别慌也别挤！让领导先走！,7315,2017-08-28,0.028159999034304994
