标题,帖子数,日期,情感
不涨停，涨不停！中兴通讯一直在努力，一直在前,9919,2017-07-20,0.22623032339320925
快JB停发新股。,33227,2017-07-14,0.3806924875536247
中兴游资基本已兑现，今后稳健慢牛,51615,2017-07-19,0.13564197251592514
我看好这次中兴能过24.52，谁赞成？谁反对？说,26220,2017-08-30,0.10480163293120226
实战炒股口决： 十四工作线，来回做波段；突破,87719,2017-03-16,0.986755970349184
2017年电信集采MSE集采公示 中兴通讯综合排名第,12017,2017-09-01,0.015764544087166876
仙人指路，近日必涨！！,352733,2017-05-15,0.9395186089702833
主线板块爽！,7768,2017-08-22,0.9302984572210963
聘任美国商务部前高官，完善美国市场合规及销售,30899,2017-09-01,0.8280371664360455
揭穿价值投资的鬼话，如果真要价值投资，招商银,51613,2017-06-27,0.9997151511106501
Jmaie：你蛮搞笑，自己看不懂盘面却自以为是。7,17453,2017-07-27,0.182943691304568
中兴今日走势分析：今天破头部颈线位，后市不容,17752,2017-08-14,0.5773746397546421
中兴通讯开启翻番之旅?通讯科技龙头可达30倍市,148167,2017-05-24,0.00569635240423616
我们的系统（操作模式）可以预测一年以后的强势,11579,2017-07-27,0.7829117755113054
清平乐 清平乐 中兴 心定志坚， 抬头望青天， ,100331,2017-03-24,0.39570631646929755
中兴会不会是7月27的青岛海尔？H股中兴的理论目,14806,2017-08-11,0.024050004015271353
笑笑笑笑。晨鸣涨三倍还低估，4年收益翻倍，利,9292,2017-08-16,0.9999401812025859
任正非的日本梦被中兴实现，优秀品质获日本市场,24116,2017-08-19,0.9995425938955725
中兴--全球顶级抗癌药，中国拥有自主研发产权,13979,2017-08-02,0.9997878165850281
2017上半年，中兴通讯是表现最好的设备商，没有,22539,2017-08-25,0.6507563399403633
天啊，在国外还有5起官司在打。都要罚款就完了,15789,2017-08-24,0.097750922870535
咯咯咯咯 狂笑 翻倍股 晨鸣季报隐藏业绩核弹！,17041,2017-06-12,0.9989601105626001
5G丶万物互联时代领跑者,9818,2017-08-17,0.9723720026598164
涉嫌挪用资金 中兴通讯原工会主席何雪梅等四人,32481,2017-08-24,0.4457218387532893
规模稳步提升，业绩大幅向好,33781,2017-08-28,0.7247632742926641
~~送给大家一个翻倍的大牛股,11949,2017-03-16,0.4645298893433488
