标题,帖子数,日期,情感
看了一天。今天大跌，完全是平安罪魁祸首,16776,2017-08-10,0.09950170200196351
7月的任务：涨幅10-20%但属奔200元前的热身运动,102727,2017-07-01,0.20584147554500964
中国平安(601318)融资融券信息(09-01),3327,2017-09-02,0.74705791977755
揭穿价值投资的鬼话，如果真要价值投资，招商银,119939,2017-06-27,0.9997151511106501
价值投资的骗局,95995,2017-06-11,0.8950792932739258
中国平安，王者归来！,11586,2017-09-01,0.8388071451747131
8月29日股价上涨0.86元，成交量却减少50%，意味,16983,2017-08-29,0.02735449022761194
散户必看炒股格言和现金策略！     孙子云：先,48534,2017-03-23,0.08037291965991733
实盘：满仓满仓保险，想发财买保险，想赚钱必蓝,493115,2017-06-08,0.22052955834331456
千年等一会，中国平安啊，十年后股价超过445元,191628,2017-05-15,0.258775610936543
今日之阴棒，比钻石更金贵！！,11133,2017-08-31,0.5565202104541389
怎么不见帖子了,8416,2017-08-19,0.2970836704962605
在A股唯一具有阿里、腾讯潜质的平安又会被外资,24733,2017-07-28,0.01968185892526242
热点轮换快，分散持股好。,32229,2017-08-19,0.8329676340799743
平安2017年月K线分析,14925,2017-08-31,0.8701539457950791
长线持有中国平安,127843,2017-06-12,0.16158829637974903
摩通继续增持平安8718万股，每股作价62.885元,14364,2017-08-31,0.07326385116992518
我来了，哈哈哈哈,17909,2016-11-21,0.8684210526315791
从正大集团开始减持平安说起,18228,2017-08-30,0.09027036297010815
《新股市宣言》         她是东方旭日，水天混,24564,2017-07-23,0.8744032353442825
有人拿出讯的股票来忽悠吧友，中国平安真正的技,16954,2017-08-27,0.23159640142595628
平安、阿里巴巴们还是中国人的吗？,5956,2017-07-28,0.8235179468329935
以截图了证明，我的言行和实操一直！,2256720,2015-12-02,0.9370207511445718
抛！连拉股价，制造概念，用人性贪婪，忽悠小股,58429,2015-09-11,0.9020137687528779
烂臭股，打那些所谓价值投资者的脸啪啪响,15340,2017-07-12,0.04296560201559163
高位急拉升是大跌前诱多！出货是一价格区域不是,16080,2015-11-18,0.3716835789043048
守株待兔——寂寞的等待,11124,2017-01-09,0.9994205080226404
股道教你盘中如何做T+0操作,8460,2017-08-19,0.6242053051821247
每年赚30%，你还嫌少吗,284658,2016-08-04,0.08739553388544208
崛起的平安！,14078,2017-01-06,0.4143067316667316
从外资加仓平安说起,45232,2017-07-28,0.021179741998339163
龙头就是龙头，2017-2018赚钱就靠中国平安,54119,2017-06-01,0.04869248542575655
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,5962,2017-08-29,0.1831406935243859
中国平安最适合做长期价值投资,16737,2017-08-17,0.9182177867168198
中国平安(601318)大宗交易数据一览(08-31),27492,2017-08-31,0.1878547976906606
平安--全球顶级抗癌药，中国拥有自主研发产权,12888,2017-06-23,0.999257751779504
狂笑 狂笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核,10475,2017-06-05,0.9959049317860454
今日之阴线，比黄金更宝贵！,9864,2017-08-30,0.9362075268792461
平安K线图谱分析,173479,2017-04-26,0.31750956644685113
正大集团场外减持中国平安2078万股 每股59.35元,42491,2017-08-29,0.16604496728241924
根本不可能有比中国平安更好的股票。,13041,2017-08-29,0.7227429066311156
价值投资，首选平安！,24284,2017-06-23,0.9907856593172393
韩志国是什么样的经济学家？ 1、2007年8月23日,46158,2017-06-04,0.43133084248909903
二季度重仓平安,53037,2017-07-24,0.07129230866477454
哈哈哈哈哈哈哈哈哈。晨鸣将涨三倍还低估，4年,8715,2017-08-08,0.9999553105327728
中国平安(601318)融资融券信息(08-29),5272,2017-08-30,0.74705791977755
中国平安(601318)大宗交易数据一览(08-29),29526,2017-08-29,0.1878547976906606
中国平安副董事长一连串怪异举动说明了什么？,39258,2017-06-05,0.37907289054218885
马司机十分难得地说出了公司的应有价值，并对公,23094,2017-07-17,0.8081015423720349
多角度分析：中国平安到底值多少钱？（通俗易懂,184111,2017-05-27,0.8163165896623041
今天放手加仓平安,23254,2017-08-10,0.30510260191807337
让看空中国平安的伪高手们踏空吧，颤抖吧，貌似,18610,2017-06-22,0.20237719120968467
三年不开张，开张吃三年！,35567,2017-05-23,0.019517559021057784
太厉害了，居然有人把平安未来五年的周K线图画,26098,2017-08-24,0.25797232242989254
4月26号突破了原来箱体顶部37元，主升浪就此展,99476,2017-05-16,0.08034808324506115
在线关注牛股600531一600791一300419一000958一,5603,2017-08-22,0.59812328064225
3700手最后五分钟全部卖出，等明天回调再接回！,14421,2017-08-01,0.08613295145210409
我今天又增持了一千手，六个账户合计持有5700手,15067,2017-08-04,0.30529643233978276
中国平安(601318)大宗交易数据一览(08-28),30532,2017-08-28,0.1878547976906606
买中国平安未必是价值投资,78366,2017-04-29,0.9258395448189564
中国平安百元之路连载,26769,2017-04-08,0.5675076654576792
中国平安8月底股价低于55.69元都属于超低估,30397,2017-08-21,0.1353005568271617
平安、南京银行、宁波银行组合,9750,2017-08-01,0.026577395440490537
2017年买平安拿着平安,134468,2017-01-03,0.06337750846354218
业绩靓丽 港中资保险股获追捧,13673,2017-08-28,0.9646931640541356
50能到么？--容容1！,89326,2017-06-09,0.6356683089555001
[成交满仓]女士们先生们朋友们！战胜内心的恐惧,6171,2017-07-23,0.9770597013528205
中国平安 2017 年半年度分红派息实施公告,9660,2017-08-25,0.35127542152359825
平安与茅台的估值比较研究,76386,2017-02-28,0.47407985612630765
新股发行不能停的重要理由：新股发行市场化可以,12299,2017-06-03,0.013998161080678195
中国平安(601318)融资融券信息(08-25),7438,2017-08-26,0.74705791977755
平安寿险上半年已为全年完成629.86亿元新业务价,8137,2017-08-26,0.3065458047671741
平安寿险健康险上半年利润925.11亿元?,12090,2017-08-26,0.409478787969047
粤水电(OO2O6O)未来国企改革肯定潜力__________,5573,2017-07-17,0.9959010396176047
601318:中国平安2017年半年度分红派息实施公告,121095,2017-08-25,0.3277310411230069
（中国平安是漂亮牛的龙头）美国有“纽约”同时,27112,2017-05-22,0.970535676249484
新股发行不能停的重要理由：让凯撒归凯撒市场归,10399,2017-06-04,0.06081972954919124
中国平安业绩会：公司估值应加入科技元素 股价,123120,2017-08-18,0.9714577216725864
平安牛才是真的牛！,9285,2017-08-22,0.2716949261175089
最近，很多人在抨击新股快速发行。这些人无非是,7205,2017-06-02,0.8111476760136139
中国平安：增持,63781,2017-08-23,0.39106977326784076
如果到现在还认为大蓝筹只是在护盘，你就真的该,24275,2017-07-12,0.8776358330551455
关于中国平安,51780,2016-09-10,0.4163463798523914
平建不能移！！,29023,2017-07-12,0.2845477141063535
中国平安保守估值约60元！（附估算步骤）,104731,2017-03-29,0.08370961858727632
据传主力拉平安到150元,41758,2017-05-22,0.05714703931180665
什么价值投资？什么养老金买中小创？都是瞎子摸,12914,2017-08-20,0.9208850232035898
石墨烯电池实物已经开始生产,9015,2017-08-02,0.5608413671435309
8月12日，中国平安即将开启大牛市之行情，这个,25731,2016-08-12,0.8163816258106594
真白马高价值强增长,58866,2017-08-23,0.9902063905177076
冒着生命危险所写,20790,2017-02-22,0.9157992916698016
中国平安报表的冷解读,30846,2017-08-18,0.6266402502533979
保险股攻势再起 中国平安涨逾2%,24264,2017-08-22,0.009151094824896178
中国平安这一轮超级慢牛将解放所有的中国平安的,33760,2016-11-28,0.3191746329844859
最大最好的互联网金融股---中国平安,293584,2016-05-06,0.9668680529978536
中国平安半年报业绩增6.5% 拟每股派0.5元,23275,2017-08-18,0.5408693844481534
麦格理：中国平安中绩盈利增强 升目标价至76元,33069,2017-08-21,0.7619372137769823
盈利高增长超预期，寿险新业务价值大幅提升,38060,2017-08-21,0.8294617191639854
2017年中报点评：业绩高增，估值水平也达到近年,44951,2017-08-21,0.8060177803075615
宁波港祝贺中国平安大涨,8979,2017-06-09,0.31229693549273563
确实很牛！真蓝筹！,13019,2017-08-17,0.9667893380506609
6年茅台昨日已出。,13965,2017-08-01,0.6273959881537126
中国平安：剑指富国银行搞零售 平安银行不良率,27676,2017-08-15,0.008373543663485528
怎样的业绩才能支撑40%的涨幅？中国平安半年报,92745,2017-08-18,0.7976110512809103
中国平安上半年净利434亿 派息大幅提升150%,54127,2017-08-17,0.2596665026274453
