标题,帖子数,日期,情感
中国核电(601985)融资融券信息(09-01),2471,2017-09-02,0.911794487144466
发行可转债之前核电股价不要指望上8元原因在这,13140,2017-08-30,0.3190735413605016
中国核电是10年内挽救人类存亡的终极武器,60860,2016-10-30,0.9835606260713485
中国核电半年报微增 二季度证金大幅增持,45279,2017-08-24,0.7192791132101293
中国核电是个负责任的公司吗？中报显示营业外收,15816,2017-08-30,0.014542926472671858
我二年多来持有中国核电得到的是赔钱与失望，我,5172,2017-09-02,0.0614647496746662
投资即低估时买入，然后忘记。忘记短期波动，长,13124,2017-08-24,0.9992122984660851
核电板块的春天来了吗？,28353,2017-08-20,0.9284110331818454
提前布局  迎接我国将举行的“一带一路”高峰论,54190,2017-03-16,0.9951132027798176
百问核电核电的经济性体现在哪里？,43340,2017-07-28,0.35180414656112946
2017年核电能上涨到9块，我进粪池学游泳[大笑][,51578,2017-01-02,0.10533787487021984
杭州银行小盘2.6亿发行价14.39业绩1.7元次新股,57591,2017-03-26,0.7004243411165897
吴江银行融资融券标的最小流通市值，马上飙升。,4766,2017-08-21,0.8596904677755397
怕死者请速度逃命！铁核桃逢低加仓！,6438,2017-08-30,0.7729409185356921
为啥总感觉有一场暴风雨要来。虽然看核电的技术,8261,2017-08-31,0.13643881079742082
核安全法落地，核发展新周期开启，核能核电板块,10910,2017-08-30,0.9995389030082844
601985:中国核电关于设立中核海洋核动力发展有,55081,2017-08-10,0.9530630633879211
新增装机驱动业绩增长 在手项目资源充沛,35464,2017-08-25,0.9196286650606305
实战炒股口决： 十四工作线，来回做波段；突破,68260,2017-04-23,0.986755970349184
业绩稳健，好事将近,48917,2017-08-28,0.5098096035470574
那些盲目叫多的人到哪里去了，你们买入的良机到,7411,2017-08-02,0.7590663791028898
601985：买进，成本7.77元。,14530,2017-08-21,0.21750317882567316
低位十字星  投资宜买入,148719,2016-08-08,0.9893200488469195
如火核电国企合并成真 中国将新诞生3家世界100,67780,2017-05-12,0.9686483220298273
转债一发，股价就僵了。坚决反对发转债！,11903,2017-08-25,0.515776701925146
“主力成本”散户是不能计算的！,5616,2017-08-28,0.29503405575486863
[满仓赚大了]女士们先生们朋友们！战胜内心的恐,7507,2017-07-23,0.5831458185637477
任何拉回，就是买！,8629,2017-08-24,0.35190689186841084
真服了 核电发行可转债不超过78亿 关某些散户啥,8484,2017-08-27,0.06492409701139157
中国核电(601985)融资融券信息(08-25),8460,2017-08-26,0.911794487144466
核电半年报该这样看！,16907,2017-08-25,0.535856484227819
怪不得不涨呢，原来是可转债在作祟。,14707,2017-08-24,0.4935595455107623
中国核电：二季度获证金公司大幅增持 拟发行78,46707,2017-08-24,0.3877194010904954
发行78亿债转股说明什么意思？,13300,2017-08-25,0.7144806270030506
再这样搞下去，铁核桃都去投诉上交所监管近期的,5465,2017-08-25,0.1207945118223912
股吧里人身攻击是缺德，缺教养的表现！,5285,2017-08-18,0.5946897523841227
601985:中国核电关于公开发行可转换公司债券摊,27947,2017-08-24,0.23401466346517596
中国核电成交地量（上市以来最低量），明天如不,1457864,2015-11-03,0.10972663466785315
welldone  一切都已经尘埃落地。坐等连续拉升 ,6425,2017-08-24,0.41436251412879965
中报速递：中国核电2017年上半年盈利25.45亿元,24563,2017-08-24,0.5085697669618258
该启动了,10324,2017-08-18,0.3106796116504854
就怕有利好，一有利好，就跌，每次利好都是为了,5280,2017-08-22,0.6060018304400939
中国核电为何总是与上证50走势相悖？长期跟踪98,13114,2017-08-22,0.00664493392461607
核建大股东公告减持，核电也不远了,16633,2017-08-09,0.2384216337067263
浙能本报告期，公司加大资本市场投资力度，出资,23494,2017-08-18,0.8960459122580547
重磅消息！中核有望参与法国核能巨头阿海珐重组,70699,2016-11-16,0.7994066620427039
{置顶}中核有望参与法国核能巨头阿海珐重组,17357,2016-11-16,0.9766254410073198
2.33亿 哎 有钱人,6601,2017-08-21,0.45250258014741607
砥砺奋进的五年 —— 中国核电：打造国家新“名,11261,2017-08-20,0.9460560007366167
黑电的唱多狗真特么多！,4218,2017-05-18,0.8031253639604741
周一核电也许要大涨，期待中。,18039,2017-08-19,0.9221488630588162
中国核电(601985)融资融券信息(08-18),9080,2017-08-19,0.911794487144466
铁核桃汇：欢迎提供高见！上升通道继续运行。,12483,2017-08-15,0.44453246457713924
有百亿资金可能自今日起入驻中国核电！,22915,2017-08-16,0.9962520522194391
哈哈哈 总算知道上周4.5 还有这几天的货都是谁,11858,2017-08-18,0.5826560420722184
近百个煤电项目被停建或缓建 利好核电!,5585,2017-08-14,0.5918537589701907
耐心持有，必有厚报——如同对待长江电力一样对,46335,2016-11-24,0.9887810131127271
这个阶段不适合做差价了！,7402,2017-08-18,0.5288228580884587
601985：买进，成本7.7元。,36121,2017-08-05,0.21750317882567316
中国核电(601985)融资融券信息(08-17),7340,2017-08-18,0.911794487144466
中国核电：三门1号预计今年底或明年初投入商运,37923,2017-08-16,0.7784388179473789
以后到处发这个！有补充的吗？ 一个超跌的MSCI,12322,2017-08-12,0.08473118918500344
中国核电(601985)融资融券信息(08-16),7002,2017-08-17,0.911794487144466
主升浪前的挖坑,到7.5-7.6可加仓买进!,17192,2017-08-03,0.12679090700707696
今天是天赐的进场良机，错过今天恐怕就再也没有,10969,2017-08-11,0.6740428255012312
全是人民战争和游击队么  坐等正规军或者最起码,6444,2017-08-14,0.4231171094033247
中国核电与前期的长江电力相同，10年慢慢阴跌在,5419,2017-08-15,0.9972782082646918
601985:中国核电独立董事关于设立中核海洋核动,34057,2017-08-10,0.8901808846526396
多部委推进供给侧结构性改革 防范化解煤电产能,3231,2017-08-14,0.9998105718803213
中国将为南海岛礁建造20座海上浮动核电站,10134,2017-08-10,0.9104012094064768
不要把中国核电想的太高尚，仅仅是一家电力公司,16704,2017-08-05,0.5228251302855638
从中国核电的周线上看，下周很可能持续上拉。15,8517,2017-08-12,0.912439362373993
中国核电(601985)融资融券信息(08-11),7529,2017-08-12,0.911794487144466
今天集合竞价清仓了所有在外股票，全部进入核电,8533,2017-08-11,0.7340574940501003
中核集团董事长会晤盖茨 共推第四代核电技术 1 ,16622,2017-08-02,0.8897030248561396
我国回旋加速器领域首批国家标准正式发布,3860,2017-08-08,0.9986531437006314
我国核聚变工程技术领跑全球——ITER大型超导磁,9911,2017-08-05,0.9249003100656485
铁核桃研究汇！,10166,2017-08-08,0.8051271518287662
中国铝业流通市值655.4亿。希望你懂我说啥？,7951,2017-07-31,0.7220787298648814
核电是将走独力走势的慢牛股,想急赚或做短线的,6813,2017-08-01,0.19857893514548453
中国核电、浙能电力合资设新公司 推动船舶核动,84672,2017-08-10,0.8390464955872974
接到一笔。,6096,2017-08-10,0.2977535200739264
锁仓看猴戏，不花钱,4400,2017-08-08,0.04632323914897185
这里真有庄家看空的狗，在这里叫,4979,2017-08-10,0.5258204329490557
开始收缩战线，回归核电,6081,2017-08-10,0.9254031118921278
601985:中国核电第二届董事会第十八次会议决议,29741,2017-08-10,0.25685554103785957
强烈要求在白洋淀建核电站,3779,2017-04-10,0.5315622537665223
天啦！非要叫我和你拼命吗？二十周线在啥位置？,14588,2017-08-02,0.3344757325238499
核电行业远景整体上好于钢铁行业，未来均将演化,5439,2017-08-07,0.9981456705476397
核电2017年会横向盘整继续磨底，[不屑] 不要指,17522,2016-12-30,0.39824655337664316
我们的大核电难道没有了上涨的想想空间了么？错,9223,2017-08-08,0.038007427377001246
一流核能大厂低价大甩卖！没有把msci当一回事？,10393,2017-08-02,0.9807431497044339
各位老哥大姐看看行吗,8111,2017-08-08,0.2834095858811999
601985:中国核电关于控股子公司福清核电电价调,61909,2017-07-28,0.4897986627491885
融资盘不但没有减少，反倒增加了，有人不怕,13668,2017-08-03,0.35976343893072393
中核集团王寿君访问坎杜能源总部 推进中加核能,4041,2017-08-07,0.9993732186771013
加点仓 忍不住了 哈哈哈哈哈哈,6398,2017-08-02,0.974616424649641
牛市归来,看好券商石化钢铁核电!,3991,2017-07-26,0.890142453148024
十大核电被套散户看看有没有你,10752,2017-08-02,0.46814775880149884
根本不怕主力压，不惧对敲,8760,2017-08-03,0.32826377179858923
中国核电是为数不多的没涨的大票，逢低潜伏,41191,2017-07-11,0.8433035970051338
主力怎么不砸了？,7602,2017-08-04,0.0954389992176079
核电如果两年内过10元，我吃屎10公斤。。。,93095,2016-12-12,0.06449691714516226
核电2017年能涨到9元我吃[大便]一万斤，立帖为,9240,2017-01-15,0.03964769864961559
16部委联合发文限煤电产能过剩,大大利好核电!,9374,2017-08-01,0.1544629395203323
问下 今天有谁割肉了?,11884,2017-08-03,0.2722689021067536
核电已被埋在了水泥棺木，死了,5246,2017-08-04,0.487300883490255
中国核电短期顶部己现，上证大盘必下调，加上大,49101,2017-06-16,0.9315434906859021
向7.69进军,11645,2017-07-31,0.4737672181921908
大家上网去查三门核电就知道中国核电发生了什么,18116,2017-08-03,0.47511305979813423
唱多的还有力气吗？出来走两步。,6675,2017-06-29,0.9458771487121586
7.70到7.75是不是有大托单，那里面也有我的贡献,7101,2017-08-02,0.5367546400319958
国家核电副总:中国在未来10年至少将建造60座核,46468,2016-09-19,0.961522263643675
601985:中国核电关于福清核电4号机组首次并网的,22925,2017-07-31,0.30453051760351857
独坐窗前明月夜，遥想伊人在远边。  回忆曾经花,17864,2017-06-01,0.9975615253879302
601985:中国核电关于福清核电4号机组首次并网的,59469,2017-07-31,0.30453051760351857
601985:中国核电2016年年度权益分派实施公告,124809,2017-07-20,0.786179255860677
核电和长江电力一样是将走独立行情!,8084,2017-07-27,0.9924076045978327
中国核电：福清核电4号机组预计今年投入商业运,35863,2017-07-31,0.05897399545456239
福清核电4号机组成功并网 一期工程全面建成发电,6632,2017-07-30,0.5837936691485616
销售电价这样调整　 7月1日起平均销售电价下调,9117,2017-07-29,0.03268571003357612
福建省内火电上市公司600483的发电量同核电的发,9934,2017-07-30,0.1562861954175646
踢球啦！,11330,2017-07-27,0.5
价格下调，你说是利好还是利空,6975,2017-07-29,0.8227440688551848
我国ADS次临界反应堆首启成功人类将不再担心核,33114,2017-02-06,0.9989766170589323
重磅消息已提示2017年中国核电股民要发大财,71756,2017-01-22,0.6951548490851289
进场: “双重改革”受益股,社保养老金标的股,4603,2017-07-29,0.9893200488469195
邻里守望,9693,2016-06-16,0.4737672181921908
小散一窝蜂上买单7.85坚强抵抗主力蹂躏。,8824,2017-07-24,0.39888343102904145
中核与中核建重组提速 或将加速海外扩张,90070,2017-03-25,0.8980550205458914
601985:中国核电章程,35957,2017-07-27,0.6692771872691553
601985:中国核电关于完成《公司章程》工商备案,30157,2017-07-27,0.2524592472813487
令人震撼的中国核电爆发的时机越来越近,253138,2016-01-25,0.9688026733346933
上升趋势未变！,21523,2017-06-19,0.6365286589450726
中国核电将持续下挫到1.65元/股。你可以不信。,383124,2015-08-05,0.1305045593147307
中国海洋核动力发展有限公司注册资本金10亿元人,9169,2017-07-25,0.8912247882803873
1111,11074,2017-07-25,0.5
必须压住！！！,12685,2017-07-20,0.08987596179386192
明日开盘一根长阳,10733,2017-07-26,0.700954834112232
明天分红，收盘价减一毛一，另收你20%的税！,8932,2017-07-26,0.04393938066206693
看好下周走势，一是大盘还不太稳，需要50护盘，,22499,2017-06-24,0.29461229498718144
每天以泪洗面，二年了没睡过一个安稳觉！,10089,2017-07-21,0.20740810789264308
上升通道运行!,107534,2017-03-06,0.5673899391368841
绩优尖端高科技寡头垄断产业龙头股！,17030,2017-07-06,0.9529714544236766
基金抱团炒个股是中国式庞氏骗局，隐患危害大98,24608,2016-07-22,0.5329367250808874
分析为什么中国核电不会大涨。,14854,2017-07-25,0.955098169622634
7.70十周线一窝蜂抢筹！,17407,2017-06-28,0.22255390311467727
7月中下旬开始，中国核电将利好不断。,20624,2017-07-09,0.4657191071808673
长江电力82台发电机组与中国核电16台发电机组的,7883,2017-07-23,0.7648690391307208
我在8.07元为大家站岗放哨,10211,2017-07-19,0.5609324178557679
最重要的巨大风险不在人人恐惧时，而在人人乐观,6776,2017-07-17,0.9899458534374832
不涨就卖拉高的股来再加!,4275,2017-07-24,0.4731745812491448
独一无二的核电,不会比水电差,未来涨幅不会比60,38512,2017-05-24,0.6923786120385603
昨晚复盘才发现这票，不过不晚，正当时，走势稳,10347,2017-07-14,0.10267678952118842
中国核电正能量即将爆发,279677,2016-01-19,0.984328767098476
核电是黑电，专黑股民钱。,2291,2015-10-22,0.5473272651526019
随着A股入摩，A股的投资生态已经发生巨变,13245,2017-07-15,0.9501206639577052
告别七元时代。,10492,2017-07-20,0.9268801229710544
2017年坚定看好中国核电，如同我2014年坚定看好,12449,2017-02-09,0.91440107233837
中国核电一定能走强！,25521,2017-06-15,0.8550171996136184
拉回就是买！主力惜售，没有砸自己的脚！,11350,2017-06-15,0.24534912995642777
收盘能过8.01？？？拭目以待。散户不要卖了。,15102,2017-07-18,0.807731524442742
[加仓满仓]漂亮50中国股市的心脏；沪深300中国,4938,2017-07-17,0.9988377535484971
*拉升前最后一次压回，捂好,5896,2017-07-19,0.018135818581745733
看这样的走势，中国核电即将大涨，期待着。,8416,2017-07-20,0.9796569013735971
601985:中国核电关于更换保荐代表人的公告,36553,2017-07-19,0.5575470135568016
601985:中国核电2017年上半年发电量完成情况公,60033,2017-07-06,0.6487609268951542
*互动易透露新建核电厂即将运行！利好完全,9320,2017-07-17,0.967763321619716
红了?我去 好难得呀,6643,2017-07-18,0.9132533530537726
呼吁中核将北方核燃料元件有限公司注入中国核电,104131,2016-04-18,0.2354670661331686
表现不错，大盘跳水没跟着跳水,921,2016-05-25,0.9727225480636641
今天又是行政诱空,4719,2016-03-08,0.8747840869852804
绝对到不了8块,7587,2017-07-10,0.18981746750755257
有谁敢将中国核电拿三年不卖掉的？,12996,2017-07-10,0.11430662219846
中国核电：上半年商运发电量同比增长17.7%,37805,2017-07-06,0.9472249032050064
业绩略超预期，有望受益核电消纳政策落地及央企,87576,2017-05-02,0.9871488533035352
主力今天惨败给了散户,26026,2017-02-15,0.44767845850986676
对于大盘上证50的这样走势，我只想说：草你妈,4101,2017-07-05,0.5381623116894588
中国核电进入规模化发展新时期,25896,2017-07-04,0.9865779862784859
601985:中国核电2016年度内部控制评价报告,41840,2017-07-04,0.6761418365619106
看来中国核工业集团要和中广核要合并一起竞争海,801,2015-10-22,0.988610763778182
实在是没有人抛了，拉上去算了吧！,6772,2017-07-03,0.39031576072635354
2020年中国核电运行和在建装机将达到8800万千瓦,26036,2017-07-03,0.7609412437518901
明明是月线主升浪级别傻瓜们却说为护盘,7429,2017-06-25,0.01893414758848888
拉不起来是不是盘太大了？年底应该用电量大啊，,321,2015-11-12,0.022157045509476614
今天要涨了，因为我买了。。。,8093,2017-06-29,0.6417807901056869
下周总攻 这下影线做的杠杠的,13826,2017-06-23,0.5636682052908106
中核集团：拿出看家本领支持雄安建设,13775,2017-05-11,0.7445369976958325
我满仓中国核电，等待主升浪！[献花][献花][献,10100,2017-06-27,0.25337211570289075
核电不死不活压盘为哪般?,7756,2017-06-26,0.13743434422468082
601985:中国核电第二届董事会第十七次会议决议,56476,2017-06-27,0.25685554103785957
中国核电技术指标分析：,14538,2017-06-23,0.9957501541832869
垃圾,834,2015-10-22,0.12698412698412687
什么是价值投资！！！,7246,2017-06-26,0.6892928966440244
我看601985,12179,2017-05-09,0.5618565332226944
接到一笔。,8215,2017-06-20,0.2977535200739264
弱弱问一下：核电明天可以涨停吗？,11603,2017-06-21,0.17740833054750305
上升趋势，上升通道！型态相似，提供参考，请问,9527,2017-06-20,0.12266031672146294
中国核电正酝酿突围！说心里话，中国核电在7元,20462,2017-03-19,0.6756502440014642
英国核电1000.50 英镑/股=9517.96元/股,21675,2016-08-17,0.35878803778674095
从来不会太乐观，部分筹码做T,6302,2017-06-20,0.9975468297362126
7.83元卖了 剩1000股 成本-19.75元 准备看看该,15106,2017-06-02,0.044517873628762805
今天看了一下上证50股票，都同时出现长上影线！,8472,2017-06-17,0.768667858914768
中国核电：福清核电2号机组投产,115687,2015-10-18,0.20938622936906504
核电主力。你打酱油去了吗？,3168,2017-06-07,0.6976614475139901
中国核电有望纳入MSCI新兴市场指数,70500,2016-08-17,0.9603356407672092
明后天在7.71挂单接货,7380,2017-06-14,0.01489706473454111
6月12号8.03元减持55万股，耐心等待择机增持回,9444,2017-06-14,0.050279426765161395
今天有可能涨停！,3378,2017-06-13,0.5917277703202298
601985:中国核电:中信证券、瑞银证券关于中国核,59006,2017-06-12,0.9994334159835665
判断失误，难道今天破7.84奔破8？,4604,2017-06-09,0.08466814452632465
7.93满仓，怕个吊！,12383,2017-06-09,0.07212580299594751
中国核电火了！出口1台相当于出口三十万辆汽车,15549,2017-05-26,0.15550009647649654
中国核电从15年套到现在2年了，还没有解套！11,15896,2017-06-09,0.5266678568031066
中国核电一季报业绩增两成 年报拟10派1.1元,35956,2017-04-27,0.6197118324143791
中国核电筹码趋于集中，大股东占7O%，107亿股，,12415,2017-05-31,0.8527223231674941
快两年了，没见中国核电这股涨停过！,9951,2017-06-07,0.7396431830759644
还有ACP100-玲珑一号！,14913,2017-04-27,0.488630580179254
护盘任务完成！,4819,2017-06-07,0.4777344868061393
601985:中国核电关于全资子公司更名的公告,47536,2017-05-31,0.2651786869719128
天啊！,15769,2015-11-27,0.38121739130434773
我的承诺：,25718,2016-01-07,0.28767123287671226
1号笑看核电变盘，狂跌！,12711,2017-06-01,0.3362692031056874
本人坚信中国核电能够涨到10美元！！！,7724,2017-06-02,0.7156883220886273
注意了，握紧了，火箭要发射了,10599,2017-05-28,0.44767845850986676
7.73跑了 小赚五个点,12529,2017-05-31,0.26631964833089095
中国核电，还有多少筹码在我们散户手里？,13849,2017-05-29,0.8977949311848343
65万股友自救，每天低一毛挂买单，十手，八手，,10112,2017-05-16,0.2906553359512881
好，很好！今天一个仙人指路，周一秒过8元。[牛,14493,2017-05-26,0.941079605548591
核电的春天来了中国核电18元有可能在2017涨破,37432,2016-11-14,0.9366222407621675
我持有该股7.65元成本，指标还没走坏，放心拿着,13398,2017-05-24,0.43852648733258437
中国核电公司官网标的公司总资产2800多亿。怎么,13650,2017-05-27,0.6787531326328523
中国即将与阿根廷签订两座核电厂项目合同 北极,15956,2017-05-10,0.13549982097199997
601985中国核电，中线牛股形态，年内将冲击12元,20230,2017-05-04,0.48107611463480904
中国核电微升 中核集团将量化建设华龙一号,54645,2017-05-25,0.7300665591304911
长线好标的,9843,2017-05-09,0.5185592205629148
三门核电出大事了？,25925,2017-05-19,0.6739660661985223
此股价值3块左右，发电企业而已，分红又不如浙,10434,2017-05-16,0.13264143800323247
中国核电是中核集团的下属公司,8341,2017-05-15,0.38730946234820696
年内最后一波降费向电价等开刀 总理称军中无戏,7330,2017-05-18,0.783465366232033
601985:中国核电关于2016年年度股东大会更正补,54239,2017-05-17,0.9513394649238356
连续七天资金净流入，股价为什么不涨,10211,2017-05-17,0.9967310999071006
601985:中国核电第二届董事会第十四次会议决议,36489,2017-05-16,0.5090579254113119
7.8买的，怎么办,20125,2017-05-12,0.17814246490960284
千万不能形成下跌中继形态啊,9199,2017-05-15,0.8090274622765707
睡了个午觉核电还是个温和盘面啊！,4629,2017-05-16,0.649569983548556
重大利好∶中国核电，十配10股，送1.1，重组方,42108,2017-05-13,0.09764672076899261
按收盘价来看，整个上升趋势还没有破,13282,2017-05-13,0.34951544171383153
跌破位了，回到4块钱左右的发行价考虑轻仓玩玩,5829,2017-05-05,0.2720867012209368
一带一路，新龙头:中国核电!,7708,2017-05-12,0.7247180113450976
7.17半仓杀入,7342,2017-05-11,0.23304779534587905
中国核电(601985)大宗交易数据一览(05-11),27753,2017-05-11,0.4473838060012215
大家猜猜，这么长的下引线说明了什么？,20685,2017-05-11,0.5212121852946054
7.36买到了,6078,2017-05-11,0.48244778683568157
