标题,帖子数,日期,情感
上市场4000点之前，可大胆进行低吸的10只潜力个,22997,2017-08-07,0.9613117473021258
爱惜：中长线必将走牛的小盘潜力成长个股,19268,2017-07-27,0.998512925438403
将市场4000点之前，可大胆进行低吸的10只潜力个,31122,2017-06-22,0.963672092115469
此类个股有望成为2018年中的超级大牛股之一,37556,2017-06-16,0.5158031883345537
小盘潜力个股假摔为了“千里之行始于足下”,19591,2017-05-25,0.9177192205150625
[毛估估]MSCI Inc.来了，漂亮50必将是永远中流,8379,2017-06-21,0.9612885124992743
股价没升，机构却暴增到172家，如果说没价值，,6793,2017-08-31,0.45236114393097016
上面50万股可有要的,4371,2017-09-01,0.3152373902993574
江苏银行0.98元业绩仅此1家次新股股价不到10块,64038,2017-03-16,0.049974062228807736
600977:中国电影关于参与设立基金与收购股权的,34292,2017-08-30,0.9983274655587414
中国电影(600977)大宗交易数据一览(08-23),33125,2017-08-23,0.7670229547683272
中国电影上半年净利略降 出品电影票房超60亿,28695,2017-08-30,0.9838498557786274
中报速递：中国电影2017年上半年盈利6.01亿元，,22260,2017-08-29,0.8080061125424549
600977:中国电影2017年半年度报告摘要,33196,2017-08-29,0.960708609210181
中国电影：上半年净利6亿元 同比微降0.73%,22294,2017-08-29,0.7612952929394831
影视三雄，巳雄一年了，幸福蓝海半年报0.18元，,15017,2017-08-23,0.4003836200564095
像我这满仓套在山顶的人，这一点然并卵,5882,2017-08-28,0.6270703120648539
昨晚梦到小姨子………,4373,2017-08-27,0.7121675308398522
600977:中国电影关于补选职工代表监事的公告,14752,2017-08-25,0.8827925547665102
今天新上映的三部进口片，全部由中国电影发行，,13718,2017-08-25,0.9655680570890618
业绩 爆款预期提升市场关注,65548,2017-07-27,0.9840360062106274
中国电影 请去掉中国二字 丢不起这人 可以叫瘪,3925,2017-08-15,0.8012533849917122
这股打压已经打压不动了，下周就要飞，强烈看好,8019,2017-08-18,0.03917750534513087
紧急告示：MSCI指数股601958 金钼股份正创历史,5998,2017-06-28,0.8183254019705668
雄安电影产业规划中 未来投放近百家智能化影城(,29844,2017-08-21,0.9980341916987958
中国电影：与雄安新区两企业战略合作,36838,2017-08-22,0.9980518665936609
600977:中国电影关于使用自有资金进行现金管理,22882,2017-08-22,0.9676656872228284
关键词：中国电影 合作公司 境外上市 央企落户 ,14307,2017-08-18,0.7817970310011799
17年6月7日19.59元半买入中国电影。希望半年内,16973,2017-06-09,0.17597075070105128
深度分析中国电影600977的投资价值,101534,2017-07-05,0.9984118344558749
签订的是合作协议，又不是收购并购 ：助力雄安 ,15621,2017-08-17,0.05723803445337328
筹码收集完成，明天开始干活！！！,13788,2017-08-16,0.019073368769402577
中国电影主力基本跑完，就剩5家了，社保也跑了,17756,2017-08-12,0.9224732349437629
明明中国电影是战狼2比较大的投资方，却推说商,29692,2017-08-04,0.9282538221892027
我不相信下周会上23.6元！,6175,2017-08-13,0.39090207647171227
中国电影600977上涨到130元问题不大，买进了,7253,2017-08-09,0.46432223687155383
中国电影(600977)解禁股信息(08-09),35459,2017-08-08,0.6904787326528484
抛了几个月，谁还有货抛呢？即使是庄家也应抛光,6145,2017-08-10,0.31033317800403326
社保加仓: 怎么跌的就会怎么涨上去（荐股）,5177,2017-07-27,0.33216934332789494
中国电影600977要走牛买票上车,4458,2017-08-09,0.8506744670472232
终于超美人鱼了！这是中国电影业一个重要的信号,5504,2017-08-07,0.5977921001649229
600977:中国电影:中信建投证券股份有限公司关于,44479,2017-08-03,0.9904832964823224
第一买点23.48  五分之一仓位  第二买点23   五,6929,2017-04-10,0.4029636793943806
电影全产业链龙头，制片业务有望发力,51380,2017-07-31,0.38224543641761577
《建军大业》，原预估16亿，上影第四天了票房不,21140,2017-07-30,0.08155885844422339
中国电影：参与了《战狼2》的投资出品,57934,2017-08-02,0.999826415791104
600977:中国电影关于首次公开发行部分限售股上,59653,2017-08-03,0.5332664869607466
浅论中国电影投资战狼2的投资额，吴京夫妻是800,13847,2017-08-05,0.9956313190446652
中国电影2017年7月投资者调研报告,46624,2017-08-01,0.9843339671190013
进场: “双重改革”受益股,社保养老金标的股,10189,2017-05-20,0.9893200488469195
兼具发行和放映优势，政策红利有望带动业绩超预,23048,2017-03-09,0.20815935893561432
请问哪位在中国电影这支股票上挣钱了？基本是股,11887,2017-07-28,0.44975473396388566
请给我一个中影不涨的理由,8748,2017-08-01,0.10276602276529856
今日最高价18.77元，收盘价18.32元，拭目以待。,12378,2017-07-31,0.9612881163184743
敬告中影的铁粉们，适当关注钢铁板块！,8156,2017-07-10,0.6912523648996525
中国电影要暴涨了。由于不被投资方看好，《战狼,60055,2017-07-30,0.9947922798441069
进场: “双重改革”受益股,社保养老金标的股,4203,2017-07-29,0.9893200488469195
大家快看中影集团耍流氓了,15105,2017-07-25,0.7287010471318155
我说这个吧里唱多的是可怜虫或者是庄托，同意的,11325,2017-07-10,0.2405973667470428
19.32的本，哭死了，有比我高的没，问股神们我,16429,2017-07-12,0.4566363443994711
通常解禁前一个月利空早已消化。解禁股多为战略,12710,2017-07-21,0.9763369203935363
我27的本的本 每股亏了10块  10块啊  真的很痛,10643,2017-07-11,0.5168087248534774
重大利空，据马路消息，中国电影上市造假！证监,21001,2017-06-26,0.4150733671092963
未来十二月目标位:36元,16525,2017-07-21,0.9376615630464026
600977:中国电影2016年年度权益分派实施公告,94777,2017-07-18,0.9373134282769764
小金库也补进去了   凑了五万股    再跌……就,9416,2017-07-18,0.006697600552366789
600977:中国电影关于完成工商变更登记的公告,32765,2017-07-14,0.2830771892011682
发行 制片将推动17年业绩反弹,27670,2017-05-02,0.8094253441606694
整体业绩稳定，进口片发行政策红利依旧，广告营,26949,2017-05-03,0.985601380251502
业绩基本符合预期，“发行 放映 制片”三驾马车,27136,2017-05-02,0.43769760034436844
就当前中影及后市展望,9536,2017-07-10,0.6467671178591622
中国电影(600977)大宗交易数据一览(07-07),56856,2017-07-07,0.7670229547683272
调研纪要,40734,2017-07-09,0.3750780384166793
散户必看炒股格言和现金策略！     孙子云：先,38970,2017-02-27,0.08037291965991733
还有没有成本为40的在坚守岗位[失望],8231,2017-01-17,0.22189791717284058
跌到27.8元抄底,440,2016-09-05,0.19697219931859422
持续打给董秘，要求严查恶意做空操纵股价，人多,7814,2016-12-30,0.8312638498091346
把中国电影留给我的子女！中签一股未卖！,14683,2016-12-29,0.9563329435219682
建仓完毕！开始锁仓！目标位:很高！！！,16176,2017-06-28,0.23584434956957112
中影这两天的换手率其实不高，大部分都是小散自,37924,2016-08-27,0.13552401776805867
《考古神算子》网剧什么时间上影？？,11983,2017-01-17,0.4682823630655628
600977:中国电影2016年年度股东大会会议资料,31703,2017-06-13,0.9288100283844772
《考古神算子》好看的小说。,42761,2016-08-25,0.923559070419939
中影是影视业中的茅台吗？,12092,2017-04-27,0.15643836162254854
上市场4000点之前，可大胆进行低吸的10只潜力个,19798,2017-04-24,0.9613117473021258
恭喜中国电影已入上证180，期待中国电影更好表,21941,2017-06-01,0.9871644388826241
进来拜财神！,11533,2016-08-08,0.5592132264661053
中了2个签的我说大实话，开板我肯定卖！,84141,2016-08-23,0.016996017049120016
30.20，止损出局,13465,2016-11-11,0.5464093983688489
卡卡27.29、27.3买进中国电影,49898,2016-10-14,0.7117916350232518
人生最遗憾的事，中签了四十多元没卖！,17099,2017-05-25,0.6729298103830108
长阴破位，股灾再现？且听我分析-仅供参考,71453,2017-04-14,0.9717184941260685
今天是将最后1000股卖了，赔的非常疼。疼的也清,12128,2017-05-24,0.010333433140408577
哟，砸到29倍市盈率啦，影视板块最低估值了吧？,8361,2017-05-24,0.01374374881512963
可以肯定的说：19.32元不是底！,13997,2017-05-02,0.46208423828301715
中国电影和第一创业，将会比价涨跌，分析人士称,24120,2016-10-05,0.9987996493287992
第一创业就是中国电影的未来,12818,2017-05-15,0.9975554981720187
谁还有中签没卖的,17515,2017-03-01,0.4259999100523376
买入600977,14017,2017-05-10,0.7297953905324696
考古神算子 电视剧,10815,2017-02-17,0.8346846896557752
上市场4000点之前，可大胆进行低吸的10只潜力个,28618,2017-01-17,0.9613117473021258
中国电影年底前有没有回到25的可能？,12388,2017-05-05,0.7085442373890597
卖出新股的正确时机和方法,22727,2016-08-12,0.8076770513422582
这股一签轻松赚20万,7134,2016-08-07,0.11576108795685192
如果不是速八的话   此股差不多已经下20了！,12161,2017-04-17,0.03677193775494714
本小散再次承诺，30以下绝不减持中国电影，30下,10733,2017-05-03,0.9821710609043519
深深被套了29.8%，请帮忙解读这股票有救吗？先,11285,2017-04-27,0.6928365028302618
600977:中国电影2017年第一季度报告,39289,2017-04-28,0.9721785830095836
中签得还有在得吗？？？,10270,2017-04-20,0.06990193284664037
关注今晚的年报和季报吧！,12598,2017-04-27,0.7413876017337503
业绩倍增京东方智慧系统产品全球领先者倒数第1,48012,2016-09-19,0.27382567684137415
有见过10连跌的股民朋友来透漏一下   我还是碰,6000,2017-04-26,0.09614090303761247
中国最大的 31省市 电影院线,8426,2017-01-04,0.7799822563893033
Q1进口片票房增长 74%拉动季度业绩高增长,29359,2017-04-07,0.9991575338005679
不要怂  就是干！,8462,2017-04-21,0.2328180848821818
0977,市值到底多少合理,14268,2017-04-20,0.5
上市场4000点之前，可大胆进行低吸的10只潜力个,57398,2017-02-15,0.9613117473021258
这么下跌是什么意思？又没有利空？,18298,2017-04-18,0.6592859825021106
33.5的，不知今天能否到本？,3826,2016-09-08,0.3104160936911723
看好中国电影,35495,2017-02-10,0.8590357012854628
这疯狂的票房和星期五的吸筹，估计星期一涨停开,13801,2017-04-15,0.4681020410581681
速8这么好票房，又是电影节，明天不一字停，确,9614,2017-04-16,0.7809222677176288
缩量下跌 有何惧之！,14150,2017-04-12,0.6184777508821596
速8本周日(16日)票房可达12亿+，这垃圾再不表现,10864,2017-04-15,0.004926938198534181
中影这次投资速8收益如何分成？,14781,2017-04-15,0.9281020255942097
散户莫慌，经验告诉你一切。 散户千万别看到换,147491,2016-08-19,0.15439386588605486
今天可以摸25了,6984,2017-04-14,0.3786374330440361
我艹，开盘高位全仓买入，看来又要套很久了,6041,2017-04-10,0.9052307434724151
电影产业“龙头”，进口片直接受益者,32079,2017-04-11,0.8221168127025589
本周操作思路（预测明日小阳线）--仅供参考,5036,2017-04-11,0.9393478366429674
明天到半年线出局,14214,2017-04-06,0.19467916526840157
今天砸黄金坑，有多少筹码交枪了。,7372,2017-04-10,0.08142218623748498
2017.04.06全仓买进600977中国电影24.38元左右,10843,2017-04-06,0.6143643573253196
进口片持续火爆，业绩高速增长可期,28849,2017-03-30,0.9057045931902394
红盘是中国电影股民逃命的最佳时刻,16072,2017-01-13,0.9896416440699778
期待四月,8447,2017-03-31,0.6660223402282218
明日走势的两种可能分析,13118,2017-03-29,0.9783579199629546
这只个股能实现俺的喜爱宝马2016款X6 的理想吗,25709,2016-11-10,0.7535628530079087
3月28日盘前预测（仅供参考）,17589,2017-03-28,0.7221329627526448
小散们注意了，本大爷明天准备18个亿的资金 连,5695,2017-03-22,0.9496429463250732
3月28日走势预测（再续长阳-仅供参考）,18755,2017-03-27,0.5498815741562789
3月27日走势预判（仅供参考）,33249,2017-03-24,0.10388764107624526
2017年引进片发行、内容制作和院线放映三线发力,25545,2017-03-27,0.29369934302503853
明日能否收出小阳线？,14747,2017-03-22,0.8206454666772985
我靠这中国电影涨的不错呀，怎么往下涨呢，神了,1747,2017-03-22,0.9966640976541217
哈哈  跑的都是菜鸟 留下的都是发财的命  三连,8805,2017-03-23,0.33834816367487297
希望大家要早挂单，尽量使买单靠前，这样主力就,3173,2016-08-23,0.09148202250859461
中签到现在没卖的报到一下,12493,2017-03-16,0.35454640484316835
看图操作,9586,2017-03-20,0.5978069341106097
庄家预演图内部泄露,7646,2017-03-21,0.21932206965466594
操你妈，这熊样,20751,2017-01-09,0.6494502141827926
狗日的，中国电影,16358,2017-02-08,0.9013903193645618
操你老妈中国电影。,20596,2017-02-07,0.9236205176957804
中国肯定跟着加息！,5290,2017-03-16,0.882824051896972
600977:中国电影关于参与设立影院并购基金的公,43132,2017-03-15,0.9943103959680425
日中国电影贱逼股他妈个臭逼,15272,2017-01-19,0.1089646948497871
我看中国电影！,6348,2017-03-13,0.9286739857925079
新股不到20个板几乎没有开板的，中国电影30个板,11888,2016-08-16,0.20967316919854706
昨天介入，当天被套，今天还是被套，问可以的不,10485,2017-03-08,0.5486852259381231
不屈的信念不灭的希望 本人持有中影中签股一直,16223,2016-12-28,0.642288242160429
明天不创新低我吃屎，立帖为证，但是如果创了新,6212,2017-03-09,0.5688446932488281
葛优与总理聊中国电影票房：未来会破千亿,8199,2017-03-04,0.9999763897018686
~~据传湖南广电转让电广传媒股权,15741,2016-11-10,0.3828172111453986
