标题,帖子数,日期,情感
供给侧基金的控股股东西宁国家低碳产业基金投资,2846,2017-09-02,0.9871039822055746
抛弃一切换股追进中国铝业，实在忍不住了。,53707,2017-07-19,0.2046560574874734
葛红林扭亏术：中国铝业如何告别“亏损王”？,33416,2017-09-02,0.93650060461545
中国铝业18年业绩1.2元/股，股价估值20元,70240,2017-08-16,0.16199179298770272
中国铝业(601600)融资融券信息(09-01),5322,2017-09-02,0.911794487144466
散户必看炒股格言和现金策略！,6261,2017-09-02,0.3017520261998339
大家不要慌，明天老夫配8陪杠杆拉升中铝，目前,15155,2017-08-31,0.6915689373120545
我一直都没走，历时838天，中铝再次启动,80530,2016-11-07,0.8492489040490843
贝莱德基金减持中国铝业672万股 每股5.275元,51991,2017-09-01,0.31694014461826425
破位！,26933,2017-07-26,0.5
减持了。期待大跌！！！,12121,2017-09-01,0.11229726856098898
十元盘，二十震，三十下跌正当时．,27226,2017-08-28,0.8307638282439413
中国最强钉子户,中铝超级钉子户,14022,2017-08-15,0.8476757382796967
中国铝业今日超大单流出排名第6名(01-24),23288,2017-01-24,0.5229364556898436
从韶钢转战中国铝业，明日还有一冲,19905,2017-08-30,0.986269061209311
人生赚钱的大机会很少,20463,2016-08-09,0.5691758092003365
今天夜里国际贵金属和有色金属全线大幅度上涨，,11058,2017-09-01,0.008646353869431578
有人怕别人唱多，有人怕别人唱空，其实像中铝这,11992,2017-08-31,0.9913925024627729
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,11597,2017-08-29,0.1831406935243859
这个时候的策略就是耐心持股,20734,2017-08-02,0.6871032393078738
中铝从六十跌下来后这次才启动真正的行情，千万,12089,2017-08-31,0.5456723329709868
8.25全部清仓中国铝,23909,2017-08-30,0.9100590068722081
国际行情上涨， 挡不住闷骚的铝浪，一浪高一浪,29198,2017-08-08,0.9702632979833878
2017年中铝王者归来，10元不见不散。现在价位还,114216,2017-03-07,0.9958793172760984
601600中国铝业 星期一涨停板  因为期铝涨停999,25436,2017-08-05,0.9980560995927489
明天中铝大涨概率极大。第一压力7.6破了就绝逼,57957,2017-08-23,0.9501139406406834
横起来有多长，竖起来有多高[买入][买入],14404,2017-03-15,0.8480060537547712
中国铝业，20万股，成本7．25，今天8元抛出15万,17476,2017-08-30,0.38315087058996966
中铝强庄牛股大开大合，空中加油洗盘整固再起飞,21380,2017-08-29,0.7100729263322332
我再说句人们爱听的话哈，打死都不卖哈 嘻嘻，,27090,2016-12-06,0.44651465239760024
死了都不卖死了都不卖 火线大炒底,11320,2017-07-27,0.010736919939287048
“铝”，可不可以搞？,37970,2017-08-30,0.5344551571636307
中国铝业8月30日盘中涨幅达5%,9724,2017-08-30,0.0752780664630397
中铝今天遭邓普顿减持194.6万股H股,26101,2017-07-14,0.8914279726853851
锁仓我的驴，等待黎明,18387,2017-08-20,0.32975136145040873
入场收尸: 地产称霸南京，医美雄冠亚洲,3739,2017-08-11,0.2613908113232535
实战炒股口决： 十四工作线，来回做波段；突破,63155,2017-04-17,0.986755970349184
硅晶圆暴涨60%缺货潮席卷全球 上海新阳内地唯一,11169,2017-08-16,0.05678506620356549
SB在6.60时卖了51773手[不屑][不屑],11067,2017-08-18,0.1012826176717001
鸡年预言：中铝王者归来，站上10元毫无悬念，庄,165544,2017-02-03,0.9940946161823142
中国铝业(601600)大宗交易数据一览(08-29),50135,2017-08-29,0.4473838060012215
深度分析：3300稳住的话会是一个新的起点吗？,12305,2017-08-25,0.9694076428165023
氧化铝板块业绩大涨，铝业龙头地位稳固,75336,2017-08-25,0.9891393139818581
量价齐升盈利增,63018,2017-08-28,0.5246508809066125
7.58再抛200万股底仓，现底仓还有168万股,15853,2017-08-22,0.008963604513985257
割肉清仓了，7元全给你，你牛B,16124,2017-08-25,0.47780317877389666
中国铝业(601600)融资融券信息(08-28),12605,2017-08-29,0.911794487144466
“加减乘除”、铝价助推 业绩陡增下的中铝西南,43538,2017-08-23,0.9998119676886311
专家警示:此时买大盘权重股将被套牢30年!,17365,2017-08-26,0.7862920961651406
周线往上走,想亏钱都难!!  看贴不回贴,炒股一定,6524,2017-08-18,0.5406968291127165
攻击目标7.50元,13857,2016-05-18,0.9466490295674224
申万菱信资产-工商银行-瑞林定向增发4号资产管,22693,2016-11-08,0.09816693791589592
中国铝业(601600)融资融券信息(08-25),16067,2017-08-26,0.911794487144466
国务院去产能，价格暴涨，疯了，明天开盘满仓买,20387,2017-08-23,0.2038761774202772
