标题,帖子数,日期,情感
什么业绩就是什么价位，订单再多牛逼再大，中报,36689,2017-07-12,0.7489961447204473
主力放言：还有谁，敢跟我斗！,51665,2016-07-21,0.2827536760352515
待市场转暖后   再说,19363,2017-04-24,0.6218562302170737
本人对中天公司三个有关资本市场的做法表示强烈,21369,2017-08-30,0.32684061410898224
股吧数托，中天第一。 自15年至今，中天托东方,7953,2017-08-22,0.0001273268434573982
600522在11.20元附近又现买点,14329,2017-08-23,0.3492765943486632
7.8两个月证金在干啥？,12365,2017-09-01,0.09182055318584847
继续骗,7068,2017-08-09,0.08955223880597019
是中天电缆无疑。 报道是35k v 电缆，现场施工,9659,2017-07-16,0.08172519445078175
从兰花鲁西回来看看几个能人。 从不听劝。,6956,2017-09-01,0.10440113910004944
新的波动区间10.2-10.98,24364,2017-04-28,0.9230195429890993
江苏省智能制造现场推进会，中天科技分享先进经,12347,2017-09-01,0.7689451207745812
一带一路”是政策导向 紧跟政策的步伐,47276,2017-03-16,0.9320834966086533
上半年业绩增长符合预期，四大业务战略更加明晰,29032,2017-08-31,0.9964062458796131
“产学研”深度合作 借助平台再展宏图——产学,9974,2017-08-20,0.24065617363950886
柔性直流电缆前景看好 中天科技超高压直流电缆,11118,2017-08-15,0.22956982897454414
江苏省委书记李强先生在北京向世界宣讲ZTT ，厉,10887,2017-08-31,0.9728221236926443
中天科技掌舵海上风电交/直流电力传输技术发展,10210,2017-08-20,0.6298792543970618
中天科技火了！,12045,2017-08-31,0.055775686883179354
上半年亨通增长100％，中天30％，三比一,9746,2017-08-30,0.15694158917964218
为何亨通光电赢利能力遥遥领先同行？,11072,2017-08-04,0.8273906993767244
中天科技 情况分析与操作策略：（2017-1-16） 1,777865,2017-01-16,0.388846174907435
享通光电在上，中天科技何时出头？,13041,2017-08-09,0.10246106096489027
挽弓当挽强  选股当选王,22113,2017-07-26,0.7445800561081618
江苏银行次新股0.98元业绩股价不到10块仅此1家,52630,2017-04-30,0.049974062228808624
业绩稳定增长，各系列产品竞相绽放,31737,2017-08-31,0.9986162703752489
中天中报当晚，证金大幅加仓的股票总汇,20229,2017-08-28,0.0021649485707044835
国家队3个月买了10亿多都涨不上去，也只是振荡,12444,2017-08-31,0.17860655335575726
