标题,帖子数,日期,情感
蚂蚁金服有没有可能借壳中天？马云曾说过蚂蚁金,7561,2017-09-02,0.0030098144095775936
中天今年1至8月房产销售总额175.5亿元 直逼去年,14156,2017-09-01,0.0013202631787636587
中天金融临时停牌的猜想（个人八卦，不喜勿喷！,31100,2017-08-31,0.11600612501269669
请教高人：上次购买中融人寿股权，区区20亿元对,18544,2017-09-01,0.6329878390475706
中天金融若被支付宝收购，市值涨30倍也不过分,10579,2017-09-02,0.4956148433683235
重组若能与蚂蚁金服有关联，参照三江购物复牌表,34207,2017-08-30,0.6691350147392271
不是我说，光中天金融这几个字就值10元以上，有,9528,2017-09-02,0.0279454749046818
000540我只有300股 在停牌的前一天买入的 因为,11631,2017-09-02,0.16214090562410455
中天金融:关于重大资产重组停牌进展公告(2017/9,97034,2017-09-01,0.6445621738755727
想来想去如果没有外部合作方的话，还是中融并表,22783,2017-08-31,0.1354868980388385
真正的价值投资标的股：中天金融。 控股保险：,39051,2017-08-03,0.27733880728902427
中天城投:关于公司股票复牌的公告,105594,2017-01-02,0.5344141450042447
中天城投:关于公司与玉溪市人民政府签订战略合,29963,2017-03-01,0.29419732225405804
中天重大资产重组咋感觉是在玩散户呢？参见2016,30213,2017-08-21,0.03705520186411104
回归金融,9662,2017-08-21,0.9966318455976902
中天金融:关于召开2017年第四次临时股东大会的,41185,2017-09-01,0.46007188325943693
业绩略低于预期，金融业务大步前行,51565,2017-08-31,0.9007800232557035
停牌重组了，8月11日砸盘的主力该作何感想？,60527,2017-08-24,0.09548503769800643
中天金融:2017年半年度报告,53403,2017-08-28,0.4284007609589344
说说重组的事,24545,2017-08-31,0.44163439702377705
中天城投1至8月销售142.9亿 直逼去年全年销售总,1218465,2016-09-16,0.15189956178877917
中天金融：停牌筹划重大资产重组,108018,2017-08-21,0.5986422419624386
请问各位贵州贵安金融有限公司是否是上市公司，,19258,2017-08-27,0.6991328849680889
关于中天金融集团股份有限公司股票临时停牌的公,216025,2017-08-21,0.6716026382922928
复牌十个一字板可能否？,22864,2017-08-27,0.5048135850370886
竞猜，复牌多少个跌停板？？？,17007,2017-08-30,0.10328761711235956
中天金融:2017年半年度报告摘要,75049,2017-08-28,0.6693409357601949
中融人寿快速扩张，中天国富评级上调,68636,2017-08-29,0.262856595165908
证金持股1.07亿股，二季度增持2670万股，汇金持,35577,2017-08-28,0.04261910058069107
中天金融1-6房地产收入133.9亿元，比上年同期增,14592,2017-08-14,0.8163640531850008
重组停牌说明不了啥：三个连续跌停概率土98.76%,14367,2017-08-30,0.06910143039089178
标底已清楚，不是出售资产，也不是收购资产，而,23922,2017-08-30,0.9654470177861414
其实，大家不要四处打听公司具体消息了！从公司,25547,2017-08-29,0.16250270346458473
商业地产助毛利提升，大金融战略持续推进,46600,2017-08-30,0.9997405813311656
中天金融，站稳7.15上方将出现涅槃走势,394551,2017-06-26,0.04923593286281425
燕雀安知鸿鹄之志，6.369/股，80万首买，请给我,49720,2017-05-11,0.8416707855694952
不知诸君是否看了财报,20215,2017-08-29,0.8021766689102371
中天，赚的再少还是再赚，有时候财务做账可以根,12328,2017-08-28,0.002394640226512479
中报速递：中天金融2017年上半年盈利14.23亿元,62447,2017-08-28,0.23877969343693362
好想知道是和那间公司重组,18026,2017-08-29,0.5775928181634173
重大资产重组后市值上千亿，等着看吧。,17314,2017-08-28,0.6891958596528612
重大利空，复盘连续跌停。,17793,2017-08-22,0.21447908875699884
停牌中无聊，中报，猜猜猜! 0.45元,14591,2017-08-28,0.2523341527335248
中天--全球顶级抗癌药，中国拥有自主研发产权,25127,2017-03-29,0.9951424566387008
死拖们。想要筹码很简单。拉上去自然给你。不用,4418,2017-05-11,0.9000614151952795
重组成功，十个跌停板。,32383,2017-08-22,0.8086462197110516
各位中天金融股吧的，老少爷们，空托，多托，雇,13437,2017-08-26,0.12983243078981876
大家放心，这次重组必成！我炒股十年都是长线，,38838,2017-08-24,0.7817371186275593
谈谈中天，理性分析，客观看待， 中天自2015年1,29266,2017-08-27,0.051087897711848074
揭开重组的神秘面纱！,45404,2017-08-26,0.9993839278527675
爷才买了一个亿：中天金虫居然停牌！？,20448,2017-08-21,0.2772156630795267
