标题,帖子数,日期,情感
来，远洋后面这样走！,442664,2017-08-14,0.5568901543072187
中国远洋十年磨剑走势图之,8462,2017-09-01,0.869914740449641
"离别此吧一阴暗小男人""竹溪鸟人""大家提防。",18193,2017-09-01,0.7301960038006213
投资大师彼得林奇说：投资就像减肥，重要的不是,692401,2017-07-25,0.9999411145759042
今日一分钟走势图，观图不浯,9460,2017-08-29,0.9264569435997333
中远海控(601919)融资融券信息(09-01),3445,2017-09-02,0.9939591601070668
[成交]夯实长远发展基础，拥抱持续稳健的慢牛时,23600,2017-05-14,0.9869296033483728
2017年半年报粗略解读,56425,2017-08-31,0.793895362229867
今天进来的 恭喜上套。,11124,2017-08-28,0.6931385521249193
发表下个人看法，与有需要的人共勉。,32166,2017-08-28,0.5821347138823767
中远海控中期业绩扭亏 净利润18.63亿元,10748,2017-08-31,0.9769137450685467
中报业绩扭亏符合预期 集运量价齐升回暖延续,12062,2017-09-01,0.9934374975238711
2017年中报点评：合同价生效叠加回程货量价齐升,23016,2017-08-31,0.02910231181423384
航运业复苏　中远海控上半年净赚18.6亿元,11448,2017-09-01,0.985415732168131
市场回暖经营改善 中远海控上半年净利18.63亿元,10699,2017-08-31,0.9941876866796344
整合效益初显 中远海控上半年扭亏为盈,12683,2017-09-01,0.995213656441527
航运业及中远海运未来讨论,26044,2017-08-23,0.9934827495092048
海控小散一枚,35987,2017-07-26,0.9403408810947309
中远海控：上半年净利18.6亿元 同比大幅扭亏,28575,2017-08-30,0.8001587711686031
集运市场量价齐升，规模优势促单箱成本下降,14507,2017-08-31,0.5584131941773105
中远海控附属拟斥5000万元设立小额贷款合营公司,12068,2017-08-30,0.991586487568111
大家都来预计一下第二季度营业总收入哈,17801,2017-04-30,0.13863033803094027
中远海控上半年业绩大幅扭亏为盈至18.63亿元,16283,2017-08-30,0.9302753582348985
中远海控附属拟出资5000万元参股成立小额贷款公,7180,2017-08-31,0.9974795862580734
中报速递：中远海控2017年上半年盈利18.63亿元,33908,2017-08-30,0.9427670980576751
中远海控资本结构调整方向及未来长期股价的影响,220678,2017-07-28,0.9999263522193463
在天津。,7795,2017-08-25,0.26315789473684226
今天又买高了[大笑],6630,2017-08-25,0.65405457829069
没办法了，只有亮单子了,127916,2017-07-27,0.06257443463969381
请羽毛和来看你笑话两位大师看看这次海控半年报,24601,2017-08-23,0.5812297249831527
中远海控(601919)融资融券信息(08-25),8040,2017-08-26,0.9939591601070668
今天套深了[失望][失望][失望],15553,2017-08-23,0.003551157849975173
羽毛哥，谣言就是遥遥领先的预言。现在传闻远洋,50394,2017-08-18,0.9927632356674891
有谁知道中远海控到底有多少艘船,6590,2017-08-25,0.9764467079537138
八十倍配资开空远洋大发,16170,2017-08-15,0.1911877571508639
中远海控(601919)融资融券信息(08-24),5532,2017-08-25,0.9939591601070668
来看你笑话”这个2B就是踏板小儿，在这冒充装大,4666,2017-08-24,0.40984399809193106
挂777,11045,2017-08-23,0.28621078635989805
涨到现在还不甘心卖的，我庆祝你的大胆，有胆加,32360,2017-08-01,0.17703111282879203
中远海控,57585,2017-03-28,0.9754546379777944
下周可能,24333,2017-08-18,0.5
事件点评：从马士基中报看中远海控估值空间,74381,2017-08-18,0.8944810759211951
中远海控(601919)融资融券信息(08-18),11530,2017-08-19,0.9939591601070668
7.48获利抛出走人啦！再见鸟庄！,14573,2017-08-16,0.329601150162496
揭穿价值投资的鬼话，如果真要价值投资，招商银,15302,2017-07-28,0.9997151511106501
