标题,帖子数,日期,情感
600074:保千里2017年第三次临时股东大会决议公,30684,2017-09-01,0.8186099225893412
保千里小股东维权开始有者签名,45972,2017-07-24,0.6812652305001687
央视报道了保千里人工智能领域发展与应用,22474,2017-08-31,0.9996230610422935
证券日报网：半年报业绩告捷 保千里或被低估？,18425,2017-08-24,0.961129319996951
按一下快门能拍摄出几十张不同角度的照片!谁会,18044,2017-08-24,0.6496475521053948
中国财经时报,13161,2017-08-29,0.8180352513205981
600074:保千里关于重大资产重组停牌进展公告,63953,2017-08-31,0.8852857553825437
MSCI个股,30661,2017-06-23,0.23082833962758653
保千里股价有望在三年之内超过科大讯飞,14597,2017-08-29,0.8606901734404278
保千里前员工：保千里没有实际业绩，吃枣药丸 ,62611,2017-08-29,0.9716132990878537
心动不已,11524,2017-08-28,0.5
若打令手机年内销售50万部，若利润2000元/部。 ,21807,2017-08-26,0.06984253671605589
本股东再次坚定承诺：不到50元不清仓式减持，短,13545,2017-08-25,0.023681206569556634
每天一篇热度软文：保千里打令VR手机让中国再次,11436,2017-08-28,0.8888233258080993
保千里手机天猫99元预定今天10点开始了，到现在,15613,2017-09-01,0.18447106201972163
高度待观察。,36578,2016-08-11,0.7718428706609454
保千里机器人上央视财经频道,9258,2017-08-31,0.8485445159196029
将重组进行到底，不要急着复牌,17778,2017-08-15,0.17379093054300188
新物种VR手机：究竟是试错者还是搅局者？--再发,13596,2017-08-26,0.5501278836471706
听闻保千里又一黑科技将要推出,17028,2017-08-28,0.9682834811080736
打令VR手机2代销量有望达100万部~~,17976,2017-08-23,0.1070917854214477
打令VR广告效应在弥漫,8667,2017-08-31,0.20794623161060055
看好保千里的人，小心资金灰飞烟灭，看看资产负,16790,2017-08-28,0.7581793940897239
[游资做多不死心]女士们先生们朋友们：中国漂亮,9165,2017-06-12,0.8873385716104251
保千里复牌了该大涨跑不了，该大跌躲不掉，现在,11369,2017-08-28,0.01729120752423019
开始反击：凭什么说保千里是估值虚增而不是估值,7988,2017-08-29,0.08484343815674289
保千里应该将夜视系统，装在无人值守的各类商店,5926,2017-08-29,0.8382661180005931
重组上市提交虚假协议 保千里面临投资者集体讼,33737,2017-08-29,0.9663752502712039
冷眼旁观，蔑视作者和小编——“保千里面临投资,8271,2017-08-29,0.9992000710205404
游侠网VR频道：保千里打令VR手机V10S开箱图赏！,8477,2017-08-29,0.23929106073668394
4789元起，看看安卓之父对手机全景摄像的理解。,14658,2017-08-25,0.9988993698084758
咯咯咯咯咯咯 删贴啦 瞎子狂笑 晨鸣三年利润之,15058,2017-07-26,0.9884411444243213
保千里VR手机势必再造一个保千里！,7576,2017-08-25,0.8427339575203995
保千里面临投资者集体讼送 经济学家宋清辉解析 ,6108,2017-08-29,0.9999986806102901
公司动态点评：ADAS系统下游需求持续旺盛，“VR,27879,2017-08-28,0.2970143807436355
应该没收大股东的股份赔偿给散户。罚60万等于是,6020,2017-07-24,0.005533900576367934
股吧骗子白忽悠,112020,2016-07-01,0.001259126329504312
5000点叫多持有股票的股神白骗可不看好保千里呢,79403,2016-08-25,0.5507811989192418
骗子不要脸皮,61010,2016-07-01,0.3699406158538182
8.24公告内容：1、交易标的为电气机械和器材制,15517,2017-08-24,0.004647605537411947
保千里收上交所监管函 相关股东被要求落实赔偿,29017,2017-08-25,0.13457572403105267
靠概念炒作起家，市值接近300亿。也算是牛气冲,31408,2017-07-24,0.17766693247598642
明晟指数规定，A股停牌逾50日将被剔除该指数 。,10239,2017-08-25,0.043027618412100566
上交所要求保千里拿出赔偿投资者方案,33110,2017-08-25,0.88793189962204
评估值虚增近10%遭证监会处罚 保千里5位高管集,67883,2017-08-22,0.11322224747218967
600074:保千里关于重大资产重组继续停牌的公告,72317,2017-08-24,0.85107136214036
最先看上保千里VR镜头模组的也许不是手机企业~~,8878,2017-08-25,0.7432549204157647
保千里，本人承诺不到50元，绝不会清仓式减持，,9295,2017-08-21,0.11559143445242392
V10S京东预约快五万了，给力，给保千里加油！[,8373,2017-08-24,0.9557885551799585
600074:保千里关于重大资产重组停牌进展公告(20,65427,2017-08-21,0.9542201772899512
距离二代VR手机发布还有一天，看看人家怎么吹的,11068,2017-08-21,0.42357129118758885
vr手机预约快10000台,11809,2017-08-23,0.7448630891831528
都可能会成为你成功的障碍,7940,2017-08-02,0.7789230395640641
午后对倒砸盘，水土不服就服你！明天接着来，千,49144,2017-07-20,0.015206458463910888
电气机械和器材制造业会有哪些可选的标的企业？,10377,2017-08-24,0.023844700550879505
600074:保千里关于收到上海证券交易所监管工作,60738,2017-08-23,0.8599257043749825
打油诗一首赠与曹某某，望笑纳,18003,2017-08-18,0.964357948829686
目前看来，下周复牌的几率很小，几乎下周不可能,14783,2017-08-19,0.25960395722253327
监管工作函对公司己无关紧要，目标压力都指向控,13709,2017-08-23,0.9907802981599886
二代机小评。第一，比一代机进步是次方级的，为,11185,2017-08-22,0.2313572484540397
视频超级震撼！！！8月22日，#打令VR手机新品发,15677,2017-08-16,0.3583951657996395
迄今为止京东28人预约。可以说预约量小得惊人。,11348,2017-08-22,0.05364968278995663
“凤凰”又变回“乌鸡”？保千里重大资产重组“,164706,2017-08-19,0.6073292338428258
保千里近期消息汇总及分析,38731,2017-08-11,0.6755226928151323
