标题,帖子数,日期,情感
sb主力年年有，今年特别多。有种继续砸兴业,17527,2017-08-10,0.190410297451303
老Q：投资谋略（第二季）聪慧不可尽，贫贱尚需,1373261,2017-07-01,0.985188584768978
为什么工行都创出历史新高了，兴业怎么还在破净,10347,2017-08-23,0.773811246734135
便宜有好货，好货有便宜。,942955,2017-06-16,0.7072234665687198
散户必看炒股格言和现金策略！     孙子云：先,41399,2017-04-09,0.08037291965991733
实战炒股口决： 十四工作线，来回做波段；突破,50701,2017-04-15,0.986755970349184
同业之王兴业银行营收大降 同业缩表、资本充足,29739,2017-08-31,0.9914002571266266
兴业的市盈率到三十倍,95350,2017-04-26,0.3396678024219001
攻市场4000点之前，可大胆进行低吸的10只潜力个,28949,2017-08-07,0.9598107761116244
机会摆在大家面前就看如何把握了,90440,2017-04-19,0.9653164516914159
当下可底部大胆建仓的超跌低价潜力黑马个股,18140,2017-07-28,0.4763965513284031
吸纳：中长线必将走牛的小盘潜力成长个股,18860,2017-07-27,0.9994418282625313
攻市场4000点之前，可大胆进行低吸的10只潜力个,36705,2017-06-22,0.9598107761116244
这类个股有望成为2018年中的超级大牛股之一,33275,2017-06-16,0.5903747256913198
这里有金矿已有人开始在偷偷挖掘,24519,2017-05-25,0.9693449217380475
兴业银行携手中升集团加快布局“汽车消费金融”,12236,2017-09-01,0.576838948379203
比较创业板与纳斯达克市场的投资价值,6367,2017-08-07,0.9718109383505693
周期股涨完，来个530股灾然后才是银行表现时候,13605,2017-08-07,0.1948641934222336
垃圾兴业不要涨！,13387,2017-08-07,0.21132347778181493
最新统计数据显示，上半年社会融资规模“表外转,11461,2017-08-07,0.9751814172664972
11灰心万分沮丧的我把情况告诉了芸,6857,2017-08-05,0.5174253456202144
怎么做到的，营收300多亿，利润100多亿，银行的,11028,2017-08-06,0.06236274683888321
兴     业     抄     底     价    位     ： ,25609,2017-08-08,0.448447195891729
16只老银行股2017年中报简评及估值比较,5228,2017-09-02,0.011282975033062415
兴业银行二季度业绩大幅下滑！,98143,2017-05-18,0.32396550148941206
兴业银行（601166）：5年之内，必涨3倍！,89058,2017-06-28,0.6932793823264618
弱者道之用,69749,2016-12-26,0.4981527343955531
坚决满仓兴业银行，并持股不动摇，每股30元之前,197447,2017-06-28,0.02111170376252358
这么便宜的兴业银行，你们还要卖，我一直喊30元,167976,2017-07-06,0.15846211687605505
大笑大笑 咯咯咯咯咯，晨鸣三年利润之和超现公,17897,2017-06-26,0.9969774902521022
咯咯咯笑，晨鸣三年利润之和超现公司市值。 今,22609,2017-06-26,0.9531210882448131
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,15470,2015-09-14,0.9616263649280308
邀请你过来西部矿业601168一起发财！即将公布重,29684,2017-06-27,0.31024760465510837
25之前卖兴业我不敢说你错但肯定不对。,28578,2017-07-12,0.014001229881929533
持有兴业银行的可放心关电脑一年,38716,2017-06-05,0.09987177315741513
兴业银行：上半年净利润增长7.34%,10934,2017-08-30,0.6266576635387268
底部拐点确认，重申强烈推荐、组合首选,34412,2017-08-30,0.6102528256256619
对兴业2017年半年报的合理预测,38404,2017-08-28,0.59021580515694
中报速递：兴业银行2017年上半年盈利316.01亿元,51466,2017-08-29,0.15002117230728274
兴业银行净利润增长7.34% 不良双降,13647,2017-08-30,0.4943468776122344
兴业和招商半年报比较差别不大,22722,2017-08-29,0.45130120108952143
601166:兴业银行2017年半年度报告,44643,2017-08-29,0.27518754268693024
上半年兴业银行净利316亿 同比增长7.34%,18335,2017-08-30,0.7179706253972755
兴业银行：上半年净利316亿元 同比增长7.34%,39785,2017-08-29,0.5627570506629315
月K线三连阳，估计要在18元下方横盘一阵了，充,20509,2017-08-01,0.10216712615379975
本人在17.61融券卖空2万股，狗庄有本事拉到30元,124555,2017-07-12,0.006597357175916918
15.30元左右坚决买入兴业银行,70726,2017-04-24,0.35233355018468204
601166:兴业银行2017年半年度报告摘要,59397,2017-08-29,0.5062808245775542
当下价值投资中兴业银行与贵州茅台谁更有投资价,15273,2017-06-30,0.9964410169758899
兴业银行上市以来6条周均线均向上只有4次！,7855,2017-08-29,0.28776458525842397
三泰开阳，月阳线稳固，8月起飞（追 招行）,15148,2017-07-31,0.22900011239483553
兴业银行杂谈—2017-转帖。当作安慰吧,14969,2017-08-09,0.5658544182392848
兴业与招行比为什么差这么多？,18255,2017-05-24,0.058937973687715584
不出意外本波段预计到23.15左右,14102,2017-08-25,0.5498296511362201
兴业银行(601166)融资融券信息(08-25),9172,2017-08-26,0.6380770554322551
中国股市最大的超级傻瓜究竟是谁？这个问题要问,17478,2016-03-24,0.9789970469580968
未来几年兴业银行2009年的15涨到43的过程大概率,39028,2017-06-09,0.9855531352401634
兴业银行和京东做了一个两年前大家就不玩了的业,43816,2017-08-24,0.1332489463537031
兴业银行(601166)融资融券信息(08-24),6214,2017-08-25,0.6380770554322551
[重大事项]MSCI Inc.来了，漂亮50必将是永远中,7745,2017-06-21,0.9936199910704042
兴业银行与京东合作，大家都去办兴业银行卡，那,11023,2017-08-23,0.08959105114968713
兴业银行联手京东金融推出“小金卡”,38044,2017-08-22,0.8562860426830559
呆子也笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,22202,2017-05-11,0.01263553294197095
有4万股兴业银行，成本18.15元，现在赔钱2.92万,47093,2017-08-08,0.042735652664529056
巜纳入MSCl崔生银行股戴维斯双击行情》早日漂亮,53601,2017-06-22,0.9468200677038318
选择自由，选错的都陪，银行股已经连续上涨有一,4753,2017-08-02,0.7162823530524673
2017（上）阿林的四年价值投资之路，增长315.6%,2596219,2017-01-01,0.9863139266806019
养老金入市，在二级市场入选股票标的，可作为参,12774,2017-08-19,0.9749584150319599
兴业每股净资产、收益都略高于招商,21661,2017-08-18,0.8747665024802452
现在买兴业的赚钱速度必将最低达到年收益20%左,14787,2017-05-20,0.982160900155767
兴业银行(601166)融资融券信息(08-18),9519,2017-08-19,0.6380770554322551
早说了中国股市智商最低的全都在北京，国家队随,21328,2015-11-05,0.7025505992495806
净资产 已经 接近 20了，有什么可怕的？,11651,2017-08-14,0.3312337883806846
融券卖出，坚决做空垃圾兴业银业！,16956,2017-07-27,0.05869768522046037
持有到现在已经持有了兴业银行3年零5个月15天，,25464,2017-08-09,0.0075714973894827065
601166兴业银行 银行板块近期持续高位放量回调,4103,2017-07-23,0.07602966328459404
兴业银行(601166)融资融券信息(08-11),10521,2017-08-12,0.6380770554322551
警告：兴行银行被融券做空1396.11 万股，小心闪,29104,2017-07-26,0.014848452086223207
你认为兴业银行有没有投资价值,75121,2017-03-21,0.4584751643772056
特别通告：MSCI指数标的股601958 金钼股份正创,7556,2017-06-22,0.7285582283512549
兴业银行泡沫指数是有目共睹的，装逼早晚被雷劈,10017,2017-06-29,0.3250716733986997
找不到理由：招商银行高出兴业银行50%估值？？,15112,2017-07-26,0.0015018730617510911
抢 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍搖,20200,2017-05-07,0.8557456835457276
兴业银行当前合理价格是27,32166,2017-03-19,0.21294883105764928
净资产收益十几个点，如果公司缺钱可以向全体股,4379,2017-03-27,0.1024330760071096
真是看不懂了，跟招行的差价越来越大，是招行高,12918,2017-08-07,0.19832629589839001
601166:兴业银行关于非公开发行A股股票申请获得,139084,2017-01-12,0.03311401565112326
我是兴业的股东 我同意增发 钱是大家挣的 你不,6717,2017-03-25,0.1172463050079009
招商涨到100元，兴业跌倒10元！,4831,2017-08-08,0.16025611591849032
惨惨惨？ 今日证监会网站信息,12500,2017-03-24,0.8318051279039184
兴业.银行为啥执意要搞破净增发     其实我是为,8706,2017-03-26,0.0007981386376414434
散户反制利器-持筹比例,3457,2017-08-08,0.45590705284672617
银行坏帐真是无底洞,有质压如此,无就惨多多,3865,2017-03-26,0.03585365040342248
兴业银行，持股从此开始了。相信自己的判断，主,17690,2017-06-10,0.5838648600125987
兴业银行为什么没有业绩预告呢？,6164,2017-03-27,0.6083251915449104
增发预案留伏笔，预计兴业将派送高额特别股息！,13416,2017-03-25,0.002081052880577583
