标题,帖子数,日期,情感
实战炒股口决： 十四工作线，来回做波段；突破,89953,2017-03-25,0.986755970349184
解禁股成本5.11元/股，4月份又有解禁股流通,84517,2017-02-23,0.003814899255283888
广告主结构优化，控费带动盈利能力提升，预计三,8945,2017-08-31,0.33038338167387216
此图解释一切[俏皮],22640,2017-07-26,0.18205989198471106
分众传媒现4.66亿元大宗交易 机构席位接盘,24928,2017-08-31,0.027024161232887534
分众传媒:关于子公司获得财政扶持款的公告,19536,2017-08-31,0.4957348732753918
分众传媒现18笔大宗交易 机构买入4.66亿元,23941,2017-08-31,0.11986645499768789
分众传媒(002027)大宗交易数据一览(08-31),12750,2017-08-31,0.06801796820222472
分众传媒发展的怎么样,71543,2016-12-14,0.5250040744228941
大家对分众传媒了解多么？,47746,2017-04-11,0.25993562808756077
分众传媒在对的地点遇见对的人,110427,2016-09-27,0.5390306428009565
分众传媒楼宇,104640,2016-09-26,0.2883928661326973
主营业务稳健增长，1-9月预增22%-25%,11918,2017-08-30,0.44316521190812774
分众第二只脚如期出现，有底仓的现做t ，没有的,194737,2017-04-17,0.09931439452781288
分众--全球顶级抗癌药，中国拥有自主研发产权,10086,2017-08-02,0.9997878165850281
分众传媒(002027)大宗交易数据一览(08-30),18962,2017-08-30,0.06801796820222472
业绩趋势良好，下游行业更趋多元化,12587,2017-08-30,0.8861068053602085
分众传媒(002027)融资融券信息(08-29),2310,2017-08-30,0.4823699104179697
分众传媒：上半年净利25亿 同比增长33%,21237,2017-08-29,0.49143137644798407
分众传媒(002027)大宗交易数据一览(08-29),9397,2017-08-29,0.06801796820222472
分众传媒现17笔大宗交易 买方席位均为机构,25740,2017-08-22,0.07117164579164803
分众传媒频繁现身大宗交易 今日获机构买入1.53,31788,2017-08-25,0.718403971255463
大家不要害怕，最新减持规定要求大股东或者特定,9820,2017-08-24,0.29621436995004935
分众传媒(002027)大宗交易数据一览(08-23),22688,2017-08-23,0.06801796820222472
中联系两公司潜伏绿景控股 持股逼近举牌线,32095,2017-08-24,0.12454625024302968
分众传媒(002027)大宗交易数据一览(08-17),21320,2017-08-17,0.06801796820222472
分众传媒连续出现大宗交易 中金公司三日甩货近1,15775,2017-08-22,0.009921455292187908
这是重大底部信号！傻逼散户的共同特点：底部区,15655,2017-06-20,0.017315288290800646
这是重大底部信号！傻逼散户的共同特点：底部区,21002,2017-06-20,0.017315288290800646
只发图，不解释,7522,2017-08-21,0.07710419602137153
分众传媒再现1.47亿元大宗交易 机构接盘,26859,2017-08-21,0.10912733392631913
分众传媒(002027)大宗交易数据一览(08-21),14375,2017-08-21,0.06801796820222472
分众传媒大宗交易成交2.85亿元 机构接盘,29643,2017-08-18,0.02488471313456797
[困顿]不服天，不服地，只服027，連跌九天，看,6090,2017-07-18,0.010685468314556856
分众传媒(002027)大宗交易数据一览(08-18),16209,2017-08-18,0.06801796820222472
分众传媒:关于持股5%以上股东股份变动的提示性,60218,2017-06-30,0.15869960434875863
分众传媒(002027)融资融券信息(08-07),4889,2017-08-08,0.4823699104179697
这是一场ZZ牛市必须牛 ！ZZ需要牛市不要拿技术 ,16751,2017-06-12,0.9518431586814124
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,50051,2016-04-05,0.9616263649280308
价高没戏了不如明起全转买*一路一带龙头600307,43473,2017-05-01,0.3755986538213171
熊市任何反弹都是什么.答对有奖.,7966,2017-05-24,0.3433994695933128
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,54260,2016-04-05,0.9616263649280308
分众传媒:2017半年度业绩快报,64495,2017-07-27,0.1742812129544966
基金抱团炒个股是中国式庞氏骗局，隐患危害大20,41143,2016-07-22,0.8823082384840114
分众传媒(002027)融资融券信息(07-25),3656,2017-07-26,0.4823699104179697
分众减持公告的后续,14340,2017-06-18,0.5225802334617956
跑吧 今天是下跌中继 明天主力继续出货 股东都,25952,2017-06-20,0.7121078149366148
分众传媒(002027)融资融券信息(07-21),3961,2017-07-24,0.4823699104179697
利空正是建立底仓良机---13.11建好,16800,2017-06-26,0.8383458719439109
此股差不多就值个4.5块，熊市还打折。技术就不,10277,2017-05-26,0.09479139181824525
分众传媒(002027)融资融券信息(07-11),7255,2017-07-12,0.4823699104179697
分众传媒：两股东拟减持不超12.39亿股 占比14.1,8426,2017-06-16,0.03657207001327367
发财了，跌停板，满仓杀入了,9223,2017-06-19,0.24951062370870447
明天低开跌走，全天跌幅超过8个点,2013,2015-12-28,0.05774858204864042
幸运儿呀你们大家,1021,2015-09-11,0.9657707147623452
今天你割了吗？,11193,2017-06-19,0.5
分众传媒:关于广东监管局警示函的整改报告,19648,2017-06-29,0.3287176303974121
体验式营销的流行将彻底摧毁分众传媒,7219,2017-06-19,0.526126064746467
11.80元入手分众毕竟是国内龙头5毛多的业绩,29496,2017-02-27,0.8958157487263317
分众传媒:2016年度权益分派实施公告,64887,2017-06-29,0.2512667032675554
分众传媒：股东Giovanna减持3010万股,42345,2017-06-30,0.07869140892087612
犹豫不前就得提防再次下杀的风险,6989,2017-06-28,0.9625996262082481
分众传媒(002027)大宗交易数据一览(06-22),26749,2017-06-22,0.06801796820222472
分众传媒主力5元股价成本400亿市值目前股价12元,7664,2017-02-16,0.11281862177344892
分众传媒(002027)大宗交易数据一览(06-29),25584,2017-06-29,0.06801796820222472
今天你跟传媒股混呢？,994,2015-10-15,0.038558442448009655
分众是传媒业的龙头，价值投资者，不要惧怕减持,25119,2017-06-17,0.3513622893636874
分众传媒跌停 遭两大股东清仓式减持,63986,2017-06-19,0.03203192343914951
分众传媒股价放量重挫逾9% 深股通抄底净买入逾1,46621,2017-06-19,0.023628827519659445
总是把权柄放在别人的手里,3073,2017-03-16,0.6626808995387392
