标题,帖子数,日期,情感
之前跟我进包钢股份的撤到中储股份！快下周择机,56762,2017-07-21,0.9970979387055964
《重大改组公告！》,33860,2017-08-25,0.7085923308003611
600010:包钢股份关于控股股东质押公司部分股权,40668,2017-09-01,0.9871698131184492
包钢：包顶,22718,2017-09-01,0.8663802163642662
包钢：主力一直在暗中吸筹,360541,2017-08-10,0.8823123970727617
包钢股份6元以下不卖联盟举手。,34729,2017-08-27,0.9591194306661457
哪来的杂种操盘,9559,2017-08-29,0.7297953905324696
木头2.62元开始买入包钢股份,59482,2017-08-23,0.9689131976736038
2017开篇：,300259,2017-02-03,0.8020330678228421
第三季(6),31735,2017-08-26,0.8044446071225166
押押押一一流行色,38050,2017-05-26,0.9965806150830816
这股在钢铁股里面最垃圾！,16262,2017-07-19,0.013793498022262818
等外资进入，包钢一定会涨到300元以上。你等着,80884,2017-07-10,0.4444709160246628
感觉今天会大涨,14557,2017-09-01,0.7396609844353362
记住这个点是起点，落下的明早快上车。,26214,2017-08-31,0.9272219293256607
我的目标3.61元，如果在目标前放巨量，清盘调仓,28239,2017-08-30,0.46065035153954226
目前仓位,16502,2017-08-23,0.5
次新股股价不到10块0.98元业绩仅此1家江苏银行,49308,2017-04-27,0.04997406222880718
八月，桂花飘香！……包迷们个个成为土豪！,132852,2017-08-01,0.39962644202422826
给我抢！快快快快快快！………,10036,2017-06-14,0.5550810509605872
2.34现价买了包钢股份,58650,2017-07-12,0.971618316792894
散户朋友们坐稳了这是要发动的节奏,12376,2017-08-30,0.9339168357206343
王八蛋,8125,2017-07-27,0.8160815160081122
呼吁全集散户,15232,2017-06-09,0.21435463894283024
散户必看炒股格言和现金策略！ 孙子云：先立于,58677,2017-04-16,0.08329665475196413
600010:包钢股份关于控股股东解除质押公司股权,37098,2017-08-29,0.9928336092803859
审时度势，不争而争！,122565,2017-07-03,0.2681432783671308
8月24日中报正好星期四，中报必亏损，再者大盘,25762,2017-08-21,0.058564868528458214
快点吧！不然说不过去！大白天还装鬼！,8497,2017-08-28,0.16723182332835773
中报业绩扭亏，期待稀土开发释放业绩,41097,2016-08-26,0.7958064546324046
终于知道前期北稀涨的这么历害为啥了,20809,2017-08-23,0.6560392543295144
600010:包钢股份关于上海证券交易所二次问询函,77836,2016-11-24,0.7981228206400577
600010:包钢股份关于上海证券交易所问询函回复,59930,2016-11-15,0.4264063449041249
33亿尾矿库开发项目进展存疑 包钢股份遭交易所,57462,2016-11-11,0.9780378750800336
包钢集团辟谣减产减员 警方已抓捕六名造谣嫌疑,32815,2015-12-06,0.12424367321601815
环保部通报21件环境违法案 包钢等企业被点名,15062,2015-09-18,0.020851923607701495
包钢股份：需求低迷叠加成本高企 全年业绩由盈,11689,2016-04-22,0.9829787746797161
包钢股份2015年预亏32亿至38亿元,22225,2016-02-01,0.9765754372350742
火线换帅 巨额债务下包钢艰难转型,34829,2016-04-28,0.9951821446726913
包钢股份去年亏损33.1亿 同比盈转亏,33956,2016-04-19,0.9152618701813845
包钢股份：最大劣势为中端市场运距远,47754,2016-06-03,0.9897176966831234
需求低迷叠加成本高企，全年业绩由盈转亏,29150,2016-04-22,0.753932315927568
上半年业绩下行，集团资产注入是未来看点,146111,2015-08-31,0.9886689604116992
包钢股份半年报增长20倍,63100,2017-08-24,0.9002223924696836
600010:包钢股份重大资产重组停牌公告 公告日期,47128,2016-12-24,0.9541722205946119
第三季(5),18097,2017-08-21,0.8044446071225166
（献给有缘人、包钢股份是郭嘉兑重仓被套股日后,79365,2017-05-20,0.9927219752886718
稀土永磁概念股早盘受资金热捧 包钢股份涨逾6%,43880,2017-08-04,0.6507497053703251
业绩扭亏为盈，期待矿产资源开发利用业务驱动盈,108902,2016-08-26,0.7526054047245446
600010:包钢股份关于完成收购包钢集团宝山矿业,90301,2017-05-23,0.9945326802250471
《88》,11876,2017-08-04,0.5
操纵股价,23050,2017-06-15,0.890142453148024
贸易战欲来,22314,2017-08-11,0.4737672181921908
木头就是一个拖，炒股靠自己。,7126,2017-08-24,0.062202795163275426
600010:包钢股份2017年半年度报告摘要,45307,2017-08-23,0.9793644319176641
要是下午涨了80后等人肯定会说上午在2.64买了。,7182,2017-08-23,0.5532779283247978
中报速递：包钢股份2017年上半年盈利5.88亿元，,45381,2017-08-23,0.8909350547691299
强烈要求证金举牌包钢,17551,2017-08-23,0.780152096099599
万科已经可以做为最经典的教科书案例,56039,2016-08-15,0.9457702367466012
包钢股份：上半年净利5.88亿 同比增逾20倍,56506,2017-08-23,0.8840377611270125
600010:包钢股份2017年半年度报告,32013,2017-08-23,0.9461553083151287
大国崛起大牛市系列！关于雄安，千年大计。千年,28534,2017-04-06,0.9990870220220152
赚46.6%还不知足吗？,31504,2017-08-11,0.5558988194300533
说两句,10143,2017-08-15,0.3300812263356463
包钢：安阳钢铁，方大炭素,19412,2017-08-10,0.5196160841732703
关注稀土价格，呵呵！,24871,2017-05-22,0.7731007071620186
600010:包钢股份关于控股股东发行可交换债券的,52687,2017-08-21,0.9402691837054986
进二退一！包钢回调到2.6基本到位！前段时间卖,18722,2017-08-18,0.5022876208115481
明天大盘来个中阴包钢来个大阴,7980,2017-01-11,0.9090614338902493
包钢股份(600010)大宗交易数据一览(08-14),40285,2017-08-14,0.8646895429203487
第三季(4),51561,2017-08-11,0.8044446071225166
风从草原来，包钢股份站稳3元冲击4元!,36750,2017-08-07,0.9308517603496421
大伙沉住气,11385,2017-07-26,0.17634786636074684
一帮吃里爬外的卖国贼，强烈建议中央成立稀土办,6869,2017-08-21,0.04952634414641033
稀土涨价才刚刚开始,19926,2017-08-16,0.23039489588095086
势不可挡  涨价引发的猛牛,29082,2017-08-10,0.9748759809940551
第三季(3),45435,2017-08-08,0.8044446071225166
大跌在即，大跌在即！小散速速躲避！否则，砸死,20521,2017-08-10,0.001420629307975707
包钢的稀土矿凭什么要低价卖给北稀？有问过我们,10618,2017-08-16,0.2809126557676058
上升趋势已经确立，我又回来了。就这。,20089,2017-08-03,0.4920630036730742
揭穿价值投资的鬼话，如果真要价值投资，招商银,36720,2017-07-03,0.9997151511106501
再说包钢股票3元以下谁在卖，谁的眼泪在飞？,15385,2017-08-14,0.9614871738202319
中国水电2.7时我目标价看到8元！基本上没人信！,66138,2017-08-08,0.9698588145790852
包钢：钢铁混改加龙头叠加稀土资源大鳄,101904,2017-08-04,0.4538398381052299
明天会考验30日线2.62，祝好运吧，两年前被包钢,20109,2017-08-16,0.9326550312742604
告诉你江铃000550为何严重低估，今年必翻番原因,9825,2017-07-15,0.5445377067919474
我们被包钢的稀土骗惨了,8658,2017-01-20,0.8693807465713069
我们都被骗了，包钢融资圈钱，然后买矿,16552,2017-08-15,0.21943152846168756
全球稀土存储之王,18858,2017-08-02,0.33119992309472046
包钢市值上五千亿,26265,2017-07-05,0.847092467325728
南交所稀土镨钕连续5个涨停板。,13620,2017-08-14,0.8267498358001993
包钢洗盘已近尾声，反转或在今日。,21336,2017-08-11,0.9971116419830507
调整钢材结构，收购集团尾矿库转型资源企业,72246,2016-04-25,0.9597820794166052
新闻联播报道包钢，明天涨停,21437,2017-08-13,0.9681559459747355
2017年7月26日，包钢股份正式成为全球稀土和稀,22372,2017-08-03,0.7163677988311842
说实在的，这次快速下跌这么多，非常打击我的自,19911,2017-08-12,0.6252905229338879
我8月8日3元出了！我相信木头也跑了，就这！,21605,2017-08-12,0.10972139888357013
《人民日报》集中报道内蒙古自治区70年发展成果,61727,2017-07-14,0.9470238331437529
看看人气:,15227,2017-08-10,0.5838721548120553
包钢：支撑大盘还是要钢铁,12156,2017-08-10,0.9368408277038229
无知让我们对世界上最大的稀土资源上市公司无视,21303,2017-08-08,0.9616442938687958
央视新闻联播：[视频]包头：科技创新助力老工业,18490,2017-08-13,0.9982695445666414
运筹帷幄，决胜千里。,104672,2016-05-25,0.7297953905324696
涨不？,11562,2017-08-13,0.5451573818805234
包钢股份(600010)大宗交易数据一览(08-11),50517,2017-08-11,0.8646895429203487
第三季(2),71870,2017-07-27,0.8044446071225166
这里的小散笑1是专业托啊。,8687,2017-08-11,0.23070968907569578
600010:包钢股份关于控股股东质押公司部分股权,57941,2017-08-10,0.9871698131184492
三元只是刚刚起步,17295,2017-08-07,0.893261142673331
稀土之王,97708,2017-02-13,0.8160815160081122
心若不动,12775,2017-06-21,0.555402025434599
独行呼吁散户,9557,2017-05-22,0.37012851696422044
600010:包钢股份关于控股股东质押公司部分股权,46284,2017-08-07,0.9871698131184492
大伙跟我一起喊,8573,2017-05-24,0.35651202238684365
狼真的来了吗？,32613,2017-08-04,0.8423865536430182
当年包钢集团为了扶持包钢稀土，稀土矿都是20块,21471,2017-08-08,0.7655870166372739
包钢明日涨停概率百分之七十，留贴为证,32539,2017-08-07,0.2842219571768674
《怎样摘除长期打压钢铁板块的这颗毒瘤?》,20614,2017-07-09,0.18586126127100178
包钢目标价6元！乐观价15元！极限我看到300元！,45878,2017-08-03,0.9439835802212517
全景网：包钢股份开始开采稀土矿，下步加大开发,10345,2017-08-01,0.9563665628585795
600010:包钢股份关于控股股东解除质押公司股权,62080,2017-08-07,0.9928336092803859
此股又要套住一批人了，呵呵,9957,2017-08-08,0.3306076634610722
包钢股份(600010)融资融券信息(01-23),12322,2017-01-24,0.9878930016606009
包钢在钢铁股里是最贵的。在没10送10大家都一样,22076,2017-01-24,0.49257796205171367
解套了，全部清盘,8339,2017-02-16,0.4737672181921908
基础建设板块 中国建筑市盈率还是最低的 将国企,4148,2017-01-23,0.2454232293021229
节前还有4鼐交易日，包钢会大涨,11942,2017-01-20,0.7000473983285005
包钢已是二年于停过牌了,14546,2017-01-20,0.8336513734159816
啥也别说,11966,2017-01-24,0.39041446358519516
上周五做T的，,20766,2017-08-07,0.7788926078376043
包钢今天收盘价预测2.88拭目以待。,10756,2017-01-20,0.9948119864411314
立贴，3个月内到10元,17017,2017-08-06,0.10069216901030242
包钢：钢铁混改龙头，大资金在收集，滚动式推出,14751,2017-07-31,0.8305778183210973
多家银行到包钢调研,50090,2017-07-14,0.46452539888899025
包钢股份上3盼4的理由,14050,2017-07-31,0.5927756767919803
包钢今天收盘价预测2.93元拭目以待。,7378,2017-01-24,0.990171509494413
内蒙古2017年重大项目集中开工 投资总额达1.6万,36158,2017-04-07,0.9598280678773308
过了2块4，是不是该往3块看了,19179,2017-07-19,0.018278675614941453
风从草原来，包香飘四海,12878,2017-08-04,0.9661594487490277
我什么时候能发贴成功那么一次，有必要控制的这,15171,2017-07-03,0.5596200408894764
坐等公告，坐等明天继续涨停,4048,2017-07-31,0.2961375525968526
强烈要求包钢股份稀土精矿出售市场化定价，现在,22256,2017-08-05,0.5123947146931124
包钢股份很快上3元,19055,2017-07-28,0.973226097317156
哈哈哈。这回真的该吃拉面了！！！哈哈！,2322,2017-08-02,0.5485884024470304
包钢股份5月份生产再创佳绩,52675,2017-06-08,0.9690496440138838
锅还是那口锅，人还是那帮人，馅还是那个馅,7347,2017-08-01,0.2285155931701146
包钢股份(600010)融资融券信息(08-04),15334,2017-08-05,0.9878930016606009
