标题,帖子数,日期,情感
张柏芝参加了2017 Fashion Pop华谊兄弟时尚之夜,20283,2017-06-19,0.9567477868565881
《《佯装9元有支撑，继续诱多》》 小把戏 小伎,3254,2017-08-24,0.9587698295102262
翻倍股潜力，华谊兄弟！,1829,2017-08-24,0.24087584868999157
是爷们的，底下带把的就满仓干，底子是窟窿的赶,4895,2017-07-28,0.3641102806020091
下周一路狂奔到13以上，先让部分股民解套，然后,13144,2017-07-28,0.9701511824385137
深交所的公开信息显示，公司第三大股东马云通过,156262,2017-03-19,0.2211639925643587
华谊兄弟将再次冲击涨停，起码涨六个点,7782,2017-08-09,0.44126620309225784
华谊兄弟被收购[鼓掌],45120,2017-02-21,0.9394794600787408
敢做敢当，堂堂正正做人，低低调调做事。,6153,2017-08-03,0.4858779283198086
从明天开始股圣将拉起一波强拉模式,21488,2017-03-26,0.5741840941391448
华谊兄弟我为你点赞,17781,2017-02-21,0.5972404203395494
股民，明天看华谊兄弟创造奇迹，股民！股,21310,2017-02-20,0.9268114127382873
满仓杀进华谊兄弟，股圣在，没问题,25847,2017-04-04,0.20460640212929904
股民明天涨停，开盘买入，股民,18688,2016-12-28,0.9659966609071193
做多做多做多做多做多,15364,2017-04-04,0.8641429853263843
多多多多多多多多多,14809,2017-04-04,0.44767845850986676
买华谊兄弟的股民等着赚大钱吧。,18048,2016-12-06,0.5640878933917762
周一深港通，开通！股民,20332,2016-12-02,0.5221121142101809
明天跌4%,5268,2017-08-30,0.09529843834817175
全面看多，，华裔,6223,2017-09-01,0.5237028208044212
芳华卖20亿，华裔才可能涨,8293,2017-08-14,0.7854791805869136
那个装13 的168 服不服？呵呵。我说要调整2-3周,4755,2017-08-17,0.0004685640867743146
华谊的走势，让人挺担心的。大盘过3300，还有人,4333,2017-08-29,0.8458248027797834
同意将肥克，王牌股胜驱逐出本吧的朋友，请来签,1808,2017-09-01,0.17228107377709856
撑死两毛的每股收益，三块多的净资产，近三十亿,24310,2017-07-15,0.6599429150136746
王牌狗剩,6442,2017-08-20,0.564159568764354
股民开始介入吧，股圣也要建仓了,21577,2017-03-30,0.9254896295070071
股圣预测华谊将要涨停！股民,21947,2017-02-20,0.984061859361488
投资收益丰厚贡献利润，项目丰富期待后续表现,22111,2017-08-31,0.9993513204035556
全面开扒华谊，雄文分析，耐心读完。 电影成绩,19289,2017-08-26,0.9980882404967998
半年报低于预期。跑。,7900,2017-08-28,0.11101560460020643
不得了，肥克 连胜股圣三局，明天会有第4局吗？,7022,2017-08-23,0.8533741247050963
华谊兄弟:2017年半年度报告摘要,33805,2017-08-28,0.5677638305647376
电影回归精品，实景娱乐将发力,28075,2017-08-29,0.9936191104755709
华谊兄弟：上半年净利4.3亿元 同比增长42%,36979,2017-08-28,0.5974713956052252
华谊兄弟:2017年半年度报告,23298,2017-08-28,0.3272055463427579
从现在开始，这个股吧里唱多绝三代，唱空绝八代,7036,2017-08-25,0.9774727076994012
华谊兄弟(300027)融资融券信息(08-28),4362,2017-08-29,0.6703147467117802
中报速递：华谊兄弟2017年上半年盈利4.30亿元，,16759,2017-08-28,0.16912324296408687
TTTT四月华谊雄起TTTT空头就此绝迹TTTT,9072,2017-04-05,0.1377855835952967
华谊兄弟(300027)高管相关人员持股变动信息(8-1,38505,2017-08-14,0.1045830526957825
眼睛一闭，9.08全部资金打进！唱空的来,9961,2017-08-22,0.7860851717824543
很遗憾，华谊没有收9.35，短线不乐观！ 预计联,12498,2017-08-21,0.8401465647371603
MACD不支持上涨,4085,2017-08-16,0.15212009308462038
华谊，你不跌下来怎么上的去？快快下来,4088,2017-08-21,0.782723722400083
华谊兄弟:关于股东部分股份质押及解押的公告,36786,2017-08-16,0.6537357440681881
狗剩空翻多！华谊反转开启！连涨四天明继续红！,9862,2017-04-05,0.11576188906381446
第二代股民 狗剩和专扫垃圾股均被洗出可以拉升,9845,2017-03-30,0.7032039067602148
下午不红盘报收 自食翔两顿！说到做到～,13673,2017-03-09,0.48198236706237674
大伙继续融资四倍杠杆买进 回抽有限空头陷阱！,10109,2017-03-08,0.27381253758055657
大盘开始慢慢脉冲上扬！兄弟跌无可跌 无需装B了,10980,2017-03-22,0.6365740209776153
大家全部四倍—10倍杠杆进场抄底 明天涨停！,7960,2017-03-23,0.3477567088560781
跌无可跌 无需再跌 横无可横 无需再横！,9491,2017-02-28,0.08830036554873633
这位置不加仓做T，收盘去给脑子照CT磁共振B超吧,16748,2017-03-22,0.20182511810364478
很负责的告诉大家大盘创业白马股已经见底了！,9996,2017-03-28,0.8740657508313431
今日涨幅•• 大于4个点,9512,2017-03-17,0.5641981179913854
TTT记得很多次大宗交易低价售出后不久股价都会,11892,2017-03-31,0.7360732052788412
近日博时 嘉实 易方达 南方等纷纷建仓买进深港,9841,2017-03-16,0.3333338891312717
华谊好兄弟 下午有大戏！洗盘完毕 拉升在即！,15998,2017-03-09,0.6287941208773553
守恒原则也已经买进和介入兄弟了，大涨开启了！,19612,2017-03-08,0.8820255010345772
哎～ 又是要有重大情况公布，停牌前的节奏啊！,8857,2017-03-30,0.3459612522634491
华谊兄弟(300027)融资融券信息(08-16),6226,2017-08-17,0.6703147467117802
唐德影视、华谊兄弟逆势小涨，行情才刚刚开始。,8979,2017-07-18,0.7585349864644687
都说了，股东和主力在做t .你们不信，哪里有股,6288,2017-08-15,0.011737350506359046
打跌停，别让万手哥跑了。,3389,2017-08-11,0.5170661989462991
我就想看看，套多少人？！,8603,2017-08-11,0.40446834800648124
周一，目测，-4%,6645,2017-08-13,0.44362844943481494
我真想说一下未来7个交易日的低点大概会走到哪,9209,2017-08-09,0.8917119196529898
这个股烂就烂在这里，大盘只要上下一振，他妈的,3865,2017-08-11,0.015253349358698376
9,10挂买5000股看看，跌吧，我好买,4665,2017-08-10,0.32208588957055173
华谊兄弟:关于公司为全资子公司境外贷款提供境,31188,2017-08-09,0.2028633230056821
大家快卖吧。创业板龙头都在出货！,7072,2017-08-09,0.3644314514032222
对中国电影行业未来发展的看法。 王中磊说美国,15183,2017-08-07,0.9999902422811735
9.2  卖出,5660,2017-08-07,0.39487586724252266
看样子，9元今天破不了，现价9.03买回来， 小T,7121,2017-08-07,0.25945862966218747
特色小镇几万亿的市场。加油华谊兄弟,6742,2017-08-09,0.9564787155780904
9.21很想入手，但我一入手就会跌下去的！为了不,4618,2017-08-09,0.8755044089941624
中国的好莱坞华谊兄弟价值分析,20608,2017-05-17,0.9847362524238628
-8%  来吧。6.66,3283,2017-07-17,0.4737672181921908
创业板，已死。,2614,2017-07-17,0.43745570401135636
裕丰窗口期违规减持一日不被查处，就一直跌跌不,3352,2017-07-14,0.048014481644492624
华谊兄弟:2017年第五次临时股东大会决议公告,31846,2017-08-07,0.2126898289083181
这几年华谊没有好作品问世。大家总结下原因是什,17473,2017-08-04,0.9941332799426156
