标题,帖子数,日期,情感
最新耻骨爆料: 我持股不动 影响力 吧龄 1.9年  ,7074,2017-08-29,0.7202886328587026
再多盘整几天，容骚耻骨也就差不多吓跑了，还锁,3406,2017-08-29,0.6296002418658677
平安老朽而已，自深发展至今，辉煌不再。被平安,2972,2017-09-02,0.6100819680788853
请不要误导投资者 那个什么我持股不动的，近期,3260,2017-09-02,0.14998442481928242
哈哈哈，耻骨偶像历史娘炮剧，太精彩了。      ,4705,2017-08-31,0.9997479857749499
8月份南京银行月收盘上升中点通道及走势图,7790,2017-08-31,0.594551576929378
我是股神！,5705,2017-08-28,0.7499999999999999
不以涨喜不以跌悲，价值投资涨跌皆淡然,84023,2017-08-22,0.9998880719992863
取市场4000点之前，可大胆进行低吸的10只潜力个,23128,2017-08-07,0.9534245440348095
16只老银行股2017年中报简评及估值比较,4883,2017-09-02,0.011282975033062415
眼下可底部大胆建仓的超跌低价潜力黑马个股,17041,2017-07-28,0.19409471379503984
揭密：中长线必将走牛的小盘潜力成长个股,15919,2017-07-27,0.9988842792888305
上市场4000点之前，可大胆进行低吸的10只潜力个,30294,2017-06-22,0.9613117473021258
16只老银行股2017年中报简评及估值比较,4168,2017-09-02,0.011282975033062415
此类个股有望成为2018年中的超级大牛股之一,25562,2017-06-16,0.5158031883345537
“洼地”潜力品种接下来基金机构要猛抢,16902,2017-05-25,0.8612695987933089
还有3年前8块钱以下持有南京银行的股友吗？,10825,2017-02-26,0.04537463036465306
[不说了]MSCI Inc.来了，漂亮50必将是永远中流,7104,2017-06-21,0.9186225294229298
wy带有色眼镜看待问题，我不和他争论。南是各大,2934,2017-09-02,0.29777191509354983
wy就是象棋菜鸟级水平，分析问题只能分析到1步2,1836,2017-09-02,0.4448660979406266
银行板块早盘冲高 南京银行领涨,12794,2017-08-25,0.5946756632957672
南京——能重登25元吗？,25539,2017-08-25,0.7282096981242299
平安银行计提坏账230亿，是南行的9倍，坏账计提,7300,2017-08-25,0.12273892351989302
展望未来，招商，平安，宁波等优秀银行将实现翻,10874,2017-08-27,0.4509778961212688
达人先生我是说贷款迁徙率在下降，达人可能不懂,2733,2017-09-01,0.7407034474224914
哈哈大笑 咯咯咯咯，晨鸣三年利润之和超现公司,14425,2017-06-26,0.987819122528113
新人报道     怎么那么多骂人贴子？,14761,2017-08-25,0.16835634505426134
高位急拉升是大跌前诱多！出货是一价格区域并不,14838,2015-11-18,0.3716835789043048
整了一天多的银行资料，仅做参考（失败了就不发,8153,2017-08-31,0.04618542805140835
我的十大操作理念,31449,2017-08-09,0.7841686516661975
那个什么持股不动的，我观察有一段时间了。你操,5869,2017-08-31,0.6191543051331494
杀无赦！你以为主力的钱是那么好赚的吗？资本市,5892,2017-08-31,0.3844203336083388
宁波港祝贺南京银行,11992,2017-06-13,0.30146671299168326
邀请你过来西部矿业601168一起发财！即将公布重,21530,2017-06-27,0.31024760465510837
长期价值投资 短期价格投机,783423,2017-01-02,0.9861437046016701
中国银行在四大行中为何最值得投资？四大行2017,4584,2017-08-31,0.9358263768474034
这叫第一式龙回头，踏空者的机会来了。,8868,2017-08-30,0.9443925125903712
清仓3个股票，休息一个月,7358,2017-08-31,0.3167553957325665
江湖正气人人点赞，耻骨小人时时被骂！,3656,2017-08-30,0.9951524385893329
话题闲聊：贪婪与恐惧,6019,2017-08-27,0.9788413281336557
持股的寿命,32968,2017-06-18,0.11901253222741559
话题闲聊：股道上行走的几种人,3087,2017-08-29,0.9845214375719568
流在江湖就是散户的害人精,5689,2017-08-30,0.5962393282904102
厉害，建设银行计提前净利润同比增长14.11%,4119,2017-08-30,0.4404532718687869
银行的双拐点已经到来，南行业绩只会越来越好！,6541,2017-08-30,0.840576556213866
大唐电信达人是这样精准逃底的,4726,2017-08-30,0.9458072556482996
20年内耻骨如果有1次唱多南行，它家被注销户口,8460,2017-06-20,0.35158878839187
耻骨说不来南行发言，狗都会说自己不吃S,5951,2017-07-02,0.022181437456010977
南行报表做的漂亮，只能骗骗散户罢了，主营收入,8382,2017-08-24,0.2477894018291773
揭露南的本质，还原真实的南，居然被人谩骂,4195,2017-08-30,0.9956515449878064
耻骨说：6月份必破2900点。南行再下10元。,9572,2017-06-26,0.13339174148544364
持股这个傻比去宁波银行吧大言不惭的说不跌到12,5636,2017-08-20,0.0016940159658096476
实战炒股口决： 十四工作线，来回做波段；突破,36775,2017-04-23,0.986755970349184
持股推荐的招商，我推荐的贵阳比南行都要好,4414,2017-06-22,0.19021621901489927
建议大家看看贵阳银行中报，给达人点赞,4802,2017-08-29,0.23319508817698142
温州bang大军杀到，你们等着乐吧，大量廉价筹码,3432,2017-06-23,0.2658408763190634
wy认为市场是愚蠢，听着多么荒谬，wy这是傻逼思,3234,2017-06-21,0.41336678912404357
南行中报中性偏好 1:首先南行比较厚道，没有为,11905,2017-08-24,0.6738716761395132
达人何许人也  鼻子插的是那根葱,4430,2017-08-27,0.02305632725689355
不晒单的老母天天叫这赚了哪赚了，记不得前几天,2203,2017-08-28,0.133093750444243
本吧我最服“我持股不动”了，看空卖光发誓不买,6470,2017-05-27,0.0002571348614673896
超级行情即将展开,16527,2017-05-22,0.9891515226480715
南行市值目标明年1000亿,9629,2017-07-13,0.9871171784347955
