标题,帖子数,日期,情感
还为这类公司进行高送转留有,5794,2017-07-01,0.6536839605533067
下周000623的走势,大家高兴一下过周六日!,10749,2017-09-01,0.44767845850986676
实战炒股口决： 十四工作线，来回做波段；突破,70979,2017-03-26,0.986755970349184
只有熬下去，才是真正的股东,21131,2017-04-21,0.2970845349334794
证金新进，汇金增持。阳光多家寿险不减反增。半,23578,2017-08-25,0.5718990967017458
吉林敖东：拟发行24亿可转债 上半年净利增8.7%,53714,2017-08-25,0.9485623492866556
中报速递：吉林敖东2017年上半年盈利9.11亿元，,43506,2017-08-25,0.723160279719512
吉林敖东没有行情的主要原因：,23866,2017-08-18,0.9729574703258849
否决“违法的铁公鸡方案”提交“10送转30”方案,116751,2016-04-01,0.057191576819630274
天官赐福，地官解厄,16497,2016-11-12,0.08215021923473675
媒体爆料：广发证券三上市股东股价连日飙涨！疑,16233,2017-07-24,0.25391197269062404
吉林敖东:关于广发证券2017年7月主要财务信息的,51159,2017-08-04,0.6618380670049904
现在预测两股无风险三年内必厚报,15669,2017-06-19,0.18972159463937488
吉林敖东解禁股信息,35991,2017-08-03,0.6307648865425145
持有保险信托都全暴涨了该轮到持有券商股了0006,14158,2017-07-24,0.037926366049640725
吉林敖东:关于完成工商变更登记并换发营业执照,41132,2017-07-27,0.0963298038091005
寻到涨50倍的下一个恒瑞，要复制恒瑞需满足6个,12684,2017-07-29,0.9989557398990138
基金和小散私募眼晴全他妈瞎了吗？ 吉林敖东市,18914,2017-07-28,0.9976428041835071
今天大涨突破!!!,10547,2017-07-26,0.8875212386189567
尾盘集合竞价清仓，明天低开再买回来，6不6？,3776,2017-07-26,0.002610010464675794
买入敖东就需要接受煎熬,49990,2017-04-06,0.8408358894268794
卖出的明天顿足捶胸,13167,2017-07-17,0.4570035478414535
涨停是吉林敖东利好公告前唯一的选择。,9660,2017-07-19,0.9251529805295677
都说东北股特别黑，一看就知道了！[怒][怒],7533,2017-05-27,0.09842937361998261
你怕三月半射吗,6063,2017-06-18,0.586511035266812
实施“一带一路”建设、京津冀协同发展、长江经,3770,2017-07-03,0.9985333473364273
谁来解释一下分红的钱去那里了，一直弄不明白，,19855,2017-06-17,0.05376951572888766
吉林敖东:独立董事关于选举董事长、副董事长的,17804,2017-07-17,0.9859325245802971
好股,3809,2017-07-12,0.3638416983262459
MSCI筹划再A股纳入一批中盘股会有敖东吗？,9710,2017-06-29,0.052585346969402535
红海这孙子出货，尾盘砸的狠啊,52300,2016-12-01,0.03239002190866758
尾盘绣多后第二天就是砸,5857,2017-07-03,0.01548674859586785
吉林敖东,12837,2017-01-01,0.8630530555797126
吉林敖东:关于广发证券2017年6月主要财务信息的,46642,2017-07-10,0.6028026248532937
价高没戏全转买*2元股一路一带丝路龙头600307酒,12958,2017-05-09,0.1338679807779125
吉林敖东：这三股有望再起攻势，今日买入是否一,25251,2017-06-23,0.9890840474671807
起来，不要做沉睡的股奴,11404,2017-02-03,0.7751422707372307
我前思后想决定这次淸仓终身不进股市！,17818,2017-05-28,0.9628940203857204
物极必反，你还在选择卖出？？,7557,2017-05-11,0.13550942827021906
每股实际资产价值322.54元/股,57324,2016-08-11,0.3511028024324445
问董秘；吉林敖东名不符实是否应更改为敖东资本,14682,2017-06-21,0.2826637628538463
六月铁定入摩前许诺下半年T十0实施国际标准.广,14991,2017-05-25,0.6823343304185574
今天卖避税除权，除权后买最划算！,11390,2017-06-16,0.7775730717256872
吉林敖东:2016年年度权益分派实施公告,108815,2017-06-08,0.9115721774177195
22，17元除权除息开盘价，赔赚比例为1，3倍。,13710,2017-06-17,0.00869385986111293
牛股广发证券被出奇控制横盘吸筹近一年        ,10422,2016-06-17,0.056235073450326745
怎么这么多看不懂公告的还能炒股票？,4249,2017-06-09,0.5278162473939517
吉林敖东(000623)融资融券信息(05-08),9675,2017-05-09,0.9630896642925719
实话告诉你们:23元以下的吉林敖东你可能买不到,10516,2016-01-28,0.1957533408614488
深交所副理事长：将针对京津冀协同发展研究更多,3530,2017-06-05,0.9608410558438413
医药股有价值的不多了一个是：吉林ao东，仁和药,7754,2017-05-16,0.9925247420307675
17年敖东有三件大事你知道吗？,14378,2017-05-26,0.5047689800608658
对不起，各位，做空的又来了。,3626,2017-05-31,0.25358414211862834
不急，慢慢来，好戏在掌握中……起起落落中享受,6153,2017-06-12,0.9993478103712958
融资的应注意减仓应果断,5909,2017-06-12,0.7242703465879079
吉林敖东最大的利好就是2015年的对外投资,34476,2015-12-17,0.9569070981787335
买入敖东十二大理由！朋友笑我自淫我无语,24976,2016-01-25,0.42165778626856365
吉林敖东(000623)融资融券信息(06-01),8305,2017-06-02,0.9630896642925719
成大，中山，都在向上，广发一直,5394,2017-06-05,0.7279133264172744
万科将带房地产资金转战券商？广发证券己成为下,15224,2016-07-03,0.989001036070963
典型垃圾题材,4852,2017-05-19,0.07336501235446946
到吉林敖东，不如去海南过冬,2933,2017-05-22,0.8790986217481648
经过请示领导决定砸到26.5 无论有无收获都要快,7322,2017-06-02,0.20611954789402243
马币的融券只要偿还大于卖出就会涨   那些鸟人,3118,2017-06-05,0.46133036190740373
这个股票，应该不错，净资产高，市盈率低，还有,7397,2017-05-24,0.8560239195474297
