标题,帖子数,日期,情感
近期国投股价下跌有点大,估计是业绩下降,今天跌,18823,2017-08-31,0.8528286787506705
国投电力(600886)融资融券信息(09-01),2607,2017-09-02,0.6973464527027328
周末和持有国投电力的股友分享讨论帖……未持有,18811,2017-09-01,0.18529839446557406
国投电力半年报降一成 证金增持,37972,2017-08-31,0.13156611904052007
两投的问题再说清楚点,15073,2017-08-29,0.12046475703972115
绝经老太扮少女，大师粉齐吆喝,13439,2017-08-01,0.9921238640458983
国投明年业绩1-1.15元，长电业绩0.95左右，长电,29030,2017-08-28,0.9577481823807397
国投2017（分析验证帖）,61156,2017-07-04,0.8391941245952235
不忘初心，方得始终（勇往直前）！,12502,2017-08-17,0.21781858373691365
2017年国投下半年业绩预测,13867,2017-08-31,0.9538059592371675
我坦率的告诉大家，明年国投火电三分天下有其一,51678,2017-07-20,0.8528835252879863
国投17中报业绩的好坏已不重要了， 重要的是国,13715,2017-08-28,0.6261046367414308
持有湖能20万股，基每股收益（元/股） 0.21。将,10510,2017-08-25,0.056853103365591684
结论,7763,2017-08-28,0.5217391304347825
股吧是股友用来学习、交流的平台，不是黑嘴牟利,20015,2017-08-04,0.3936854248672138
中国人寿今天已卖、收益可观，真心谢谢道家无声,10379,2017-08-28,0.9979642090498108
笑大笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核弹,16379,2017-06-05,0.9823759672262066
国投吧里有四个死多，都号称价值投资，股票三五,7415,2017-08-30,0.9739515917172096
关于2017年雅磐江水电发电量与牛散商榷,39910,2017-08-18,0.9895679717399043
曲靖电厂的窟窿究竟有多大？,8449,2017-08-26,0.8996019707523848
600886:国投电力2017年半年度报告摘要,39343,2017-08-30,0.5726791566143856
0.1901,13262,2017-08-30,0.5
国投近期走势浅析，供大家探讨。,50437,2017-08-02,0.7829554381560012
一波小行测验未来大行情谁走的更高、更远！,30599,2017-07-20,0.9968091591716738
满仓桂冠,32077,2017-08-18,0.24679790893313935
聪明人8.4卖出了，普通人昨天7.7卖出了，只有蠢,9400,2017-08-30,0.9794648244497709
听说国电电力跟中国神华要重组了。国投电力跟长,13473,2017-08-28,0.5308548188174069
国投煤电第一个强大对手诞生了,10820,2017-08-29,0.9419739810001965
晚上10点分红到账，准备第一时间挂单7.77买入（,10960,2017-08-24,0.029252545917682338
与小曼再商榷,9568,2017-08-27,0.8898321269875726
说说小曼的事,8813,2016-08-26,0.44163439702377705
国投电力(600886)融资融券信息(08-17),5503,2017-08-18,0.6973464527027328
大盘何去何从？,21949,2017-08-02,0.574549474228723
下周央企国企改革 绝对是风口了[牛][牛][牛],11590,2017-08-20,0.5044737823944303
做水电股,不是看风水,看天气,农民伯伯种庄稼干,7912,2017-08-23,0.29846495947400875
卖出部分国投，买进中国人寿~,23749,2017-07-31,0.6423231857384827
忍了一天不想出声，大盘大涨你却成天跌，拿了你,9307,2017-08-25,0.1277592603348936
恼羞成怒有何用？,16794,2017-08-25,0.4737672181921908
国投之我见,23724,2017-08-04,0.4344516614431967
股息到帐，明天枪上镗。,11578,2017-08-24,0.0722485251692
请求国投大股东兑现增持承诺！,13460,2016-04-12,0.06476194521899703
请长江之子指教，谢谢！,38383,2017-07-15,0.8127948781851818
600886:国投电力关于代偿东源曲靖融资租赁款项,30006,2017-08-23,0.8902309232643324
国投电力(600886)融资融券信息(08-24),5907,2017-08-25,0.6973464527027328
看错了分红公告！只有长期持股的有分红 还好做,14443,2017-08-23,0.30874780587904005
600886:国投电力2016年年度权益分派实施公告,72506,2017-08-17,0.45041235770672783
辞掉年薪20w的工作，抛弃年终奖，今日终成职业,34891,2015-12-21,0.9667758303515748
2018年电价调整预期,9107,2017-08-22,0.4407483683886556
见还有一点碎“银子”，买了一点886，理由待续,59368,2017-03-09,0.24379158515899202
对国投电力未来的预期和对策,126186,2017-01-25,0.8131206918606635
国投的煤电有优势？NO,6146,2017-08-22,0.38476323780543753
川投如何控股雅江公司,6418,2017-08-22,0.9523522775004346
国投短线分析,16813,2017-08-18,0.9620517661593853
600886:国投电力关于控股股东增持本公司股份的,129711,2015-09-24,0.44850536944581576
国投曲靖电厂到底要计提多少？,5396,2017-08-22,0.36843804666955526
两河口水电站的建成,7640,2017-08-19,0.5486976325915089
雅江公司在建工程一览,8089,2017-08-22,0.6261294148298383
周四反弹，力度决定后期操作,16211,2017-07-26,0.7477164668615444
国投电力半年报预估，有详细数据分析！,11963,2017-08-21,0.6764464748433788
看来明天才是真正的大涨[抄底][抄底][抄底][买,19081,2017-08-16,0.05356838138462172
两河口到底会增加下游多少电量？,5734,2017-08-20,0.20715568744844604
加大非化石能源产业的投入，通过证券市场投资优,6524,2017-08-15,0.961949652717586
说说国投火电今年上半年有多惨,19958,2017-08-17,0.38740672112584573
请问牛散，杨房沟、两河口首台机组发电预计在20,11927,2017-08-19,0.010062723159193432
国投电力(600886)融资融券信息(08-18),6417,2017-08-19,0.6973464527027328
国投火电机组会重组吗？ 弱弱地想咨询一个问题,5620,2017-08-18,0.30173855383287385
现在我都懒得发什么技术贴、水情水位、行业基本,9448,2017-07-11,0.2122481490755136
买了国投~日子没出头 买了工商~全身都是伤 买了,52291,2016-02-04,0.0557428242484046
议和：我来讲道理不是来吵架的，讲句实话你们不,10028,2017-08-08,0.26951233993129575
请记住！别泄气！,7588,2017-08-16,0.19743709175147206
这货最近单月跌幅最大了 …我不会这么锈吧…？,11135,2017-08-14,0.001950415467503741
上半年雅砻江水电实现收入同比减少5.43%？？,20056,2017-08-13,0.8646828203250844
没人抄底，我抄点，还剩点散碎银两[俏皮][俏皮],29303,2017-08-09,0.1813069877698582
陈兵百万，渡海战役即将打响: 按中央军委战略部,47416,2017-04-12,0.9999442238073019
谁在搭便车外送电量？,12791,2017-08-04,0.25895805354909385
国投庄家是长江证券，武汉那位应该很熟,7835,2017-08-11,0.7252855058134682
JD，问你个问题，不带找茬的，一直不解的。 你,14593,2017-08-08,0.04649599900405299
谁来分析分析川投半年报[微笑][微笑],14044,2017-08-08,0.9985935974904311
国投为什么跌？ 大家知道国投电力为什么跌跌不,9348,2017-08-09,0.0066269174509550055
几个小丑已跑了，留下一地鸡毛。,10035,2017-08-01,0.44174110076470285
几个国投粉去哪了？国投一跌哑口无言，不至于吧,10987,2017-08-07,0.23139771697095335
谢谢！谁可分析？,7085,2017-08-08,0.9107667835925758
转一贴，我不说话，大家理性的不问角度判断分析,18193,2017-07-19,0.9305508040836313
我已沉底，等待救援，目前情绩稳定，相信组织…,7736,2017-08-10,0.9217857077101351
8元以下的18K金筹你们不要我要,10419,2017-08-10,0.402564804360385
陕西煤业：预计2季度业绩环比继续增长， 一、公,8451,2017-07-31,0.7851100867799198
标准的下跌中继，加速下跌不可避免[胜利],9529,2017-08-03,0.9853875730680354
相信国家，相信大股东……近来不断有聪明人来国,7890,2017-08-08,0.6877103048677718
长子你敢晒晒国投的单子吗，看看你是不是国投股,8460,2017-08-07,0.016827881755971053
闪崩一下也行，早死早托生。,7925,2017-08-09,0.14250424411784157
请教道友兄 现在回调到位了吗？我在8.25元左右,10586,2017-08-08,0.029117341619343318
水电的龙头还是长江电力。长江之子  判断一家上,13523,2017-08-05,0.9610473552793629
懂技术有用吗？破10日线还有20日，破30日还有60,7667,2017-08-07,0.0010015834505049392
川渝第三通道输送电量超14亿千瓦时,7260,2017-08-06,0.029977914649631066
现在可不可以买了啊？,4608,2017-08-07,0.383267353354545
用桂冠的分红开盘第一单买桂冠，5.58元买，持有,11674,2017-07-07,0.04469168373486698
各位注意到一个国投和长电长期的现象没，长电总,7580,2017-08-06,0.23684628472831248
既然前面的发帖无法平息争论，就只好再发讨论帖,8317,2017-08-06,0.04947756819743121
看了一下盘面，国投二个月内很难跑赢长电,9739,2017-07-17,0.6461829310601153
新人报到，拜码头,12228,2017-07-25,0.6897171026650302
谁评长电？ 长电股东人数12万户，国投23万户，,4954,2017-08-06,0.13979500065433537
从今天市场的反应，论证国投电力“水电为主，火,9132,2017-08-04,0.5491195524766044
国投电力连续几天走势较弱，比同行川投长电弱，,17951,2017-08-02,0.35755273767752926
继续默默加仓国投，7.99元，几乎满仓国投了，短,9964,2017-08-04,0.20701576567156976
为何说国投电力有操纵股价的嫌疑？如果国投不进,38228,2016-01-29,0.14604746825027903
今天国投电力涨的原因是,47350,2017-06-09,0.4451526555598787
简单谈俩句大盘,12642,2017-08-03,0.772082430565511
哈哈咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投,21722,2017-04-07,0.9904814965921303
大盘攻击3300点，国投弱势不改，回调30-60天均,13718,2017-08-01,0.5071593065299224
主板一步到位，两小板还需谨慎,8689,2017-07-18,0.4007055413796986
讨论帖：为何国投电力可以高负债发展而川投能源,20958,2017-07-30,0.2224126248640086
国投电力公司有问题了吗？长江电力川投最近都大,4394,2017-08-02,0.9057558509990811
好股坏股不是嘴说的[微笑][微笑],6071,2017-07-17,0.5554967319567766
变成水电老四了[亏大了][亏大了],5792,2017-07-28,0.039441399224558804
地下发大水？  龙滩 2017-07-17 20:00 坝前水位,9900,2017-07-22,0.10784771015293193
周末感想帖：假如过去20年只投资电力股……首先,13493,2017-07-29,0.35259542731764193
看了很久很久才发声，长江之子说：两河口水电站,11946,2017-07-23,0.93934810134881
想发帖子的（下）……发不了？咋回事啊？,6705,2017-07-08,0.03860950814466435
不忘初心，方得始终。,93906,2017-05-08,0.2802532212359813
连桂冠都跑不过了[大笑][大笑],7644,2017-07-28,0.7865180929973031
600886:国投电力2017年二季度主要经营数据公告,62668,2017-07-13,0.4976786104387909
兄弟们别慌，明天川投还会拉升国投多少会跟点[,25347,2017-07-25,0.35880661658624646
大家容易忽视的国投电力： 1.不断扩建超低运营,25746,2017-03-21,0.6262141075863071
小曼，我现在确定你不是骗子，是傻子。今年半年,12630,2017-07-11,0.05681293764486839
600886:国投电力关于代偿东源曲靖融资租赁款项,37013,2017-07-21,0.8902309232643324
雅砻江干流将成为全国唯一一条由一个业主管理、,12842,2017-07-24,0.40060408780303947
讨论帖：长江电力举牌国投电力对国投电力的意义,28271,2017-07-03,0.4333606655133925
600886:国投电力关于湄洲湾二期4号机组投产的公,45545,2017-07-21,0.5681670425053603
小曼莎珠华 影响力  吧龄 7.3年   发表于 2015-,11857,2017-07-23,0.8870274918076978
600886:国投电力董事会审计委员会对年度财务报,12636,2017-06-19,0.29329406173638917
周末讨论帖（上）……为什么水电股是价值投资长,10288,2017-07-07,0.9098614369764593
桂冠一样会改变！ 错过了长电、错过了国投、错,11355,2017-07-21,0.9857222412738305
建仓，赌一把~,7247,2017-07-26,0.8053550993116892
国投火电的竞争优势如何？,6045,2017-07-25,0.3285352001360069
国投突破7元整数关后的技术走势研讨,110173,2017-03-16,0.48645722445950446
朱么么预测国投电力（600886） 朱么么画国投电,20584,2017-04-01,0.7592235957476858
发帖请教小曼碧海天客等股友：有关15年来的两次,25450,2017-07-19,0.003282376840533452
600886:国投电力股东大会议事规则(2017年修订),8129,2017-06-16,0.923510377132961
强烈要求国投管理层尽快将2016年度分红发放到位,20066,2017-07-01,0.14689966085166173
600886:国投电力2017年第三次临时股东大会决议,12599,2017-06-16,0.3074427238757532
国投吧时不时来几个自信心爆棚的长电粉，恶心国,6927,2017-07-18,0.4858845638377657
二滩和锦一快蓄满了,30120,2017-07-04,0.2185386773935155
我试试解释一下，看看大家认不认可。 证金是股,9030,2017-07-18,0.23749058274703794
10,3748,2017-06-27,0.35235378031383735
31sjj18欠我糖醋鱼的，陕煤要跑，路吗？,5228,2017-07-13,0.1624577729141503
高温催生各地电网用电负荷创新高！,8365,2017-07-14,0.7821327136511084
问下吧里基本面高手，为什么zhengjing一季报退,8110,2017-07-18,0.77778758229672
问群里的基本面高手，第一季报为什么证金退出国,7826,2017-07-18,0.6556693522614079
600886:国投电力非公开发行A股股票预案,124814,2015-09-28,0.18037228318890608
各位股友：大家好！特别是本股吧人气股友小曼，,43348,2017-06-26,0.03679603669323461
河南调整电价结构：燃煤发电标杆上网电价统一提,21356,2017-07-08,0.4879058279468167
600886:国投电力关于对筹划的非公开发行方案进,99131,2015-09-15,0.0972274042858492
继续放量，努力，今天能收8.03吗？希望OK,17251,2017-07-11,0.11257067586966163
虽然下跌，国投主力活动明显。,10308,2017-07-17,0.7710052131162975
本版几个骗子：小曼、碧海蓝天等 这几个骗子整,12599,2017-07-10,0.0027413204155891657
投水电真优闲，躺着睡觉亦来钱，不用叮盘探消息,13756,2017-07-14,0.4799064210479759
马上2季度结尾了，曲靖什么情况了,10124,2017-06-20,0.8110908056852768
2018年1-3月中国电煤价格指数,80186,2017-05-06,0.42073791594531895
看来下午又要跳水了,2823,2017-06-04,0.4844449485763629
谈谈对市场总体的看法：1，国际大环境……全球,7068,2017-07-16,0.8412515664312634
经营数据出来了，开始猜中报业绩,16210,2017-07-13,0.6720611992597662
签到~,7814,2017-07-14,0.23076923076923084
7.93元成交300手，等分红。,59003,2017-06-26,0.17620005222516466
定增债转股没法玩了 国投风险解除 后市长牛,2494,2017-06-01,0.20504047568000894
今晚公布除权除息日，下周四分红,17504,2017-07-14,0.15199224300364989
拉了？,1116,2015-11-04,0.5093167701863355
好时机，大股东增持。,3418,2016-03-09,0.6548656986035067
最佳出逃机会！明天开盘出逃！,6493,2017-06-28,0.7691728966391829
严防死守6.32高地,18671,2016-03-08,0.6864403227850107
守住6.32，我已竭尽全力,19061,2016-03-11,0.5557381185871764
我为什么坚定看好国投电力？（续）,209160,2016-03-24,0.12147957359407024
国投虐我千百遍，我爱国投如初恋,31646,2016-05-12,0.999461258724882
怎么周一还没开就跌这么多[好困惑],1462,2017-04-17,0.9311806803253274
小牛漏出尖尖角,4534,2017-04-13,0.7502680001505138
令人惊讶！长电及一致行动人竟然在二级市场买入,57606,2017-03-14,0.9649767585413013
做好准备，国投拉升在即,8673,2015-11-26,0.7372372076439317
明天开盘直接涨停！第一目标10元第二目标15元，,9529,2015-11-25,0.27607174754939223
我看长电： 长电享有长江永续的发电资源，长江,7178,2017-07-01,0.9974691536488467
大股东为什么不增持？,1765,2015-10-22,0.3269749086623709
来，朋友们呢，晒成本了8.62元7800手，你们的？,10592,2015-11-26,0.48489358516170267
600886:国投电力关于非公开发行摊薄即期股东收,33966,2015-09-17,0.019569834256449092
那些自以为是天天喊涨的傻B们都自觉的站出来自,2103,2015-11-26,0.5480873280919545
国投电力为什么不涨？,4611,2015-11-28,0.3751974597384454
请小曼批评指正。说说对煤价及行业的看法：现货,16540,2017-05-01,0.11064186918398144
45万小散下周一都以涨停价挂单10手，4.5亿资金,7973,2015-11-28,0.7859979487334311
四川省17年4月水情实况,16440,2017-05-26,0.5976851918556753
600886:国投电力监事会议事规则(2017年修订),5084,2017-06-16,0.7284191210668651
不忘初心，方得始终之《亮剑》,22750,2017-06-09,0.3957817437473645
不忘初心，方得始终之《亮剑二》,29462,2017-06-21,0.2076147816951719
新股申购什么时段容易中签,21204,2017-05-22,0.36730570027622433
今天，主题为“全球视野下的金融改革与稳健发展,4018,2017-06-20,0.9999469849821315
国投电力最新走势技术分析探讨,180388,2017-04-06,0.8760435101253365
600886:国投电力2013年公司债券(第一期)债券受,13271,2017-05-15,0.40681313350927184
