标题,帖子数,日期,情感
明日,73264,2017-08-29,0.8
城投控股(600649)融资融券信息(09-01),3307,2017-09-02,0.8164262689675462
17个跌停后竟收出四连阳,32807,2017-07-22,0.045133853545024416
绿色农业？明天一定配合，满盘皆绿耀环宇！,25231,2017-07-19,0.8600122013953209
股价不到10块次新股江苏银行仅此1家0.98元业绩,47970,2017-04-30,0.04997406222880574
城投控股(600649)大宗交易数据一览(08-30),38401,2017-08-30,0.2583289956664001
预计明日跌幅在5%以上,20547,2017-08-30,0.3686002985444281
600649:城投控股2017年半年度报告,48295,2017-08-30,0.48920977285403644
600649:城投控股2017年半年度报告摘要,52605,2017-08-30,0.7211990549523954
当看戏成了习惯，春天已经悄悄来到,114482,2016-01-18,0.9795420353912415
持有城投控股和阳晨b股 原始股的小散 为什么都,42844,2017-04-01,0.7248887591435768
跌得太惨了,6404,2017-08-07,0.19992608769788411
什么垃圾股都涨上来了你还在越趴越低,2751,2017-08-09,0.0854560108814999
核心内参泄露{002599盛通股份},要大涨,7138,2017-08-27,0.8747393978629204
城投控股(600649)融资融券信息(08-25),8376,2017-08-26,0.8164262689675462
最后100股，卖了，再见，股市！,8346,2017-05-18,0.7760797169103515
我看空，但剩了十万股，没成本了，四十万股在19,14166,2017-08-17,0.1455881371149762
保持总市值不变以20万为例,连续5跌停再接连续5,31310,2017-03-31,0.6154297038012596
理性看待新城投的股价,110827,2017-04-01,0.9933889677534834
一个字,134328,2016-11-29,0.45033532449107516
15.5元以下都是底,187069,2017-04-11,0.7854661423427851
你恐惧了？我加仓了。,63347,2017-04-27,0.7521363062532794
三年未分,因分配预期中报之前必然有一波行情,33474,2017-07-22,0.34838960908405436
清一色减持，那些人太害人了！,18017,2017-08-01,0.4207031995778836
600649:城投控股关于股东股份质押的公告,54973,2017-08-16,0.8050579996829818
城投控股(600649)融资融券信息(08-11),8603,2017-08-12,0.8164262689675462
我打赌今天会有1-2个傻13又跳出来自称吃了游资,5010,2017-08-10,0.33101348074979764
大陆跳水，雄冠全球！,7802,2017-08-10,0.4746077304958065
每一次的上涨，都是为了更好的下跌，城投真贱。,9038,2017-08-10,0.4991160868670972
垃圾中的战斗机,6541,2017-07-28,0.4701871402325215
庄家又成功做t，新一轮开始,2562,2017-04-20,0.8130207199610283
此股散户太多，完全随着大盘跟跌不跟涨，,1806,2017-04-20,0.1566675843722557
第四次发送，试试有没有删: 注意注意：以下是秒,39435,2017-05-25,0.23853349517498923
记住每天早上十点以前大涨都没什么好事，不要追,5355,2017-04-20,0.17639926632348735
10.81卖出22200股,每股摊低1.19元,16177,2017-07-24,0.14988165163261535
脆弱且伟大的A股,5437,2017-07-29,0.5315622537665214
城投控股，证通电子，格林美,发图给咨询股友无,6018,2017-08-01,0.9675597380636657
