标题,帖子数,日期,情感
小康发行上市以来打开涨停板一直下跌，我相信没,32512,2017-06-26,0.6498020857149197
[赞]MSCI Inc.来了，漂亮50必将是永远中流砥柱,9116,2017-06-21,0.9973300324733472
小康股份通知,66760,2016-12-20,0.4823324559864399
601127:小康股份关于控股股东股份质押的公告(20,20009,2017-08-22,0.9619040317191551
尾盘跳水，狗庄疯狂出货，6月解禁减持，股价保,9196,2017-05-19,0.09147234316980335
小康股份(601127)大宗交易数据一览(08-15),29875,2017-08-15,0.466889781210884
高端渗透，业绩爆发，大步向前奔小康,22992,2017-08-18,0.999238326434118
中报速递：小康股份2017年上半年盈利3.90亿元，,33995,2017-08-17,0.5281936402318854
后天出中报了，是福是祸？,9299,2017-08-16,0.1375742789328097
小康股份(601127)大宗交易数据一览(08-04),39233,2017-08-04,0.466889781210884
小康股份：股东华融渝富拟清仓减持4.2%股份,48223,2017-07-24,0.9285094271519513
601127:小康股份2017年7月份产销快报,34217,2017-08-09,0.7091963796004526
有没有小康当地的股友？,13535,2017-06-04,0.07042157739569266
我来实话实说，小康的老板张心海其实这几年也没,62009,2016-12-20,0.41973805103517225
看看乐视和曹德旺的遭遇，现在已经骑虎难下了！,15847,2017-06-25,0.9073435196282044
小康股份可转债事宜审核拟于8月2日上会,31927,2017-07-28,0.01649663875244689
小康股份拟发15亿元可转债投资电动乘用车,52347,2017-04-07,0.5713560248752633
601127:小康股份关于股东减持股份计划公告,59566,2017-07-24,0.5799571118321326
主力暗中潜伏联合三方资金，强势介入“小康股份,10288,2017-07-25,0.9391013247322338
601127:小康股份2017年半年度业绩预增的公告,54029,2017-07-18,0.6036672534025451
601127:小康股份关于控股股东股份质押的公告,18929,2017-07-12,0.9033681269966313
601127:小康股份2017年限制性股票激励计划(草案,27298,2017-07-04,0.7608809103587624
601127:小康股份2017年6月份产销快报,41085,2017-07-07,0.6541077379359364
小康股份：具备罕见投资价值的新能源汽车股,23975,2017-06-19,0.45810270826492994
还好，确认收于5日均线之上，慢慢走,7575,2016-10-19,0.8285170702855585
小康股份：引进多位原特斯拉工程师,51692,2017-06-26,0.5820977258474687
小康股份去美国造高端电动车,34424,2017-06-23,0.8786673798515265
601127:小康股份关于收购美国AMGeneralLLC公司,24445,2017-06-22,0.9840408423767331
601127:小康股份关于为收购美国AMGeneralLLC公,13031,2017-06-22,0.9924540430486666
连续阴线 注意风险，,1738,2016-06-25,0.8004136032488368
次新股小康股份吃相不好看 没钱分红股民先从股,36786,2016-12-24,0.688795161727335
601127:小康股份部分首次公开发行限售股上市流,25528,2017-06-09,0.2951476933389888
601127:小康股份关于公开发行可转换公司债券申,38585,2017-05-12,0.4806227237294183
7月13已经发警告会大跌，有几个信的？接下来跌,29694,2016-07-23,0.0032148148479185235
SUV稳健增长，为新能源布局保驾护航,36849,2017-06-01,0.47688680718107834
601127:小康股份关于控股股东进行股票质押式回,31548,2017-05-25,0.8469670802913764
解禁股是大隐患！5.81元发行价！11-12元是市场,9416,2017-05-19,0.060907069811311776
想问一下40块成本的还有吗？,11075,2017-05-23,0.05673769583847721
肥羊的千手盖板能不能换换玩法？,5052,2017-05-20,0.030791792733677492
小康股份一季报出炉净利润提升七成,62230,2017-04-29,0.6896170801025201
601127:小康股份关于意向收购美国电动汽车动力,44020,2017-01-16,0.9848727095811883
可能涉及重大资产重组？！ 大家一起分析臆想一,40654,2017-02-20,0.833060931068372
大盘今天放量，个股涨多跌少，人气回归，是转强,2732,2017-05-17,0.782526157869694
20多倍市盈率新股，业绩还不断上升，证金大量买,13460,2017-04-28,0.38430816187616845
定盘了，特斯拉17.5亿美金投资小康,19286,2017-03-09,0.7094138176796039
主业逆势增长，为新能源战略保驾护航,23337,2017-04-28,0.8747198883538827
小康股份业绩大幅预增 资本助力持续强劲增长,45493,2017-04-12,0.9996406643522666
601127:小康股份2017年一季度业绩预增的公告,25223,2017-04-10,0.7619741257143854
明智的人选择退出。大量解禁股压力大。看看第一,8413,2017-05-15,0.8051155536719955
小康股份后期走势分析,16430,2017-04-27,0.9934255555437072
601127:小康股份2016年年度报告摘要,20658,2017-03-19,0.9318345946912023
601127:小康股份控股股东和实际控制人行为规范,21626,2017-03-20,0.817228574189951
601127:小康股份:非经常性损益及净资产收益率和,16269,2017-04-05,0.6520612143783427
601127:小康股份关于终止非公开发行A股股票事项,36121,2017-03-22,0.641032384756305
601127:小康股份2016年年度股东大会会议资料,24584,2017-03-28,0.7763186358751224
601127:小康股份2017年第二次临时股东大会会议,21361,2017-04-14,0.5775821231436418
601127:小康股份2017年第一季度报告,40236,2017-04-28,0.9028694149755966
601127:小康股份2017年4月份产销快报,33942,2017-05-09,0.6736079668147312
坚定持有小康股份逢低买入,15960,2017-04-29,0.4360301453271185
601127:小康股份2016年年度权益分派实施公告,36475,2017-04-17,0.7990967687337308
601127:小康股份公开发行A股可转换公司债券募集,18544,2017-04-05,0.08693636123920323
601127:小康股份关于2016年度利润分配预案的公,11424,2017-03-19,0.2867066593547163
601127:小康股份重大事项进展暨复牌的公告,95182,2017-03-06,0.5458584703738062
601127:小康股份重大事项停牌公告,90423,2017-02-20,0.7671903304732195
601127:小康股份2017年1月份产销快报,41479,2017-02-08,0.5896281310802599
601127:小康股份2017年2月份产销快报,39562,2017-03-10,0.5936349113651507
601127:小康股份2017年3月份产销快报,19380,2017-04-10,0.6542722057362645
站岗46！静静地看主力装逼！决不割肉！,6218,2017-05-04,0.83963220370663
看到国家队重仓股小康，我立马卖掉了！,8656,2017-05-05,0.003851685417704087
小康上亏了二十万。在上个星期清得剩下一百股。,8315,2017-04-27,0.08859451040957822
世界级显示屏技术龙头企业0725京东方只值2元？,56544,2016-09-23,0.04377802436520806
601127:小康股份重大事项进展暨继续停牌公告,51008,2017-03-05,0.8890497039818226
江淮汽车12元，小康15元合理,18121,2016-07-22,0.02563234081069632
601127:小康股份重大事项继续停牌公告,71642,2017-02-24,0.7671903304732195
601127:小康股份2016年年度业绩预增的公告,36414,2017-01-11,0.7619741257143854
601127:小康股份关于全资子公司年产5万辆纯电动,29809,2017-01-10,0.9091065068569867
小康真是6的飞起，60手，套了半年，死都不割肉,7060,2017-04-19,0.07544460717850932
没有比小康更缺德带冒烟的股票了,2809,2017-01-13,0.643383591064908
第一次对一个股票真么讨厌，从你开板后的三个交,14390,2017-04-13,0.3516690900042818
今天买入的非痴即傻,14873,2016-07-11,0.7778216051025457
601127:小康股份关于参加“2016年重庆辖区上市,37505,2016-11-16,0.8364254808494871
小康股份(601127)大宗交易数据一览(12-02),33054,2016-12-02,0.466889781210884
相比特斯拉，大多数国产电动车在技术、设计上仍,7605,2016-11-28,0.762425535871958
小康公告：预案以每10股转增3股派息0.2元(含税),18277,2016-11-29,0.06733050991257727
大家来集体讨论下，小康为什么弱不经风！,12448,2016-11-25,0.9125858814496051
我准备了十个亿来玩小康，盯紧了，不多说，看疗,3791,2016-11-30,0.20686901238060462
马上小康要有一波绝地反弹的走势，站回区间32-3,4753,2016-11-30,0.6353967730087736
39.73 入手 小康股份 8500股  实在熬不住了  明,4194,2016-11-29,0.3737441522804047
股吧里面托太多，下周开盘破30，一去不回头的节,13740,2016-11-19,0.134062744578188
我昨天跑了大半，今天又在31元上面又进了哎,7471,2016-11-23,0.3220120513779374
建议大家卖空小康！,3507,2016-11-26,0.17486777322371239
我28。79割了，草,3904,2016-11-25,0.6124860316933152
暴跌～～明日开启 立贴为证,6197,2016-11-22,0.7840419970087713
六十分用最弱的方式走完一笔！我必须心服口服！,5979,2016-11-23,0.6524123165377896
小康你真棒，两天成功让哥亏一万，昨天上午进的,5694,2016-11-23,0.3592249809313083
目前这个局面庄家应该也不想这样，而是因为打压,11848,2016-11-16,0.7664459553945749
→→拜财神 得财运 心要诚→→中签m,11822,2016-05-23,0.6776986858767308
争当市场“鲶鱼” 小康股份“大动作”部署新能,17812,2016-10-20,0.9286648382182942
各大散户错误操作大解说：1、看好不买一直涨，,1847,2016-11-23,0.23397332811568528
今天洗完明天直奔32.88，请容许我意淫下,4697,2016-11-22,0.009503362417581762
下午的走势绝对会让你目瞪口呆,3157,2016-11-22,0.4860434118239939
刚卖你就拉就看上我1000股吗,1836,2016-11-22,0.26321261059398926
不管是哪个行业 做系统的都很牛逼,7724,2016-11-14,0.903902120221319
周一高开高走85”%基本无悬念,6470,2016-11-20,0.5212937471536007
小康小康带我奔小康，我又中新股了。,18114,2016-08-04,0.7298042725429811
强势涨停游资敢死队疯狂抢筹次新高送转大牛股,12260,2016-06-17,0.5945241055559431
边拉边洗反而容易弄出筹码，这样压盘谁也不愿意,4196,2016-11-17,0.14552046761744675
致小康的股友,4847,2016-09-25,0.48214244512819493
强势涨停机构游资敢死队疯狂抢筹次新高送转暴涨,8895,2016-06-22,0.6199595985540458
此股本月必上40，不解释,8880,2016-11-07,0.045097869827304016
椐分析，小康股份601127已调整到位，估计明天开,9352,2016-11-13,0.7576388891920262
主力尾市30分内狂拉5个点，会吗,3926,2016-11-14,0.07105962437359226
第三季度股东人数比上半年减少了百分三十多，筹,8608,2016-11-12,0.5382827597513381
今晚公告:张兴海坐小糠车翻车，不幸去4。明天可,7520,2016-10-26,0.027936867087104744
601127:小康股份2016年10月机构投资者调研记录,70643,2016-11-11,0.8582083534678875
明天你会翻红，俺吃5万吨大便,4546,2016-11-13,0.7154341343100281
明天可以加仓了，坐等机会！,9857,2016-11-09,0.29416106236716666
sb要想这样走势，早上何必拉那点呢？,4771,2016-11-11,0.23640632813485374
身边不少人推荐这只。说会到47，也不知道真假。,7101,2016-11-11,0.8262646293644933
没一个看明白的，哎。明日高开高走，暴力涨停！,7044,2016-11-10,0.9847466335889723
32.68进来会怎么样,3069,2016-11-11,0.3443004205288177
有望站上30区，多日调整低位机会,12275,2016-11-04,0.2997843715751831
