标题,帖子数,日期,情感
我曾是一条空狗。我错了,5723,2017-09-02,0.8129916981171735
周一终于可以跌停了，ico 等区块链 被定性为 非,14042,2017-09-02,0.022871112445623343
关于恒生电子的又一个个人分析，仅供技术探讨，,16580,2017-09-02,0.9735102814013767
三年见500元!,5991,2017-09-01,0.21051284410199722
保交所区块链平台上线——恒生电子参股保交所+,12526,2017-09-02,0.3248735586285242
54.99清仓，不知是喜还是悲？,12686,2017-09-01,0.9605248369856216
恒生电子，艾德生物，东方电气,发图给咨询股友,4113,2017-09-02,0.964513685249251
今天尾盘涨停出了一个亿，哈哈，果断融卷8000万,10541,2017-09-01,0.8894677668043491
恒生电子(600570)融资融券信息(09-01),8480,2017-09-02,0.9288070830497688
科技的摇篮，业绩的摇篮，恒生蚂蚁马云的摇篮。,12760,2017-09-01,0.9485995803092622
中国A股最垃圾板块就是区块链板块、跌浮最多腰,47227,2017-07-19,0.08866415776833003
恒生电子本月无行情，信不信由你,40683,2017-07-10,0.9173329819220457
老夫子闭关修行中，请勿偷窥[献花][献花][献花],284181,2017-05-08,0.2825056799700222
恒生电子(600570)融资融券信息(08-08),22699,2017-08-09,0.9288070830497688
短期上涨趋势未坏，不必过于恐惧。 注意控制仓,103265,2017-08-04,0.705542804009258
名乎利乎道路奔波肠碌碌，来者往者溪山清净且停,25160,2017-08-18,0.15070196198296404
散户必看炒股格言和现金策略！     孙子云：先,72506,2017-03-28,0.08037291965991733
[心碎]IPO发行不减速，漂亮50必将是永远中流砥,6757,2017-06-19,0.9834726864566153
祝贺持有恒生电子兄弟姐妹们，恒生主升浪来啦。,12418,2017-09-01,0.37359603766299354
对恒生电子的看法，不认同的勿骂，仅供探讨，勿,29904,2017-08-30,0.8594262312548366
哼 恒生电子 同花顺 赢时胜 已经出新闻了 周一 ,12873,2017-09-01,0.987828980992003
怎么今天早上突然间唱空的少了那么多？,7197,2017-09-01,0.18924542910981634
金融AI龙头企业，业绩增长超预期,58330,2017-09-01,0.9921812425890012
600570恒生电子 此股持续持续震荡上行，今日盘,13146,2017-09-01,0.6934297126844515
小目标200元见,6450,2017-09-01,0.6222175066104535
第一批四款智能产品已发布，年底第二批又将发布,18663,2017-08-30,0.06987525938164596
恒生电子2017年业绩预增100-200倍！期待。,68411,2017-08-21,0.9118233528527228
唱多狗，出来，你们几个唱多的目的是什么？托，,6178,2017-08-24,0.9752331245235906
今天最后一冲，涨停板出货，下周追高的，没有出,9448,2017-09-01,0.8730008709421282
恒生电子9月1日打开涨停,22761,2017-09-01,0.09253708787824189
业绩高速增长，龙头地位加前瞻布局正在兑现,45841,2017-09-01,0.7815823560856885
空托害人，要打掉唱空的门牙，还恒生股吧正能量,4417,2017-09-01,0.035556216339723834
写在中报前，明晚出中报，如不出意外中报将较一,23918,2017-08-29,0.8752485926112875
收入增长超预期，加大Fintech创新业务投入,32420,2017-09-01,0.9909035194459658
区块链板块表现抢眼 恒生电子涨停,31493,2017-09-01,0.9127026367500466
恒生电子今天果真开始回调暴跌了,6099,2017-09-01,0.6268165701568604
0.98元业绩江苏银行次新股股价不到10块仅此1家,49441,2017-04-30,0.04997406222880718
上半年收入较快增长，产品、客户均有突破,46907,2017-08-31,0.9988820491065248
很多人都一把年纪的人了，说些有技术含量的话，,6252,2017-08-31,0.8536970032408855
昨晚就说 今天比谁跑的快,6519,2017-08-28,0.5347289296334946
恒生电子还在吸筹震筹阶段，买入别动就可以了！,15516,2017-08-31,0.9602590056515635
今天高位收绿星，大家如何看,16903,2017-08-31,0.4404714150476192
A股恒生电子拟3.67亿元收购大智慧香港51%股权,62116,2017-08-31,0.9923918498379001
不有效突破50.5元，千万不要轻举妄动！,21058,2017-08-25,0.3300480187329564
恒生电子中报点评：业绩超预期，控股大智慧（香,52088,2017-08-31,0.9704127742833774
营收净利双增长，持续构建Fintech生态圈,45246,2017-08-31,0.8654084315533715
今天的走势完全在我意料之中，高开低走，冲高诱,11305,2017-08-31,0.9815844641670055
业绩超预期，Fintech逐步落地,40841,2017-08-31,0.9490524099931088
没有任何人审视和怀疑收购大智慧（香港）的目的,22286,2017-08-31,0.9994612417873707
今晚业绩公告出来，明天全部套牢，尾盘肯定跳水,13589,2017-08-30,0.31399351711744306
看你们叫多叫得那么过瘾,明天我砸死你们,7142,2017-08-31,0.9389808182600606
恒生电子：拟3.67亿元收购大智慧（香港）51%股,193627,2017-08-30,0.9907651028560156
建议恒生电子去收购大智慧，现在他老爷子要卖股,22442,2017-06-08,0.910081451825974
恒生电子(600570)融资融券信息(08-11),15925,2017-08-12,0.9288070830497688
600570:恒生电子关于收购大智慧(香港)投资控股,53754,2017-08-30,0.9996060355208971
高开必然会低走，不信等着瞧,5321,2017-08-30,0.06423977433896744
攻守并重，科技为王,37542,2017-08-31,0.8558423028275878
从恒生170多跌到40多，我回来拿回我的东西。,1090067,2015-12-22,0.03891450724865064
了不起的马云，了不起的蚂蚁金服，了不起的恒生,23148,2017-08-30,0.7273714125354308
600570:恒生电子关于2017年二季度购买理财产品,26533,2017-08-30,0.6320631058536873
600570:恒生电子2017年半年度报告,92611,2017-08-30,0.7375009468349679
恒生电子总市值才300亿，一年营收20多亿，利润5,19651,2017-08-30,0.11216992358060118
600570:恒生电子2017年半年度报告摘要,51540,2017-08-30,0.883562215827549
恒生--全球顶级抗癌药，中国拥有自主研发产权,8958,2017-07-30,0.9997878165850281
建议恒生电子半年报后停牌---等待消息。,23476,2017-08-29,0.22801414638467754
~~来自主力的内部消息,7862,2017-07-29,0.5842094947659204
快跑啊，拉高出货了,6069,2017-08-30,0.6995479308156308
今天清仓或者卖了一部分的，进来报道。点个数看,6186,2017-08-30,0.7721488439220093
明天的走势可以参考8月21日！,11988,2017-08-29,0.05420544659538806
本月回调45元，下月跌到35元，年底到25元。,6503,2017-08-29,0.0006512717218092323
今天18.02全清金证，43.78全部换入恒生。已有2%,15526,2017-06-20,0.13764843620888956
我被唱多的害惨了，就不应该抱有侥幸心理，现在,9343,2017-08-29,0.7790764513524265
未来之星,11131,2017-08-29,0.817493067722386
恒生电子(600570)融资融券信息(08-04),21053,2017-08-05,0.9288070830497688
今天的走势可以参考8.18号走势,5228,2017-08-29,0.41341847350357064
科大讯飞大跌，明天恒生危险了，不跑就等着套了,13729,2017-08-28,0.07799661666213131
600570:恒生电子关于控股子公司杭州恒生网络技,153342,2017-08-25,0.8550253456288791
恒生电子从6月6日开始温和放量，说明主力已经悄,32087,2017-08-22,0.2195595911581163
恒生蓄势后，股价将绝尘而去，甩空托10条街。,19837,2017-08-25,0.2830333664769584
恒生底部潜伏的，利润都有40%多了,坚定持股。,12153,2017-08-28,0.10719671099315509
2014-2017年茅台走势，就是未来恒生电子轨迹。,8285,2017-05-07,0.994595234332144
昨天我睡在医院的病床上听到人们在议论“股市跌,246103,2017-05-08,0.8079625216201504
港仔说走了！,144519,2017-05-23,0.8176962151797116
恒生网络是有限责任公司，破产就完了，和恒生电,11857,2017-08-25,0.14420532499770822
[抄底买入]漂亮50中国股市的心脏；沪深300中国,3274,2017-07-18,0.999900918508599
监管科技第一股                  境内外交易所,7303,2017-08-26,0.8224813749209126
科技监管第一股--恒生电子,13553,2017-08-27,0.9419153113590554
下半年机会最大的股---科技股，券商股。,10947,2017-08-27,0.2487335103396192
周一估计低开5个点以上，冲高是跑的机会,10846,2017-08-26,0.30249214531032553
吧里就这么几个人，天天唱多为了什么？就是让散,5829,2017-08-27,0.9884951160027017
恒生网络问题解决，为蚂蚊重组恒生铺平道路。 ,17612,2017-08-27,0.1665391428479469
计提的骗局。 即然16年计提了，说明公司认罚，,18333,2017-08-25,0.16069190458803984
精拥抱监管，HOMS正在落地,22944,2017-08-26,0.9983597615033843
啥也别说了，周一跌停！！！！,14682,2017-08-25,0.08032014191471082
恒生电子(600570)融资融券信息(08-25),10469,2017-08-26,0.9288070830497688
600570:恒生电子关于控股子公司杭州恒生网络技,181415,2017-08-15,0.8550253456288791
利空出尽，静待东风,51182,2017-03-28,0.4968106437270913
转自软索索套猛虎的：未来的风景---以公开资料,12475,2017-08-24,0.9284264638462794
今晚恒生说东方财富也是恒生的客户,9367,2017-08-24,0.5147213293469405
恒生电子需要一个涨停板来告诉世界:我才是这个,10227,2017-08-20,0.9840880095521843
我是全仓加融资，胜败在此一举，坚持三年。,12756,2017-08-24,0.9122723714017308
狗庄还敢他妈的装逼！,9068,2017-08-10,0.13886508303703704
明天不涨5个点以上，朕直播   ！为什么不是涨停,11282,2017-08-23,0.06620135096500657
看来我最低位说得就是对，这个庄家机构确实是拿,11348,2017-08-22,0.3815794529777028
错过科大讯飞的游资不会错过恒生电子[胜利][赚,23146,2017-08-17,0.9669872919960459
放心拿着，50以下算我的。我的目标价是85元至11,10844,2017-08-23,0.4943649867209481
只要你握住恒生筹码，将来你必定富有。,9912,2017-08-23,0.9723248860732284
大盘突破3306点并站稳后，才是真正的反转牛市。,6472,2017-08-23,0.90830478568023
恒生电子(600570)融资融券信息(08-18),10777,2017-08-19,0.9288070830497688
甲午123: 如果你想挣大钱，请不要再发言了！ 你,11444,2017-08-22,0.2892339599040631
延续美国炒作方式，科技股集体爆发，关注恒生。,19579,2017-08-22,0.9895920024674352
不要拿讯飞和恒生来对比，他们两个公司做的产品,18250,2017-08-21,0.6174930662712186
恒生电子未来市值上万亿的N个理由,79180,2016-08-25,0.8395657815273667
人工智能超级翻倍牛股明细：,21532,2017-08-14,0.5908978856050601
证券朋友说，恒生电子已经在顶部，随时会调整，,15776,2017-08-20,0.4546963247854492
有没有另外一种可能？,22887,2017-08-15,0.5737202020089853
人工智能+区块链综合实力第一股---恒生电子,16461,2017-08-17,0.314868646000215
600570:恒生电子关于控股子公司恒生网络有限公,94340,2017-08-18,0.567132635029558
还是玩玩这个,22967,2016-11-17,0.787321231617694
唉 中国股市 就是博傻的过程,31318,2017-07-21,0.9599682850168194
揭穿价值投资的鬼话，如果真要价值投资，招商银,19726,2017-07-18,0.9997151511106501
昨天我卖了科大讯飞买的恒生电子,9418,2017-08-18,0.5788881600721305
美股大跌，明天大盘要跌，估计恒生电子跌幅会非,10835,2017-08-18,0.2976017054044754
主力筹码已经到位，恒生电子主升浪即将来临，,10584,2017-08-17,0.9989942838369068
600570:恒生电子关于收到云汉投资等公司的权益,118912,2017-07-20,0.8606895802699682
恒生电子8月17日盘中涨幅达5%,11790,2017-08-17,0.09912229367837322
恒生电子：13个向下的日线缺口，还有比你更凶险,44797,2016-07-25,0.7391731878570361
恒生获金融智能中国第一，讯飞语音智能中国第一,30681,2017-08-01,0.9993335845207073
恒生电子：区块链板块部分个股大涨恒生电子股不,7923,2017-08-15,0.08480769446530068
祝留下的兄弟 ，连续涨停，我撤了，总共赚2万 ,9493,2017-08-16,0.329559760075946
利空出尽，恒生网络破产，恒生电子明天涨停,20753,2017-08-15,0.3381976523857215
一个恶心的人.装女的.卖弄骚姿.,11531,2017-08-09,0.025247419871951338
今天满仓恒生，长线持有，不为诱惑，定力坚决。,20314,2017-08-08,0.16958411161508913
有望追赶腾讯的未来之星 马云和马化腾在中国首,12686,2017-08-13,0.9586765227914195
恒生电子执行总裁官晓岚：金融科技有助于金融业,17327,2017-08-11,0.9999716422245495
套人开始 哈哈哈哈,6820,2017-08-08,0.9310003349701869
全球瞩目的五大行业---10倍牛股在其中产生。,28770,2017-07-07,0.7326980736371795
互联金融股枯树发芽，整治业已结束，恒生终于解,22820,2017-08-06,0.9983198759601374
快点宣布恒生网络破产，恒生股价三涨停，蚂蚁资,18130,2017-08-08,0.299089563800257
恒生电子---下一个茅台,55600,2017-06-29,0.6267580028760126
42.1清仓走人，退出股市，明年好好工作了，入市,24335,2017-01-19,0.9902357093487671
600570:恒生电子关于子公司杭州云纪网络科技有,97571,2017-08-07,0.9272153256180146
上证大盘涨了660点，恒生电子现在还跌80%。,6432,2017-08-07,0.7995931042603723
恒生电子：上升旗形整理突破之后操作分析,333745,2016-06-20,0.9957349399870397
