标题,帖子数,日期,情感
比东财净资产高6分业绩多4分，股价对折！,12682,2017-08-28,0.5992403384895921
掌趣可以买了吗？,134901,2017-07-22,0.48244778683568157
网禅大涨、掌阅科技申购、新游戏推出；不涨都难,10730,2017-09-01,0.9707294526573514
我继续空仓！！,6259,2017-09-01,0.12340342327978948
如果掌阅的发行价是4.05！,15321,2017-09-01,0.6490937951752167
拳皇98英文版全球129个国家排行每日跟踪,9158,2017-08-31,0.3253981383919141
2017下半年掌趣利润预测,22169,2017-08-30,0.7243582547121793
掌趣科技投资掌阅科技 -影子股,7503,2017-08-28,0.9826548224637864
掌趣科技三季报将爆炸性增长,16236,2017-08-31,0.8988711553121879
《龙族世界》不足以担掌趣反弹之重任.,6036,2017-08-02,0.8447669769115606
如此美丽,让你我盯大眼睛,204856,2017-06-26,0.9029850746268658
掌阅科技才是最大利空,14585,2017-08-31,0.6823187953780494
曝出股东减持高管频繁变动 掌趣科技CEO喊话“不,60127,2017-08-28,0.37745062361071413
哈哈大笑 转发：晨鸣纸业是当前A股最低估的好马,18817,2017-07-01,0.996508691753823
这么多空仓的白莲花在关心公司 股价居然还不跌,4276,2017-08-30,0.39680305397509275
掌阅科技 预估发行价4.05元 市盈率22.96 掌趣成,21152,2017-08-30,0.2130257364015562
拳皇98全球排名稳步提升,8452,2017-08-30,0.08734931817589964
掌趣科技(300315)大宗交易数据一览(08-29),41347,2017-08-29,0.48298246157084435
掌趣科技上半年营收8.27亿 多款新品下半年推出,33311,2017-08-29,0.8281881519100852
掌趣科技(300315)融资融券信息(08-22),6231,2017-08-23,0.9226490135563626
现在掌趣游戏在APP游戏畅销排行榜排名情况！！,15532,2017-08-22,0.0018433266786878066
下周又有10只新股发行，中泰化学（002092）短线,217384,2017-08-04,0.382771067437091
庄家没想到掌阅上市这么快，本来想再打压一个星,15728,2017-08-26,0.2816184124055209
我周五清仓掌趣科技，观点：从图形来看掌趣科技,34988,2017-08-20,0.8980265998717039
初音未来梦幻歌姬预约人数已近百万,8946,2017-08-28,0.9985496070779681
明天有戏了,15047,2017-06-28,0.5638658020767481
断档期收入下滑，下半年业绩释放可期,45476,2017-08-28,0.9949135424470603
掌阅科技下星期三正式在上海主板申购，掌趣科技,41589,2017-08-25,0.8486718601885126
林芝腾讯科技有限公司 其它 A股 55,417,497 2.8,13898,2017-08-27,0.568665366528678
咯咯咯咯咯咯咯 狂笑 狂笑 连续4年业绩翻倍，三,17909,2017-07-18,0.93964938302943
掌趣科技上半年营收8.27亿 “英雄无敌”等流水,79669,2017-08-26,0.9945455831378848
业绩快速增长，持续推进VR布局,56190,2016-04-28,0.9862666391703994
中报速递：掌趣科技2017年上半年盈利2.67亿元，,59050,2017-08-25,0.5442421983851521
“见我者爆仓”你就是个穷二代,6402,2017-04-24,0.4141843818774129
营业收入只下降13.35%！而研发投入增加27.47%,20469,2017-08-25,0.5711544030142025
掌阅科技,11215,2017-08-25,0.855989886746683
养老金基金已经进驻300315,18043,2017-08-25,0.5280608132482942
下周！！！！掌阅科技！！！开始申购，比想像的,12733,2017-08-25,0.12440880558246648
掌趣科技:2017年半年度报告摘要,48344,2017-08-25,0.8851388001031985
转载,34161,2017-08-23,0.8333333333333333
掌趣科技20元清晰可见,16808,2017-08-14,0.6873393149595002
继续做空掌趣已没什么意义,16760,2017-08-21,0.4055022025549718
15.00点集合竞价买入，起好是坏？,23707,2017-08-18,0.42025877588808114
掌趣股价正在挖黄金坑,29648,2017-06-30,0.5277009055321311
游戏产业增速强劲，掌趣科技-天润数娱-必将爆发,14037,2017-08-03,0.9996757110273283
掌趣手游《英雄无敌》在App Store 中国游戏畅销,15973,2017-08-18,0.9983637644247376
掌趣科技《龙王传说》全渠道预约开启 大IP更具,54463,2017-08-18,0.8904978540765894
揭穿价值投资的鬼话，如果真要价值投资，招商银,12476,2017-07-14,0.9997151511106501
揭穿价值投资的鬼话，如果真要价值投资，招商银,30625,2017-07-01,0.9997151511106501
腾讯会不回占据掌趣科技！！！如果现在姚文斌在,60267,2017-07-25,0.11593864779225471
估计还有低吸机会！！因为现在是主力吸货阶段！,13072,2017-08-16,0.29570443798588986
主力早该这样！！8元附近吃货多容易！！,15395,2017-08-16,0.07411697615977964
按现在的安排，掌阅上市时间在6-8周内,17176,2017-08-07,0.1647761345973462
