标题,帖子数,日期,情感
是谁说的3000点要有信心？结果股价都跌破2000点,20771,2017-07-26,0.22190745458592476
方正证券(601901)融资融券信息(09-01),2546,2017-09-02,0.8233030596223522
融资客决战国家指数牛系列！历史总是惊人的相似,10325,2017-08-29,0.9962274294160353
《北斗“卢沟7-7型”导航仪》,359537,2017-07-07,0.27816292460244896
铁心陪股友走完方正证券现价到16元全程,58413,2017-04-27,0.3450008027333823
券商股值得全仓买入和拼命捂住的根本原因,74708,2017-05-11,0.3936754425544208
今天为什么留一分钱的缺口不补,准备害人吗?,9740,2017-08-28,0.10181549964658754
0.98元业绩股价不到10块江苏银行仅此1家次新股,51294,2017-03-28,0.04997406222880718
咯咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业绩核,12059,2017-06-11,0.9997852423985036
哈哈哈哈哈 删贴啦 狂笑 狂笑 连续4年业绩翻倍,18987,2017-07-11,0.9479859752762466
咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业绩核弹,11062,2017-06-11,0.9973047606591834
哈哈哈哈 删贴啦 狂笑 狂笑 连续4年业绩翻倍，,17805,2017-07-11,0.9479859752762466
重大提示：方正证券投资者索赔须知,55512,2017-05-06,0.3165700704522061
方正证券(601901)解禁股信息(08-08),21806,2017-08-07,0.19824139041651712
读懂K线语言、明白它给你指明的方向,195283,2017-06-17,0.9947131420114268
2016年个人资金账户配置了一部分方正证券（6019,133975,2016-04-16,0.9753305427060021
方正证券(601901)融资融券信息(08-25),6105,2017-08-26,0.8233030596223522
进场: “双重改革”受益股,社保养老金标的股,6454,2017-07-31,0.9893200488469195
方正证券：上半年净利同比降六成 二季度获证金,22825,2017-08-24,0.2437136130894818
方正证券(601901)融资融券信息(08-24),4939,2017-08-25,0.8233030596223522
中报速递：方正证券2017年上半年盈利8.24亿元，,16399,2017-08-24,0.31808759188882185
[深度揭发]MSCI Inc.来了，漂亮50必将是永远中,7914,2017-06-22,0.9898933307019596
