标题,帖子数,日期,情感
思前想后：总感觉“步长制药”有什么猛料！未公,16651,2016-12-07,0.937641062827788
一支穿云箭，千军万马来相见！,12610,2017-06-13,0.8303165421255259
不涨,9275,2017-08-23,0.5451573818805234
顶死不涨[想一下][想一下][想一下],19391,2017-07-12,0.35374387406201013
业绩恢复高增长的心脑血管中成药龙头,165342,2017-04-26,0.9281489807888597
603858:步长制药对外投资公告,38229,2017-08-25,0.704386426610066
个人浅谈,23395,2016-12-16,0.6218350974482694
废物，还在探底，狗屎一坨……太恶心,14361,2017-07-21,0.3162255359208749
机构要配置步长，把不是利空的消息当利空，机构,150980,2016-12-11,0.3607758877635271
步长制药：上半年净利增12% 百年人寿两产品入驻,57392,2017-08-17,0.5556773252844738
603858:步长制药2017年半年度报告摘要,44020,2017-08-17,0.6843513336216378
中报速递：步长制药2017年上半年盈利6.78亿元，,28282,2017-08-17,0.27175868676034864
我老公的1800万已经打到我账户了，老同学的500,48466,2017-01-25,0.9530767944039653
步长走势原理（博士后导师讲解）,35235,2017-07-27,0.999300120722116
603858:步长制药关于竞拍取得控股子公司股权的,32264,2017-08-09,0.09697799606739277
603858:步长制药关于药品注册进度的补充公告(20,27827,2017-01-15,0.03692138129002975
603858:步长制药对外投资进展公告,43089,2017-08-04,0.7629120421803076
步长开板了，下手慢了点没有卖掉一板，干脆不卖,30447,2016-11-29,0.0345625816785079
步长制药药品质量再亮红灯 脑心通胶囊惊现毛发,73906,2017-07-22,0.0037733126121547444
603858:步长制药关于竞拍取得控股子公司股权的,40973,2017-08-02,0.09697799606739277
主力玩失守；意在测试有多少散户恐慌盘…哈 哈,16445,2016-12-07,0.7905679198583013
从今天开始,正式做“步长”股东了,坚决看好步长,17451,2016-12-07,0.5262327818078083
你们‘踏空’的“大傻瓜”天天就喊空喊跌，结果,16295,2016-12-07,0.5360242005826965
步长制药：毫无犹豫地加仓吸纳 [抄底] 加仓 [看,17021,2016-12-07,0.1270207285424948
步长制药 严重超跌！抢反弹 收红盘 [抄底][加仓,16377,2016-12-07,0.040686647899635386
“捉弄人”,勿上当！骗你在底部卖出后,大涨!,16790,2016-12-07,0.36267917515485637
到底是步长还是不涨，让我们一起揭开步长黑幕,63577,2017-06-04,0.8872476520364495
中央电视台步长制药节目网址,24448,2017-06-04,0.0456156272337791
从今天起步长连涨一个月！立帖为证！！,9895,2017-07-27,0.8210188612729792
寻到15年涨50倍的下一个恒瑞，要复制恒瑞需满足,12528,2017-07-30,0.9989926693485262
步长2017年每股收益大概率3元，66元对应市盈率2,17248,2017-07-30,0.07719919919048379
今天在医院开的药,22574,2017-07-24,0.6861002310938937
