标题,帖子数,日期,情感
沪指9月必到3400！ 10月必过3534！ 立帖为证 20,16444,2017-08-10,0.1443990680504228
大翻转！江苏银行突传利好！连续涨停！,32324,2017-08-05,0.6370426667840002
有没人给我打赌，老牛说周一低开低走，有反对吗,10761,2017-08-27,0.6889133717072375
老牛那个新希望木有什么搞头，那股尽是老鼠仓，,2232,2017-09-02,0.20664136093606977
次新股中0.98业绩,股价不到9元的就剩江苏银行了,19449,2017-08-25,0.7083116690364223
真正决定一家金融机构估值的 始终是募钱和管钱,14604,2017-08-31,0.9264332145671176
小散亏钱主因：总认为下跌是主力打压吸筹！,17570,2017-08-16,0.26381848535539043
江苏银行破发已成定局，又一个资本家马上要离开,112158,2016-07-21,0.0806223451651803
江苏银行(600919)融资融券信息(08-31),3900,2017-09-01,0.7552189392729688
次新股0.98元业绩股价不到10块仅江苏银行！,213980,2017-03-15,0.19224025824904822
江苏银行业绩一年每股盈利一元。拿五年。每股净,12391,2017-08-26,0.5352590734062214
江苏银行(600919)融资融券信息(08-01),18242,2017-08-02,0.7552189392729688
600919:江苏银行关于非公开发行优先股申请获得,58273,2017-08-22,0.009326334445653228
江苏银行半年报增长一成,8872,2017-08-30,0.8043949231603059
10倍！,25767,2016-08-02,0.3797539112416849
600919:江苏银行:中银国际证券有限责任公司、华,17508,2017-08-29,0.7243169895371955
中报速递：江苏银行2017年上半年盈利61.77亿元,36662,2017-08-29,0.2359849926091323
600919:江苏银行首次公开发行限售股上市流通公,22094,2017-08-29,0.17637618648859343
江苏银行：上半年净利近62亿元 同比增逾10%,25517,2017-08-29,0.05174635700511332
江苏银行最大的利好就是困扰持股心态的主要因素,16028,2017-08-26,0.8073490048186088
600919今晚发布半年报公告：业绩增长10%，不良,19206,2017-08-29,0.864105202821361
江苏银行明天不涨到9元3我准备吃翔。,11776,2017-08-28,0.030159140128624418
老牛出江苏银行加仓新 希望,4790,2017-08-29,0.4979005408013295
放心吧！沾上江苏银行会叫你一生都内牛满面！,22985,2017-08-15,0.5660118969268373
[成交满仓]漂亮50中国股市的心脏；沪深300中国,6518,2017-07-17,0.9992162288342874
[牛毛估估]女士们先生们朋友们！战胜内心的恐惧,6883,2017-07-24,0.9957056503555471
毫无底线，刘主席和江苏银行都毫无底线，谁是妖,23455,2017-07-31,0.9765407710482754
我才开始买，就疯了好多人，有意思，本人准备陆,5579,2017-08-18,0.8291346900535561
江苏银行(600919)融资融券信息(08-24),6299,2017-08-25,0.7552189392729688
600919:江苏银行首次公开发行限售股上市流通的,105401,2017-07-27,0.10865810687442978
江苏银行(600919)大宗交易数据一览(08-04),45462,2017-08-04,0.19460695412131312
江苏银行(600919)解禁股信息(08-02),53118,2017-08-01,0.14069047304426396
江苏银行(600919)大宗交易数据一览(08-14),36336,2017-08-14,0.19460695412131312
江苏银行(600919)大宗交易数据一览(08-22),30007,2017-08-22,0.19460695412131312
江苏银行(600919)大宗交易数据一览(08-08),41486,2017-08-08,0.19460695412131312
这个指标你们会用吗,好严重的底背离,又在放量,,11086,2017-08-21,0.957187093894999
600919:江苏银行首次公开发行限售股上市流通公,88508,2017-07-27,0.17637618648859343
华为销售额5800亿元与江苏银行合作意义重大！！,106182,2017-04-28,0.06676205971824423
江苏银行(600919)融资融券信息(08-18),8696,2017-08-19,0.7552189392729688
8月2日后，南京银行将比江苏银行高估20％,20144,2017-05-14,0.19008087576518362
涨时重势 跌时重质,7752,2016-12-20,0.10145839743169582
恭喜大家没被新增40亿流通股吓跑,29248,2017-08-08,0.8033045474164171
给大伙普及一下我用短短2个月时间不到炒股从10,9065,2017-08-15,0.015869441744400747
江苏银行(600919)融资融券信息(08-11),7095,2017-08-12,0.7552189392729688
善意提醒：别小看这次大解禁！（二）,44467,2017-08-02,0.11857825419376844
社保加仓: 怎么跌的就会怎么涨上去（荐股）,6485,2017-07-27,0.33216934332789494
周线MACD下跌不低于前低，股价创新低，走背驰，,8025,2017-08-10,0.27557747437582913
江苏银行是否出事了？,1071,2017-04-10,0.4015150467280073
江苏银行三阳开泰后有回调。回调价位是多少？,27546,2017-07-14,0.044408220657320197
进场: “双重改革”受益股,社保养老金标的股,3899,2017-07-31,0.9893200488469195
炒股有三大好处！,6529,2017-08-05,0.08068394025784953
周一收盘在8.5元以下。,7531,2017-08-05,0.08645231367192685
10亿融资客+1年套牢盘+46亿解禁=调整2年！,13084,2017-08-03,0.8557620625514567
这次解禁近市值450亿，按每天成交平均6亿，其中,11646,2017-08-03,0.07379280866336146
今天买了174手，不看了 年底再说,11957,2017-08-02,0.2540902091025252
江苏银行与华夏银行比较后 ：中线破净资是大概,28978,2017-08-01,0.053815901739191374
江阴银行请看人类内燃机工业革命时期美国为什么,6648,2017-08-01,0.8028708116962612
砸锅卖铁换苏行，新车新房带新娘，冲锋号吹起，,6854,2017-08-03,0.01709281983412725
价钱合适，今天买了一点。 主力敢买，咱为什么,40295,2017-05-15,0.5605447418130018
善意提醒：别小看这次大解禁！,31137,2017-07-28,0.283928902823098
江苏银行，彻头彻尾就是个骗子,7788,2017-08-02,0.07302898585066908
江苏银行明日涨停板！,15863,2017-08-01,0.9368301991331351
8月解禁规模环比上升19.3% 江苏银行解禁规模最,24020,2017-08-02,0.480426273012153
反向思维，今天应大力买进江苏银行,5903,2017-08-02,0.6447897232874559
我想问一下，今天抢的筹码是为了明天砸盘吗，还,5006,2017-08-01,0.4471922466984979
连续投诉了几天证监会都没有任何回应！骗子江苏,5461,2017-08-01,0.035581767104368556
江苏银行董秘应该下课，网友在询问时为什么不能,8287,2017-07-31,0.18060791247530605
举报江苏银行信息披露严重违规！！！它们披露的,7409,2017-07-26,0.5532277077999633
2017年8月2日，江苏银行限售股解禁58亿股,18807,2017-04-28,0.0009622501613082424
600919:江苏银行关于2017年第一期金融债券发行,45224,2017-07-31,0.9085651151823227
以9.08买回前以9.58卖出的江苏银行，可是还是掉,5540,2017-07-31,0.13027251623162328
江苏银行限售股解禁日期，有图不一定有真相,14153,2017-04-30,0.6012609040000094
江苏银行：短期关注分时缺口。,5284,2017-07-28,0.881018429389135
江苏银行：本人以连续净买入的实际行动，支持下,12947,2017-07-21,0.8857231669091186
老牛iliepr的新希望,3682,2017-07-24,0.7558076469705025
宁波港601018祝江苏银行涨停板,13182,2016-08-03,0.8752237040434083
麻烦了！猜想系列1：在当下股东套现成风的环境,8109,2017-07-29,0.9712930253708654
麻烦了！猜想系列2：本来如果没有这次解禁基本,8030,2017-07-29,0.8096153798984321
下周一江苏银行不是跌停板我准备吃狗屎和猪粪。,9352,2017-07-29,0.7684625120483057
600919:江苏银行:中银国际证券有限责任公司、华,61872,2017-07-27,0.7243169895371955
江苏银行限售股解禁点评：江苏银行2018年后净资,11170,2017-07-29,0.05433045961386085
江苏银行解禁是巨大利好,11069,2017-07-28,0.4023045498703579
割肉单亮相！,4750,2017-07-28,0.560233823504819
怎么突然变成解禁40亿股了？还要不要脸！,9504,2017-07-28,0.06681383134087693
明天江苏银行不是涨停板我准备吃狗屎和猪粪。,13233,2017-06-28,0.7692124131423698
江苏银行股这两天徘徊不前，原因是8月2日限售股,13529,2017-07-26,0.007828891437744678
分析一下周k线。这周大概率收红，我觉得9.72左,5943,2017-07-26,0.6176070141235958
沪指大盘前期的岛形反转形态基本确立本波反弹已,12952,2017-07-17,0.9946149821326251
走势还可以，在突破平台后回抽，从10.19下跌8天,8331,2017-07-26,0.5799483640494022
