标题,帖子数,日期,情感
业绩不及预期，但是前两季度平稳,12412,2017-09-01,0.9176192801314947
我的天啊！热卷上4400了。河钢下半年利润高达15,12543,2017-09-02,0.9605282244426089
勇者胜,7683,2017-09-02,0.8490992695232285
下周一5.49元开盘,17115,2017-09-01,0.2986645628714796
河钢股份：钒产品产能2.2万吨 钒产品涨价对业绩,205417,2017-07-29,0.9985598342893768
迎接第三次革命！,60995,2017-08-15,0.864405653466498
爱国吧,62976,2017-07-31,0.8571428571428571
年利润200亿！,91747,2017-06-30,0.17671076220305915
今天去了雄安概念股和券商股约20家的股吧大力推,7824,2017-09-02,0.03884601921361297
吉而祥兄弟/说说你下周要唱多或唱空河钢?,3424,2017-09-02,0.9992087663066888
按重要度:     1、优质钢企;       2、钒钛垄断,5850,2017-09-02,0.6160436641098052
2017-9-1公告,15453,2017-09-01,0.4737672181921908
河钢产垃圾中的垃圾.接下来将是下一轮的暴跌,9900,2017-08-30,0.6876190092369941
上方抛压那么重，还进的是有多蠢、,10187,2017-08-30,0.0863861682140854
一颗红心，二手准备！,13609,2017-08-31,0.0512657746883205
今天早盘买入的，明天上午冲高获利了结,9093,2017-08-30,0.45034903008389315
河钢宣工业内率先与雄安新区开展深度业务对接,55165,2017-09-01,0.9997213926002128
今天河钢股份是雄安老大[胜利][胜利]，4.23成本,37630,2017-07-19,0.9965428327936152
3季度报告来了,16838,2017-08-30,0.6919982948978743
无风不起浪,13908,2017-08-31,0.2619688907935418
IFII,13013,2017-08-30,0.5
长阴过后阳驱雾 春风又扶桃李颜,26261,2017-04-03,0.8418981633183388
000717 5倍市盈率，前三季度每股收益0.72元，四,2289,2017-08-31,0.6220834359815125
交浅勿言深，情深不刻薄 哒哒曾几次提醒我说：,14819,2017-08-18,0.9049509733578533
展示一下咱的短线能力[胜利][胜利][胜利][胜利],7077,2017-08-25,0.9981597202634322
河钢股份(000709)融资融券信息(08-31),10141,2017-09-01,0.9988396190344306
亚飞投资伴随“废铁”一路行！！,57106,2017-02-21,0.9740700005315377
河钢股份从公司基本面及发展潜力而言10元以下的,8838,2017-09-01,0.9996200293989536
河钢股份:关于设立全资子公司的公告,71755,2017-08-29,0.9852412727907823
唱空一天很有效果！河钢股份上涨4.39％股价报收,10627,2017-09-01,0.9984553788595408
股道教你盘中如何做T+0操作：,40435,2017-06-18,0.6242053051821247
2017-8-14公告,58071,2017-08-14,0.4737672181921908
河钢股份9月1日盘中涨幅达5%,12179,2017-09-01,0.7349065183768373
中报速递：河钢股份2017年上半年盈利12.51亿元,45718,2017-08-29,0.9885288554752587
河钢最大的问题是大股东及一股邪恶势力一直在减,7004,2017-08-31,0.9869074808641768
马上有人要说火箭两点发射了，准备一下,18159,2017-08-15,0.2419964950793979
河钢股份超级资金一直在流出！严重弱于大盘及钢,12485,2017-08-31,0.9999011995807888
河钢衡板马口铁产品首次出口俄罗斯,30259,2017-08-31,0.9872555706518219
哈哈 000488晨鸣纸业，最少涨三倍。,6410,2017-08-01,0.9856172771384978
三大执法部门全面介入,10786,2017-08-28,0.29287155908108564
河钢只要一次封板？必形成连续七连板！如果明天,20505,2017-08-28,0.9951210708473203
4.88卖一半，4.93接回，你进我进，你退我退，我,3942,2017-09-01,0.0028213415277777987
河钢股份：60分钟反弹继续中，形成顶分型卖出（,4233,2017-08-30,0.9936506188815157
尾盘2笔9999买进，懂行的解释一下,8705,2017-08-31,0.004770948782420237
老钢你的下跌是为了更好的上涨吗?,14356,2017-08-24,0.9101454721438715
抄底！洗盘结束下午及明天将上涨！河钢股份公告,11990,2017-08-31,0.8901720961423017
河钢股份(000709)融资融券信息(08-30),8396,2017-08-31,0.9988396190344306
河钢半年报！！,11250,2017-08-30,0.5896499049545663
河钢股份：30分钟图短线分析（2017年8月23日）,17996,2017-08-23,0.9978483674118089
河钢股份公告重大利好：业绩暴增205％，上半年,6149,2017-08-31,0.9973723960226941
开启暴跌模式，河钢重大利空！河北冬季限产方案,24339,2017-08-05,0.9988439914773838
明天可能直接低开跌停，上面的成效全部套牢！,21444,2017-08-06,0.5357757397673278
河钢股份:河钢集团有限公司合并资产负债表,40913,2017-08-29,0.9871100497803925
天天向上、明天记住你的诺言、若上升五点、你从,8009,2017-08-09,0.8974711908836381
河钢股份(000709)融资融券信息(08-29),8741,2017-08-30,0.9988396190344306
这么明显的圆顶，还有喊多的？[滴汗],15778,2017-08-14,0.38347246592769124
经过河钢这次最伤、最痛的洗劫，还是放手了，最,21797,2017-08-19,0.9988579345249258
今天终于卖了，随便一个钢铁，不需要任何概念，,12804,2017-08-03,0.2712691447657529
主营业绩稳健，钒钛锦上添花,73810,2017-08-30,0.8987045071892491
