标题,帖子数,日期,情感
A股短期有望进入超跌后的修复阶段,16731,2017-07-26,0.7859221503663122
海信电器连续几天涨停板，一定拿住了！,2706,2017-09-01,0.9305285678289406
海信周扒皮，貌似忠厚，实则奸诈。借海信电子,8379,2017-07-23,0.947745123275682
海信电器今儿价升量增，明儿大涨突破15元无疑！,4392,2017-08-31,0.9815650216747895
实战炒股口决： 十四工作线，来回做波段；突破,42742,2017-03-19,0.986755970349184
次新股股价不到10块江苏银行仅此1家0.98元业绩,20123,2017-04-27,0.04997406222880574
海信激光业务45%的股权去哪了？ 投资最大的痛苦,115605,2017-04-27,0.8529300313698368
四家电视机上市公司中海信电器最垃圾！ 七月收,2221,2017-08-01,0.5067878609815375
狂笑 呆子都抢 瞎子也狂笑 业绩翻倍 股0.99今年,6582,2017-05-25,0.4194537592806289
狂笑，瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,5667,2017-05-25,0.20940363332354495
咯咯咯 转发： 晨鸣纸业是当前A股最低估的好马,9290,2017-07-01,0.9958266154095441
耐心等待海信最后一跌,2255,2017-08-30,0.5665413004826363
海信见底（待打压加仓）,4637,2017-08-01,0.1241704561172331
海信：纵马挺进 后市看涨！,9427,2017-06-05,0.39649036561138595
海信电器：不离不弃 老道与你共睹红阳举升,10736,2017-06-27,0.8261058950407072
[亏大了]女士们先生们朋友们：中国漂亮50是一次,5215,2017-06-12,0.790020449429773
乐视与海信（今天开始看好海信）,19940,2017-07-17,0.32727236396410775
靓票：海信电器 西水股份 华资实业 佳讯飞鸿 中,13292,2017-06-14,0.9897471001016427
600060:海信电器委托理财进展公告,17687,2017-08-29,0.9385815309130969
刚“出生”就成老大，海信激光电视引发央视关注,563130,2016-10-08,0.8396971290600899
海信电器锅架队强势入驻，后市必掀起惊涛骇浪！,2330,2017-08-29,0.9904418302258666
6月份之后，买任何一支主板股票，收益都远大于,1430,2017-07-31,0.9530851573909173
海信电器受益于今儿发布的扩大信息消费闻见，大,8661,2017-08-25,0.7793195114381302
金证，汇金持股就一定涨嘛？波峰是出路？[微笑],1598,2017-08-29,0.9632424206557617
海信电器是典型的被边缘化的股票。老话讲墙到众,4957,2017-07-13,0.6167867628578821
海信激光业务估值！年销售额预估24亿，毛利润12,2509,2017-08-01,0.010205327035575529
海信二版七宗罪（大家来评）,16368,2017-07-02,0.23626232393216884
为什么要投反对票（海信七宗罪）,20118,2017-06-26,0.5021625885913438
明明业绩拐点来了。拼命搏傻！适可而止！炒是有,3258,2017-08-23,0.375977652648131
中报速递：海信电器2017年上半年盈利3.96亿元，,24417,2017-08-17,0.5459582309583565
海信电器中报太差，高手玩一把就跑！,3922,2017-08-21,0.16053833281782237
中报点评：激光电视前景广阔，证金持股比例提升,33450,2017-08-22,0.2708118089629321
海信电器今儿上套了，赶快把脖子伸出来！,6265,2017-08-17,0.953682568972298
成本压力大导致利润下滑,19142,2017-08-21,0.47972844869500986
寻底之路,33838,2017-08-18,0.5
海信电器庄稼有可能反其道而行之拉升！,6409,2017-08-18,0.4211925826270696
海信电器：上半年净利同比降近5成 证金公司大幅,40260,2017-08-17,0.07629568442616874
挖井挖出水了，叫‘井’！挖不出水的，叫‘坑’,2472,2017-08-17,0.05746352107863517
口臭 猪农民，发帖如女人裹脚布又臭又长,12869,2017-05-19,0.006033130034697964
海信电器中报818快点来吧，见证奇迹发生！,5124,2017-08-02,0.9736122743627553
以前95年买的电视机能用到05年都不坏。海信电视,5971,2017-07-20,0.9911154261670627
坚持把液晶屏坏了的海信电视无偿送给海信公司，,6902,2016-11-17,0.4584135409340073
自丛上次跟昭觉寺彻夜长谈后，我对海信的看法改,3065,2017-07-24,0.9103921726063586
今天还在卖的劝你一句销户吧,4066,2017-07-21,0.18265923229654146
连个中报业绩预告都不敢出，估计是烂透了，随时,4838,2017-07-26,0.04626000785468598
身在疯人院太久啦，不疯即傻。海吧就是疯人院。,4229,2017-04-25,0.3689076723999114
小心愰噹一声下台阶！[微笑]老套路,6414,2017-07-26,0.5331737109079292
海信电器：四月初八，买进,7269,2017-05-03,0.6791701990858195
黑天鹅这东西就是投资的一部分。,4750,2017-07-27,0.9395258154885959
又中签啦！谢谢碰瓷者！,3500,2017-08-09,0.07672395985951719
赶紧绿吧，好再加仓,1468,2017-08-01,0.17780341167051894
1毛穷酸，口臭猪农,9493,2017-05-12,0.5859278664082533
口臭农民，穷酸土狗,12875,2017-05-19,0.13393816672886782
1毛穷酸猪农，口臭讥讥歪歪,12420,2017-05-12,0.13190057488616558
穷酸口臭 猪农民,11894,2017-05-12,0.40745204892076015
穷酸龌龊 猪农民,12242,2017-05-19,0.8976001810432682
海信电器的周线、月线都处在下降通道中，有兴趣,1378,2017-07-31,0.6898176526678651
600060:海信电器委托理财进展公告,39713,2017-07-19,0.9385815309130969
空调变频技术,2008,2017-06-26,0.3533042578063502
海信科龙今儿跌惨了，股价低于海信电器了！,4902,2017-08-03,0.2347634165925545
水军从股价19开始，一直把价格唱到13， 天天忽,3663,2017-07-26,0.8323961179714796
正义之师威武之师胜利之师。,546,2017-08-01,0.16590434792911757
和尚继续加仓（看好海信）,3770,2017-07-27,0.09295552183357181
海信有重大杀机（月线分析）,6019,2017-07-06,0.8076491016846924
半年报预测（不乐观）,7511,2017-07-13,0.9787977682901302
海信大概率败诉。 当时起诉海信集团，按海信要,1725,2017-07-13,0.31709670155005065
~~指标走坏 换股走人,4523,2017-07-08,0.7886229997741806
“ 一观一 ”大傻逼成功召集了8000多的小散。,15861,2016-10-25,0.6737018132875578
一观一王八去乐视啊。那里要你去灭火。,9627,2016-09-06,0.9488728677555427
一观一 我玩死你！,4625,2017-02-11,0.6664002944073502
一次性反击！与农民n96一起剖析：碰瓷者一观一,5772,2017-03-29,0.3329460238319817
股市变幻莫测/看不准不做-看准了再做,152,2017-08-01,0.8960893694125146
大家一定不要慌，看好海信，让我们先走[大笑][,1268,2017-07-28,0.42880882589370006
海信电器今儿股价一举超越海信科龙儿欢呼雀跃！,196,2017-07-31,0.9925118236715971
给中国你好提个醒,2046,2017-07-26,0.8842923225960201
海信电器人工智能领域国内领先，收益这次文件！,8819,2017-07-21,0.9997712034157141
海信电器无人机技术领跑全球！,4021,2017-07-27,0.45602003914606215
海信电器聚好看用户超过一亿人，成为互联电视大,6023,2017-07-25,0.16020143774579243
@中国您好，你的康得新闪崩了,2882,2017-07-25,0.9681702027857121
卖了，亏一万多，分红没到，不要了,12356,2017-07-20,0.20354978847979144
下周个股，涨幅超70%,8798,2017-07-21,0.2944169019031727
海信电器今儿强势上涨，充分填权满堂彩！,8314,2017-07-20,0.8094559887477755
不轻易出手，后面有动作,1350,2017-07-18,0.6232668355534088
真的很担心海信新的中报和年报啊！,9793,2017-07-20,0.670664135958698
海信电器以科技创新为驱动力，研发据世界前列线,3949,2017-07-19,0.9927683365247196
创新体系，突破关键技术,3195,2017-07-10,0.9954878677802205
需要我们的执行力去保障,3073,2017-07-10,0.9078526095240033
3元垃圾海信，1毛穷酸猪农,6135,2017-06-02,0.32201633059755175
聪明者以静治动,让主力跳独脚舞,1361,2017-07-19,0.535388831618253
买股票就是要看势头，现在是电器版块是旺季，关,1310,2017-07-18,0.5859610456789925
海信的合理估值起码在60元以上，解读一下海信的,7446,2017-07-13,0.20024337838213346
海信电器半年报预增70%以上，千载难逢买入良机,14025,2017-07-13,0.8556047805762529
不要奢望有文化、有知识的人，等同品德高尚的人,5958,2016-11-17,0.9893556311824576
聚好看广告收入三年净利目标200亿！牛！,8217,2016-11-16,0.9433542635823494
绝地反击大阳线皆因该股罕见涨停,4042,2017-07-14,0.7008434246998864
狗托不死跌势不止,4558,2017-04-15,0.2994511875706315
苟延残喘乐视假老板自宫疗伤，钱烧完了一命呜呼,3221,2016-11-30,0.4450294477376674
大海让弱视颤抖,6635,2017-03-10,0.6400666676347188
从海信大股东减持看海信电器到海信集团对的激光,14409,2016-02-27,0.49391949890416853
阅读1 守株待兔之“俺农民”版 正午，耕田累了,4230,2016-02-27,0.9920595154361495
海信电器今儿分红登记日，只有买！买！买！,5710,2017-07-17,0.2342466924937301
海信电器高分红4.04元，登记日为7月17日！,8373,2017-07-12,0.053690195764066306
中国股民很滑稽。。,5148,2017-06-28,0.9599193348458203
好不好，买台就知晓,9496,2016-09-24,0.27967960304022166
