标题,帖子数,日期,情感
龙秋云,26630,2016-06-16,0.9936644464513876
资金大幅流出,7837,2016-07-05,0.5486976325915089
散户必看炒股格言和现金策略！     孙子云：先,53539,2017-04-09,0.08037291965991733
举报电广传媒高管侵吞国有和公众财产以及省财政,72673,2017-05-16,0.6737264379375588
电广传媒国有股权将无偿划转 实控人拟变为省文,32884,2017-09-01,0.03341404489572852
反面教材，哈哈,12705,2017-08-19,0.8908620702187424
~~难道要逆势拉升？,6367,2017-08-01,0.10931966369938695
2017年达晨创投有27家企业上市。,33903,2016-11-30,0.4734804055539352
000917就是一艘航空母舰，上面将搭载一千家高科,14985,2017-07-04,0.8854467937942917
重大利好之44；广东奥迪威传感科技股份有限公司,12668,2017-07-03,0.9851403011562943
本股神代表达晨创投宣布；今年超越深创投，明年,24874,2017-04-13,0.9999776560749385
重大利好之23；浙江双飞无油轴承股份有限公司即,22738,2017-03-29,0.5310381085281322
重大利好000917即将更名为；达晨创业投资集团股,32155,2017-01-09,0.7750409761793366
重大利好之39；宇环数控机床股份有限公司即将过,10198,2017-04-07,0.9634723110812593
重大利好之42；景津环保股份有限公司即将过会。,14263,2017-06-05,0.977198117233514
重大利好之24；创业黑马科技股份有限公市即将过,20667,2017-03-31,0.9770101780291558
重大利好17；300607拓斯达1月23日发行，002848,31208,2017-01-19,0.03970498496796626
重大利好13；利安隆1月6日发行价每股11.29元，,39097,2016-12-29,0.08075144326057782
重大利好之40；新疆广电网络股份有限公司即将过,18032,2017-04-07,0.9782231558681052
重大利好之21；达晨系ipo过会第3次梅开2度，广,17469,2017-03-08,0.11965937710894059
说了你才知道，我已经进场了。看好电广传媒，胆,68332,2017-05-13,0.11798292627373264
股灾之后，公司股价已有相当安全边际,270037,2016-01-20,0.28195446553295456
我是否该去长沙参加股东大会投出反对票？顺便到,8263,2017-07-23,0.7768163847257787
达晨财富财信在收割期立马转成财智管理。达成创,7535,2017-07-03,0.3642620209263969
今天开始。电广在未来的14个交易日内。趹的你目,10693,2017-08-22,0.5514413531491489
电广传媒公开发行面值总额不超过20亿元的公司债,22196,2017-08-06,0.03848831442096423
大家来报一下电广持股成本，哈哈，我持股成本18,16607,2017-08-10,0.03724662385233224
传媒的股东们应该多吃点鱼增加营养,26409,2016-12-06,0.10529603444856062
雄安龙头，，电广传媒,12110,2017-04-13,0.2611991796417945
好心相劝 昨天我提前说会收一根大阳线，虽然大,10554,2017-08-14,0.06949207631361098
吃套很久了,48677,2017-04-27,0.775195693990809
电广传媒:2017年半年度报告摘要,52358,2017-08-11,0.5497047920419924
想要证明投票有假，可以在此发个帖，看看有多少,5452,2017-08-01,0.8246930462885396
电广传媒:关于获得中国证监会核准公开发行公司,56519,2017-08-07,0.22420124264796248
电广传媒这货随时利用大盘不稳杀跌！,27113,2017-06-23,0.195751616014612
炒股27年了今年亏的最多，要怪只能怪自已全仓了,32020,2017-07-03,0.007886857753181875
各个股吧涌现大批机器人，没有头像、自言自语且,6142,2017-08-04,0.2780535849524056
电广传媒:2017年第二次临时股东大会决议公告,44473,2017-07-31,0.31604646610168174
热烈庆祝决议通过，打脸反对的无知小散[鼓掌],9107,2017-07-31,0.8174022053540659
电广传媒:关于召开2017年第二次临时股东大会的,30453,2017-07-14,0.363097404161856
不反对一下都对不起股票下跌引起的不爽心理,2275,2017-07-31,0.3817290281497314
没有电广却成天在电广瞎逼逼，除了他是个神经病,6622,2017-07-29,0.819003567991875
没娘的娃娃早当家--纪念000917被芒果TV抛弃,14295,2017-07-13,0.9546330312332604
360917,买入价格1，买入数量2,希望大家积极投票,5962,2017-07-29,0.5
我没有理由不投你反对票，没错，是反对票，你给,5509,2017-05-07,0.06374579337647324
没有电广传媒股票，但是我有了投票权。7.31坚定,6637,2017-07-26,0.7018073695084589
电广传媒:独立董事关于豁免湖南广播电视台履行,35096,2017-07-14,0.6433708149849753
股东大会我投赞成票！,8544,2017-07-22,0.7262942247534514
进场: “双重改革”受益股,社保养老金标的股,20995,2017-05-20,0.9893200488469195
只有坚持不断举报才是正道！相信正义只会迟到但,11057,2017-07-09,0.9510476538198577
看看电广已上市的持有公司股权，大家看看,11767,2015-11-09,0.331293130902092
公开建议。1本次临时股东大会会议，希望中小投,28676,2017-07-15,0.04280469091367456
征集百分之十股权，申请召开临时股东大会,8004,2017-05-25,0.5199366505987375
下周周四电广传媒出半年报。妈的，这个狗日的太,10214,2017-07-21,0.19839476492623287
电广传媒:关于豁免湖南广播电视台履行避免同业,57415,2017-07-14,0.4531036202369776
电广传媒将成为奇虎360的主要大股东,46094,2016-01-13,0.10850879043490269
电广传媒:关于创投项目首发获通过的公告,62032,2016-12-12,0.34807644816425554
电广传媒:关于投资收购杭州妙聚网络科技有限公,39990,2016-12-15,0.9772525073894172
电广传媒:第五届监事会第六次会议决议公告,25069,2017-07-14,0.0243573192595391
省文资委接手 电广传媒“二次创业”路径明晰,56619,2017-05-16,0.7813124479589185
是教会徒弟赚学费还是俄死师傅哈哈哈,2133,2017-04-30,0.28017480346711543
爆拉到24.88、10万个股东喉咙发出的声音哈哈,4179,2017-04-30,0.06741658699798891
宁波港601018祝天电涨停板,19108,2016-07-25,0.7791348752086941
没有无缘无故的爱,6800,2017-05-22,0.3869297411770112
龙秋云下台，电广传媒更美好！,6974,2016-12-27,0.8480933551030208
电广传媒:2016年度分红派息实施公告,65375,2017-06-30,0.39892420375980775
电广传媒，短线赢的几率大!,28640,2017-06-07,0.534913024753585
广大中小股东顶起来，举报的多了就有效果了,27715,2016-07-05,0.5306167419309855
请真实报成本！,18471,2017-06-11,0.23806851814922292
嗅到360要发布重要公告：,11110,2017-06-30,0.4263561855558794
俺是个呆子，非常看好大跌后的电广传媒只是因为,180005,2017-01-01,0.050133914390465995
预测：明天上午10点15分电广传媒股票必将跌停，,20632,2017-06-14,0.2940095902129388
05到15大周期涨了十年，15到现在杀跌两年，鉴于,11935,2017-05-11,0.5014898654317916
给我27亿，我还你一个下金蛋的电广传媒！！,18950,2017-06-22,0.19576133678842988
看不懂,哎,T也能T飞自己,3231,2017-06-08,0.42581389983146645
龙总是个好人,10280,2017-05-24,0.9314043236267052
电广传媒30分钟K线图组合成标准的下降旗形，股,17593,2016-10-24,0.043032696503407575
电广传媒(000917)融资融券信息(06-14),6405,2017-06-15,0.653928710039548
