标题,帖子数,日期,情感
那个啥，我说后面大涨，楼主屏蔽了，嘿嘿，你懂,37176,2017-07-19,0.5908938020800305
如果您已错过腾讯，就不要再错过科大讯飞！,258612,2017-07-05,0.864401757101185
360手机vizza发布 将搭载科大讯飞语音识别 2017,7351,2017-09-02,0.7448232109959727
长远的不说，先给自己定个小目标：锁仓一年，不,103380,2017-08-18,0.15113641899063168
就目前的行情来看科大讯飞,20799,2017-09-01,0.8692855461455138
科大讯飞到底是乐视还是亚马逊？管理费营业费占,82072,2017-09-02,0.4207796303805531
解读讯飞中报：我看到了晨曦之光，伟大的未来！,49346,2017-08-09,0.8361058527306858
今天跳水原因已经查明！,48403,2017-07-11,0.3881304553445424
反面老罗的正效应,13513,2017-09-01,0.8302244262469204
依然坚持讯飞短期震荡整理，长期向好的判断。,13402,2017-09-02,0.8654595932990361
组团忽悠木有用,43058,2017-08-11,0.18497157775789286
心理阴暗的薛叫兽，诋毁科大讯飞就是误国害民！,5213,2017-09-02,0.9451491376953142
隆重公布九月初帝国讯飞仓位！,13607,2017-09-02,0.7784201319889289
《科大讯飞到底是乐视还是亚马逊？》摘评,5804,2017-09-02,0.3989675515321085
科大讯飞被炮轰风险巨大 周五开盘下跌,84762,2017-09-01,0.6555996615268647
科大讯飞莫非要弥补阿里、腾讯、百度带来的遗憾,132681,2017-08-16,0.14492222642669095
注意那高烧渐退的投机融资盘,129810,2017-04-22,0.8885142400362904
奶奶的主力一周出逃资金20个亿，散户投资者千万,8704,2017-08-31,0.9863038049554168
融资盘在罕见大对决,126374,2017-07-12,0.6027548425099842
科大讯飞2017中报解读,26477,2017-08-09,0.8582881137872326
一碗53元馊臭滴心灵鸡汤,106166,2017-05-23,0.02267132657819415
“48元果断低吸”撸凡达过街,59205,2017-07-06,0.15971409704972572
科大讯飞最核心的资产到底是什么,35938,2017-08-30,0.9725866681430059
科大讯飞,21035,2017-08-20,0.5517946718912456
看好，但希望继续探底，最好20元以下,171272,2017-01-18,0.28573431762457224
能不能把阿凡达的号封了，全是他的头像，看到就,88373,2016-09-12,0.030793447509355754
看来叫空做多的，套的不浅了，来个股权激励价13,19772,2017-01-18,0.8592221735986433
锁定了2元价差，成本又降低了，等待,82812,2017-02-06,0.10310372577790061
不要感到意外的是什么,14644,2017-06-27,0.9445642534888683
黔撸技已穷,71248,2017-06-03,0.44767845850986676
撸子的冬天,198307,2016-12-01,0.4546280053948576
外星呆瓜滴专注,49020,2017-06-29,0.8028718317826261
请分析，美股特斯拉于八月2日公布财报: 每股亏,8802,2017-08-09,0.46132757947395975
目前滴科大讯飞你玩不起,499774,2017-06-23,0.42492980600159047
进入只等002230成为世界级伟大公司，到时你也伟,214171,2017-07-17,0.3193952066614284
给每一个做空讯飞者的忠告！,32377,2017-09-01,0.18830920072379753
智能交互，优质价值个股：科大讯飞，建议波段，,4542,2017-07-19,0.20398014834349099
《千元讯飞笑春风》……,7509,2017-09-01,0.5754365305251516
科大讯飞滴上补缺口已完成,56980,2017-08-08,0.5013669985758956
闲人一指曰鸟毛,39210,2017-08-17,0.11363960021821784
你是相信美国麻省理工学院，还是长江商学院？,7710,2017-09-02,0.973656554653528
科大讯飞市值蒸发 50 亿，根正苗红的出身终究还,27651,2017-08-31,0.820596866675874
主力割韭菜割到手软一一一一一一一一一一一一一,8117,2017-08-30,0.902542726374522
参加首届投资者接待日活动简要感受。,33233,2017-08-11,0.9984350272169583
讯飞的庄家思维正在失灵，为什么,18607,2017-08-17,0.2916720233597895
我为讯飞盖楼至千亿市值,128373,2017-06-21,0.27369554736369783
科大讯飞看趋势应该是机构获利出局，前期的低吸,14307,2017-08-28,0.8015153691349715
科大讯飞语音机器人代替键盘记录法庭审判活动的,14473,2017-09-01,0.9655920225324905
科大讯飞到底值多少钱,58791,2017-08-24,0.32801094229250716
极具BAT潜质！值得长线投资！ 查查国内A股所有,13514,2017-08-10,0.7441082742657775
[兴奋]A股正在发生革命性的变化，去高市盈率正,10631,2017-06-05,0.9163831244508344
关键的是: 智慧教育，智慧医院，智慧政法三驾马,27337,2017-08-30,0.9977630368867624
讯飞是好公司，将来也可能成为象苹果一样的伟大,5075,2017-09-02,0.8868507135770012
广州中学今日揭牌成立，广泛使用科大讯飞的智慧,36291,2017-08-25,0.9919627399625862
薛云奎说的是财务，科大讯飞回答的未来,7558,2017-09-01,0.9519499259241311
今晚的。新闻联播当中当然指的是科大讯飞了，智,17932,2017-08-29,0.8888400060887208
壮观！气势磅礴！ 资本，巨浪滔天！ 我国资本的,36565,2017-08-14,0.9999917955255742
散户必看炒股格言和现金策略！     孙子云：先,49829,2017-03-21,0.08037291965991733
坚定持有的朋友，勿忘初心送给你们。,12033,2017-08-17,0.4043264177343996
我买的是人工智能的未来，不是现在的科大讯飞,8859,2017-09-01,0.7607558103730063
五问AⅠ国家战略,16275,2017-08-23,0.9645198339607424
中国第一世界第六聪明公司科大讯飞2000亿市值高,197219,2017-07-15,0.991891646064379
大家要理解刘庆峰董事长的战略思想。她要的不是,5667,2017-09-02,0.9997111692115052
撒狗粮,10791,2017-09-01,0.266510116144658
什么情况,9410,2017-08-03,0.3935742971887549
~~三浪三主升浪的龙头是军工，航天电子是领头,3346,2017-08-23,0.597809454038644
从今天起开始关注科大迅飞。现在（2017/06/29  ,104824,2017-06-29,0.8734108311585974
科大讯飞yy滴集中营,79991,2017-05-02,0.8056888780496834
昨日加仓的科大讯飞今日做了结，底仓仍在，继续,77862,2017-07-04,0.742234226887185
号外 人工智能催生“智慧医院” 科大讯飞将与江,19448,2017-08-24,0.875783988325615
二憨 别专注滴坑爹啦,87731,2017-06-07,0.5369101536072517
我要为亚马逊正名，也要为财报分析正名        ,14944,2017-09-01,0.9983691453291825
一些猜想,19066,2017-08-30,0.9375
两枚天量阴线滴科大讯飞还有得玩吗？,112372,2017-07-11,0.46087488865930326
并非不可能，国际视野下的科大讯飞,77869,2017-06-22,0.7259568265354709
哪天，讯飞每股收益达到近15元，股价又到多少呢,28797,2017-08-31,0.7615637647976335
建议追究华夏时报的责任，媒体不是法外之地,13673,2016-03-29,0.06381781589855517
薛教授的水平也不过如此,22057,2017-08-29,0.9551981530879006
一路好走 敬资本市场滴良心人,130241,2016-10-03,0.9983431410120575
不要低估砖家的水平，投资者应自重。,14886,2017-09-01,0.9714185221205685
人工智能将是一个伟大历史进程 —— 刘庆峰董事,62944,2017-08-06,0.9676050984791957
~~保护盈利头寸 该换股操作了,5984,2017-07-13,0.08363055190010582
大家来围观：我和大帝对赌，我赌本周周线是阴线,15986,2017-08-31,0.9943423011396563
写在科大股价即将挑战历史高位的话,41350,2017-08-16,0.9992177753854924
科大讯飞8月28日盘中跌幅达5%,29788,2017-08-28,0.037431861992251014
科大讯飞800亿市值遭质疑 半年报营收与净利剪刀,22202,2017-09-01,0.5078268363020468
下周多种攻击方式,22893,2017-08-25,0.9503854401249372
科大讯飞 ，突破50，就会一发不可收拾。,60797,2017-08-02,0.5040306081006075
科大，已经很明显了这两天已经在了49块区间游走,40835,2017-08-09,0.8506396577803812
没有看1000的信心,15272,2017-08-31,0.853566627706439
科大讯飞——可预期的世界级巨头,49442,2017-08-15,0.8552106984511326
科大讯飞惊人走势！,27164,2017-08-29,0.2349109779216929
重中之重的是，他是整个a股中的唯一一个！无限,27832,2017-06-28,0.9614766823771037
万古江山谁是主？登台讯飞才是主！ 今年绝对是,32165,2017-08-20,0.4000168895714399
秋天里的童话,111594,2016-09-01,0.9721394430678731
周五大涨，周线收红,23104,2017-08-31,0.3311985736848392
探索，科大暴跌的原因在那？,15588,2017-08-29,0.9752507962909633
还有逼散腆着脸喊融券的,17277,2017-08-30,0.17121453313403334
应流研发的航空发动机等都是填补国内空白的高科,4163,2017-08-30,0.7865732201592532
~~主力已经换股操作了,3160,2017-08-27,0.08932732537120425
科大讯飞(002230)龙虎榜数据(08-28),265468,2017-08-28,0.8435677484304678
滴滴估值500亿美元！科大讯飞。现在市值才100亿,168474,2017-08-02,0.28768579390684657
讯飞开放平台。 现在日服务量40亿人次。 合作伙,134652,2017-08-04,0.2589855020575532
减持一半，留一半清醒留一半醉！,11705,2017-07-05,0.9294961287136742
他山之石可攻玉，获诺奖时方知好！,5965,2017-09-01,0.7962788825539586
64.732抢进去2000股，不管了，进去再说,53925,2017-08-28,0.048124192256942866
一场关于估值的尴尬,21780,2017-08-31,0.5062303969422406
不忘初心~方得始终！多简单的理~记住,7205,2017-08-31,0.10571184318125448
