标题,帖子数,日期,情感
美的集团(000333)大宗交易数据一览(09-01),27665,2017-09-01,0.45906540217721215
9月1日深股通,11652,2017-09-01,0.030293698276076975
2200亿的美的和格力还有多少可比性？ 8月30日晚,9242,2017-09-01,0.31022991177498527
获利盘跑了，不坚定的跑了，下周将会暴力力拉升,3550,2017-09-02,0.6989778491302288
美的集团是MSCI新方案名单中仅有的两家家电企业,67019,2017-06-07,0.8195725973789199
美的集团(000333)高管相关人员持股变动信息(8-3,26817,2017-09-01,0.3836627048232888
去年一季度十大股东合计持股56.82%，三季度50.6,67282,2017-03-01,0.21108131262832075
美的集团：实控人何享健减持3233万股 套现逾11,168484,2017-05-15,0.3674072921889061
“家贼难防”？美的、老板、苏泊尔齐遭减持 “,72066,2017-05-18,0.17880298566505248
揭穿价值投资的鬼话，如果真要价值投资，招商银,37219,2017-06-28,0.9997151511106501
弃格力而追美的！时间是检验真理的唯一标准,18615,2017-08-25,0.6764316015026915
格力净利润增长47%！完全碾压美的！,17072,2017-08-30,0.7774210424355004
淡看得失，不怕你跌，就怕你没未来……跌到35元,7100,2017-08-31,0.48453586917561065
2017半年报点评：营收实现稳健增长，积极推进全,22937,2017-08-31,0.648344941137108
美的集团上半年净利润108.11亿元 同比增长13.85,19433,2017-08-31,0.8877755058703234
港资疯了！,10862,2017-08-28,0.3803601587841353
美的集团上半年营收增逾六成 净利润增长12.9%,9248,2017-08-31,0.5251429336145553
一大堆傻子说美的利润低的真的看的懂报表么？,11146,2017-08-30,0.036000964377147615
美的赚钱能力太差了 都是不赚钱跑销量的？,10188,2017-08-30,0.04568875876652245
KUKA半年报亮眼，家电业务增长可持续,70496,2017-08-24,0.8514969900815013
收入规模快速增长，库卡东芝业绩提升,23564,2017-08-31,0.9994678633831342
咯咯咯咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业,9260,2017-06-10,0.9987677757365996
超预期的，岂止空调,29403,2017-08-31,0.29540187669636386
美的集团，向百元股进发！,82981,2017-05-26,0.32649617917550455
美的集团:2017年半年度报告摘要,59953,2017-08-30,0.8750110072856706
美的集团(000333)高管相关人员持股变动信息(8-2,23131,2017-08-30,0.3836627048232888
2017年上半年，暖通空调收入500亿，同比增长42%,9019,2017-08-30,0.9741694856728931
美的集团：上半年净利108亿同比增14% 港资、证,56695,2017-08-30,0.9678803592476715
获利不抛的是主力的筹码！,91671,2017-03-11,0.6061969863806929
美的集团半年报增长一成,41752,2017-08-30,0.9352472917516947
本人持有格力美的快10年了。分享一下自己的心得,30099,2017-08-24,0.10111160397612795
中报速递：美的集团2017年上半年盈利108.11亿元,34190,2017-08-30,0.5203446605738732
两媒体人谁在说谎？,14828,2017-08-27,0.08056477215943847
美的集团(000333)高管相关人员持股变动信息(8-2,28786,2017-08-29,0.3836627048232888
17日深股通美的,11548,2017-05-17,0.22914007055047492
散户必看炒股格言和现金策略！ 孙子云：先立于,37283,2017-05-20,0.08329665475196413
美的，五连阳逼空，意义非凡！,20122,2017-08-25,0.9855250895387638
入场收尸:地产称霸南京，医美雄冠亚洲,3980,2017-08-15,0.2613908113232535
各位股友千万不要相信湖南金证咨询公司，这个是,6492,2017-05-21,0.04906886357924023
美的这个害人的企业 生产的冰箱对得起2000亿的,5767,2017-08-29,0.9444701493703659
现在除了电饭煲，其它家电不敢再用美的了,5365,2017-08-29,0.7043674641717532
靓票：美的集团 西水股份 华资实业 佳讯飞鸿 中,12768,2017-06-14,0.9886481658909481
8月28日深股通,10204,2017-08-29,0.0689040148178316
美的集团获37亿欧元银团贷款 库卡携手安得智联,35897,2017-08-29,0.993040250596027
美的集团(000333)高管相关人员持股变动信息(8-2,36191,2017-08-28,0.3836627048232888
8月28日深股通,9189,2017-08-28,0.0689040148178316
准备加仓美的！,23273,2017-04-11,0.45729723224734853
美的集团(000333)大宗交易数据一览(08-28),30515,2017-08-28,0.45906540217721215
有人说美的市值太高，我认为是太低了，和美的科,13623,2017-05-19,0.22325076161399882
坚定挖潜价值投资才是财富____________________,8375,2017-07-17,0.9649155048304365
美的集团(000333)融资融券信息(08-25),2854,2017-08-28,0.9155129568096231
美的，蓝海至尊，青春起步！,27036,2017-07-04,0.9999936157726662
美的35元见，看看美的的价值投资者断气没有,19095,2017-08-18,0.9976236469008625
8月25日深股通,13035,2017-08-25,0.0774429840813593
投资美的，投资未来         本人从2010年开始,21881,2017-03-16,0.9992527135823147
美的下半年最大金坑！,43500,2017-07-10,0.7079098661593802
美的产品质量太差了我已不买美的产品了！,17839,2017-07-15,0.16448958913633427
8月24日深股通,11188,2017-08-24,0.07697465480371102
8月22日深股通,11801,2017-08-22,0.098713111669964
库卡·美的·中国,31444,2017-01-07,0.9777782981264103
白家电炒完抄底黑家电？长虹康佳,5218,2017-07-05,0.6923662407680001
空调选择格力，手机选择华为，新能源汽车我们选,14120,2017-07-09,0.09761503294261353
美的25的半年收益，你动心了吗？,16949,2017-08-11,0.9897025869137093
笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今年,11748,2017-05-16,0.6533299212347706
美的---全球霸主的潜力蓝筹！,46759,2016-07-16,0.9777408202478464
期待---美的靓丽中报！,22989,2017-08-08,0.9919504757067911
个人觉得，不是美的有什么利空，也不是何总搞慈,14150,2017-08-16,0.7956140049929602
8月21日深股通,11531,2017-08-21,0.046903844013434726
请问现在还有人坚守美的嘛？,15035,2017-08-17,0.8474332285640076
整体市盈率下压 何类股不惧风雨彰显王道[6股],11084,2017-07-29,0.9727952680884173
格力美的的主力害了散户，害了自己，得益了港资,17113,2017-08-03,0.15551638827076364
能给中国股民争口气吗,32546,2017-07-21,0.918293476297661
上市公司用利润分红，再除息，对于股东来讲等于,19760,2017-04-08,0.17861078484813553
A股，向赌场回归！,8343,2017-08-16,0.8611630297213664
8月18日深股通,11891,2017-08-18,0.11809611988438529
8月17日深股通美的,11326,2017-08-17,0.11429791411645152
8月16日深股通,12447,2017-08-16,0.04247594383333764
（一个史诗级的漂亮牛）美国有“纽约”同时中国,13409,2017-05-21,0.9956303748923382
美的就像图片,12637,2017-07-26,0.8835507447319574
美的，会到300元吗？ . 未来，是智能机器人（融,16685,2017-03-09,0.9954539396534163
