标题,帖子数,日期,情感
18.97的本   从配完股一路下跌   还有比我高的,16673,2017-08-29,0.838249022231344
尔等误会带头和煎熬了，它们是这样的,19692,2017-07-27,0.916853806787601
赶紧跌下来啊。空仓了急人，跌下来好建点仓,26018,2017-07-19,0.0023792565213045513
西部的分时走势图极其难看，直直的拉上去，又直,29146,2017-08-31,0.07435868151125558
此段时间证券板块走主升浪无疑，但西部证券确实,21941,2017-08-31,0.9534589134656116
上证指数各均线多头排列，踩过5日线后继续上攻,8154,2017-09-01,0.25025191235052635
券商股值得重仓买入和拼命捂住的根本原因,67154,2017-05-10,0.22994020083370292
一心陪股友走完西部证券从13.52到30元全程,71146,2017-04-27,0.8079955370755766
->华泰证券+美国金融科技企业颠覆“金融系统”,284425,2016-05-29,0.9999687895317774
笑 瞎子狂笑 连续4年业绩翻倍，三年利润之和将,19208,2017-07-09,0.5546191684240064
小盘2.6亿次新股杭州银行发行价14.39业绩1.7元,32977,2017-03-28,0.7004243411165897
昨天虽然收阴线主力资金显示流出，但振幅不大股,18936,2017-08-30,0.15655877942308194
重复我的观点：三个月内西部会跌破前期低点12.6,36859,2017-06-12,0.11297788897093597
虽然我空仓，但我坚信三年必上20元。17.5.19,28445,2017-05-19,0.461900724975962
现在看空大盘，三个月跌破3000点。17.6.16,25126,2017-06-16,0.0266847436374138
空仓看空，看戏，看两个煎熬忽悠看多。,16483,2017-06-30,0.09968398664844791
大家说说西部证券怎么回事？前几天最强势，周五,35059,2017-08-26,0.23679833538845463
大家管住手，真么多托单，还得跌，不到14不买一,31189,2017-08-14,0.03108292867606688
今日回探半年线，预计缩量收星，属于上涨中继，,34073,2017-08-24,0.514787978386182
西部证券(002673)融资融券信息(08-29),7039,2017-08-30,0.8613526542713288
上证连续长阳逼空，疯牛阶段正式确立。,33212,2017-08-28,0.9631899764297498
好久没来西部吧了！下周一西部应该还要涨一天。,17295,2017-08-26,0.37467884456543976
次新雪崩上演大逃亡，明天券商扛大旗，蓄势充分,13682,2017-08-29,0.6931302259553251
中报速递：西部证券2017年上半年盈利4.37亿元，,12687,2017-08-15,0.38345894504581046
上证指数光头光脚巨阳创新高，意味着什么？看似,26323,2017-08-25,0.9940754606781624
西部证券上半年净利润同比下降25.7%,13667,2017-08-15,0.49399289154074566
西部两阳夹一阴架起了火箭炮，这种上攻组合都看,30539,2017-08-25,0.10250813593004648
进场: “双重改革”受益股,社保养老金标的股,6820,2017-07-31,0.9893200488469195
西部证券是个好股，今天实盘再战，祝愿自己也祝,14501,2017-08-24,0.8973579899792677
海阔凭鱼跃,天高任鸟飞，跟随风哥高抛低吸及60,28330,2017-08-23,0.5
已觉秋窗秋不尽,那堪风雨助凄凉！大阴之后西部,27506,2017-08-11,0.9649040792841482
老夫 15.40买入西部证券，券商出动，大家不要错,23774,2017-08-23,0.9031298440522042
