标题,帖子数,日期,情感
短期市场风险偏好修复，中期仍需谨慎,17306,2017-07-22,0.9708896637055577
散户必看炒股格言和现金策略！ 孙子云：先立于,47789,2017-04-15,0.08329665475196413
金证股份9月1日盘中涨幅达5%,6941,2017-09-01,0.03476273272389108
0.98元业绩股价不到10块仅此1家次新股江苏银行,46300,2017-04-29,0.04997406222880718
中报速递：金证股份2017年上半年盈利2031.64万,26807,2017-08-23,0.6949142899629566
金证股份：上半年净利降46% 二季度获证金公司增,42931,2017-08-23,0.8553900716105828
此股状态低迷，不放天量此股难大涨,33342,2017-07-11,0.040158727251800364
今天18.02全清金证，43.78全部换入恒生。已有2%,17903,2017-06-20,0.13764843620888956
也不再关注，但最终导致的结果,24360,2016-09-06,0.8637453393919914
超低估值机构扫货可能性大____________________,10023,2017-07-17,0.8509949174455376
600446:金证股份关于收到中国证券监督管理委员,58734,2017-08-24,0.13454997579966677
600446:金证股份2017年半年度报告摘要,35889,2017-08-23,0.8667419635467719
我和阿芸通过几次电话,7939,2017-08-04,0.18201021894008018
营收稳增，定增过会，证金新进,38918,2017-08-24,0.5326429515678983
600446:金证股份2017年半年度报告,37814,2017-08-23,0.7065878403244534
骂我疯子的过来看看金牌操盘手的精准操作吧,7717,2017-08-10,0.777941309398218
拉了啊,33669,2016-11-19,0.5093167701863355
17.80全面做空金证股份,9124,2017-08-16,0.7082120411221733
金证股份(600446)融资融券信息(08-18),6513,2017-08-19,0.9179155685762722
看下圣农增发批准后的走势就知道金证将何去何从,15462,2017-07-05,0.8791137861774303
600446:金证股份第六届董事会2017年第八次会议,32963,2017-07-28,0.2381528094060148
金证股份8月10日盘中涨幅达5%,19360,2017-08-10,0.06590148399793772
重大资产停牌公告 金证终于重组了,20600,2017-08-09,0.8422078251881775
今天有几个新的傻帽出来说我错过了今天的行情,6663,2017-08-10,0.9894883232828169
尾盘一把，骂我的跟帖,4019,2017-08-09,0.028850690022342973
周三金证要涨停了 还有没有上车的吗？,4462,2017-08-09,0.55925519643475
看看光大证券的高级操盘手如何卖掉跌的买涨得,5130,2017-08-04,0.2737329001299319
周五金证股份直接开在16元了,8233,2017-07-27,0.0543746708431978
价高亏损不如下全转买*一路一带龙头600307酒钢,30564,2017-05-01,0.6577179322898897
600446:金证股份关于为控股子公司深圳市齐普生,24879,2017-07-28,0.9469931872599995
17.6的有没有，望解套,6978,2017-08-03,0.6171540389667303
明天融资9倍杠杆，满仓搞[大笑],3576,2017-04-05,0.193712369200149
建议开盘卖掉！下来接回！,3820,2017-07-14,0.04739697950339139
下午涨停，铁证如山！！,6265,2017-08-02,0.3062390923795737
2017.8.3 今天会有一波比昨天更厉害的诱空,5947,2017-08-03,0.8457348906352982
三个交易日内给大家一个涨停,6003,2017-07-31,0.34506901022635617
昨天涨的最少。今天跌的最多。金证你老牛B了,5842,2017-07-28,0.7224650176464725
大家再耐心等等吧，被套了真的很难受，补仓N次,14581,2017-03-31,0.1015183106339167
我干四大股东他女马的逼，你怎么回复,5072,2017-07-24,0.07313084308626017
齐普生股份公司IPO 上市启动,9509,2017-07-31,0.28394326739126174
超她妈，卖了，这样都不涨停，看样子真的要跌，,7097,2017-07-06,0.3011183212090919
金证股份股东补充质押694万股,22768,2017-07-20,0.8475407034904464
给金证电话20多分钟的结果,15875,2017-07-26,0.1669063833905905
被这垃圾票快要整疯的报个到，我算一个，眼睁睁,7969,2017-07-31,0.013791111924352895
恒生电子还能红一红，这垃圾货也就带个绿帽子了,2533,2017-07-13,0.2657817489638924
逾半数上市公司员工持股计划被套 金证股份“最,151455,2017-07-28,0.048816739735537906
大家快去买大盘，大盘又张了,3485,2017-07-21,0.6569901411397654
600446:金证股份关于召开2017年第六次临时股东,20111,2017-07-28,0.4067507120880751
懂国外平台的请帮我去空恒生电子8倍杠杆可以了,4869,2017-06-22,0.2914943161354009
600446:金证股份2016年年度权益分派实施公告,55945,2017-07-13,0.7990967687337308
17元之下的金证股份只买不卖,4971,2017-07-27,0.11417632853043891
