标题,帖子数,日期,情感
TopGear对于95\55评测最新动态,6925,2017-09-02,0.8605269965465635
动动脑子吧，到底谁是好人！,7334,2017-09-01,0.5978672015278353
长安汽车 :好股值得买 比存银行好，有良心的企,16734,2017-07-17,0.4943318348523036
长安大涨7％，真的给力，真的厉害,10994,2017-08-22,0.917459089482874
刚在广汽传祺吧里看到的,13982,2017-08-30,0.8839837418749682
散户必看炒股格言和现金策略！     孙子云：先,40795,2017-03-23,0.08037291965991733
散户必看炒股格言和现金策略！     孙子云：先,36367,2017-03-25,0.08037291965991733
营收利润双双下滑，关注自主向上机会,33196,2017-08-31,0.9025117973463597
跨过去，你就是国之骄子，世界的雄鹰！,13432,2017-08-31,0.876191160489156
最近，大盘袭来一股下跌潮，什么法应对？,25483,2017-05-11,0.6929040880436333
没想到长安汽车的融资比建行高？,21931,2017-06-16,0.9421896133253163
一群二傻子，这股的质地比格力差么，业绩比格力,9942,2017-08-30,0.6514599000632089
不要在这个时候卖出，长安最后一次利空是半年报,16846,2017-08-28,0.7702006906784855
TopGear对于55评测最新动态,4528,2017-09-02,0.8605269965465635
长安将携CS95 CS55接受全球权威试车团测试，长,11195,2017-09-01,0.9464227358389891
看好长安的未来，价值投资理念坚定不移,6607,2017-08-31,0.9997504167113169
目测，会爆款！,11900,2017-08-31,0.5015998525304305
长安汽车:关于聘任公司高级管理人员的公告,29394,2017-08-31,0.4184295060212593
长安汽车上半年营收、利润“双降”,22736,2017-08-31,0.12243638768500542
长安B:2017年半年度报告(英文版),21624,2017-08-30,0.9335239483263492
1H17 a miss; strong earnings rebound unlikel,13628,2017-08-31,0.24213845548101032
长安汽车半年报降一成 证金公司增持,34852,2017-08-31,0.47037637835971347
一汽长安重组成定局；,19007,2017-08-22,0.8411670148384475
业绩来自 其他收益11.53亿（财政补贴） 去年一,18773,2017-08-30,0.9306110553704156
长安汽车半年业绩首次产销双降,28650,2017-08-30,0.958299837446474
安邦再次翻倍加仓。而且属于安邦旗下两款理财产,10833,2017-08-31,0.28985235056251
股友们，对于吧里没事玩着唱空的，最好的应对是,5840,2017-08-17,0.9927643622094625
长安汽车:2017年半年度报告摘要,33336,2017-08-30,0.9137631449909622
长安汽车:关于辽宁长安汽车销售有限公司清算注,19106,2017-08-30,0.7413205034517192
长安汽车龚兵：坚持两条腿走路 定制化是未来趋,8556,2017-08-29,0.8261703076491298
0.98元 你怕什么,14977,2017-08-30,0.32111822490846165
长安中报业绩起码40亿.,18807,2017-07-27,0.9273275237398745
赌中报，瞎胡闹，中报只有6大毛，见了中报看你,9031,2017-08-30,0.02496917549431754
长安中报预测,15431,2017-08-26,0.9831533119348264
长安汽车:2017年半年度财务报告,20652,2017-08-30,0.7969309526621642
长安--全球顶级抗癌药，中国拥有自主研发产权,7628,2017-08-02,0.9999764196175666
恩智浦与长安汽车达成战略合作,37494,2017-08-30,0.9771863294650033
长安福特31亿，政府补贴7亿，目前不知道马自达,10202,2017-08-30,0.4515097201651591
散户必看炒股格言和现金策略！ 孙子云：先立于,36748,2017-04-17,0.08329665475196413
科普知识：长安投产-双离合变速箱 6款车型陆续,4209,2017-08-29,0.9998635973830685
客观谈长安,11581,2017-08-29,0.6853308254654593
上汽的成功与长安的失败,20790,2017-08-09,0.896993166016414
中报业绩下降约40%,9678,2017-08-29,0.8139567497368932
不看好的傻B就滚远点呀！非得整天在这学狗吠吗,3415,2017-08-29,0.5182653477499346
这两年有谁在长安汽车上赚到钱了？,9975,2017-08-07,0.3341240793342942
长安汽车那么丑，业绩再好有什么用，分红率低,8451,2017-07-26,0.5936067378941292
论长安业绩腰斩的十大可能性，欢迎跟帖,15604,2017-07-25,0.7379941606359217
讲长安汽车如何如何有价值，你们脸不好吗？,7106,2017-08-28,0.4681847418583872
长安汽车，买了个新车不到十天，暖风不好使，厂,10077,2017-08-24,0.35646079384947915
长安极流,10066,2017-08-27,0.5058971795862762
长安汽车其实真的很黑，明明业绩大幅下降就是不,10667,2017-08-24,0.3798748143086529
身家性命都押上了！,11680,2017-08-25,0.2751587646955075
龚兵：长安汽车的调整期已接近尾声,26294,2017-08-26,0.9189368700723247
长安“生命动感”、“智色双旋”，长安汽车牛！,12221,2017-08-25,0.998042839995048
长安汽车:关于2017年07月份产、销快报的自愿性,99511,2017-08-09,0.8406738281003034
长安的自主车哪一款外观和内饰都好？能说出一款,8819,2017-08-06,0.9991654155752667
2017成都车展：长安逸动XT RS售价8.89万起,10129,2017-08-25,0.7705141051399003
长安自主利润呢？吉利自主车上半年实现总收益39,17393,2017-08-19,0.9813340517929527
本吧几个托假期也加班，吹牛不上税，长安本月迟,17823,2017-07-09,0.6739982627726485
