标题,帖子数,日期,情感
技术性反弹还是抄底反转,3139,2017-07-28,0.30192543826623375
上汽60日均线之下就是个坑,17719,2017-08-03,0.007705469618498606
今天上汽死定了--一定死死死死,35394,2017-07-20,0.421874597530976
空调选择格力，手机选择华为，新能源汽车？,10492,2017-07-09,0.061852604162027314
0.98元业绩次新股股价不到10块仅此1家江苏银行,36077,2017-04-27,0.04997406222880718
宁波港祝贺上海汽车,22572,2017-06-08,0.1007178036867109
实战炒股口决： 十四工作线，来回做波段；突破,48023,2017-04-04,0.986755970349184
资金去向,8728,2017-08-03,0.9046690327368399
揭穿价值投资的鬼话，如果真要价值投资，招商银,45269,2017-06-28,0.9997151511106501
这次该几连跌了？,10231,2017-08-30,0.552808957604335
再好的技术也需要包装 “互联网汽车”不火也难,17896,2017-09-01,0.20333156278935804
咯咯咯咯笑 狂笑，删贴啦 狂笑 瞎子狂笑 连续4,9537,2017-07-25,0.6574693802831071
上汽集团半年报营收增一成,8886,2017-08-30,0.28021547257068447
扣非增长12%，产品结构上移提升盈利能力,12473,2017-08-30,0.9304195963969026
上汽集团上半年营收增13% 自主合资两翼齐飞,12106,2017-08-30,0.12812250826791638
上汽集团：上半年净利近160亿元 同比增6%,22583,2017-08-29,0.11140044551246209
每天赚9000万 上汽蝉联最赚钱车企,16695,2017-08-29,0.20609612350978002
[满仓爱心]女士们先生们朋友们！战胜内心的恐惧,6858,2017-07-23,0.9974544407677082
共享网络观点,5959,2016-11-27,0.8364755454454705
就喜欢上汽不涨  来来回回撼死空头 只要每年分,5936,2017-08-03,0.09422601877351089
为什么，这是为什么？,8971,2017-07-31,0.5262327818078083
中国的硅谷在哪里？谁会成长为中国的特斯拉？,14859,2017-06-08,0.9882563992963728
车企1至7月销量排名上汽登榜首,48002,2017-08-22,0.0022213905602997963
002285涨28%后另一重点锁定,7348,2017-07-26,0.8617326712186685
好再砸吗灭了,4693,2017-07-24,0.1784361299148146
上汽怎么走势这么弱，流出3000万都能跌1个点,5808,2017-07-31,0.27901382535479313
