标题,帖子数,日期,情感
炒股2017年上市证券股价格对比601881一600909一,7253,2017-09-01,0.05165967724936438
实战炒股口决： 十四工作线，来回做波段；突破,55636,2017-04-22,0.986755970349184
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,9439,2017-08-30,0.1831406935243859
东方证券李志强辞任独立非执董,6711,2017-08-29,0.8645439325592618
≈华泰证券+美国金融科技企业颠覆“金融系统”,208244,2016-08-29,0.9999687895317774
次新股小盘2.6亿杭州银行业绩1.7元发行价14.39,55553,2017-03-27,0.7004243411165897
价值投资首选分红率40%，错过茅台！不要错过陕,5241,2017-06-11,0.9977687699836723
熊市是个好东西，没有熊市，哪有便宜的股票？,34840,2017-03-06,0.9853459586173834
拉升保险后拉升银行、拉升银行后拉升有色、拉升,42478,2017-07-21,0.0005964564310647624
铁心陪股友走完东方证券从现价到30元全程,44897,2017-04-27,0.60260343090267
券商股值得逐步全仓买入和拼命捂住的根本原因,48656,2017-05-11,0.3936754425544208
东方证券8月11日盘中跌幅达5%,14638,2017-08-11,0.025182699580120982
东方证券(600958)大宗交易数据一览(08-31),27071,2017-08-31,0.3155088759243482
东方证券：结构牛市 关注证券(6股),22721,2017-07-19,0.8122560171194902
东方证券~拉板惊艳还要涨 只看板块个股争霸,11738,2017-07-19,0.7221444631770259
->华泰证券+美国金融科技企业颠覆“金融系统”,32550,2016-08-29,0.9999687895317774
东方证券~夜梦[7股]缘者交流 只看后市牛熊,13295,2017-07-21,0.940056474790466
李志强辞任东方证券独立非执行董事等职务,10781,2017-08-29,0.6401807544323576
上证50指数2450点，东方证券的股价水平处于指数,21954,2017-06-15,0.8824267024380928
东方证券8月28日盘中涨停,7967,2017-08-28,0.09942275347267038
14元下方建仓完毕东方证券，满仓！,30337,2017-06-29,0.055937935295154784
东方证券：上半年净利同比增37% 证金公司增持逼,62575,2017-08-27,0.669007040127888
中报速递：东方证券2017年上半年盈利17.55亿元,38899,2017-08-27,0.37075958366539763
东方证券(600958)融资融券信息(08-24),3869,2017-08-25,0.8547686870672261
东方证券“14东证债”最终回售数量为0手,10334,2017-08-23,0.044287669538639496
东方证券(600958)大宗交易数据一览(08-22),19419,2017-08-22,0.3155088759243482
本周必上16不上我吃十斤屎,19407,2017-08-15,0.28933611134073345
东方证券(600958)融资融券信息(08-18),5795,2017-08-19,0.8547686870672261
东方证券将于8月28日兑付“14东证债”利息,9374,2017-08-18,0.5001304034478863
东方证券(600958)融资融券信息(08-16),5218,2017-08-17,0.8547686870672261
