标题,帖子数,回帖数,时间,情感
拉尼玛13呢，赤裸裸操纵指数[大便][大便][大便],13148,39,2017-08-10 14:36:37,0.875719815215146
炒股炒证券新股2017年上巿601881一600909一0025,5818,65,2017-08-31 08:21:19,0.0409024037843263
兑现浮盈？中国人寿加快赎回公募基金,4253,4,2017-08-25 09:03:56,0.9928148173551499
混改红利引而不发  看好人寿后程发力,16043,42,2017-08-24 15:54:09,0.020381651906539733
散户必看炒股格言和现金策略！     孙子云：先,52684,112,2017-03-12 11:02:30,0.08037291965991733
笑 狂笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核弹,11771,31,2017-06-05 21:16:58,0.9915322019363786
¥¥华泰证券第一梯队大券商绩优成长互联网券商龙,45614,189,2017-05-28 22:05:25,0.9991483265696962
国寿股权投资锁定六大行业 重点关注国企混改,29395,6,2017-09-04 05:10:19,0.9723363543450171
狂涨 疯狂抢盘啦 大笑 咯咯咯咯，晨鸣三年利润,14768,39,2017-06-26 14:31:56,0.9936978731361097
狂笑 连续4年业绩翻倍，三年利润之和将超公司市,14133,45,2017-07-05 09:08:40,0.20488901319308161
哈哈哈大笑 连续4年业绩翻倍，三年利润之和将超,15085,45,2017-07-05 09:08:01,0.9038097427532398
中国平安的今天就是中国人寿的明天！,52441,73,2017-06-02 21:03:47,0.38944789273186475
2017年撸起袖子加油干！可怜的散户们特点：他们,12328,19,2017-03-13 18:41:36,0.5622463298822917
美国有“纽约”同时中国有“雄安”，美国有“曼,13150,33,2017-05-12 18:41:06,0.9965609320214395
新股发行不能停的重要理由：让凯撒归凯撒市场归,14451,37,2017-06-04 09:06:53,0.06081972954919124
中国人寿，决战改革牛！2017年对于股市就是撸起,21286,31,2017-02-07 14:32:08,0.9995846549569581
~~ 九鼎新材 银隆汽车 九鼎佑丰 天问信息,6811,13,2017-07-12 12:18:38,0.2574228351771508
中国人寿(601628)融资融券信息(09-01),4188,7,2017-09-02 07:58:24,0.911794487144466
中国人寿下半年将固“稳”保“进”,6796,4,2017-08-28 13:49:14,0.8682259408430217
意义深远！,45897,43,2016-08-09 11:22:49,0.6144007126461487
