标题,帖子数,回帖数,时间,情感
你的走势很牛！明天放量跌停更牛！[胜利][胜利],13253,71,2017-07-12 14:44:44,0.588362715776838
天天这样，也算服了那些人！,5200,57,2017-07-30 03:55:25,0.7580504455495242
60天线，32.86，大家准备好钱，抄太饱的老底啦[,15519,41,2017-08-10 12:50:20,0.0048367319202530235
太保--全球顶级抗癌药，中国拥有自主研发产权,11145,16,2017-06-23 20:06:33,0.9996549372945566
炒股炒证券2017年上市601881一600909一002500另,5520,60,2017-08-31 08:17:47,0.06611842857542993
中国太保9月5日盘中涨幅达5%,2234,7,2017-09-05 14:11:26,0.034548552815984124
保险股联动，太保不会输给平安,34760,60,2017-06-07 11:17:54,0.018966065072721028
新加坡政府投资减持中国太保778万股套现2.89亿,7546,7,2017-09-04 20:46:21,0.9556555689241631
只要做到管好自己的手,53483,51,2016-10-18 21:18:14,0.695839986237305
新加坡政府投资减持中国太保778万股 涉资2.89亿,7847,16,2017-09-04 19:20:02,0.9782692924195778
大笑 大笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核,12167,27,2017-06-06 09:43:21,0.9990684634102037
大笑 大笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核,13789,32,2017-06-05 21:14:13,0.9990684634102037
实战炒股口决： 十四工作线，来回做波段；突破,51340,87,2017-03-31 08:40:00,0.986755970349184
=华泰证券第一梯队大券商绩优成长，收购美国金,54473,212,2017-05-23 10:55:05,0.9997946467374572
哈哈哈 疯狂抢盘啦 大笑 咯咯咯咯，晨鸣三年利,18620,41,2017-06-26 14:30:55,0.9997668481224676
咯咯咯大笑 连续4年业绩翻倍，三年利润之和将超,19590,52,2017-07-05 09:06:13,0.7142310634424586
2017年撸起袖子加油干！宿命与反抗！当前我国资,12382,26,2017-05-16 12:37:58,0.9920695079712193
2017年撸起袖子加油干漂亮50牛！宿命与反抗！当,11758,22,2017-05-24 16:27:24,0.964400227897203
（中国太保是漂亮牛的龙头）美国有“纽约”同时,21600,35,2017-05-22 14:19:29,0.9860883996790606
截止2017年7月12日上证50流通市值12.7万亿、上,11967,16,2017-07-13 14:15:07,0.04876233276542141
立贴为证：大国崛起大牛市启动:第一目标剑指340,22246,50,2017-04-02 10:08:27,0.7430145420113986
良币不能向劣币低头！呼吁新股发行无限量供应其,10995,28,2017-06-02 22:55:00,0.007563548641663975
宁波港祝贺中国太保,19114,48,2017-06-13 10:29:36,0.31821510828281596
中国太保(601601)融资融券信息(09-01),3929,12,2017-09-02 07:56:00,0.8640492580695143
天安财险退出太保十大股东,28257,12,2017-08-27 22:20:39,0.3188091457531351
散户必看炒股格言和现金策略！     孙子云：先,57608,110,2017-03-14 10:58:03,0.08037291965991733
中国太保上半年净利65亿 证金公司增持近亿股,20731,6,2017-08-28 05:24:28,0.23853878384010707
高位急拉升是大跌前诱多！机构出货是一价格区域,27077,24,2015-11-18 14:39:17,0.4807139607778175
39元全面清仓，净赚6000万,6344,27,2017-08-28 11:41:18,0.3297431699447506
好无奈的A故事，好无奈的指数，无奈的中太保啊,58426,137,2017-02-08 12:04:16,0.8380733298799391
中国太保中报：寿险转保障效果显著 上调至增持,6555,6,2017-08-28 22:57:56,0.8427789355464657
中国太保：上半年净利同比增6% 保险业务收入增,21514,18,2017-08-27 14:58:16,0.965344063627992
中报速递：中国太保2017年上半年盈利65.09亿元,27593,8,2017-08-27 15:18:27,0.3888555091197201
粤水电(OO2O6O)未来国企改革肯定潜力__________,9864,21,2017-07-17 13:28:20,0.9959010396176047
中国太保(601601)融资融券信息(08-25),3536,23,2017-08-26 10:06:54,0.8640492580695143
特别通告：601958 金钼股份正创历史新低，青菜,6939,6,2017-06-12 11:10:41,0.997635911159177
601601:中国太保总裁离任公告,11416,10,2017-08-21 19:02:20,0.5576421104678266
中国太保(601601)融资融券信息(08-18),6578,35,2017-08-19 08:38:20,0.8640492580695143
我靠， 真的拉呀,38314,42,2016-11-20 13:55:33,0.5948926686895663
中国太平与山东省人民政府签署新一轮战略合作协,8049,7,2017-08-17 10:47:43,0.9242813076696257
中国太保(601601)融资融券信息(08-16),4459,5,2017-08-17 07:45:58,0.8640492580695143
中国太保(601601)融资融券信息(08-11),4303,4,2017-08-12 07:48:42,0.8640492580695143
特别通告：MSCI指数标的股601958 金钼股份正创,7640,10,2017-06-22 10:09:10,0.7285582283512549
先32再说。,21212,14,2016-09-22 20:55:03,0.7220532431287261
证监会:严打利用“天价”标杆股影响市场估值，,9530,17,2017-06-02 10:10:07,0.39987918789320787
中国太保应该有补涨机会,5324,9,2017-08-07 14:23:40,0.9027591657727259
超级短线如何玩才能赚到钱？     所谓超级短线,24564,26,2017-01-29 15:51:29,0.4251982713748341
即将引爆的涨价概念：自持物业概念 龙头：王府,6260,15,2017-07-14 11:15:46,0.7416492541290731
中国太保(601601)融资融券信息(12-24),3440,6,2015-12-25 07:47:31,0.8640492580695143
中国太保获得“年度卓越品牌创新保险公司”奖,23307,14,2015-12-18 06:50:17,0.5769771402424547
抢盘了。业绩去年翻倍股0.99，今再翻倍超2元，,11551,22,2017-04-28 09:30:27,0.12055432136989841
马云以前 有网上卖保险的想法？？找他合作好办,2790,8,2017-07-12 13:46:47,0.04015588878686793
国际原油WTI暴涨至46.53美元，布伦特最高冲到49,4368,11,2017-07-15 09:19:41,0.3004037627518168
西水股份---保险股，己涨停。,3234,4,2017-07-25 14:54:15,0.28995869302810107
中国太保(601601)融资融券信息(07-24),5122,3,2017-07-25 07:48:34,0.8640492580695143
今日尾盘资金抢筹这些个股,57327,2,2015-12-25 17:20:09,0.8916996165904144
坚定挖潜价值投资才是财富____________________,21214,58,2017-05-13 14:49:24,0.9649155048304365
今天拉升的话可以出了,4788,11,2017-05-24 08:40:29,0.27320151391915193
中国太保有投资价值,15119,20,2017-05-19 14:52:28,0.9095028435326431
新能源汽车龙头：威孚高科 业绩优异 股价低 潜,5010,6,2017-06-26 13:39:48,0.9927300968430786
中国太保(601601)融资融券信息(07-28),3309,3,2017-07-29 07:47:20,0.8640492580695143
保监针对非寿险投资型产品风险，及时停止了此类,2958,9,2017-07-13 15:24:32,0.9411791588439069
保险股这段时间升得很历害 所以要小心会有调整 ,3968,6,2017-07-12 09:44:43,0.21202421401412896
7月12日收评：沪指跌破10日线，创业板指微涨,3432,4,2017-07-12 18:55:31,0.0005327089165659826
