标题,帖子数,日期,情感
中国平安，王者归来！,19902,2017-09-01,0.8388071451747131
中国平安(601318)大宗交易数据一览(09-04),27632,2017-09-04,0.1878547976906606
实盘：满仓满仓保险，想发财买保险，想赚钱必蓝,496677,2017-06-08,0.22052955834331456
看了一天。今天大跌，完全是平安罪魁祸首,18332,2017-08-10,0.09950170200196351
《新股市宣言》         她是东方旭日，水天混,26121,2017-07-23,0.8744032353442825
剩余边际价值是中国平安业绩增长的永动机,17425,2017-09-03,0.5491382816655174
我来了，哈哈哈哈,18939,2016-11-21,0.8684210526315791
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,7394,2017-08-29,0.1831406935243859
平安2017年月K线分析,20816,2017-08-31,0.8701539457950791
揭穿价值投资的鬼话，如果真要价值投资，招商银,123105,2017-06-27,0.9997151511106501
价值投资的骗局,98399,2017-06-11,0.8950792932739258
中国平安：平安银行拟发行不超260亿元可转债,40959,2017-07-28,0.08505649431326168
601318:中国平安2017年半年度分红派息实施公告,141289,2017-08-25,0.3277310411230069
中国平安(601318)融资融券信息(09-01),9651,2017-09-02,0.74705791977755
中国平安(601318)大宗交易数据一览(08-29),30353,2017-08-29,0.1878547976906606
烂臭股，打那些所谓价值投资者的脸啪啪响,16350,2017-07-12,0.04296560201559163
今日之阴棒，比钻石更金贵！！,14174,2017-08-31,0.5565202104541389
7月的任务：涨幅10-20%但属奔200元前的热身运动,106619,2017-07-01,0.20584147554500964
以截图了证明，我的言行和实操一直！,2257388,2015-12-02,0.9370207511445718
50能到么？--容容1！,90304,2017-06-09,0.6356683089555001
哈哈哈哈哈哈哈哈哈。晨鸣将涨三倍还低估，4年,9158,2017-08-08,0.9999553105327728
龙头就是龙头，2017-2018赚钱就靠中国平安,55236,2017-06-01,0.04869248542575655
三十万股全部已经换成了陕西煤业（601225）不知,8301,2017-08-04,0.01620542965840832
宁波港祝贺中国平安大涨,9490,2017-06-09,0.31229693549273563
韩志国是什么样的经济学家？ 1、2007年8月23日,47271,2017-06-04,0.43133084248909903
（中国平安是漂亮牛的龙头）美国有“纽约”同时,28177,2017-05-22,0.970535676249484
中国平安(601318)融资融券信息(08-29),6393,2017-08-30,0.74705791977755
8月29日股价上涨0.86元，成交量却减少50%，意味,18029,2017-08-29,0.02735449022761194
散户必看炒股格言和现金策略！     孙子云：先,49259,2017-03-23,0.08037291965991733
千年等一会，中国平安啊，十年后股价超过445元,193576,2017-05-15,0.258775610936543
怎么不见帖子了,9144,2017-08-19,0.2970836704962605
在A股唯一具有阿里、腾讯潜质的平安又会被外资,25373,2017-07-28,0.01968185892526242
热点轮换快，分散持股好。,33670,2017-08-19,0.8329676340799743
