标题,帖子数,日期,情感
中国石化（002493）：5年之内，必涨3倍！,26684,2017-08-09,0.7681543508292812
茅台你可以卖，平安你可卖，格力你可卖，但中国,37707,2017-07-31,0.09794557986041408
约65%仓位，期望满仓。,24835,2017-08-30,0.09612820477278461
中国石化千里之行始于足下,158392,2017-04-09,0.33595411634790395
三桶油半年报全部出炉 中国石化日赚1.5亿元“最,95113,2017-08-28,0.01794328558610614
11月10日5元买入中石化，涨到59.6元,233704,2016-11-10,0.02868614898376476
[俏皮]漂亮50英豪300必将疯狂展我中华5千年大帝,7921,2017-06-12,0.9744639855029587
中石化延期销售公司上市 提速混改再圈定天然气,45643,2017-09-02,0.10389373170479754
次新股0.98元业绩仅此1家江苏银行股价不到10块,36996,2017-04-27,0.049974062228806404
实战炒股口决： 十四工作线，来回做波段；突破,56149,2017-03-23,0.986755970349184
2017上半年中石化业绩分析：净利润同比增长约22,16818,2017-08-28,0.9622676505882758
揭穿价值投资的鬼话，如果真要价值投资，招商银,31058,2017-07-03,0.9997151511106501
入场收尸:地产称霸南京，医美雄冠亚洲,6632,2017-08-15,0.2613908113232535
狂笑 狂笑 瞎子也狂笑 业绩翻倍 股0.99今年三倍,13677,2017-05-24,0.25184990965565945
狂笑 瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,14459,2017-05-24,0.20940363332354495
呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今年三,12725,2017-05-24,0.3873138884971421
笑笑笑 狂笑 呆子都会抢 业绩翻倍 股0.99今年三,10226,2017-05-24,0.8691075516145628
证金公司增持“两桶油” 油气行业混改预期升温,202397,2017-08-29,0.16226792611095886
约50%仓位，计划明天加到70%仓位。,18683,2017-08-17,0.017961793167296403
中石化半年报亮点。,15503,2017-08-27,0.45065748518378246
中石化：销售公司IPO或推迟 正推进管道、地热等,102405,2017-08-28,0.061998020211870064
现价买，翻倍卖,13965,2016-10-14,0.577482445946654
耐心、坚定!,23462,2016-09-19,0.7907679774843098
你懂的[赞],25626,2016-11-16,0.9096018490786377
难道我要成传说中的韭菜。,179286,2015-09-17,0.31549054798584963
中石化上半年净利大涨四成 上游业务仍很艰难,14508,2017-08-28,0.8497150685304656
中国石化集团：主动服从服务雄安新区等国家战略,12064,2017-08-01,0.9983869461990217
中国石化：中报净利润271亿元 同比增长40.7%,147140,2017-08-27,0.38607758890491106
它们涨了，石化怎么样？,19692,2017-07-31,0.3384204055164508
真正龙头,11356,2017-08-21,0.27083333333333337
中国石化上半年净利润270.92亿元 同比增长四成,8894,2017-08-27,0.6364928694993603
中国石化飘红已是必然，后面或将这样走,14086,2017-08-25,0.3774945277738192
中报速递：中国石化2017年上半年盈利270.92亿元,17543,2017-08-27,0.20554163952676485
看完本帖内容会增强信心：解码中石化专业化重组,25746,2017-08-18,0.3527128850197051
新股发行不能停的重要理由：让凯撒归凯撒市场归,8811,2017-06-12,0.06081972954919124
石化如此价格低，哪里见到大牛市,12678,2017-08-18,0.34436130665497944
中石化吧里有一群男同人夭利用内幕信息波段操作,14204,2017-05-09,0.9634737729468884
中石化拟投2000亿元 优化升级四大世界级炼化基,66224,2017-03-02,0.6349385688713002
中石化将投资2000亿打造四大炼化基地,56229,2017-03-02,0.9539486715618989
中国石化“十三五”拟投2000亿元 打造四大世界,53192,2017-03-02,0.9691570155297653
中国石化十三五拟投资2000亿打造4大炼化基地,50737,2017-03-02,0.9042214522677448
“十三五”期间中国石化拟打造4大炼化基地,47606,2017-03-02,0.20018016876663325
中石化鄂安沧管道获国家核准,28353,2017-07-25,0.9029776197701228
紧急公告：601958 金钼股份正创历史新低，青菜,6194,2017-06-12,0.9941927156977014
黄羊，我愿抛弃哪所有财产，陪你去放羊,6059,2017-08-20,0.9703405892847822
对话中石化,77019,2015-11-16,0.4499223660838505
预计二季度业绩环比下降，不改上半年同比明显增,46077,2017-07-23,0.4302830368827143
涨停几时有，把酒问青天，不知大盘走势，还能牛,15738,2017-02-07,0.3589625150640874
核心内参: 地产称霸南京，医美雄冠亚洲,7419,2017-08-12,0.9315669100106516
现40%仓位石化，期盼满仓。,32609,2017-08-07,0.08665551321642373
以后到处发这个！有补充的吗？ 一个超跌的MSCI,13688,2017-08-11,0.08473118918500344
中石化在2+26城市区域内炼厂完成国六升级,27242,2017-07-03,0.31808093898526
中国石化不行了，换股马上赚回来，信者赚！,11244,2017-07-18,0.0028819030835245396
中石化董事长王玉普：将用好混改重要手段,35562,2017-08-10,0.9920673928643795
中石化集团：以销售公司股改为突破口加快建立中,35192,2017-07-14,0.1320825044224686
著名经济学家马光远看中国股市：离开这个骗局！,24476,2017-06-01,0.9955138667966862
A股市场还有更好的股票吗？,27859,2017-01-20,0.8876320906482471
扒下股评师的外衣---大股托,9827,2017-06-11,0.21323830070831995
要不做奴隶，要不就去死。,36432,2017-02-26,0.594935470614259
咳、咳，老夫掐指一算，今天该中石化救驾了~,4677,2017-07-27,0.5226229471846782
8号买入明细。,9687,2017-08-08,0.7416322338529585
砸下来很简单,3096,2017-02-13,0.33934005707100146
下午大跌了,3970,2017-02-13,0.22045276270880132
进场:“一网三化”混改和国资改革的双重受益股,5433,2017-02-11,0.9869235979446327
市场出现分化，蓝筹股集体走强，,2895,2017-02-13,0.9730850101138016
今天盘整，明天过10日线，买进,3409,2017-02-13,0.1363926606973188
中石化：地热能源已将雄县打造成“无烟城”,31803,2017-08-07,0.051319608786128734
6.08进了2万手中石化,8091,2017-07-25,0.5005469181559483
4号买入明细。,13172,2017-08-04,0.7067552081068589
鸡年首次过来石化报到。,15373,2017-02-09,0.10946813991167015
抓紧满仓:油气混改和地方国资改革的双重受益股,8183,2017-01-25,0.9657811846579721
最新消息:莫斯科发生军事改变 普京下落不明,13008,2017-02-13,0.9338960677375053
4600万吨原油加工产能闲置 中国石化集团审计出3,42452,2016-07-01,0.10891920221803186
600028:中国石化2016年年度末期A股分红派息实施,118188,2017-07-11,0.7364218390024031
中国石化首个煤层气田供气超亿立方米,17093,2017-02-13,0.8447597422456379
两会利好！放量拉升突破，蓝筹龙头崛起！目标16,13953,2017-03-05,0.9372834896939433
韩自国是什么样的经济学家？ 1、2007年8月23日,15033,2017-06-12,0.43133084248909903
每当给车加油，就想到中国石化,45985,2017-06-17,0.8594264234539
满空大师門：和尚们看高中国石化涨到7元,7433,2017-02-12,0.23101071874622325
2号买入明细。,10126,2017-08-03,0.6304482005225568
中国证券网 武汉谋划三个国家级产业新基地建设 ,7341,2017-01-06,0.2968305786372567
2号买入明细。,4447,2017-08-02,0.6304482005225568
眼中钉，肉中刺，不除不行得呀,1527,2017-07-28,0.060665907012543374
中国石化的上涨是对近几年扭曲的投资价植观的修,28623,2017-01-16,0.43436055012456076
中石化吧里人夭男宠大监的那些内幕交易!,8373,2017-05-09,0.4097942199283384
下来全转买*一路一带丝路龙头600307酒钢宏兴最,32949,2017-05-08,0.6886477600938257
进场: “双重改革”受益股,社保养老金标的股,734,2017-07-30,0.9893200488469195
绩优低价中盘二线蓝筹,7062,2017-06-23,0.9682939504209828
5没穷，6没绝，7就不会翻身，关机[不屑],2771,2017-07-05,0.02569976609434388
散户们别跟主力抢中小盘便宜货炒底，否则难见底,4685,2017-06-26,0.29329394452646707
今天拯救世界，就靠中石化了,3632,2017-02-13,0.9589992970642399
抛！经济恶化,拉股价，用人性贪婪，忽悠股民在,54801,2016-01-29,0.8250483988915179
白痴不抢！咯咯咯！抢盘了，黄金砸头！晨鸣投资,17376,2017-03-01,0.9990014513534955
现价7.08的美菱电器，已经展开中长线趋势行情，,1931,2017-02-14,0.9974253874601405
分红送股要除权，你账户上不会多出1分钱，而且,11603,2017-06-30,0.015858242277762002
中国石化依走势已定型，外有融资地陆续流入，这,4629,2017-07-14,0.9891552508905498
证券时报网  AH股比价 2017年06月23日 18:24,5072,2017-06-23,0.060047122002522935
AH比价趋于合理   有望走出独立行情,7891,2015-09-14,0.9932307492070825
持股联通的大咖,6246,2017-07-15,0.20588882834908517
顶尖高手投资的六大不败法则：      法则一：买,26245,2017-01-28,0.9987033004793375
进场: “双重改革”受益股,社保养老金标的股,8622,2017-05-21,0.9893200488469195
中石化首虎王天普腐败细节：请客一次花4万公款,76724,2016-10-20,0.9877601111938906
中石化原总经理王天普获刑15年半 青岛大爆炸案,26148,2017-01-24,0.9855548365930226
虽然近期弱势不断,2897,2017-06-28,0.4793730361103238
顶尖高手投资的六大不败法则：      法则一：买,16316,2017-01-21,0.9987033004793375
600028:中国石化2017年上半年生产经营业绩提示,94060,2017-07-20,0.5901191432134064
我个人认为下周一大盘会在两桶油为首的的带头下,12152,2017-06-24,0.09820078904314722
拉600028不如拉600688和601985,6894,2017-05-31,0.4144577084592702
今天，又是哀鸿遍野的一个交易日……,5482,2017-06-22,0.9863608739828233
今日关注石墨烯板块江海股份，中超控股,4568,2017-06-26,0.9897267027144768
昨天的那个盘中拉高就,2732,2017-06-25,0.7379333131352642
消息称中石化3高管涉印尼项目欺诈案遭国际刑警,13830,2017-03-21,0.006063728651125366
权重股飙升的原因,14083,2017-05-25,0.11708602253538458
怎么回事  石化还没动  他们就挺了,4848,2017-06-22,0.07146758367705541
