标题,帖子数,回帖数,时间,情感
中国石油绘就改革“高清路线图” 混改获重要突,55922,15,2017-07-24 11:45:22,0.9955481486903873
炒中国石油股票百战百胜的李坚明认为:炒股亏了,128365,248,2017-05-16 13:49:51,0.15141971863813009
中国石油7.3元买入涨10倍73元,211153,299,2016-11-10 10:16:23,0.42172818416469404
mmp，H股又买不到，你叫劳资价值投资,22514,63,2017-07-26 21:57:18,0.53119562603756
手上有100股中石油的都算白痴，脑袋定被门夹过,27809,67,2017-03-17 16:38:16,0.008876097474277644
中国石油混改迈出实质性步伐 将持续推进,33310,13,2017-07-26 11:38:38,0.00605494586711286
快割光，中油一股不能留，已彻底崩盘了只跌不涨,24609,81,2017-03-07 14:31:42,0.0444181902612395
中石油董事长：低油价也有有利的方面,29172,21,2017-09-04 20:40:46,0.3885682041500472
手上有100股中石油的都是脑子被门夹过的白痴,20691,50,2017-06-07 11:48:43,0.03695224719399037
瞎子也笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,18208,48,2017-05-11 14:00:24,0.01263553294197095
狂笑狂笑  瞎子狂笑 业绩翻倍 股0.99今年三倍，,18000,51,2017-05-11 14:02:03,0.25184990965565945
抢抢 狂抢 瞎子狂笑 业绩翻倍 股0.99今年三倍，,16577,48,2017-05-11 13:59:13,0.49682886847436314
狂抢 瞎子狂笑 业绩翻倍 股0.99今年三倍，翻倍,14202,41,2017-05-11 13:57:25,0.2493832805585262
宁波港中国石油上调油价格,22595,59,2017-06-08 12:28:43,0.23163910001728294
实战炒股口决： 十四工作线，来回做波段；突破,37163,77,2017-04-15 20:02:09,0.986755970349184
中国石油：一季度大幅扭亏 遭证金公司减持,32337,48,2017-04-27 21:18:15,0.03358154545021608
笑哈哈 大笑大笑 咯咯咯咯，晨鸣三年利润之和超,17300,46,2017-06-27 10:13:55,0.998445184018619
哈哈哈大笑 咯咯咯咯，晨鸣三年利润之和超现公,16524,48,2017-06-27 13:14:43,0.9990280255438148
别上火,83315,230,2017-03-02 15:30:53,0.32915060725422474
中石油只配在周末偷偷涨停,10293,7,2017-09-02 11:29:23,0.8660312955725019
中国石油(601857)融资融券信息(09-01),5356,9,2017-09-02 07:58:48,0.5962429800784687
中国石油加快推进我国南海天然气水合物产业化进,13617,10,2017-08-28 15:04:39,0.9864270006848556
