标题,帖子数,回帖数,时间,情感
中国神华我是继续拿着呢还是抛呢？,2914,8,2017-09-05 21:46:05,0.8535848770266752
神华开板国电翻绿 国改概念进入“中场休息”,186272,81,2017-09-05 04:56:13,0.7347982633393265
煤电一体化整合大幕开启：“中国神电”破壳 1.8,64671,30,2017-09-05 13:55:22,0.48833821015387213
此次神华不与国电并股有利于神华股攀升,19081,23,2017-09-03 12:49:18,0.22966713516680093
【干货合集】中国神电带来哪些投资机会？,34556,8,2017-09-01 15:40:14,0.974648249627462
手贱，尾盘买了，打手,12720,25,2017-09-04 15:02:45,0.03939689212742692
正确解读神电重组，拨云步入正道,19236,38,2017-09-04 20:33:01,0.9929453950187337
秦皇岛煤价连续两周下跌 中国神华H股跌近4%,22996,23,2017-09-04 14:56:21,0.9388146847235999
20.40都抛给你了[胜利],6769,19,2017-05-23 10:16:08,0.7414719151232728
恒指全日跌0.76% 中国神华领跌蓝筹,14682,20,2017-09-04 17:00:28,0.43480225965696406
正确分析中国神华，但是涨不过国电。,19988,11,2017-08-31 20:54:15,0.9823463720713094
猜猜神华几个板？,22363,22,2017-09-01 14:48:10,0.6119025605597898
中国神华9月5日盘中跌幅达5%,14376,11,2017-09-05 09:50:53,0.10170241064234398
恒指半日跌0.51% 中国神华领跌蓝筹,10739,14,2017-09-04 13:01:02,0.22389449169149256
还能买吗？,6271,4,2017-09-04 10:54:43,0.5574170864961863
[拜神]请问各位高手们，此股是否会枯木逢春铁树,7541,10,2017-05-17 08:51:52,0.35690020964397595
中国神华打开涨停板,33849,14,2017-09-04 09:53:35,0.9226365078253904
中国神华9月4日打开涨停,16368,17,2017-09-04 09:57:28,0.18417503657370782
中国神华复牌二连板涨停 国电电力高开逾6%,44498,12,2017-09-04 09:39:38,0.09065495841258342
国电电力股价翻绿 中国神华打开一字涨停,83507,22,2017-09-04 10:45:31,0.7175750944607562
下周一封不住了，封单太少了，股本又大。,22299,38,2017-09-01 16:45:55,0.005471095800857584
静心看神华--未开发的茅台,34681,74,2017-09-01 11:41:46,0.388131277930873
复牌涨停 百万手封单下的中国神华上涨空间还有,85163,32,2017-09-01 11:55:37,0.4367285810017896
中国神华9月4日开盘涨停,5890,6,2017-09-04 09:37:14,0.3138504821302185
神华--全球顶级抗癌药，中国拥有自主研发产权,10988,10,2017-07-30 20:49:31,0.9997878165850281
这一排数字密码，吧友都懂的,10490,13,2017-08-30 21:41:43,0.45380681788129473
现在还在唱空神华的，不是SB就是脑残！！！,12203,31,2015-12-27 20:09:57,0.32902928559928357
白痴不抢咯咯咯！抢盘了，抢盘了，黄金砸头！晨,18860,44,2017-03-08 21:00:22,0.9706752712267742
