标题,帖子数,日期,情感
中国联通第一波调整基本到位,24435,2017-09-04,0.9891178158565964
中国联通被套的朋友，速速来看好消息！,3985,2017-09-04,0.3946403630456553
据我估计这次的公告，内容一字不改只改时间，标,11421,2017-08-10,0.02002949741899951
违规归违，但是7.9左右老娘又想买100股玩玩,10720,2017-08-24,0.6220548570713499
雄安河道治理正宗概念，绿茵生态，直接上图,7149,2017-08-23,0.996744897725745
庄，我今晚做的荧光粉指甲颜色你喜欢不[俏皮][,25247,2017-09-02,0.900127713165238
老娘最喜欢杀涨追跌，中国联通是标的,28872,2017-08-28,0.9770289700764365
会不会突袭拉高？,11525,2017-09-04,0.40685477326372144
关于“封成比”的计算方法,31337,2017-08-22,0.8854858776803555
特警：联通目标价5块左右，还要跌30%左右。看公,62092,2017-09-01,0.25572488792007064
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,10956,2017-08-29,0.1831406935243859
业绩会实录|近800亿中国联通混改落锤BAT、京东,45719,2017-08-16,0.9889932644866166
中国联通混改后董事会重组：联通将减少两席位 ,55979,2017-08-16,0.774212225227708
联通超大盘市盈近130，还能投资？,40657,2017-08-23,0.9251001126197472
a股中国特色，神中石油，神中车，神中铁，又造,36470,2017-08-24,0.4993886930838256
中国联通：温水煮青蛙，连续阴跌再创新低！,31503,2017-08-25,0.9712423447255754
看涨的又来了，我看空。目前最稳妥的办法是，先,53129,2017-08-29,0.16073042804127569
社保基金重仓买进2017混改龙头600050中国联通。,101160,2016-12-20,0.2690523549957634
咔咔,11507,2017-08-26,0.6359171199886977
中国联通“瘦身方案”出炉？ 联通总部编制已不,143801,2017-09-02,0.9298898684472322
股票买的是一种趋势，买涨不买跌，涨趋势来的时,26946,2017-08-30,0.9424177337658138
~~三浪三主升浪的龙头是军工，航天电子是领头,4015,2017-08-23,0.597809454038644
联通“瘦身”方案出炉 内部人士：调整力度前所,113580,2017-09-01,0.3169947452768326
构建中国电信互联网创新平台…… 转战600640，,56035,2016-12-01,0.8589796438689432
中国联通将成为第二个中国中车,51990,2017-08-22,0.9004076025226453
联通总部砍掉近900个人员编制 员工转岗不下岗,98408,2017-09-02,0.024458170192220963
只守不攻但又守不坚决。,21960,2017-08-31,0.18395623501465963
论持久战,51273,2015-12-10,0.5
新联通是国家混改战略里程碑，只能成功不能失败,21302,2017-08-25,0.9841038826282611
联通15元以下就是割肉，大家谨记。,42324,2017-08-21,0.778946908999515
中国联通,国家意志，撸,15885,2017-08-22,0.8619121848577992
600050:中国联通2017年第二次临时股东大会会议,73036,2017-08-30,0.7596085187883825
水皮杂谈 万般宠爱集一身,143534,2017-08-26,0.945042533299652
次新股0.98元业绩江苏银行股价不到10块仅此1家,55210,2017-04-27,0.049974062228808624
混改是联通发展强心剂，利好长期投资价值,93407,2017-08-28,0.8860747868114821
中国联通已连续调整了8个交易日，收一根小阳线,27383,2017-09-01,0.5921474909346297
大胆尝试，割庄家一次韭菜未尝不可,22950,2017-08-30,0.9004724131840783
只看好联通股票并不看好联通企业,22204,2017-07-07,0.7216691374181814
主力：散户，都闭嘴！,21469,2017-08-20,0.46685837889694937
念奴娇·联通,304762,2017-08-07,0.9797343229802784
强势涨停机构游资敢死队疯狂抢筹暴涨飙升超级大,7467,2017-08-14,0.7090289443624056
联通估价会碰到500吗？到底会不会？还是痴人说,26608,2017-07-22,0.22854536871150088
念奴娇-畅想联通,87105,2017-03-25,0.8597356210052506
2017年才是国企改革的落地之年，建仓中国联通机,25757,2017-02-06,0.9803638992699788
实战炒股口决： 十四工作线，来回做波段；突破,91153,2017-03-18,0.986755970349184
明天不上8。3我割JJ,15275,2017-08-30,0.22281843778373545
不要好了伤疤忘了疼！不要忘了抢中国中车暴仓跳,32679,2017-08-21,0.7517138470305234
中国联通混合所有制改革不是旧瓶装新酒,56956,2017-08-28,0.9303006782949036
上交所：联通混改方案为央企混改提供了可复制、,68699,2017-08-31,0.16266882817092454
联通的混改没有赢家,87762,2017-08-18,0.809224549383941
联通混改建议,71064,2016-12-03,0.2883840551224033
恭喜看我早评的朋友,5899,2017-09-01,0.8300970890104765
有资金的拿稳了，没资金暂且观望先。,20290,2017-08-21,0.9981467624287123
洗盘到位！明天8.84，开盘8.10附近，然后半小时,19304,2017-08-31,0.5193576529683627
星期一大跌的话你们还会补仓吗？,15741,2017-08-27,0.2781161396728574
第二批混改方案陆续批复 国企改革步子不妨再大,172180,2017-08-27,0.9423345808293433
600050:中国联通关于召开2017年第二次临时股东,113130,2017-08-30,0.6092828770818535
揭穿价值投资的鬼话，如果真要价值投资，招商银,58166,2017-07-02,0.9997151511106501
中国联通机构在出货，要调整一段时间才能有机会,22653,2017-08-24,0.8799432042890565
混改方案出台，公司踏上新征程,93929,2017-08-23,0.04553205821943873
中报点评：中报业绩快速增长，混改联手互联网巨,83790,2017-08-29,0.729821801107309
看看中国中车目前股价，清仓联通,33746,2017-08-17,0.931807595254654
停盘即将四个月了，就是去宇宙之外也该完成任务,14429,2017-07-20,0.9448953028622687
证监会：对联通混改非公开发行作个案处理 适用,22243,2017-08-21,0.14780965443569127
明日操作建议（8/31收评）,11685,2017-08-31,0.1193608987088094
利用吸费软件收刮用户，这样的公司再怎么重组也,13164,2017-08-07,0.03708157808198598
中国联通打头阵 央企混改道阻且长,47769,2017-08-21,0.5887748293616007
中国联通复牌，持有联通的小散有福了，准备好麻,45675,2017-08-15,0.8877847099395402
真的没有行情了吗？,17286,2017-08-24,0.8626078677526623
混改后第一枪打在物联网 中国联通能弯道超车？,73751,2017-08-30,0.7768175519396245
不赚最后一个铜板！落袋为安，追涨必死无疑！,14660,2017-08-23,0.7290529433645188
我就以我技术说说中国联通,307626,2017-03-10,0.8249636033864388
