标题,帖子数,日期,情感
中国中铁、铁建、重组在即,13989,2017-09-01,0.934333619098199
中国铁建：厦门市政提升改造及景观工程全部按期,37531,2017-09-02,0.9753392775294909
大笑大笑 咯咯咯，晨鸣三年利润之和超现公司市,24644,2017-06-27,0.969438807238409
一带一路”是政策导向  紧跟政策的步伐,58476,2017-03-16,0.9320834966086533
大和：中国铁建上半年纯利优于预期 评级“优于,13522,2017-08-31,0.9746747790195579
工程承包订单大幅增长，海外业务拓展稳健,14284,2017-08-31,0.06425253927800678
盈利稳健增长，订单大幅增长，估值显著偏低,27005,2017-08-30,0.3133144975802282
业绩/订单提速增长，国改/带路可期,14154,2017-08-30,0.979993299853378
中国铁建：上半年净利超65亿 证金公司持股升至4,47305,2017-08-29,0.43791307938511836
中报速递：中国铁建2017年上半年盈利65.23亿元,23557,2017-08-29,0.6721030334847128
上半年经营数据靓丽，工程承包新签合同额增速创,62651,2017-07-20,0.8017310332689298
中国铁建(601186)融资融券信息(08-28),3462,2017-08-29,0.9534329081811043
[爱心牛]女士们先生们朋友们！战胜内心的恐惧，,7429,2017-07-23,0.9994430165667618
中国铁建(601186)融资融券信息(08-25),6515,2017-08-26,0.9534329081811043
中国铁建(601186)融资融券信息(08-24),4389,2017-08-25,0.9534329081811043
《中国铁建 - 投资要点》,20477,2017-07-14,0.9918103630028265
参照港股 铁建怎么也得涨到12吧,2372,2016-08-08,0.6751257358879292
中国铁建(601186)融资融券信息(08-18),8282,2017-08-19,0.9534329081811043
揭穿价值投资的鬼话，如果真要价值投资，招商银,29644,2017-07-03,0.9997151511106501
601186:中国铁建PPP项目中标公告,49113,2017-08-02,0.7794573379103933
中国铁建(601186)融资融券信息(08-11),8534,2017-08-12,0.9534329081811043
急着要跟交建同步,9404,2017-07-19,0.44782208606240015
该股看来每次上涨都是逃命的机会,3555,2016-12-12,0.25815907833941554
这货估计要破产[想一下],3986,2016-12-14,0.12180572604432571
中国铁建(601186)融资融券信息(08-04),7274,2017-08-05,0.9534329081811043
多空博弈利器-持筹比例,8919,2017-05-31,0.6628333298412536
狂笑狂笑，业绩去年翻倍股0.99，今再翻倍超2元,17767,2017-04-28,0.10985540518532899
铁建减仓一半~,26902,2017-07-20,0.45926234945573663
对于大盘，我只想说主力故伎重演~~,7989,2017-07-12,0.42478582476882587
农农好像有点憋不住的意思，估计也想冲动一下，,10112,2017-07-13,0.5544982354166658
看看其他蓝筹这家伙吃屎了,4183,2017-06-26,0.9366184736626627
601186:中国铁建关于下属控股子公司中国铁建高,48723,2017-07-28,0.8903941278999109
见识了，涨一分，吃奶的力都使上，跌一毛很带劲,10795,2017-07-07,0.9853076492364051
我也谈高铁 不干过铁路不知道，中国高铁线路建,8887,2017-07-05,0.9125431761175029
601186:中国铁建2016年年度权益分派实施公告,73547,2017-07-10,0.8792637613740861
601186:中国铁建关于部分闲置募集资金暂时补充,21539,2017-07-26,0.7167196845558611
中国铁建15亿元募集资金全部归还至募集资金专用,15298,2017-07-26,0.9421871226811361
高铁板板今天为什么大涨？,5024,2017-06-26,0.7840544307536287
中国铁建(601186)融资融券信息(08-08),6803,2016-08-09,0.9534329081811043
中天金融不错,5761,2017-07-18,0.8087154199119642
熊市看质看骨家队，暴跌就是检验好股烂股的唯一,11800,2017-07-17,0.8430166980802642
弱的我也是醉了~~,8332,2017-07-13,0.5729456440670753
中国铁建(601186)大宗交易数据一览(08-08),21426,2016-08-08,0.6159002963871514
可怜的散户，又被忽悠进来了,7911,2017-07-17,0.012150674352755853
从高点下来跌幅超60% 这波也没什么反弹 比垃圾,3742,2017-07-07,0.2689051042723093
MSCI概念中最好的股是 必看 机会到,3900,2017-07-03,0.9669537510251616
[财力满仓]漂亮50中国股市的心脏；沪深300中国,5784,2017-07-16,0.9990204779731396
在分析与实战之间,7027,2017-07-08,0.9901363362398414
601186:中国铁建第三届董事会第四十三次会议决,24101,2017-07-11,0.1523870316389344
601186:中国铁建PPP项目中标公告(2017/7/20),49881,2017-07-19,0.7608743772477268
有点出乎意外,27634,2017-06-19,0.7241403024508678
这机会真好啊，··,11136,2017-07-17,0.8282078392815712
601186:中国铁建PPP项目中标公告(2017/7/13),33794,2017-07-12,0.7608743772477268
601186:中国铁建新签合同公告,42202,2017-07-03,0.1482431794817084
简单说俩句,12753,2017-07-05,0.5858456450915184
新签订单持续加速，低估值极具吸引力,38264,2017-07-14,0.041725936307861033
中国铁建：联合中标313亿元PPP项目,23757,2017-07-12,0.769770599692952
中国铁建：上半年新签合同额逾5500亿元 同比增4,25094,2017-07-13,0.3164913682755893
中国铁建,14030,2016-11-22,0.8317950122623342
闪崩的节奏,7511,2017-07-07,0.38178259815726445
实战炒股口决： 十四工作线，不破不走人。短线,66768,2017-02-10,0.9596611393517058
探底成功，正式开启七月高铁建设行情,13467,2017-07-04,0.9945515887991351
小明用“一路一带”造句：我家小区供给侧一带，,51148,2016-05-08,0.37597121482642837
中国铁建 这票要不要 加仓，接下来能否继续拉升,11703,2017-06-01,0.03272918581027606
中国铁建(601186)融资融券信息(06-12),5198,2017-06-13,0.9534329081811043
中国铁建(601186)大宗交易数据一览(07-03),22624,2017-07-03,0.6159002963871514
是要反弹了吗,4132,2015-10-22,0.5
又是一分钱模式~~,6609,2017-07-03,0.32628136039384403
别被“忽悠”！,17516,2017-02-10,0.0406424173984814
怎么这么弱啊~~,3814,2017-06-28,0.5984250540683116
都是大单卖，小散们齐心协力，搞起来,2355,2017-05-25,0.22942236985093922
铁建是故意混淆高铁技术和铁路建设和房地产的关,1583,2015-10-22,0.5080056026055826
千万别上去，空仓就等着调整那，再低点,1373,2015-10-22,0.011371529361606347
中铁要拉大盘了！,2301,2015-10-22,0.9557121700626363
中国铁建(601186)融资融券信息(06-08),7120,2017-06-09,0.9534329081811043
中铁也被这贱货拖累了,1402,2017-05-22,0.4107085980595917
中国铁建 横盘震荡 还是洗盘,13002,2017-04-07,0.9294209445785108
猜不透的人生将怎样去度过,8202,2017-06-08,0.9148970126245057
601186:中国铁建PPP项目中标公告,39748,2017-06-11,0.7794573379103933
中国铁建(601186)大宗交易数据一览(06-06),25569,2017-06-06,0.6159002963871514
601186:中国铁建关于召开2016年年度股东大会的,50803,2017-05-15,0.9413291706281914
《乐其中》,7733,2017-05-24,0.737704918032787
601186:中国铁建新签海外合同公告,39039,2017-05-25,0.35418090062485696
中国铁建2017年5月18日投资者调研报告,16658,2017-05-25,0.9455665381722276
601186:中国铁建PPP项目中标公告,37822,2017-06-02,0.7794573379103933
中国铁建获非洲123亿元大单,36900,2017-05-31,0.9536939568554154
港媒：中铁建签尼日利亚城铁合同 总额近124亿元,23980,2017-05-26,0.5328666222407653
主力怕留缺口，散户不上当,3186,2016-12-06,0.1563789396277372
拉圾,2786,2017-03-02,0.5
求指教，有人知道中国铁建发生什么事情了么？,15341,2017-05-19,0.5817618301992816
16元本，何时解套，求专家破解,12428,2017-05-22,0.4760376976484548
[满仓]IPO常态化养老金入市长期化，漂亮50永远,3743,2017-05-21,0.9385390126522646
又是一堆托，想着法子要你们买呢,6095,2017-05-19,0.8185156481446092
订单高涨驰骋一带一路，估值洼地有望逐步修复,19175,2017-02-10,0.5084095601707311
一季度业绩符合预期，“一带一路”布局打造海外,30491,2017-05-03,0.9973548758975389
《中国风彩世界展》,12487,2017-05-14,0.960203536871493
今天洗盘,估计明天还要洗一下然后主升浪,12534,2017-05-15,0.7499999999999999
中国铁建首季纯利28.78亿人民币升12%,22315,2017-04-28,0.8630618812541924
《现金为王终最高》,6947,2017-05-11,0.2056154504709674
美的集团上涨0.81元人民币,4332,2017-05-10,0.23591026110228464
上周看了3只股，中国电建中国铁建和中国西电，,8092,2017-04-17,0.8240423720843374
《天时地利也人和》,11880,2017-05-06,0.33304624613418565
手无铁建是“铁粉”，铁托忽悠别为真！,9458,2017-05-05,0.28430134661040807
“一带一路”红五月，五四之后十日现！,10732,2017-05-04,0.8409834841663821
《铁建中铁必前行》,9632,2017-05-03,0.8585136192269094
中国铁建：一季度累计新签合同额2616.09亿 同比,27518,2017-04-13,0.5005038907778029
轨交市政突出，业绩增速有望提升,21750,2017-05-02,0.9757789061540184
转载~……股市诗歌~老师~诗一首,7926,2017-04-28,0.9999714971186215
铁建开砸,2236,2015-08-18,0.16956517329075615
601186:中国铁建:中国国际金融股份有限公司关于,53903,2017-04-10,0.9975476938903528
601186:中国铁建BOT项目中标公告,30464,2017-04-28,0.7794573379103933
601186:中国铁建2017年第一季度报告,31895,2017-04-28,0.9445035047343405
围绕5日均线盘整 等待突破,33763,2017-02-24,0.9115869462284538
我是铁建的长期持有者！,68969,2016-01-29,0.4031452926172929
转载诗人~股市诗歌~一首,5393,2017-04-25,0.9997978776502097
中铁建12.35亿拿下北京石景山自住房地块,21551,2017-04-24,0.7235727647642606
周五买中国铁建满仓，周一赚3个点就出。希望主,12274,2017-04-23,0.42504166521069897
由于天朝的资深舵主更爱绿化！高叫：不搞绿化者,19572,2016-12-12,0.5418324579099068
继续”铁托”急先锋！,12299,2017-04-20,0.4737672181921908
股市五行人！,6624,2017-04-21,0.8230235939832709
4.0工业革命凸起黑科技受惠的上市公司（转乘）,14753,2017-04-03,0.2962239259185949
新签合同大幅增加，PPP及海外项目助力业绩持续,28337,2017-04-17,0.5591810363762544
这个公司就是个老赖，在东莞市莞惠城际轨道施工,13861,2017-01-25,0.8085432404932578
铁建~风景这边独好！,18110,2017-04-10,0.9846091322466851
赠己一曲铁建歌！,17855,2017-01-19,0.8208738233672348
同志们不要急四五月份会上到20以上的,16443,2017-03-16,0.09843370412825914
海内外新订单齐放量，带动业绩稳健增长,27331,2017-04-05,0.8096918213871376
明天先来个涨停压压惊？,14713,2017-04-05,0.4938957339927633
601186:中国铁建独立董事关于公司2016年度利润,64870,2017-03-31,0.5673448828402581
业绩稳健符合预期，新签订单增速创近年新高,17286,2017-03-31,0.8802234437243197
中国铁建，好一个多日平淡走势，目前看5日线有,25137,2017-03-09,0.8175931672981064
今天补跌？,192582,2015-10-22,0.5
高,2882,2017-03-02,0.6582579723940979
垃圾,2831,2017-03-03,0.12698412698412687
未来两大黑科技领域中率先得到实惠的上市公司,9714,2017-03-15,0.9999540623023022
铁建也该涨了，盘整这么长时间，国家的大战略,12856,2017-03-21,0.9963956535660257
孟朝凤涉嫌对外转移财产！,8354,2017-03-20,0.96943558328117
看图要大涨，我又进了,15161,2017-03-21,0.6783503320638757
公司发展稳健 国内外业务齐头并进,23001,2017-03-17,0.5099259480970392
601186:中国铁建H股公告(董事会会议通知),42773,2017-03-14,0.13149476573368024
为何认定中科电气为超级妖股的大小投资者会风起,21701,2016-12-05,0.9733930456437351
成本数据告诉你: 只买不卖，卧底待涨,10504,2017-02-28,0.2228268604056206
年底上25，拿住就行了,12203,2017-03-12,0.21473297082764997
601186:中国铁建PPP项目中标公告(2017/3/9),42863,2017-03-08,0.7608743772477268
散了吧，散会！,8293,2017-02-10,0.4072566582706817
中国铁建子公司中标52亿元PPP项目,17530,2017-03-08,0.7444345792181645
601186:中国铁建重大工程中标公告,41138,2017-03-07,0.8085563141204647
中国铁建与中国电信签订战略合作协议,16407,2017-03-07,0.11723724101241229
中国铁建：中标34亿工程,13812,2017-03-07,0.8941455765657826
老子就是想知道，天天中标为啥股价不涨？？求解,13063,2017-03-02,0.3300004574937011
中国铁建短期高点会是多少？,60567,2016-12-02,0.7232775458200525
后续催化事件密集 “一带一路”迎主题大年(附股,27553,2017-03-06,0.19757257354682833
发展平稳向好，有望借一带一路及国改东风,84654,2015-09-01,0.9932176584529988
业绩稳健，订单大幅增长，未来或将充分受益PPP,27285,2016-10-28,0.9624002492475923
盈利能力持续提升，现金流改善明显,29840,2015-11-01,0.509703836268117
传说中：“中国高铁”即将廷生！,10570,2017-03-05,0.9969862094382145
601186:中国铁建PPP项目中标公告(2017/3/3),36771,2017-03-02,0.7608743772477268
以四大功能为支撑 武汉加快建成国家中心城市 20,17556,2017-01-26,0.6377592869317908
Q3业绩加速，央企平台充分受益PPP及一带一路,49380,2016-10-28,0.8413990393437656
中国铁建去年纯利按年升2.4%,23733,2017-02-28,0.8382035741665396
601186:中国铁建关于下属控股子公司中国铁建高,52824,2017-02-28,0.8903941278999109
601186:中国铁建重大工程中标公告,38813,2017-02-27,0.8085563141204647
先卧黄金坑 后得美人归,35903,2017-01-22,0.3773675264619629
601186:中国铁建重大项目中标公告,46236,2017-02-24,0.7969815014421684
中国铁建中标229亿元项目,18175,2017-02-24,0.8048789054680098
中国铁建及中国建筑联合体中标229亿高速公路项,51712,2017-02-24,0.7837338380559408
601186:中国铁建关于2021年到期之人民币34.50亿,38266,2016-12-21,0.5871590636500651
601186:中国铁建BT项目中标公告,41308,2017-02-22,0.7794573379103956
下午记住一定,17797,2017-01-10,0.4134012480164565
内部参考（600481又涨15%后另一推荐）,9715,2016-12-27,0.9801925550676697
买入10万股铁建，价格11.25元,13396,2016-12-20,0.45714739200753474
余君龙：中铁建目标价12.46元  阻力位11.74元,20384,2017-02-16,0.9937347681387573
拿好，必有回报！,11060,2017-02-09,0.8781793762387364
601186:中国铁建新签海外合同公告,59857,2017-02-10,0.35418090062485696
与中国中铁不合理的估值差后续有望逐步修复,107367,2016-11-14,0.37232076067044295
中国铁建，正在营造中期大底,24588,2016-08-04,0.9600915252773959
中国铁建中标193亿元PPP项目,36951,2017-02-09,0.5531562722484312
601186:中国铁建PPP项目中标公告,46242,2017-02-09,0.7794573379103933
铁建鸡年愿望：借央企改革之风兼并重组、目标价,17265,2017-02-06,0.997727259744751
午间参考（603366涨30%）,12063,2016-11-08,0.7310009262878595
导语：股票市场不是年轻人应该去的地方。对年轻,10942,2017-02-03,0.9844479314483829
中国铁建中标成都轨道交通10号线二期工程项目,18584,2017-01-23,0.9730507614551561
601186:中国铁建非公开发行限售股上市流通公告,97391,2016-07-10,0.39659880531692826
601186:中国铁建:中国国际金融股份有限公司关于,56895,2016-07-10,0.9975476938903528
据可靠消息中国铁建与中国中铁重组 ！,46816,2016-07-24,0.9458963950638694
601186:中国铁建2016年第四季度主要经营数据公,60785,2017-01-23,0.9240045039870916
下午开盘就会崩盘，立帖为证。说错退出此吧！！,9690,2017-01-19,0.1710605878256236
这么多筹码让散,2215,2016-11-01,0.6733320520021616
开盘仅1.5小时,资金流出7800多万,10191,2017-01-16,0.4433848342074771
瑞银：PPP为中国铁建增长关键动力目标价14港元,26235,2017-01-11,0.9999574826377359
中国铁建联合体中标102.51亿元湖南高速公路BOT,33329,2017-01-06,0.3438572540135989
中铁建中标湖南BOT项目 涉103亿,14453,2017-01-09,0.9210333103179967
抛弃幻想坚持价值投资，关注金种子酒意外发力迎,19031,2016-12-14,0.9999797039273153
过年翻两番妖股行情，大牛胚子啊，好行情龙头带,20363,2016-12-11,0.9910144748295696
601186:中国铁建BOT项目中标公告,49466,2017-01-06,0.7794573379103933
趋势涨停战法:中科电气复制5月18号走势短线翻天,12366,2016-11-27,0.9842710891585867
市场主力转战超级妖股中科电气短线翻番选股要稳,16258,2016-12-05,0.8697771934172548
摩根大通增持中国铁建398万股 耗资3987万港币,22697,2017-01-05,0.7944864639401145
中国铁建：与中国中铁不合理的估值差后续有望逐,11881,2016-12-21,0.9235033367409421
601186:中国铁建新签合同公告,49551,2016-12-30,0.1482431794817084
涨涨涨,1901,2016-07-18,0.6717152153524077
601186:中国铁建重大工程中标公告,52558,2016-12-28,0.8085563141204647
中国铁建中标近55亿元珠三角城际轨交项目,14803,2016-12-28,0.9447479389485426
高抛低吸，做多少差价都是赚的，长线持股稳赚不,9340,2016-12-25,0.014096633775398604
铁建股价遭严重低估,36093,2016-10-28,0.9199566118573014
601186:中国铁建第三届董事会第三十六次会议决,45059,2016-12-23,0.1523870316389344
中国铁建：中标282亿元PPP项目,21574,2016-12-22,0.787854974837883
明天拉升11.70附近，拿住了啊,16247,2016-12-20,0.0677727978858591
中国铁建中标云南2个PPP项目总投资额达282.05亿,11916,2016-12-22,0.7350706456537518
601186:中国铁建PPP项目中标公告(2016/12/23),41712,2016-12-22,0.7608743772477268
中国铁建海外订单以美元结算,5779,2016-12-19,0.09537692550933785
中国铁建本金34.5亿元的换股债将于12月22日获准,22384,2016-12-21,0.1566194848419955
中国铁建中标76.05亿元高铁项目,13488,2016-12-20,0.9100742802876272
601186:中国铁建PPP项目中标公告(2016/12/20),43130,2016-12-19,0.7608743772477268
12.3的本，要不要割，给个建议，各位道友,18804,2016-12-15,0.09250011301300143
明后两天铁建不跌到10.5以下，我给自己五耳光，,24647,2016-12-14,0.04735746287120801
现价11.44，净资产9.2974，你只要投11.44-9.297,14010,2016-12-14,0.4972255142808387
中国铁建年利润是多个上市公司的市值 潜伏于大,57027,2016-11-01,0.40633836162123327
10.55加了点仓 在下今天就把话放这,45104,2016-10-25,0.1790304625190393
涨停收盘！目标价：20元,11079,2016-12-09,0.9135519557926585
港股劣根性之“矫枉过正” 中国铁建被“错杀”,30000,2016-12-12,0.88608562602913
铁建1026,17112,2016-07-06,0.6406996764803286
行情在争取,14879,2016-11-26,0.8999999999999999
私募冠军狂买该股 又一个高送转个股要飞奔？,8655,2016-12-06,0.9729631415319551
601186的牛市目标价出来了：36.60元,19329,2016-11-27,0.9358259954427356
铁建中铁难道真的要合并？最新消息！,46427,2016-09-03,0.17863304368713362
601186:中国铁建建议发行于2021年到期、人民币3,39387,2016-12-08,0.1513713919560975
中国铁建在港发行34.5亿元可换股债券,17992,2016-12-08,0.19295563647480196
601186:中国铁建新签海外合同公告,43434,2016-12-07,0.35418090062485696
还是悠着点伙伴们！姐不后悔,11720,2016-12-05,0.00963258560317104
中国铁建：签37亿元海外工程合同,15641,2016-12-07,0.43032895804140325
中国铁建签署37亿元海外施工承包合同,10939,2016-12-07,0.01268814267364482
特朗普同志上台，有助于一带一路,29122,2016-11-11,0.9805692546736461
601186 调整需要，暂且不盲目！,9787,2016-12-06,0.42108883504194305
中铁建将为广东建首条磁悬浮轨道磁浮时代悄然而,30040,2016-12-06,0.9945468650310878
我想去看看你们殿后,3077,2016-12-05,0.44618739292757903
【热点直击】中字头股今日迎来集体大跌,50747,2016-12-05,0.9277119492861771
十字星，可进了，明日暴力反抽，一日游,7771,2016-12-06,0.9454789909020148
中字头个股集体大跌 中国铁建跌停,25354,2016-12-05,0.626423067395578
我分3次卖的11.83-12.13-11.26各2000股，没想到,18648,2016-11-25,0.04731248296035151
中国铁建开市前有一宗大手成交  涉资2,486.4万,37130,2016-12-05,0.8953548876078226
保监会将出手香港野蛮人来了格力深股通专用席位,4720,2016-12-05,0.5036783453215832
中国铁建百亿元增发股今日解禁 机构出逃股价跌,54170,2016-07-18,0.7152773002290755
冲冠一怒为红颜！格力两跌停也很正常，美人反感,4239,2016-12-05,0.8743716744596007
姐姐今天12.7买入了15800股，超低成功！,17944,2016-12-05,0.7367746025868296
小摩:中国铁建等铁路股最新评级及目标价,43038,2016-11-30,0.9064713363214826
中国铁建今日超大单流入排名第1名(12-02),45426,2016-12-02,0.8683922939898969
昨天拉升，今天洗盘到位，从今晚公告看，主力资,26781,2016-11-30,0.8489651116680794
空中加油式的洗洗盘，疯狂的主升浪也许很快到来,18131,2016-11-30,0.9262634562072881
高铁，是中国的名片，走向世界的敲门砖,15236,2016-12-01,0.9635269745898329
中国铁建和中国中铁未来走势如何？,21263,2016-11-29,0.9931659923027374
中国铁建中标2022年世界杯主体育场工程,30422,2016-11-29,0.9437736285224206
中国铁建(601186)融资融券信息(12-02),12943,2016-12-03,0.9534329081811043
【热点直击】中字头股拉升护盘，后市你怎么看？,21131,2016-12-02,0.9250515105302399
不要造谣惑众，什么时候查的?,2326,2016-11-28,0.22544396334273076
601186:中国铁建第三届董事会第三十五次会议决,56840,2016-12-01,0.1523870316389344
中国铁建遭举牌，会发生吗？大家讨论[大笑][大,10933,2016-12-01,0.9708129631927871
601186:中国铁建重大工程中标公告(2016/12/1),1179454,2016-11-30,0.7917702240822283
中国铁建：中标197.85亿元项目,16225,2016-11-30,0.8048789054680098
上新闻联播了，我看你怎么压股价,8576,2016-11-30,0.8732093902917677
中国铁建今日超大单流出排名第7名(11-30),8310,2016-11-30,0.7368343839367275
中铁建中标卡塔尔世界杯主体育场项目 合同总值,22400,2016-11-30,0.4998883625424717
今天13．8以上买入的小伙伴，你们还好吗？老夫,15996,2016-11-29,0.9113506989508101
中国铁建联合体中标2022年世界杯主体育场,8634,2016-11-30,0.8670019071277355
南华金融岑智勇：中国铁建 上望12.46元  止蚀价,18470,2016-11-28,0.9865366033741718
中国铁建将承建2022年世界杯主体育场,16017,2016-11-29,0.9348177104003523
13.88进的，靠!,8186,2016-11-29,0.3250872272006029
目标价：20元！,11380,2016-11-26,0.8181096158684379
明天必跌！,9920,2016-11-10,0.2845935741427815
