标题,帖子数,回帖数,时间,情感
本周收盘不理想，与大盘比偏弱了些。下周一如不,10137,126,2017-06-23 20:40:33,0.1729075803968072
证券是引领慢牛格局的接力棒？,49670,448,2017-08-30 10:45:06,0.949909846448778
2017年上市证券新股601881一601878一600909一60,12656,83,2017-09-01 10:15:17,0.08625867061643688
中报速递：中国银河2017年上半年盈利21.12亿元,26341,12,2017-08-30 20:06:31,0.4700687663930708
券商龙头是谁？,21574,26,2017-09-01 09:25:01,0.2505978542578735
我今天开骂中国银河证券的垃圾主力,18549,27,2017-07-26 10:47:32,0.16978105636156182
江苏银行仅此1家股价不到10块0.98元业绩次新股,54124,146,2017-03-16 10:48:58,0.04997406222880718
601881:中国银河H股公告(股份发行人的证券变动,30540,5,2017-09-04 18:50:13,0.3983429818041083
#-#华泰证券+美国金融科技企业颠覆金融系统和传,54374,164,2017-03-19 19:41:59,0.9999780441860584
中国银河，上升回档，证券板块的次新股，还是要,23339,41,2017-08-31 13:42:58,0.34969090890646093
明天高开高走直奔涨停！恭喜有票的兄弟姐妹财源,9865,14,2017-09-04 14:59:18,0.12206758099967763
声明，股吧用自己的老老杨头眤称登不上，现在用,6850,24,2017-09-01 19:45:56,0.04793889328574219
强烈看好证券翻倍行情,28935,17,2017-08-30 11:40:09,0.7949522469265667
中国银河15.58元的高点被打掉，下一个目标位就,27540,61,2017-08-30 12:37:16,0.18485182795752442
中国银河 下面没筹码了 今天洗出一大半 请看图 ,16312,11,2017-08-31 21:33:13,0.23687435761384745
[鼓掌]请问各位高手们，此股是否会枯木逢春铁树,11083,12,2017-05-15 16:37:36,0.3754746454738408
中国银河(601881)融资融券信息(09-01),11460,10,2017-09-02 07:58:47,0.8985844698105239
信用、资管业务发力，回归A股见成效,22041,6,2017-09-01 09:57:03,0.5106352743931954
实战炒股口决： 十四工作线，来回做波段；突破,82101,104,2017-03-16 11:26:49,0.986755970349184
中国银河2017年中报点评：客户规模优势明显，资,37640,7,2017-08-31 19:19:07,0.32750296535221046
信用资管快速增长，资本补充客户雄厚,25082,15,2017-08-31 16:24:30,0.9920566243355081
我就是游资 2017.08.28 热股点评,64886,20,2017-08-28 17:29:32,0.06343639327074924
601881:中国银河2017年半年度报告摘要,29351,12,2017-08-30 19:49:23,0.837492938098991
追高介入玩玩,8928,19,2017-08-29 11:06:50,0.9523379225232576
今天建仓  ：中国银河 601881   参与价14.80元,7239,7,2017-08-29 14:14:45,0.8095065519731902
2017.08.30. 中国银河 601881 此刻马上离场 ，,3519,0,2017-08-30 09:50:42,0.922883088053819
骨头[大笑][大笑][大笑]那个小号，哥认不出[胜,72025,344,2017-08-04 13:34:14,0.9983417008135357
中国银河(601881)龙虎榜数据(08-28),63144,31,2017-08-28 16:35:40,0.903602980236985
2017.08.29. 中国银河 601881  此刻进场买入.,7029,3,2017-08-29 14:17:43,0.9785259749813674
哈哈哈,2007,25,2017-08-28 13:33:42,0.8684210526315791
现价12.24元，图示无私献筹光荣榜！,10976,10,2017-08-11 15:44:10,0.4167196142639097
上周五的大阴线一半都没到，折腾快一周了,8705,43,2017-08-17 09:42:53,0.20465239417344083
[傲][傲]一直都在陪你玩，从来没放下,16784,24,2017-07-19 21:12:48,0.9514242304196205
[复盘兴奋]漂亮50中国股市的心脏；沪深300中国,6256,5,2017-07-18 19:55:12,0.9999767278781122
[胜利]国家慢牛行情开启，让我们乘风破浪钱行！,2615,3,2017-08-02 10:24:21,0.983893400122795
中国银河(601881)融资融券信息(08-25),7227,16,2017-08-26 10:08:02,0.8985844698105239
券商股哪只最有机会？ 第一创业率先涨停，占了,8144,7,2017-08-03 10:36:41,0.856849193152077
谁会成为未来行情的真命天子？,402101,1179,2017-07-04 20:41:01,0.9702591788125642
每天都降点成本,9704,22,2017-08-22 11:22:14,0.6840697385668999
601881:中国银河非公开发行2017年公司债券(第三,25642,9,2017-05-10 20:35:48,0.24201119200865429
601881:中国银河关于全资子公司境外收购的公告,39714,26,2017-06-06 18:56:05,0.9318565225252206
中国银河(601881)融资融券信息(08-24),4779,5,2017-08-25 07:48:05,0.8985844698105239
彩莲再度告诉你：一个人心胸狭隘 炒股也会失败,15883,32,2017-03-02 08:21:09,0.8165819418356178
与资本大鳄共舞,42958,48,2017-03-11 15:22:11,0.9596239902253944
中国银河(601881)融资融券信息(08-18),7850,39,2017-08-19 08:39:01,0.8985844698105239
砸盘狗不死就别想涨,4259,20,2017-08-18 14:35:12,0.0750713181723025
中国银河(601881)融资融券信息(08-17),6026,3,2017-08-18 07:49:50,0.8985844698105239
中国银河(601881)融资融券信息(08-16),5538,4,2017-08-17 07:46:39,0.8985844698105239
[牛][牛][牛]老子早就知道在13.20元等买。小的,32104,155,2017-02-20 09:41:08,0.8955466680579405
中国银河(601881)融资融券信息(08-11),8367,5,2017-08-12 07:49:27,0.8985844698105239
前面抛出的大量筹码正好可以在下周接回来，操作,13000,4,2017-08-12 15:59:34,0.7519424646305846
布依今天在11.22元左右大量买入601881,14853,17,2017-02-09 13:17:15,0.5349229229953204
明天12.4接回,11387,34,2017-08-09 14:51:29,0.12680178801784903
总部位于北京的中国银河或整体迁入雄安新城,33167,31,2017-04-10 12:40:04,0.9942121270433318
洗了一天了，够了吧,6266,9,2017-08-07 14:58:36,0.24366899473461145
13.08卖出，准备12.40接回！,14207,49,2017-08-02 16:37:19,0.17658783860551108
2017年中国最大也是建国至今中国最大的海外并购,1920,0,2017-07-11 18:28:13,0.9552140296208995
