标题,帖子数,日期,情感
咯咯咯咯狂笑 疯狂抢盘啦 晨鸣三年利润之和超市,20515,2017-06-26,0.9927699907532599
树总会高过草的!,252854,2017-05-21,0.988898676360028
中行在四大行中为何最值得投资？四大行2017半年,10743,2017-08-31,0.8657003343187485
低价蓝筹行情会持续，高价，创业板还要跌一年，,29912,2017-07-26,0.28697064385704907
建议民营老板们买点银行股,34343,2017-05-02,0.04584892015322006
建议愿意长期投资的朋友们关注下银行股,35651,2017-07-01,0.6284026642929019
大家谈谈对中行的看法,40767,2017-07-28,0.4692778122296848
邀请你过来西部矿业601168一起发财！即将公布重,29281,2017-06-27,0.31024760465510837
目标价4.89-5.38元,7126,2017-08-31,0.8570834241827884
笑哈哈笑哈哈哈。晨鸣涨三倍还低估，4年收益翻,7731,2017-08-16,0.9999299209967811
中行上半年净息差稳步提升 提高1BP利息多赚20亿,20380,2017-09-02,0.20598611815036405
中国银行(601988)融资融券信息(09-01),5294,2017-09-02,0.8054594634321686
肖立红及汪小亚获任为中国银行非执行董事 任期3,3606,2017-09-01,0.26972897206130275
中国银行委任肖立红及汪小亚为非执行董事,4395,2017-09-01,0.456886483154063
[疯狂抄顶四大行，你们或将继续站岗放哨又十年,19385,2017-08-09,0.4828475141673587
中行河北违法妨碍监督检查 代理人寿新业务暂停,11044,2017-07-03,0.08589015588148896
陈四清就任中国银行董事长,5367,2017-08-30,0.8462607328127268
中国银行中期净利增11.45%至1036.9亿元,30489,2017-08-30,0.9291910025232613
中国银行：上半年净利1037亿元 同比增11%,23834,2017-08-30,0.5732621927644568
中行2017年上半年税后利润增长3.02%,20484,2017-08-30,0.14751643977297957
中行上半年净利同比增3.02% 拨备覆盖率逼近红线,14432,2017-08-30,0.6131246441427504
中国银行(601988)大宗交易数据一览(08-30),10200,2017-08-30,0.24485941641227682
中国银行上半年股东应享税后利润增11.45%至1036,23058,2017-08-30,0.20383535188461
中国银行(601988)大宗交易数据一览(08-29),12831,2017-08-29,0.24485941641227682
内资抛售中国银行买汇丰控股,19008,2017-08-29,0.3798115967489637
看起来中银涨不动了，3.73卖了。大家说怎么样？,178050,2017-02-23,0.7066655778463475
[毛估估]女士们先生们朋友们！战胜内心的恐惧，,7342,2017-07-23,0.9935701502741795
中国银行(601988)融资融券信息(08-25),7372,2017-08-26,0.8054594634321686
黄国东：A股下半年预测  推荐中国银行,42769,2017-07-02,0.8083297031918149
中国银行 爱你一万年,410150,2017-06-26,0.7676927958164397
中国银行与腾讯成立金融科技联合实验室,27280,2017-06-22,0.9686476156194244
建设银行，工商银行正创新高，中国银行的操盘手,19180,2017-05-12,0.4165808864467141
工伤银行上5元啦，中行的那几个傻逼操盘猪还在,19658,2017-05-12,0.5890329934856481
美元贬值是有其完整的战略规划的，不是一时兴起,10148,2017-08-04,0.991608955991435
证金（震精），汇金打压中国淫行，是祸害中国股,26635,2016-12-20,0.7333613168025849
中国银行(601988)融资融券信息(08-18),9522,2017-08-19,0.8054594634321686
众多金融机构踩雷大连机床 头号债主中行20亿难,48252,2017-08-16,0.9940898191621256
中国银行董事长田国立辞职 陈四清接任,13295,2017-08-18,0.8426618958077406
一笔9200亿美元损失《责任谁付？呜呼中国银行》,11219,2017-08-03,0.11182648531621397
中国银行选举陈四清为董事长,8131,2017-08-17,0.7243582547121765
中国银行(601988)融资融券信息(08-17),5839,2017-08-18,0.8054594634321686
田国立辞任中国银行董事长及执行董事等职务,6585,2017-08-17,0.9198300630185988
中国银行(601988)融资融券信息(07-12),8142,2017-07-13,0.8054594634321686
不到净资产坚决不出,5592,2017-07-17,0.4466743906410995
市场很明显，下周挑战3300点，(做多类涨价有色,3010,2017-07-27,0.9716868176262141
中国银行(601988)融资融券信息(08-11),6260,2017-08-12,0.8054594634321686
祝福：中国银行未来路，不断向前发展！,46487,2017-01-25,0.9997602764143583
小摩：升中行目标价至5元 维持“增持”评级,20020,2017-08-09,0.8431814587298976
抢 笑咪咪抢盘啦 业绩去年翻倍股0.99，今再翻倍,12366,2017-05-03,0.9956199182096495
嘿嘿 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍,18596,2017-05-07,0.874591661483605
砖家，机构都说银行是价值洼地，那它们为什么还,7234,2016-10-26,0.25721809080965796
银行股的涨幅还远远不够！,19675,2017-07-30,0.11286286258939104
农业银行将超过中国银行股价，中国银行股票将沦,11558,2017-07-27,0.924073913554853
震金，毁金连续100万股打压中淫，操盘手罪该万,11049,2017-01-06,0.8307520345525642
谢百三说不买四大行”的观点是错误的,8636,2016-11-11,0.12603010611904109
601988:中国银行2016年度A股派息实施公告,98574,2017-07-06,0.4754489645305464
海外业务优势突出，抗风险能力强,24383,2017-08-04,0.8189661237599926
中行年报不错，不要纠结于分红高低，我持有中行,20383,2017-03-31,0.32748874229080827
热烈  庆祝数千亿养老金入市买股增值，大型券商,9603,2017-07-28,0.21644451768930628
前路虽漫漫，九转回肠，但青山遮不住，毕竟东流,812444,2016-12-30,0.8311918214718862
狠狠批评证金公司减持国有三大行A股的行为,11488,2017-04-28,0.00984901803534588
又以3.85减仓卖出一笔中国银行我不知道它到底还,13562,2017-07-25,0.20757410473221616
记住中行2007年7月上市日。 记住中行2007年11月,19513,2017-06-17,0.004028252769987861
看中国银行,23652,2016-11-22,0.5618565332226944
行情尾声，注意风险！经济每况愈下，牛市没基础,21126,2015-11-18,0.9972142685143891
中国银行(601988)融资融券信息(07-28),7203,2017-07-29,0.8054594634321686
国际原油7连涨，超跌央企龙头股泰山石油000554,4485,2017-07-04,0.005628349325700555
本人从去年底到现在始终1/3仓位短线操作，看起,10218,2017-07-08,0.5172288129519518
五大行接下来是五年长牛，不要问为什么，自己慢,16505,2017-07-26,0.14432444024351188
逃雄安弃保险        主力只买券商，广发证券白,6675,2017-06-21,0.1447182558852369
基金抱团炒个股是中国式庞氏骗局，隐患危害大98,28121,2016-07-22,0.5329367250808874
摩通减持中国银行2.57亿股 每股3.771元,28166,2017-07-20,0.22330617523898266
听说好多地方退休人员工资不能按期发放，请问中,12940,2017-06-28,0.08444313639945211
业绩爆增而涨幅小的600688正是出了银行股的中新,6698,2017-05-03,0.7020758892870407
真金不怕火炼!,8461,2017-06-04,0.4737672181921908
中国银行7月14日发放A股股息每股0.168元,23709,2017-07-06,0.017984470495921223
几回殢娇半醉,4808,2017-07-14,0.5905564723440317
我站在山岗上 ,6572,2017-07-14,0.5418476839537713
分红前一天多买入一些，领取分红后卖掉，这样成,28967,2017-07-08,0.1000653955691051
洗成倒挂呵呵,3084,2016-05-25,0.10805480845705995
中行5亿就能拉涨停100亿就能封板,2137,2017-07-05,0.7538030727895438
入市12年 ，也算一个小轮回，些许感悟,5451,2017-07-04,0.9701979773887146
盘点沪深300指数5,4753,2017-07-07,0.8102851953932378
询管理暂行办法,2844,2017-07-02,0.0509813220508768
相对于工商银行，这票挂单为什么这么大？,4318,2017-07-04,0.00614455325026475
中国银行陕西分行承兑汇票业务违规 吃银监罚单,8421,2017-06-23,0.3801491738267584
中国银行(601988)融资融券信息(06-19),4428,2017-06-20,0.8054594634321686
中国银行在银行股表现最差，至少落后版块20个点,6276,2017-06-09,0.008364570681398398
中国银行:调整仍在继续，防范短线风险！等待这,8543,2017-06-05,0.95731761287421
你妈的，难怪会不停发生股灾！,7815,2017-06-05,0.17432418514815073
你妈逼,6076,2017-06-01,0.574549474228723
北上资金“开抢”万科A 深圳地铁账面浮盈超110,4682,2017-06-24,0.9588574228099257
中国银行要大力改革，否则会破产!,6906,2017-06-15,0.9216892284388051
601988:中国银行关于副行长辞任的公告,14108,2017-06-16,0.24196948300847165
601988:中国银行2017年第一季度报告,24682,2017-04-28,0.7748559806030249
中国银行已到无人关心景地，看作僵尸股了，静等,4528,2017-06-15,0.6109406541876963
别的吧！可热闹了，这咋没人啊？,4416,2017-06-23,0.8019744110415399
中国银行(601988)融资融券信息(05-26),11013,2017-05-27,0.8054594634321686
今天啥事都没干 一直在买入 巴菲特眼里最值的股,7161,2017-06-05,0.9609576264771825
601988:中国银行关于2016年年度股东大会增加临,26367,2017-06-14,0.7449618814779764
中国银行，跟跌不跟涨。,17722,2017-06-05,0.4927674872480817
分红的真正意义，很多人都说分红是没意义的，甚,716678,2016-06-25,0.6758342778117933
中国银行：[中国字号] 稀缺资源 盘大也涨！,18918,2016-11-29,0.9630071970966834
央行发布《全国银行间债券市场柜台业务管理办法,294723,2016-02-14,0.01622206456642572
601988:中国银行关于拟议将中银航空租赁私人有,56085,2016-03-04,0.8795602722494473
中国银行今日超大单流入排名第7名(03-04),12307,2016-03-04,0.7278471345187458
2月22日早盘内参：刘士余出任证监会主席,238228,2016-02-22,0.2788866352107693
[极度震撼]财富号上线啦！上海银行十大流通股东,16451,2017-04-30,0.4442922363621983
2017年 工行涨百分之16.5 建行涨百分之13 农行,14090,2017-06-05,0.9499565973974162
崩得越惨越漂亮！,2041945,2015-08-06,0.9763874182749144
中国银行看高至15元，应该没有问题。,16085,2017-05-26,0.2045977931192834
