标题,帖子数,日期,情感
今天伊利是仙人指路还是避雷针呢？我说是仙人指,18365,2017-09-01,0.6713360973792476
股市悄悄进入牛市时俺应如何应对,6370,2017-09-04,0.9989395960576805
伊利中长线无忧，耐心持有！不要动摇！不要再一,133930,2017-07-19,0.9648808612108327
【联讯食品饮料公司点评】 伊利股份：业绩超预,25439,2017-09-04,0.8289222195030894
2Q17 results beat with strong sales growth; ,19454,2017-08-31,0.7473068715252317
伊利中报：上半年净利润33.68亿元,29824,2017-08-30,0.6509031724284852
实战炒股口决： 十四工作线，来回做波段；突破,52121,2017-05-19,0.986755970349184
伊利股份(600887)融资融券信息(09-01),6007,2017-09-02,0.9710545418772188
伊利股份(600887)大宗交易数据一览(09-01),37370,2017-09-01,0.724316965000149
高位已出现背驰、明天出。有可能你看多、但是也,16126,2017-08-23,0.5763686687774129
请问：现在进口洋奶冲击大吗？你们喝什么奶？,10254,2017-08-22,0.9936627209312414
明后两天伊利必有3个点以上的大跌,15947,2017-07-26,0.20222717056525907
伊利我个人认为下周看涨，特别是下半周。你们怎,32753,2017-08-18,0.47268781902048085
登高远望,33043,2017-08-09,0.5
基金抱团炒个股是中国式庞氏骗局，隐患危害大,23402,2016-07-21,0.9330717406151859
伊利股份某年或许将易主,32536,2017-08-16,0.984829611871489
行业回暖业绩复苏，龙头伊利强者恒强,33806,2017-08-31,0.9988917847136154
姐的帐户,9838,2017-08-31,0.5294947133879233
伊利股份半年报增5% 证金增持,24910,2017-08-31,0.6653295345274467
说明,6257,2017-08-31,0.5262327818078083
2017伊利中报:营收330亿元；利润 33.6亿元！,26031,2017-08-30,0.016643070364612544
600887:伊利股份2017年半年度报告摘要,71498,2017-08-30,0.9512497457430018
呵呵，该涨的不涨（格力，美的）。不该涨的大涨,9943,2017-08-31,0.8900095588780387
“二胎”商机助力伊利股份 上半年狂赚31亿元,22949,2017-08-31,0.867700463874157
伊利成为北京冬奥会合作伙伴,9787,2017-08-31,0.28734998089640207
中报,18699,2017-08-30,0.5
600887:伊利股份2017年半年度报告,45002,2017-08-30,0.8784124330323733
蒙牛与伊利之间差的，到底是一个牛根生？还是一,24656,2017-08-30,0.2930747774896524
伊利正式签约2022北京冬奥 成为官方唯一乳制品,21468,2017-08-30,0.6177841085766874
辉山垮,圣牧、现代牧业亏,明看大A领袖风范!,8256,2017-08-29,0.21190397689004203
22.33 买货的是真高手啊,12641,2017-08-28,0.3867115973667995
伊利股份(600887)融资融券信息(08-29),3661,2017-08-30,0.9710545418772188
一个盈警 中国圣牧股价跌13%！,11109,2017-08-29,0.9728771690444472
尾盘翻红是大概率,4924,2017-08-29,0.11094727662738801
半年报光明增长碾压伊利，坐等某喝伊利打脸！安,11159,2017-08-29,0.984006546516445
22.60 开始买货,15203,2017-08-24,0.31110224818168797
一阴改变情绪,二阴改变观念,三阴改变信仰!,7854,2017-08-28,0.9517256673807728
600887:伊利股份关于注销部分股票期权和回购注,38920,2017-08-18,0.8454712402608962
600887:伊利股份关于股东股权解除质押公告,37786,2017-08-24,0.9857472026168199
A股市场“全能王” 伊利制霸上证50第一龙头！,10610,2017-08-27,0.9982194093003987
[财力满仓]女士们先生们朋友们！战胜内心的恐惧,6149,2017-07-23,0.9714881443121417
伊利股份(600887)大宗交易数据一览(08-24),33036,2017-08-24,0.724316965000149
"17乳协年会召开在即 各界期待聆听""伊利声音""",15344,2017-08-25,0.7847013231606159
姐的帐户,17093,2017-08-09,0.5294947133879233
