标题,帖子数,日期,情感
保利地产：上半年净利56.51亿 证金公司增持超1,37227,2017-08-29,0.2830818471486005
保利是我2016年下半年赚钱最多的股票之一,596658,2016-10-23,0.9419969644081256
保利低位对倒,12301,2017-08-08,0.7131098455388791
沪指也有些放量回落。b,10985,2017-08-08,0.25137759814575655
次新股0.98元业绩江苏银行股价不到10块仅此1家,39901,2017-04-27,0.049974062228808624
广州自贸区概念,47210,2017-04-06,0.6958377097328536
实战炒股口决： 十四工作线，来回做波段；突破,75360,2017-03-13,0.986755970349184
保利地产(600048)大宗交易数据一览(09-01),22349,2017-09-01,0.22596319962749012
中国证券金融公司发布举牌公告，截止今天本公司,16105,2017-08-28,0.9063875984486137
认认真真，苦读十年金刚经，开启人生修心大智慧,7047,2017-08-24,0.9981496487839243
2017年半年报点评：规模房企业绩标杆央企资源整,22131,2017-08-31,0.07914857931279695
收割城市群战略硕果 上半年保利地产实现规模、,17029,2017-08-31,0.9707937931947042
狂笑  瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,19587,2017-05-24,0.20940363332354495
笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今年,15948,2017-05-24,0.6533299212347706
保利地产上半年净利增14% 证金增持1.14亿股,20123,2017-08-30,0.38345441555257687
公司2017H1净利润YOY 14%，稳定增长，证金增持,17168,2017-08-30,0.8618830114558694
保利--全球顶级抗癌药，中国拥有自主研发产权,15782,2017-06-23,0.9999469457033258
中报净利率10.38。去年8.99，按今年1820亿营收,11847,2017-08-29,0.3915589760041127
600048:保利地产2017年半年度报告摘要,19956,2017-08-29,0.6843513336216378
600048:保利地产关于重大事项进展的公告,35578,2017-08-29,0.62231044210394
真的很害怕，今晚出天大利好。整合保利置业，明,10743,2017-08-29,0.6140933136984364
中报速递：保利地产2017年上半年盈利56.51亿元,21163,2017-08-29,0.2717586867603514
国家队持有超过10亿股。国资重组第一股保利年销,12939,2017-08-28,0.005136514073439957
核心内参泄露（002599盛通股份）要大涨,11518,2017-08-24,0.9419963826947761
天有白天黑夜月有阴影残缺股价有涨有跌，保利地,7449,2017-08-24,0.8352179057350324
保利地产5000亿攻坚战：确保第一方阵地位 要规,42048,2017-05-16,0.6835996460487962
一主两翼起飞，央企整合迎大机遇,49974,2017-06-26,0.03455891612957562
国资委：保利集团与中轻集团等实施重组,54327,2017-08-21,0.5545188339955537
600048:保利地产关于全资子公司在全国中小企业,12338,2017-07-31,0.22256748053910502
保利地产明天不涨我不姓张,17525,2017-08-08,0.14049433679387568
保利在这阶段短线操作要领，下周.,14566,2017-08-18,0.9676828921305471
中国保利集团与中国轻工集团、中国工艺（集团）,20214,2017-08-21,0.964445348050091
还有谁和我一样悲催？,15186,2017-08-22,0.9395793439019228
周线小阳线，不错,11035,2017-08-18,0.8765151799764382
强烈要求中国证监会严历查处兴风作浪的保利地产,10359,2017-08-23,0.5837172423851618
听话的孩子无奶吃，或者就是这理。连各卷商的估,14586,2017-08-12,0.9769748011168893
保利地产(600048)融资融券信息(08-15),7524,2017-08-16,0.7884728735409863
我杀回来了，保利地产，准备长期持有。如果一只,13786,2017-08-14,0.09458556906010929
2017中报预告业绩符合预期 地产龙头稳健经营,52948,2017-07-24,0.26460041435156967
保利地产七月销售点评：7月销售同比增长四成，,39861,2017-08-11,0.7793422390877868
盘中有做多资金盘跌可能是未来的主基调,7108,2017-08-16,0.9773815474268338
清仓了    耗了我1年    拜拜了暴力   再也不买,6992,2016-12-01,0.9182182715673206
保利成本我最高，有图为证,23386,2016-03-24,0.7931535952742556
死悄悄五连阴,7982,2017-07-27,0.5996073276149217
我老张炒几十年股做超级短线从来不看量和K线,8101,2017-08-09,0.573539184676119
周末也就是明天把抛出的货如数接回来,5255,2017-08-10,0.19578727912534166
卖啦，这里要整理，前高，放量，获利盘多，所以,13871,2016-11-23,0.275951816800421
保利地产今日超大单流入排名第3名(12-01),26958,2016-12-01,0.6127368740669485
