标题,帖子数,日期,情感
建议愿意长期投资的朋友们买点银行股,34595,2017-05-03,0.374371894067672
光大银行获中银监批准非公开发行58.1亿股H股,24425,2017-07-26,0.17933215348843723
建议民营老板们买点银行股,20848,2017-05-02,0.04584892015322006
此地有银三百两 就是隔壁王二偷,24458,2017-09-01,0.2864049752915856
低价蓝筹行情会持续，高价，创业板还要跌1年，,21237,2017-07-26,0.1496412660117108
咯咯 狂笑狂笑咯咯咯咯，三年利润之和超现公司,7984,2017-06-25,0.49120478383335875
嘿嘿 大笑大笑 咯咯咯咯，晨鸣三年利润之和超现,19075,2017-06-26,0.997455766117627
光大银行全体股东的罪人—唐老鸭！,13726,2017-08-11,0.17239361194312408
唐双宁年过花甲，近七十岁的人，还要霸着光大集,7002,2017-08-23,0.7660715589109093
本人预测农业银行将超过光大银行股价，现在h股,40097,2017-05-21,0.4819570649750825
炒股日记,38473,2017-05-22,0.11802228315713614
半年报中被机构聚焦锁定的低估值公司：,4895,2017-09-01,0.838869974564267
实战炒股口决： 十四工作线，来回做波段；突破,42240,2017-05-13,0.986755970349184
愿意长期投资的朋友们可以买点银行股,30032,2017-05-19,0.533693659381871
光大银行(601818)融资融券信息(09-01),4870,2017-09-02,0.6380770554322551
京东金融与光大银行签署战略合作协议,12749,2017-09-01,0.7267499226503829
农行股价必将超过光大银行和中国银行,34751,2017-04-17,0.48310062690727074
全球顶级抗癌药，中国拥有自主研发产权,10363,2017-06-23,0.9998089672928583
1个月内见到10元,10215,2017-08-25,0.045981999087792436
今日光大银行为什么盘中卖压沉重？,18471,2017-07-28,0.8836295280720838
光大集团跌破净资产怎么整体上市？,21390,2017-07-17,0.028780771060903487
一直在做波段差，都没注意看，成本都降到3.9了,15212,2017-07-17,0.013629580957628118
光大银行(601818)融资融券信息(08-25),8226,2017-08-26,0.6380770554322551
601818:光大银行2017年半年度报告摘要,14307,2017-08-25,0.5062808245775542
中报速递：光大银行2017年上半年盈利169.39亿元,27466,2017-08-25,0.15002117230728274
光大云缴费上半年交易额突破300亿 成为开放平台,13306,2017-08-21,0.952727649597146
超值的光大银行,85013,2016-09-13,0.8728091884462219
光大率领银行业打压大盘,肮脏丑陋,218494,2016-01-25,0.4131114829470649
光大银行(601818)融资融券信息(08-18),7043,2017-08-19,0.6380770554322551
出死入生、出生入死，二选一！,4119,2017-08-09,0.7631635923169853
永远落后于其他银行股，应该光大银行内部出了问,9342,2017-07-27,0.01496617390272359
光大银行(601818)融资融券信息(08-11),7068,2017-08-12,0.6380770554322551
瞎子亦狂笑 业绩翻倍 季报再增长300%翻倍搖新股,20268,2017-05-07,0.9382818522991375
中国光大银行获光大集团增持A股,11816,2016-10-17,0.13147903917187587
在净资产5元以下，大股东光大集团都应该而且必,9385,2016-10-18,0.2511583704178756
601818:光大银行关于卢森堡分行获当地监管部门,20301,2017-08-04,0.5342716095546249
光大中信真是难兄难弟啊,13476,2017-07-06,0.7296334663075456
光大银行：光大集团累计完成增持近5亿元,15132,2016-10-17,0.05116389873004645
咯咯笑业绩去年翻倍股0.99，今再翻倍超2元，股,14745,2017-04-28,0.039512222539688
光大银行(601818)融资融券信息(07-03),5952,2017-07-04,0.6380770554322551
中美谁是第一大经济体？,13369,2016-10-10,0.9348695526633575
光大银行8元以下不卖联盟举手。,7602,2017-07-22,0.39718573521928735
进场: “双重改革”受益股,社保养老金标的股,6843,2017-07-29,0.9893200488469195
光大银行连钢铁股都不如，但员工工资比炼钢工人,7777,2017-07-10,0.02733711956124929
光大银行，银行股中的“潜水艇”,7579,2017-07-07,0.09060498526854355
光大银行因2016年度利润分配转债转股价下调至4.,29629,2017-06-27,0.23640643056643051
光大银行拟定增H股股票 募集资金总额不超过310,19561,2017-05-02,0.526197395182393
我国累计投入运营动车组占全球总量六成以上、证,4880,2017-07-09,0.9366885278905004
光大银行拟定增H股股票 募资不超过310亿元,13932,2017-05-03,0.11474791257656392
光大银行拟配售65.69亿H股 集资不逾350亿元,19678,2017-05-03,0.05216316667554732
601818:光大银行关联交易公告,28713,2017-07-27,0.13334608152481886
哈哈哈！抢盘了，抢盘了，黄金砸头！晨鸣投资价,13127,2017-03-07,0.9999090134657523
基金抱团炒个股是中国式庞氏骗局，隐患危害大81,38223,2016-07-22,0.9262069561756864
光大好便宜，市值比茅台五粮液低很多,5124,2017-07-05,0.7418151030806862
光大银行,79586,2015-08-31,0.2986479332114579
为啥光大市值还不如美的格力呢,5094,2017-07-06,0.12385562316770349
601818:光大银行关于根据2016年度利润分配方案,43594,2017-06-27,0.04266067427972897
成功源于杠杆，失败也源于杠杆，但真正之错不在,4779,2017-07-05,0.7433560123798311
601818:光大银行关于中国光大银行股份有限公司(,28126,2017-07-14,0.47152725384032335
融资融券买了9万股光大银行.放半年到5快就行,16794,2017-06-21,0.7027337901278705
广发证券为何涨停？73债券通券商史上最大利好，,4617,2017-07-03,0.6120530189581207
601818:光大银行2016年度A股普通股权益分派实施,56737,2017-06-27,0.07168212887295144
中国光大下属企业浙江光大发展总公司涉嫌诈骗基,205478,2017-02-01,0.403079958539849
光大银行(601818)融资融券信息(06-23),6549,2017-06-24,0.6380770554322551
光大发行H股是严重决策失误，管理层要纠正,13181,2017-05-02,0.16090852530152777
逃权！我怎么办？,5230,2017-07-04,0.31743199087891816
前度牛郎今又来～,6348,2016-11-30,0.5010886833153358
一不小心把分红都跌没了,10370,2017-07-04,0.020601894704756596
比工行的市盈率低,3107,2017-06-15,0.405352828826297
光大银行不涨原因是股权摊薄，几百亿可转债再几,20191,2017-05-28,0.15551571620368376
抢权抢钱抢钱，难得机遇,2799,2017-06-16,0.6738791528885686
601818光大银行的唐老鸭琴棋书画诗词歌赋样样精,5836,2017-03-21,0.9982905860492828
国外经济大环境，,4515,2016-07-12,0.5757638249339909
光大银行港股3.56港元，跟农行同价,6766,2017-05-02,0.7729834943856149
市值管理 不懂 要向白酒 学习 不要尸位素餐,4713,2017-06-17,0.5200818452152506
股东权益贬值 如此严重 高管必须承担责任 这可,5603,2017-06-17,0.20921222409053075
技术上看,2647,2017-06-08,0.5018518388657516
601818:光大银行关于2016年度A股分红派息实施暨,46138,2017-06-21,0.4100138403228344
白酒赚钱能力有银行强吗 还炒作白酒 糙,2696,2017-06-07,0.006608056501779869
万红丛中一点绿，你好意思吗？求表现，红红烈烈,2056,2015-10-22,0.8481163697028103
整个大盘沸腾 光大银行涨了0.25% 呵呵 人家的股,3308,2017-06-07,0.34916239701491036
601818:光大银行第一期优先股2017年股息发放实,22290,2017-06-15,0.03288584094161684
中央汇金投资增持光大银行3694万港币,12974,2017-06-07,0.830849819850885
唐双宁这老乌龟在601818光大银行，绝难有大行情,5859,2017-03-31,0.9433140363447475
烂股有烂股的道理,8589,2017-06-09,0.02080083857850845
601818:光大银行第七届董事会第十次会议决议公,15496,2017-06-06,0.0349068390920263
价值投资信奉者 会大笔买入 光大银行,2975,2017-06-05,0.8988870712052953
601818:光大银行2016年度股东大会、2017年第二,22788,2017-05-31,0.44490668274340406
601818:光大银行第七届监事会第七次会议决议公,15243,2017-06-02,0.008961318243490002
符合辩证法的观点,5736,2017-05-23,0.6139811837367043
宁波港601018重大事项复牌联手浙江民光大银行,99285,2016-03-16,0.5252236612989846
601818:光大银行关于2016年度现金分红投资者说,50234,2017-05-09,0.46367756382748315
601818:光大银行关联交易公告,19590,2017-05-02,0.13334608152481886
在这里说一下国贸，给能看得见的人看。它不会一,114273,2017-02-22,0.6439203723961822
我们同样还有一颗争胜的心，他将会驱使我们，不,15549,2017-04-26,0.9776448017610732
光大银行及唐双宁圈钱箭三连发，箭箭夺命：定增,11060,2016-06-20,0.9825559348170785
我仿佛看见了QFII弯腰捡黄金的笑脸,5844,2017-04-14,0.9977634484464106
保护投资权益，不要分红，回购A股注销,3145,2017-04-24,0.4467719478539395
601818:光大银行公开发行A股可转换公司债券网上,37651,2017-03-21,0.018393006410091672
601818:光大银行公开发行A股可转换公司债券网上,35877,2017-03-22,0.018393006410091672
绩优+超跌 这些股你放进自选股了没？,13976,2016-02-24,0.26246284116101004
光大遭遇黑天鹅,23802,2017-03-31,0.5328335166228542
行情尾声，注意风险！经济每况愈下，牛市没基础,22723,2015-11-18,0.9972142685143891
分红有个鸟用，一除权反倒亏了，不是吗?,11379,2017-04-02,0.18186948531120772
转债是有息,有分红,有净资产増值,比正股好多了,20857,2017-03-17,0.6956913439712423
和大家说说光大可转债，该怎么办呢？看下去就明,21617,2017-03-16,0.5255687671605157
空头在短期内以几乎最快的速度撒欢,4294,2017-04-04,0.9223654073551257
转债又分食九成股东,5028,2017-04-03,0.42017369663942183
分红6年后净资产10元,转股价3元.330股值4000元,15102,2017-03-17,0.10357189759103436
601818:光大银行2016年年度报告摘要,20067,2017-03-30,0.6830640267907588
MSCI提出了一项有关将中国A股纳入全球指数的缩,11027,2017-03-23,0.9222736090383952
进入做T不丢筹码模式,21048,2017-02-20,0.9020519022965019
周五的跳水和放量阴包阳，仍属强洗盘性质,16388,2017-03-18,0.8053288100980334
中午休息，一并说说配售可转债操作中问题,18885,2017-03-17,0.5246987043021072
光大转债上市, 申购与配售收益分析,37655,2017-03-17,0.7423671187795762
不要买转债,21589,2017-03-15,0.5552227896882499
601818:光大银行公开发行A股可转换公司债券发行,68405,2017-03-16,0.01865043046352366
友情提示：白送的利润记得要拿,19831,2017-03-16,0.5782734113070327
