标题,帖子数,日期,情感
老Q：投资谋略（第二季）聪慧不可尽，贫贱尚需,1406183,2017-07-01,0.985188584768978
兴业银行（601166）：5年之内，必涨3倍！,91496,2017-06-28,0.6932793823264618
25之前卖兴业我不敢说你错但肯定不对。,29954,2017-07-12,0.014001229881929533
sb主力年年有，今年特别多。有种继续砸兴业,19151,2017-08-10,0.190410297451303
便宜有好货，好货有便宜。,963382,2017-06-16,0.7072234665687198
散户必看炒股格言和现金策略！     孙子云：先,42448,2017-04-09,0.08037291965991733
实战炒股口决： 十四工作线，来回做波段；突破,51687,2017-04-15,0.986755970349184
本人在17.61融券卖空2万股，狗庄有本事拉到30元,127736,2017-07-12,0.006597357175916918
兴     业     抄     底     价    位     ： ,27856,2017-08-08,0.448447195891729
机会摆在大家面前就看如何把握了,92983,2017-04-19,0.9653164516914159
为什么工行都创出历史新高了，兴业怎么还在破净,13143,2017-08-23,0.773811246734135
大笑大笑 咯咯咯咯咯，晨鸣三年利润之和超现公,18334,2017-06-26,0.9969774902521022
咯咯咯笑，晨鸣三年利润之和超现公司市值。 今,23051,2017-06-26,0.9531210882448131
兴业的市盈率到三十倍,98889,2017-04-26,0.3396678024219001
弱者道之用,73381,2016-12-26,0.4981527343955531
邀请你过来西部矿业601168一起发财！即将公布重,30778,2017-06-27,0.31024760465510837
16只老银行股2017年中报简评及估值比较,10015,2017-09-02,0.011282975033062415
[重大事项]MSCI Inc.来了，漂亮50必将是永远中,8734,2017-06-21,0.9936199910704042
同业之王兴业银行营收大降 同业缩表、资本充足,32703,2017-08-31,0.9914002571266266
攻市场4000点之前，可大胆进行低吸的10只潜力个,29519,2017-08-07,0.9598107761116244
当下可底部大胆建仓的超跌低价潜力黑马个股,18810,2017-07-28,0.4763965513284031
吸纳：中长线必将走牛的小盘潜力成长个股,19544,2017-07-27,0.9994418282625313
攻市场4000点之前，可大胆进行低吸的10只潜力个,37311,2017-06-22,0.9598107761116244
这类个股有望成为2018年中的超级大牛股之一,33917,2017-06-16,0.5903747256913198
这里有金矿已有人开始在偷偷挖掘,25072,2017-05-25,0.9693449217380475
兴业银行携手中升集团加快布局“汽车消费金融”,15174,2017-09-01,0.576838948379203
比较创业板与纳斯达克市场的投资价值,6976,2017-08-07,0.9718109383505693
周期股涨完，来个530股灾然后才是银行表现时候,14573,2017-08-07,0.1948641934222336
垃圾兴业不要涨！,14289,2017-08-07,0.21132347778181493
最新统计数据显示，上半年社会融资规模“表外转,12397,2017-08-07,0.9751814172664972
11灰心万分沮丧的我把情况告诉了芸,7420,2017-08-05,0.5174253456202144
怎么做到的，营收300多亿，利润100多亿，银行的,11538,2017-08-06,0.06236274683888321
兴业银行二季度业绩大幅下滑！,99217,2017-05-18,0.32396550148941206
坚决满仓兴业银行，并持股不动摇，每股30元之前,199429,2017-06-28,0.02111170376252358
这么便宜的兴业银行，你们还要卖，我一直喊30元,169879,2017-07-06,0.15846211687605505
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,15475,2015-09-14,0.9616263649280308
持有兴业银行的可放心关电脑一年,38822,2017-06-05,0.09987177315741513
兴业银行：上半年净利润增长7.34%,11051,2017-08-30,0.6266576635387268
底部拐点确认，重申强烈推荐、组合首选,34814,2017-08-30,0.6102528256256619
对兴业2017年半年报的合理预测,38485,2017-08-28,0.59021580515694
中报速递：兴业银行2017年上半年盈利316.01亿元,51594,2017-08-29,0.15002117230728274
兴业银行净利润增长7.34% 不良双降,13714,2017-08-30,0.4943468776122344
兴业和招商半年报比较差别不大,22808,2017-08-29,0.45130120108952143
601166:兴业银行2017年半年度报告,44857,2017-08-29,0.27518754268693024
上半年兴业银行净利316亿 同比增长7.34%,18388,2017-08-30,0.7179706253972755
兴业银行：上半年净利316亿元 同比增长7.34%,39992,2017-08-29,0.5627570506629315
月K线三连阳，估计要在18元下方横盘一阵了，充,20571,2017-08-01,0.10216712615379975
15.30元左右坚决买入兴业银行,70821,2017-04-24,0.35233355018468204
601166:兴业银行2017年半年度报告摘要,59593,2017-08-29,0.5062808245775542
当下价值投资中兴业银行与贵州茅台谁更有投资价,15287,2017-06-30,0.9964410169758899
兴业银行上市以来6条周均线均向上只有4次！,7886,2017-08-29,0.28776458525842397
三泰开阳，月阳线稳固，8月起飞（追 招行）,15193,2017-07-31,0.22900011239483553
兴业银行杂谈—2017-转帖。当作安慰吧,15003,2017-08-09,0.5658544182392848
兴业与招行比为什么差这么多？,18267,2017-05-24,0.058937973687715584
不出意外本波段预计到23.15左右,14151,2017-08-25,0.5498296511362201
兴业银行(601166)融资融券信息(08-25),9209,2017-08-26,0.6380770554322551
中国股市最大的超级傻瓜究竟是谁？这个问题要问,17501,2016-03-24,0.9789970469580968
未来几年兴业银行2009年的15涨到43的过程大概率,39057,2017-06-09,0.9855531352401634
兴业银行和京东做了一个两年前大家就不玩了的业,44295,2017-08-24,0.1332489463537031
兴业银行(601166)融资融券信息(08-24),6234,2017-08-25,0.6380770554322551
