标题,帖子数,日期,情感
正能量影片幕后的金融力量：北京银行1500亿元信,20199,2017-09-04,0.9879618956311902
散户必看炒股格言和现金策略！ 孙子云：先立于,48354,2017-04-29,0.08329665475196413
[不说了]MSCI Inc.来了，漂亮50必将是永远中流,11797,2017-06-21,0.9186225294229298
模型 全民基本信用,91871,2016-12-31,0.7085923308003611
毒品问题 吸毒举报贩毒 毒资奖给吸毒个,32828,2017-05-15,0.9817903713291565
模型2 全民基本信用,99988,2017-01-01,0.5194568209406358
本少爷专冶pm2.5,31322,2017-05-14,0.8213909561638829
北京银行上半年不良率降9BP,9354,2017-08-31,0.06177663732620442
北京银行半年报增4% 证金增持至4.99%,8993,2017-08-31,0.4690828537366717
北京银行：上半年净利同比增4% 证金公司持股升,22353,2017-08-30,0.28054595348319455
中报速递：北京银行2017年上半年盈利110.79亿元,14494,2017-08-30,0.1698591948025473
事实证明北京银行没有投资价值,67681,2017-06-22,0.784712867356732
北京银行(601169)融资融券信息(08-25),6076,2017-08-26,0.6714691280440452
通告：601958 金钼股份正创历史新低，青菜价6.7,7333,2017-06-12,0.9988016578039274
十万股， 一周亏了近七万块，肉痛啊,19702,2017-08-13,0.33909737343584556
北京银行：题材业绩均不错 只欠劲风！,16453,2017-05-19,0.4076839146022483
北京银行(601169)融资融券信息(08-18),7630,2017-08-19,0.6714691280440452
北京银行(601169)融资融券信息(08-16),5828,2017-08-17,0.6714691280440452
28曰前，北京银行涨到12,7674,2017-07-18,0.19237956068618556
发改委谈重污染行业产业发展与环保监管：对于重,6297,2017-08-04,0.6611659757753775
我对北京银行的理解,53816,2016-09-14,0.45204130746703597
坚决反对增发，两年股价翻2倍！,16505,2017-05-12,0.64614109895294
哈哈哈 笑咪咪抢盘啦 业绩去年翻倍股0.99，今再,21842,2017-05-03,0.9990923360804648
北京银行：开展资产证券化业务并发行普通金融债,42340,2017-08-07,0.9701648513877684
告诉你江铃000550为何严重低估今年必翻番的原因,6977,2017-07-16,0.5445377067919474
北京银行现金分红刚刚已经到账了。,13635,2017-07-11,0.040268444427675965
鉴金_北京银行 华资 东湖 西水 上海银行 华联 ,13096,2017-05-15,0.09413075199809773
601169:北京银行2016年年度利润分配实施公告,98761,2017-07-05,0.10366584325326034
北京银行与神雾集团签署全面战略合作协议,38941,2017-07-21,0.05595091431132593
抛！经济恶化,拉股价，用人性贪婪，忽悠股民在,30848,2016-01-29,0.8250483988915179
四川输绿色电到雄安,4439,2017-07-18,0.6953501561846549
平安银行都涨上去了，北京银行还在犹豫什么。,2482,2017-07-11,0.08574071758056734
等了  三十年MSCI将破门而入券商崛起      这些,8581,2017-06-12,0.7289930659693344
果然跌了，真准,5756,2017-07-18,0.20935743243827365
北京银行为神雾集团提供三年50亿授信额度,17384,2017-07-19,0.9517521051814792
快报！中小板指数与个股 也在争创新高 附,2890,2017-07-12,0.6274180702211247
抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股,19876,2017-03-08,0.9964870876204753
北京银行，我给你一个建议，以今天收盘价为基点,15469,2017-06-27,0.43433921179638213
基金抱团炒个股是中国式庞氏骗局，隐患危害大16,41571,2016-07-21,0.8319286191339242
谁还敢小瞧券商？券商股灾救市所持中字头股票50,14106,2016-12-01,0.3226434724802695
监管排查“海外并购明星民企”风险 银行抛售疑,3958,2017-06-22,0.681432540072765
送的股，什么时候能到账？,13777,2017-07-11,0.07964201617689193
完了 玩完了 金山银山不如股市黑山,2890,2017-07-18,0.9805021517652299
北京银行(601169)融资融券信息(06-30),6326,2017-07-01,0.6714691280440452
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,70712,2016-03-22,0.9616263649280308
世纪金源黄如论行贿了谁 减持北京银行等金融资,12997,2017-06-23,0.9532751463297632
601169:北京银行关于实施2016年度利润分配方案,51168,2017-07-14,0.1152216980144023
唉！不知是今天分红，咋天入的分后扣税明显的亏,6712,2017-07-12,0.04156860412719965
北京银行除权前，9.16买3500股，花32060元，到,13952,2017-07-13,0.13583497091652674
北京银行,24053,2016-11-22,0.33049765742410653
主力什么时候砸到8块钱,1739,2017-06-17,0.029828589941541805
"""一带一路""超低估值才是财富__________________",19890,2017-05-13,0.9377853872176715
本少爷专冶pm2.5,241550,2015-12-31,0.8213909561638829
战胜华尔街,239994,2016-01-12,0.9854062487073498
601169:北京银行董事会决议公告,43961,2017-06-19,0.24489165477591657
北京银行股权之争暗涌：新华联控股增持 董事会,97587,2017-05-12,0.3504011189209437
今日买入878 拿红利 分红股 心平气和不打架,2704,2017-06-05,0.9426306726825797
北京银行拥抱互联网思维 全力打造交易银行现代,11556,2017-07-01,0.9336044214124584
豪门午宴,6452,2017-06-29,0.7642709336536191
昨天做狗今天做啥,5932,2017-06-28,0.8144290703255348
盘中分析:北京银行为何不如新都退,3280,2017-06-20,0.37525451401532206
129家券商各自为阵本身就是笑话      这么多家,8735,2017-03-16,0.4278738006212772
北京银行：北京/上海比拼中国金融业第一排位,19003,2017-02-15,0.32302028491042756
银行股该起来了。8.85买了15000股，虽然不多，,7479,2017-06-09,0.016689468583205302
北京银行：定增补充资本，业绩稳健发展,15692,2017-04-28,0.987277262409573
601169:北京银行中期(2017-2019年)资本管理规划,6083,2017-04-25,0.9510368707529863
咨询非公开发行股票事项,17997,2017-05-25,0.48279427615241755
新闻一出准下跌，还是兴业银行好,7128,2017-05-27,0.7963257777760299
北京银行(601169)融资融券信息(05-31),8659,2017-06-01,0.6714691280440452
各位安心持股。 雄安涉及的经济活动体量巨大，,12415,2017-04-21,0.8369524522699203
北京银行携手凤凰金融谋求互联网金融发展,31861,2017-04-18,0.9999744925249657
8.66买进，被套里等奇迹,16755,2017-05-18,0.7730058454188841
投降，瞬间改变世界观,5122,2016-12-02,0.9956371126878674
回来看看。北京银行虽然跌了，但业绩---,13645,2017-05-13,0.16199631933969605
恒大暴涨近23%今年涨超200% 特色小镇概念暴涨 0,6787,2017-05-29,0.8129582994938395
证监会：请依法常态化治市！查处操纵股价的不法,35951,2016-08-17,0.5940759067451031
先看看招行，持续的牛！ 看看浦发，观察浦发动,10651,2017-05-25,0.5932324517708613
增发方案一旦通过，还会狂跌！所以大家必须投票,7562,2017-05-18,0.5507123984211162
601169:北京银行2016年度股东大会决议公告,52118,2017-05-18,0.5419784140816034
北京银行不良率连续5年攀升 2017一季度投资收益,21934,2017-04-27,0.9266077929008693
北京银行2016年赚179亿 今年首季赚55亿,30473,2017-04-25,0.05140321424043781
根据非公开发行规则预测增发价格为8.49元—8.71,25175,2017-04-26,0.7049073663032083
宁波港601018重大事项复牌联手浙北京,118514,2016-03-16,0.2387469573771972
荷兰老牌银行集团参与高价定增的首都银行你们弃,15421,2017-04-29,0.093491787570404
北银无量B浪今已确认走完，何去何从请各位好自,22828,2017-03-01,0.3268707833130984
今天我 一开盘 已经投了北京银行定向增发反对票,5864,2017-05-18,0.19762232954496417
北京银行(601169)大宗交易数据一览(05-17),21157,2017-05-17,0.13798177607448592
投票的方法谁知道？,3674,2017-05-17,0.6561961637491076
5月18日股东大会我对相关议案投反对票,11102,2017-05-12,0.4004832371678244
北京银行MACD金叉买入,9881,2017-05-15,0.5193888975075851
北京银行2017年1季报净资产为9.66元。,17684,2017-04-28,0.07555849326128383
对北京银行定增价的分析,16222,2017-04-28,0.6433469040770613
北京银行(601169)大宗交易数据一览(05-12),13657,2017-05-12,0.13798177607448592
小微贷款增长突出，下半年逾期90天以内升幅加快,25970,2017-05-16,0.732154791072763
北京银行(601169)大宗交易数据一览(05-15),15572,2017-05-15,0.13798177607448592
国美金融与北京银行达成全面战略合作,14508,2017-05-15,0.9977920058840514
北京银行：与国美金融签署战略合作协议,16483,2017-05-15,0.9641154382840043
601169:北京银行关于与国美金控投资有限公司签,24017,2017-05-15,0.7333478903709904
银行,4889,2017-05-12,0.3211009174311926
601169:北京银行非公开发行A股股票摊薄即期回报,13824,2017-04-25,0.14569224965413696
北京银行增发价对股价构成支撑,9978,2017-04-26,0.8592928707419025
北京银行股价跌逾5%创近半年新低 民生银行连跌,36494,2017-04-26,0.06961156771196386
行情尾声，注意风险！经济每况愈下，牛市没基础,26104,2015-11-18,0.9972142685143891
有消息称 北京银行副行长姜德耀已失踪一个多月,28447,2017-04-26,0.04253110928934767
今日如果跌幅3%，拉成阴十字，明日再2-3%尾盘拉,6045,2017-05-08,0.660525509764049
若增发价格低于9.94，本人投10万股反对票,6873,2017-05-08,0.014829945968170999
再融资新规后首个银行定增方案出炉 北京银行大,24021,2017-04-28,0.931436991947623
北京银行研究部署雄安新区建设金融服务工作,31964,2017-04-18,0.997675764828548
坐稳了,10458,2017-03-06,0.8572759543044713
601169:北京银行重大事项停牌公告,72006,2017-04-14,0.3758956164174375
北京银行今年首季赚55亿 拟定增不超240亿,12555,2017-04-26,0.1935391102894395
北京银行最小股东才1岁 “娃娃股东”频频套现忙,32865,2017-04-28,0.2848811032683879
601169:北京银行2016年度现金分红投资者说明会,69736,2017-05-02,0.6602230385048846
601169:北京银行未来三年(2017-2019年)股东回报,17079,2017-04-25,0.8167584485693978
北京银行(601169)大宗交易数据一览(05-02),15756,2017-05-02,0.13798177607448592
用事实说话，揭露北银高管卑劣行径！,99501,2015-10-21,0.9782802000623244
抛！机构连拉股价，用人性贪婪忽悠小股民在高位,18386,2015-11-24,0.96512331570731
北京银行：拟定增募资240亿元补充核心一级资本,46551,2017-04-25,0.9961727735534297
2016年报及2017年一季报点评：业绩平稳，定增方,12538,2017-04-27,0.7567044729425476
北京银行晚间最新公告：因市场一片混乱 申请停,20993,2017-04-26,0.08301518287280485
听说北京银行严重违反证券法，要退市是真的吗？,20643,2017-04-26,0.35142313457430896
年报暨一季报点评：定增落地资本解渴，不良可控,19094,2017-04-26,0.9949851834412624
年报泄密“最牛员工”：北京银行去年人均创利12,25804,2017-04-26,0.5671675202386072
北京银行：停牌系筹划非公开发行股票,48485,2017-04-14,0.2454198687442205
北京银行拟10送2股派2.50元,29913,2017-04-26,0.03687800975117661
601169:北京银行关于重大事项停牌进展公告,66321,2017-04-20,0.44854070212856023
北京银行，开始新的征程！,24087,2016-07-13,0.4221305671222696
601169:北京银行2017-04-14全天停牌,76573,2017-04-14,0.24489165477591923
送给为定增而买股的股民：定增原来是这样玩的,17220,2017-04-17,0.9313657950133907
北京银行:大股东利用定向增发剥夺小股东的多年,10744,2017-04-17,0.7448265687828076
