标题,帖子数,日期,情感
友情提示,49875,2017-08-08,0.8917752571829808
二次买点加油,4661,2017-08-28,0.892184094941658
北方稀土本周将强势归来,16097,2017-09-04,0.3118725259396826
中山公用怒吼：广发证券算个球，它涨1倍我能涨3,9804,2017-08-29,0.3649017370330251
有色趋势行情延续，关注还没启动的黄金个股，如,4080,2017-07-13,0.9661738554811768
周一看广晟,30282,2017-08-11,0.7731570018790442
八月收盘是买点，开关肯定又做反了！,8148,2017-09-01,0.5734190755396348
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,13084,2017-08-29,0.1831406935243859
我就要18全部卖出！这股票短期这走势太浪费其他,13672,2017-08-29,0.41097223688249596
这个很难吗 新股一人一手，大数据了。改成每千,18524,2017-08-26,0.8940802188169551
痔哥今天怎么没出来BB,6204,2017-09-01,0.3074456037237615
开关10元满仓双成药业，7元多杀进亿晶光电，这,8164,2017-08-29,0.016764624062941658
16.5元附近闭上眼买进稀土龙头600111,158033,2017-07-28,0.008328743334807154
盘中出击;北方稀土，资源股龙头大胆低吸。,14504,2017-08-28,0.027070431561492025
北方稀土本人近期看高到40元(十月一日前)，远期,45109,2017-08-28,0.09013975267487906
~~三浪三主升浪的龙头是军工，航天电子是领头,5222,2017-08-23,0.597809454038644
调整不买入北稀要待何时？,24877,2017-08-02,0.5474203030103996
北方稀土，下周走势预判,21311,2017-08-25,0.13124539779973587
本次稀土价格为什么上涨。要涨到什么时候,214464,2017-07-26,0.06476709689399907
我  现  在  一  无  所  有  了,294231,2016-05-16,0.32020815097757827
空调我们选择格力，手机我们选择华为，新能源汽,9418,2017-07-08,0.06316954514591344
北方稀土进入盘整已成定局（写于8月22日晚）,41634,2017-08-22,0.162471316149445
0.98元业绩仅此1家次新股股价不到10块江苏银行,41763,2017-04-27,0.049974062228807736
北方稀土,34446,2017-08-13,0.17151767774238458
强势涨停机构游资敢死队疯狂抢筹暴涨飙升超级大,6832,2017-08-12,0.7090289443624056
散户必看炒股格言和现金策略！,17764,2017-07-08,0.3017520261998339
