标题,帖子数,日期,情感
华泰证券非公开发行A股申请获得中国证监会受理,20630,2017-09-04,0.028818165751008706
601688:华泰证券关于非公开发行A股股票申请获得,42733,2017-09-04,0.03442740715715098
两次回弹19.38,18188,2017-08-10,0.4464272442410193
601225陕西煤业半年业绩0.57元股价8.31元,22052,2017-07-26,0.7184834682695668
铁心陪股友走完华泰证券从现价到翻番全程,34937,2017-04-27,0.20878904892012884
券商股值得逐步全仓买入和拼命捂住的根本原因,36483,2017-05-11,0.3936754425544208
咯咯咯咯笑大笑，晨鸣三年利润之和超现公司市值,19103,2017-06-27,0.9449434759275688
下周是选择真上还是调的关键时点,10452,2017-09-02,0.4581905643069758
华泰融资融券违规诉讼正在审理，就迫不急待巨额,48529,2017-06-04,0.9964474168489799
要是今天收在22.6一下更爽[鼓掌] 绿色长上影啊,15861,2017-08-30,0.382489540513661
华泰证券(601688)融资融券信息(09-01),5775,2017-09-02,0.6473208510743051
23万现金快用完，越跌越加仓,10832,2017-03-22,0.3438581164527683
上市券商半年报出炉 华泰证券净利增长5.35%证金,154538,2017-08-11,0.7046719278947822
2017.1.11 剑指3300,170287,2017-01-11,0.807542006213966
华泰证券~结构牛市 关注证券(6股),12824,2017-07-19,0.574324327562724
华泰证券~ 强势上行还要涨 只看板块个股争霸,10987,2017-07-19,0.13948981900119628
华泰证券(601688)大宗交易数据一览(08-23),22715,2017-08-23,0.1256798666749258
过20.7下一目标30元见[胜利][胜利][胜利][胜利],21703,2017-08-25,0.9678136873536268
核心内参: 地产称霸南京，医美雄冠亚洲,4241,2017-08-12,0.9315669100106516
入场收尸:地产称霸南京，医美雄冠亚洲,4591,2017-08-13,0.2613908113232535
华泰：夜梦[7股]缘者交流 只看后市牛熊,11319,2017-07-21,0.8445322814317601
华泰证券(601688)大宗交易数据一览(08-28),27315,2017-08-28,0.1256798666749258
华泰日线参考。,10997,2017-07-17,0.7085477705199471
哥给华泰牵来一头牛。,9736,2017-07-17,0.4967833567907217
华泰证券8月28日盘中涨幅达5%,4228,2017-08-28,0.013809454683494371
本吧“价值投资硬道理”是骗子，“茶花源”为托,11428,2017-07-28,0.8218464550828105
华泰证券(601688)融资融券信息(08-25),5919,2017-08-26,0.6473208510743051
¥¥华泰证券第一梯队大券商绩优成长互联网券商龙,49128,2017-05-28,0.9991483265696962
2017半年报点评：经纪业务龙头 海外收入增长,22568,2017-08-15,0.9605526818315505
‖+‖大券商有钱有实力，各项业务资源都垄断了,47292,2017-05-28,0.9758130874370441
〖1〗华泰证券+美国金融科技现货转型创新发展:,44537,2017-06-18,0.9985339175860076
屮1屮绩优成长行天下～价值投资硬道理≥股价绝,51997,2017-05-28,0.9985261904445887
屮屮融资完成就是中国的高盛了≈二个第一:1，定,62378,2017-05-28,0.9810005261588783
→_→华泰证券拟定增募资260亿 为何此时会有这,64558,2017-05-28,0.9462320704013791
↗券商定向增发属于特大利好目前融资融券利率8.,44307,2017-05-28,0.7970462754961156
→国泰君安：华泰证券金融与科技走向融合共赢的,370448,2016-08-30,0.9999867741898635
∩～白菜价：含金量超高华泰证券极具投资价值5,51996,2017-05-23,0.9878041758855695
进场: “双重改革”受益股,社保养老金标的股,4413,2017-07-31,0.9893200488469195
华泰证券(601688)融资融券信息(08-24),3726,2017-08-25,0.6473208510743051
上证日线参考。,8427,2017-07-17,0.6560693525427269
华泰证券(601688)融资融券信息(08-18),7222,2017-08-19,0.6473208510743051
华泰证券(601688)融资融券信息(08-02),7535,2017-08-03,0.6473208510743051
华泰证券(601688)融资融券信息(08-16),4853,2017-08-17,0.6473208510743051
首份上市券商半年报出炉 华泰证券净利增长5.35,34802,2017-08-11,0.7046719278947822
2017半年报点评，有业绩有潜力,9212,2017-08-14,0.7985532675650011
中报速递：华泰证券2017年上半年盈利29.93亿元,19624,2017-08-11,0.15522700254712785
601688:华泰证券2017年半年度报告摘要,37898,2017-08-11,0.5163392442600864
华泰证券(601688)融资融券信息(08-11),6673,2017-08-12,0.6473208510743051
1688怎么这么弱？728，都创新高了,5379,2016-11-03,0.8458035165448664
抓住风口机遇，实现快速增长,7795,2016-11-05,0.6297309546388006
汉奸股死劲砸吧！,3154,2016-06-27,0.0008183292562915501
高位急拉升是大跌前的诱多！机构出货是一个价格,4956,2016-11-03,0.6430174647853848
今天收盘18.90，如果收不到我吃大便,7334,2017-08-08,0.19587241938757538
2016年3季报点评：同比数据优于行业平均，收购A,21186,2016-11-04,0.9916652415620552
601688:华泰证券2016年10月份经营情况主要财务,53767,2016-11-04,0.19778739792735467
瞎子狂笑咯咯咯！抢盘了，抢盘了，黄金砸头！晨,13706,2017-04-07,0.9662345778166093
又到券商发大财？券商股灾救市所持中字头股票50,12763,2016-12-01,0.7051005666120257
华泰软件日线参考。,4102,2017-07-17,0.33704364185175895
601688:华泰证券2017年7月份经营情况主要财务数,73450,2017-08-04,0.3962209470505813
三季报点评：经纪业务逐渐企稳，投行业务依旧保,35090,2016-11-04,0.6612918195658744
券商风口形成，下跌整固后将加速上行！,7801,2016-11-04,0.10265030460434799
进场: “双重改革”受益股,社保养老金标的股,5655,2017-05-21,0.9893200488469195
明日作为我判断周期的最后一天，三个预测，证券,28707,2017-07-25,0.9518106541939443
601688:华泰证券公开发行2015年公司债券(第一期,6502,2017-06-29,0.13598304106033898
预测下午券商悉数封板:广发中信三板三天上23元!,5987,2017-07-12,0.7760799653486741
601688:华泰证券2016年年度权益分派实施公告,93939,2017-07-31,0.39498272330667106
证监会通报操纵股价的4种方式：关联账户，自买,29172,2016-09-26,0.883739315502804
价高没戏了下来全转买*一路一带丝路龙头600307,25890,2017-05-06,0.421543734183225
华宜华生活（600978）红木资源第一股，红木资源,2129,2017-07-19,0.9750814807289833
我对证券周期判断还没有明确，总体向上，目前证,24622,2017-07-20,0.8809702707327453
股道教你盘中如何做T+0操作：      我们说的T+0,31760,2017-02-21,0.4630203610959218
券商板块仅凭一点就足以成为下一场牛市领头羊,12755,2017-06-08,0.7490562601196376
华泰证券(601688)融资融券信息(07-13),5109,2017-07-14,0.6473208510743051
华泰是在底部横盘，但要冲上18元上方，必须放大,6601,2017-06-15,0.08816556039705592
高位急拉升是大跌前诱多！机构出货是一个价格区,8951,2015-11-17,0.528397017295335
不想在国安发言了，国安自作聪明的人太多，以后,11932,2017-07-19,0.1201901555432412
参考劵商板快五重底。,85957,2017-04-17,0.8530501766602281
券商护盘,5019,2017-07-11,0.4516147496552959
601688:华泰证券2017年6月份经营情况主要财务数,72055,2017-07-10,0.33724943760707604
大牛来了[想一下],4671,2017-07-13,0.5237661590441648
国家的每次经济改革都将被华泰这样的无良无耻券,18208,2017-03-22,0.7937390738029856
基金抱团炒个股是中国式庞氏骗局，危害大688,25462,2016-07-21,0.948949627315205
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,49175,2016-03-22,0.9616263649280308
有机构故意捞低单打压为吸收筹码享受10分5元,3039,2017-07-07,0.11684079128400404
601688:华泰证券2017年第一季度报告,27093,2017-04-26,0.6040688708717984
下星期趁反弹全部清仓，要休息了。,8929,2017-07-07,0.19113084981080264
紧急公告：立即抢购7.02元历史最低位附近的金钼,4575,2017-05-10,0.9179398754119068
尾盘跳水比赛,8584,2017-06-26,0.42305958538499244
买点,3542,2017-04-13,0.5833333333333336
看样子是真飞,2570,2017-06-02,0.5209840908103103
好了，落袋为安了，拜拜了华泰,1461,2017-06-01,0.9433480800890209
每天都有资金进，就是不涨。,2922,2017-04-28,0.8517922865812018
券商还不如银行股坚强,4019,2017-03-10,0.6958501424612952
7日年化收益达3-25%,2756,2016-07-07,0.8247589288466809
