标题,帖子数,日期,情感
跑得快不一定能拿到长跑冠军！,6325,2017-08-30,0.9096304718892024
全仓东方航空，你懂的，人民币又涨了,8348,2017-08-28,0.7251263244685678
关注人民币升值概念！,62704,2017-06-01,0.973594806730333
南航铁定要大组合。前几天的公告中有端腻。好好,103677,2017-01-05,0.3969294148107132
宁波港祝贺南方航空,25847,2017-06-12,0.4157930673060982
大盘反弹25个点你还是这个傻逼,33974,2017-07-18,0.35880239953790605
实战炒股口决： 十四工作线，来回做波段；突破,47812,2017-05-30,0.986755970349184
次新股0.98元业绩仅此1家江苏银行股价不到10块,41787,2017-04-27,0.049974062228806404
广州自贸区概念,44728,2017-04-06,0.6958377097328536
1H17 earning decline despite a lack of FX lo,18801,2017-08-31,0.24213845548101032
机场航运板块表现抢眼 南方航空涨幅超6%,17138,2017-08-30,0.9785030660859819
航空板块持续走强 南方航空涨超7%,24197,2017-08-30,0.9472138860398076
南方航空8月30日盘中涨幅达5%,3963,2017-08-30,0.07091006057930205
600029:南方航空2017年半年度报告摘要,40871,2017-08-29,0.849329655516673
中报速递：南方航空2017年上半年盈利27.68亿元,22718,2017-08-29,0.492448941399085
早上诱空，8.69不破继续持股，看看方正证券的日,26013,2017-06-16,0.20568303192407633
南方航空(600029)融资融券信息(08-24),5348,2017-08-25,0.9064683472094583
核心内参泄露（002173创新医疗）要大涨,5187,2017-08-24,0.9707236706022955
大笑 狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0,18675,2017-05-24,0.05171614357175491
以后到处发这个！有补充的吗？ 一个超跌的MSCI,13850,2017-08-12,0.08473118918500344
600029:南方航空2017年7月主要运营数据公告,46047,2017-08-14,0.6282735383938696
南航在走C浪杀，配合雏形头肩顶，已破颈线,12528,2017-07-25,0.07647067014233
狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今,16401,2017-05-24,0.488956824832688
紧急公告：MSCI指数股601958 金钼股份正创历史,8453,2017-06-23,0.9310964509377292
600029:南方航空关于完成向美国航空公司发行H股,47494,2017-08-10,0.6434626057004554
南方航空后市看多技术面分析 [牛][牛][牛][牛][,10467,2017-02-10,0.9784333170571916
南航春节前收盘价8.88元，少了我吃屎！,29389,2017-01-15,0.3600471932982475
南方航空即将拉升，买入,8462,2017-02-14,0.8867361797348086
对待南方航空的做法,4346,2017-02-14,0.7549526721845523
卖出是唯一正确的选择!,7291,2017-01-20,0.7418228756263667
南方航空(600029)融资融券信息(01-19),9280,2017-01-20,0.9064683472094583
进场: “双重改革”受益股,社保养老金标的股,5075,2017-07-31,0.9893200488469195
南方航空(600029)融资融券信息(01-20),15761,2017-01-21,0.9064683472094583
南方航空(600029)融资融券信息(01-18),12824,2017-01-19,0.9064683472094583
7.35这价位短期还有上涨空间吗？,12462,2017-02-10,0.7378715303258202
南方航空(600029)融资融券信息(08-04),5922,2017-08-05,0.9064683472094583
600029:南方航空关于向美国航空公司发行H股股票,14117,2017-07-31,0.8297716131294085
散户必看炒股格言，现金策略！     孙子云：先,63294,2017-02-22,0.08037291965991733
波音--南航,2214,2017-07-28,0.4737672181921908
入摩成了，祝贺南航入选标的股。[献花][献花][,7236,2017-06-21,0.48535022342650624
主力在玩死散户，最近4天,3天收盘0.41，馬的要,4812,2017-01-19,0.19162198552887377
d危险……高盛集团在h股顶部疯狂套现……机构顶,7601,2017-06-09,0.566710353022917
拉红出货 资金流出,2559,2017-07-11,0.8038492729346922
600029:南方航空2016年年度权益分派实施公告,95580,2017-07-19,0.7751386369129386
南方航空背后的危机已经显现 后势定让散户惊掉,18553,2017-07-20,0.9990850722526341
对国企混改概念股也要有坚持波段操作,57694,2017-01-10,0.05355040058017879
夏竟傻小子，看五粮液涨多少了，哈哈哈,5736,2017-06-21,0.9667173201426719
南方航空(600029)融资融券信息(06-21),7193,2017-06-22,0.9064683472094583
主力部队过来了,1671,2017-07-11,0.5294947133879233
赶快卖！！！,2353,2017-07-11,0.15233510213749535
出货！！！,1719,2017-07-11,0.12495494789498962
上海建工,4441,2017-06-21,0.4296932403033493
一个割在地板上又向证券公司借钱买股的韮菜，赔,6616,2017-06-21,0.0012104850674685697
南方航空(600029)融资融券信息(06-20),6860,2017-06-21,0.9064683472094583
[满仓兴奋]漂亮50中国股市的心脏；沪深300中国,8128,2017-07-17,0.9999360595822689
南方航空6月客运运力投入同比上升11.77%,17168,2017-07-14,0.4915757692725189
南方航空将来是航空股的龙头,5006,2017-06-12,0.6110138349958588
无耻，公司增发价是5.3元左右，8.8元时，毫不犹,8514,2017-07-04,0.08984626570717735
我的估算是一季度0.15，二季度0.25，三季度0.40,9977,2017-07-16,0.4716630852709037
600029:南方航空2017年6月主要运营数据公告,42195,2017-07-14,0.5672102083679728
原油期货爆跌，油价无底洞啊！！,6479,2017-06-22,0.41158316228791414
南航被指“骗”40多名旅客下机改签 延误10小时,28267,2017-07-05,0.002387687127565097
为国航点赞，为南航加油，为东航感到无地自容！,6449,2017-06-22,0.9985888126078556
600029:南方航空H股公告(暂停办理股份过户登记,25688,2017-06-21,0.42183733104052545
不跟你斗嘴了你咋像小孩似的？哈哈哈,5532,2017-06-21,0.6365180837216751
深圳地铁增加三项临时提案，提议董监事换届选举,4635,2017-06-21,0.37327340499701156
大单出小单买，没毛病，小散加油，庄机构出货。,4290,2017-06-15,0.6977344879710506
低调富豪张劲A股抄底，8个月花90亿买两家上市公,14835,2017-07-09,0.6964490674202117
看南方航空,21328,2016-11-22,0.7501071826716155
高盛提示关注广发等大券商战略机会:六月入摩或,11326,2017-05-25,0.9986527854413815
夏竟看泰和新材还能涨，周K和月K很好,3032,2017-07-01,0.7379774646669381
与德国国际领先技术合,5289,2017-06-25,0.8740942640283418
狡兔三窟，窟窟爆满,5083,2017-06-26,0.39313195737569684
同时文中涉及的股票只作参考不作推荐,4413,2017-06-25,0.9969580757720813
k线，像画出来的。,5345,2017-06-24,0.7587067353757282
又出了200万股，庄家厉害,4828,2017-06-22,0.12579001221653396
南航中长线看好，股友可以把握回调机会买入,5690,2017-06-20,0.9437937418807268
你来我走，哈哈哈哈,2075,2017-06-20,0.8819047335121248
港股下午跳水了，国航先跳，呵呵,6083,2017-06-16,0.7957309347421972
还是东航牛啊，南航现已沦为国内第三大航空公司,3365,2016-04-20,0.6633028502225836
南方航空(600029)融资融券信息(04-19),7692,2016-04-20,0.9064683472094583
娘希匹,2238,2016-04-20,0.7590970359833027
南方航空(600029)融资融券信息(04-20),6878,2016-04-21,0.9064683472094583
幸亏昨天换成东方航空了，不然真惨了,2906,2016-04-20,0.4623053102461385
大盘涨的时侯它没跟上，大盘跌的时侯它冲在前头,2108,2016-04-20,0.5030538412314305
