标题,帖子数,回帖数,时间,情感
提议让云龙当大秦董事长，接替东福,4021,20,2017-09-01 22:12:00,0.8399243794949061
上半年净利润翻倍，股价仍处低估水平,26873,16,2017-09-04 13:23:40,0.8946006652671866
对今后大秦的看法,16445,35,2017-09-02 08:39:53,0.6429335818357281
半年报业绩超市场预期 运量反弹贡献主要业绩增,18085,7,2017-08-30 18:10:14,0.9878626517625159
咯咯咯 哈哈哈 晨鸣三年利润之和超市值。 今年,20712,39,2017-06-26 11:14:57,0.9975077488646191
哈哈哈,回来一看,"那个叫id萨呆啥的""山西人还爱",6815,25,2017-09-03 07:07:44,0.8684210526315791
大秦--全球顶级抗癌药，中国拥有自主研发产权,8990,9,2017-07-30 20:42:03,0.9997878165850281
大秦铁路最好的光阴是当下,39940,32,2017-09-01 15:44:15,0.9618944525539129
A股市场就像小孩，需要呵护,18942,33,2017-05-25 10:51:29,0.8999865365494804
对“大秦铁路最好的光阴是当下”这篇评论不敢苟,8111,12,2017-09-02 07:38:00,0.7005983998414879
灯下黑，山西人是不会看好大秦铁路的……,3027,7,2017-08-09 23:20:43,0.14215384579075363
放眼未来 作好布局,44428,75,2017-04-10 00:09:44,0.9813563967913842
真诚奉劝大秦的朋友们,22186,37,2017-08-29 19:12:35,0.050525585837683074
散户必看炒股格言和现金策略！     孙子云：先,51229,86,2017-03-27 10:22:59,0.08037291965991733
大秦铁路与铁龙物流不一样,14894,23,2017-08-23 16:31:13,0.602698773085549
今天大秦走势有意悲观，可能今晚上浮运价！,6815,23,2017-09-01 15:09:39,0.9156017669505369
《等待》,13584,27,2017-05-19 17:44:00,0.45255474452554734
守望，大秦 是一種信念~,28446,54,2017-04-24 11:32:57,0.8611630297213672
《大秦铁路》－国之大秦，中国唯一 世界第一！,48469,88,2017-04-14 13:56:49,0.971364866604646
兄弟们，国之大秦即将用震烁古今之力大力向上开,7659,18,2017-08-27 22:42:30,0.98818947891493
等待《公告》中报业绩……,10915,26,2017-08-29 15:08:26,0.7418905145240178
静一静，大家想一下，在大秦铁路、广深铁路和铁,28133,40,2017-08-21 15:05:51,0.9710287170189074
《大秦铁路》之打压篇章 － 市场经常会“犯错”,14478,15,2017-08-29 22:17:50,0.8877672302322449
云龙如果不是大秦公司的人，那就是个奇才，和小,6276,22,2017-08-29 16:48:01,0.6046581096002684
朋友你们去过黄河吗？你渡过黄河吗？,3222,6,2017-08-29 16:02:55,0.8582103628308354
