标题,帖子数,回帖数,时间,情感
投资价值凸显 山东黄金跻身恒生A股行业龙头指数,7788,4,2017-09-05 23:03:48,0.9868011599990932
山东黄金被纳入恒生A股行业龙头指数,9965,8,2017-09-05 22:55:46,0.845053472396049
黄金大战中国还是输家啊 加快储备吧 不多了,50916,109,2017-07-16 08:38:33,0.904849800631319
金矿快开采没了你那啥砸盘  拿铁嘎达砸盘啊  愚,19775,68,2017-07-28 22:15:50,0.5217715244276431
大资金偷偷跑了[好困惑],12298,10,2017-08-07 12:48:08,0.9998485232895956
山东黄金，现价比去年牛市价还高，定增价又太低,74565,77,2017-01-06 22:00:33,0.8623957861318862
中国拟推出人民币计价原油期货 可兑换成黄金,9200,9,2017-09-04 15:06:33,0.6401342088059384
大笑 呆子都抢 瞎子也狂笑 业绩翻倍 股0.99今年,14913,27,2017-05-19 08:46:05,0.602746281469178
有色趋势行情延续，关注还没启动的黄金个股，如,16103,21,2017-07-13 10:39:07,0.9661738554811768
山金--全球顶级抗癌药，中国拥有自主研发产权,9032,10,2017-07-30 19:07:40,0.9999160259832696
山东黄金(600547)融资融券信息(09-01),8043,7,2017-09-02 07:49:29,0.9682645376519686
美国劳工部公布的数据显示，美国8月非农就业人,13852,8,2017-09-01 20:42:01,0.8794304117849453
加大探矿增储力度，进一步夯实行业地位,35458,7,2017-09-01 10:26:09,0.8995047263440671
预测2017年山东黄金最高点是38元左右，最低点居,327687,482,2017-01-03 18:47:37,0.9914607876918459
黄金现货价格高位震荡，为什么山东黄金会连续下,15037,23,2017-08-24 18:31:46,0.9193525894909887
~~最新游资内参外泄,7692,11,2017-07-30 16:38:21,0.5254389448542105
山东黄金半年报增两成 证金买入,37949,13,2017-08-31 09:08:00,0.9607139343680932
600547:山东黄金2017年半年度报告,48798,13,2017-08-30 20:47:42,0.8679075064917409
可以关注牛股600791一300419一000958一600531一,7574,50,2017-08-22 08:17:45,0.5611015837041373
这么大的利好，估计明天复牌后先两到三个涨停板,33427,34,2017-05-17 20:32:02,0.2723167778432011
山东黄金(600547)融资融券信息(08-25),7282,11,2017-08-26 09:58:35,0.9682645376519686
600547:山东黄金2013年公司债券(第一期)2017年,26936,3,2017-08-25 16:29:46,0.871813109378517
今天是买入黄金股的机会！,66365,126,2017-03-03 09:48:20,0.8087433929083309
美黄金期探一下1300美元上方会疯狂大跌下探，就,20310,35,2017-08-18 21:09:16,0.9409166793815553
301条约～黄金涨不涨？,15654,15,2017-08-19 15:03:35,0.6534450934440205
600547:山东黄金关于收购阿根廷贝拉德罗(Velade,100664,46,2017-08-18 15:58:54,0.9960827422750136
中国股民喜欢大跌卖股票更喜欢卖跌停板看好锁仓,28008,104,2017-07-20 09:29:55,0.8980525638415914
我靠啊,21914,41,2016-11-18 13:41:18,0.5262327818078083
山东黄金(600547)融资融券信息(08-18),9420,8,2017-08-19 08:33:59,0.9682645376519686
山东省国资委:山东黄金海外并购业绩初显 首月报,31232,35,2017-08-15 11:44:44,0.9979033063705275
山东黄金表面调整完毕貌似可入场抄低，但是主力,16772,7,2017-08-15 14:33:33,0.5217305170699735
重大利好：在A股收盘时，国际黄金冲破1300！下,16696,14,2017-08-18 15:05:47,0.7670618200546799
别再跌了，我求求您了，黄金大爷，我刚买了三天,8316,10,2017-08-16 10:23:16,0.04266276973877747
以后到处发这个！有补充的吗？ 一个超跌的MSCI,15055,29,2017-08-12 11:50:15,0.08473118918500344
今天这个底抄的爽歪歪，上周36清仓，今天33.15,12018,12,2017-08-14 13:19:20,0.4863031154998462
极度混乱，异常迷茫，步步诡异--最后的帖子,16106,19,2017-07-29 16:34:10,0.9632160461393726
公告：MSCI指数股601958 金钼股份正创历史新低,7060,9,2017-06-23 14:41:19,0.9599609783702852
国际金价否极泰来必将逆袭，当心黄金股集体上演,20195,6,2017-08-09 23:04:01,0.7481970758743701
到公司调研 ，详细了解公司的经营发展情况，,10103,14,2016-07-13 21:26:50,0.558284932121262
SB大板牙，你认为你发个贴山金就能涨了？你永远,5990,22,2017-03-01 09:40:28,0.5516898734360166
朕的项链280个小时涨了2648元人民币,19578,78,2016-04-12 21:28:13,0.35200745232879305
做投资，就是玩概率，在此给你说说脱欧的概率,6376,15,2017-03-01 04:49:23,0.8732921526711641
哈哈！非农大大好于预期， 黄金直跌 若该股 明,19146,13,2017-08-05 01:36:33,0.1723557019270997
山东黄金(600547)大宗交易数据一览(02-28),23832,19,2017-02-28 18:39:51,0.7049700763789515
散户必看炒股格言，现金策略！     孙子云：先,43076,59,2017-02-25 13:29:20,0.08037291965991733
在这种宏观背景下,14102,91,2017-07-11 10:53:29,0.9022650556370407
[微笑][微笑],17908,26,2017-07-06 19:40:22,0.8913737233881204
基金抱团炒个股是中国式庞氏骗局，隐患危害大54,21727,36,2016-07-21 15:06:28,0.9262069561756864
布局有色、黄金类个股,67739,78,2016-11-27 15:34:31,0.17152333764071492
感谢主力在31以上将傻逼散户套死2000万股了，千,23427,9,2017-07-17 10:52:53,0.7336205573139952
600547:山东黄金独立董事关于公司发行H股并上市,71289,7,2017-07-20 15:59:28,0.7112302941002093
600547:山东黄金第四届董事会第四十次会议决议,43428,8,2017-07-20 15:57:26,0.4790406471716383
山金会到25左右，千万不要买。,11503,28,2017-06-23 23:17:25,0.10272685674411675
仙命女王：黄金原油,35683,229,2017-05-04 09:23:32,0.9886191127940978
回忆西杭,4316,19,2017-07-14 21:04:07,0.9777391828502152
抗议山金耍大牌,8741,10,2017-07-03 21:28:53,0.575481702681536
600547:山东黄金关于终止筹划非公开发行股票事,130587,35,2017-05-17 18:34:33,0.8366065627131342
日线收十字星,10433,41,2017-07-08 05:17:07,0.16986822188127826
下半年山金要是不崩盘，朕送你黄金一两,18700,18,2017-07-02 12:54:50,0.8217908871603485
用力砸啊收盘前买点,3601,11,2017-03-15 13:48:58,0.5867089118534926
金要涨了,3467,25,2017-01-09 14:56:34,0.8123251327483195
山金特大利好半年上50元！！！！今天是买入黄金,6048,35,2017-06-14 09:56:58,0.49607755546665433
看看金贵银业怎么走的！！,4384,2,2017-06-30 13:41:50,0.44742288447783507
【联讯有色公司点评】山东黄金：最优黄金资源龙,100432,18,2017-03-30 18:19:02,0.991396059034689
周二坐看天齐拖怎么唱,4428,9,2016-08-22 13:19:30,0.4593130411640135
600547大家互相转告锁仓做长线300419一600533一,6073,24,2017-07-01 19:03:50,0.03911425346952224
开始技术性调整。盘中多,3279,30,2017-01-07 10:41:09,0.25100754442550444
600547:山东黄金关于收购阿根廷贝拉德罗(Velade,73124,30,2017-07-03 15:40:02,0.9960827422750136
真的想骂人啊！就你一绿帽子！,2270,13,2017-05-19 09:53:14,0.3401588397928229
再谈中国建筑（601668）是否该道再见 (附黄金概,33089,10,2016-12-21 20:21:00,0.9915174583203448
联储加息前现不祥之兆 黄金企稳再次等待升空,2755,34,2017-06-12 18:41:13,0.6578731235143049
三点三结论：1.社会去产能任重道远2.股票发行，,3625,34,2017-06-12 17:48:16,0.7744545346744215
买入的人就像赴汤蹈火上战场，卖出的人从阵地突,6249,37,2017-06-13 10:22:01,0.7591588183486342
我朋友说大盘这次能跌到800点。,7762,14,2016-08-22 19:16:46,0.19376514616477025
房价蹭蹭上涨，普通老百姓究竟是该买房产还是买,12538,18,2016-08-23 09:23:07,0.5528777429315714
又继续加仓了，看高到80元,8966,22,2016-08-22 15:38:49,0.14545724753687417
卖卖卖,5258,14,2016-08-22 14:02:30,0.6333108567630084
一线城市地主股遭资金哄抢 安邦系增持金融街逼,4594,12,2016-08-21 13:15:02,0.9858629080606328
马上要红盘了，加把劲抄底,3724,11,2016-08-22 10:04:36,0.4537016523244245
大家不要买山东黄金，进入垃圾时段。不要听股吧,3020,10,2016-08-22 11:46:23,0.14244216607170224
能上涨吗,3960,17,2016-08-22 10:34:12,0.19999999999999996
跟着大帝再次抄底，全仓杀入，目标200元。,8065,16,2016-08-22 10:44:05,0.4124953156444948
今天可以买山东黄金！,15834,156,2016-08-23 09:12:57,0.872923710780064
金光,4180,13,2016-08-22 16:12:27,0.5
大盘暴跌它才会涨！,4618,13,2016-08-22 10:17:50,0.8408268951964574
