标题,帖子数,日期,情感
康美年底前有行情,3928,2017-09-04,0.9529708190481428
在21上方横了那么久，久盘必跌!庄家太需要一个,71750,2017-07-12,0.02477601402445684
难得,5511,2017-09-04,0.845360824742268
仅此1家江苏银行股价不到10块0.98元业绩次新股,51158,2017-04-30,0.04997406222880718
康美药业唯一的利空,15223,2017-08-31,0.8766806580341779
康美深度解析,9308,2017-09-01,0.9894020217787016
康美药业：分享半年报： 从业绩看：盈利百分之2,16006,2017-08-28,0.9872850075544419
下周康美震荡调整难免，考验持股的时刻到来,256608,2017-05-07,0.8193648603129531
中报点评：业绩增长符合预期，看好公司估值中枢,21924,2017-08-30,0.815101613919642
康美药业控股股东完成增持计划 总投入超20亿,30353,2017-08-23,0.5654460008017569
实战炒股口决： 十四工作线，来回做波段；突破,56992,2017-05-07,0.986755970349184
康美药业中报亮点,10927,2017-08-29,0.8222044248251908
业绩符合预期，智慧药房业务呈爆发态势,17029,2017-08-29,0.7516722639723444
康美药业并没有真正启动,21411,2017-08-25,0.606992558072687
康美药业中报净利增22% 证金公司增持逾1亿股,18518,2017-08-28,0.4493913888286869
康美药业半年净利增两成 智慧药房处理处方250万,19350,2017-08-29,0.9703274475584164
600518:康美药业2017年半年度报告摘要,23184,2017-08-28,0.901635355451522
康美药业：上半年净利增22% 汇金公司增持超1亿,23519,2017-08-28,0.800314822138004
可想而知半年报业绩差成什么样！大盘都突突往上,7514,2017-08-28,0.06399863369968384
事件点评：大手笔增持20.29亿完成，彰显大股东,28879,2017-08-28,0.9164557348100798
康美高管大量增持股份，股价长期走好，阶段目标,12210,2017-08-24,0.9930663575720249
康美近期这种走势只能说明中报不及预期，同比达,11577,2017-08-25,0.6867036816711564
康美药业(600518)融资融券信息(08-25),4864,2017-08-26,0.9403317027800453
康美药业大股东及高管完成20亿元增持计划,28841,2017-08-24,0.445162181531355
康美药业控股股东及高管增持计划完成,17559,2017-08-23,0.6836722335080353
600518:康美药业关于控股股东及高管增持公司股,32770,2017-08-23,0.6253658604911606
康美药业(600518)融资融券信息(08-18),5881,2017-08-19,0.9403317027800453
600518:康美药业关于控股股东股权质押解除的公,31812,2017-07-31,0.9827803801285776
形成W底!突破颈线就确立!,10674,2017-08-11,0.7502067934462142
16，02分已经屡次试探8次,10567,2016-09-08,0.5670916546889689
麻烦高人给介绍一支医药股呗,6781,2016-09-08,0.6833604812661686
康美药业(600518)融资融券信息(07-21),7580,2017-07-22,0.9403317027800453
600518:康美药业关于控股股东拟非公开发行可交,36056,2017-08-07,0.36618400472529544
妈的，跌啊，最好来根大阴棒，百分之五的，,6831,2017-07-07,0.14495140762603587
600518:康美药业关于控股股东股票质押式回购交,28171,2016-09-08,0.670409624564768
下影，启动！,8217,2017-08-08,0.28864551389330606
康美药业 周四将会走势如何？怎么应对策略？,49024,2017-05-31,0.9642730787888727
该有人去告呀,5827,2016-09-07,0.3128976172815785
庆典开完了就成这个鸟样啦？!,4575,2017-08-08,0.25404368340305417
600518:康美药业关于第一期限制性股权激励计划,28555,2017-07-26,0.7043491998049234
KK9898    聊了几句    小小鸟，你们几个二货从,6708,2017-07-27,0.768030599028393
康美药业(600518)融资融券信息(08-04),5799,2017-08-05,0.9403317027800453
康美药业(600518)融资融券信息(07-10),5770,2017-07-11,0.9403317027800453
事件点评：10天内落地获批广东省中药配方颗粒开,38264,2017-07-05,0.238165604564317
关注中药材涨价,79278,2016-11-04,0.7975923573760709
康美，论质地没的说!论股价没法说!,6427,2016-09-05,0.4867421387960619
寻到涨50倍的下一个恒瑞，要复制恒瑞需满足6个,7941,2017-07-29,0.9989557398990138
不能收在21.20以上，就不玩了！,6743,2017-06-30,0.10346202974413543
我昨天就告诉大家赶紧跑。你们吧信啊。,5283,2017-07-06,0.3266829051172936
赚翻啦！[鼓掌][鼓掌][鼓掌],4100,2017-06-13,0.8617773218373111
早盘拉升，下午必跌。 早盘下跌，尾盘必拉。 此,25243,2017-06-02,0.08539202900088327
价高估出不如全转买*惊天一路一带龙头600307酒,24758,2017-05-01,0.5212607337585012
600518:康美药业关于全资子公司收购广州并持医,31987,2017-07-26,0.948762499372599
600518:康美药业:广东新澳医药有限公司审计报告,26311,2016-09-29,0.982010566920407
康美药业尾盘狂拉，明显是股价操纵行为，应该遭,11196,2017-07-13,0.9058699508745479
保卫个屁啊亏损企业还谈什么保值，,3608,2017-07-26,0.20374037445632598
市值保卫战,9710,2017-07-12,0.2883928661326973
21.99做空成功！烂臭到头啦！[胜利],6594,2017-07-03,0.3275052186839259
真服了这个比拉，日线能走出40根绿住，那个股也,6536,2017-07-25,0.008912810253594028
康美药业(600518)大宗交易数据一览(07-18),30249,2017-07-18,0.5524166593405974
22怎么这么难上啊,9486,2017-07-03,0.40283610801854797
600518:康美药业关于收购重庆瑞泰医药有限公司1,54861,2017-05-19,0.9862880881499672
康美药业： 今天开始发表评论：当然碰到争议是,10137,2017-07-22,0.7071847833064805
600518:康美药业关于全资子公司收购福州众博恒,40167,2017-02-28,0.9931262746834406
革命性熊市如何熬过,12833,2017-07-17,0.879443356633473
